1.119694262, Sport: ,Soccer, Time: ,Mon Jul 27 18:00:00 CEST 2015, Time: ,Mon Jul 27 18:00:00 CEST 2015, Event: ,Tshwane UT (Students) v WSU (students), Favorite: ,WSU (students), 10078591   size:33.72,Price: ,1.75,The Draw, 58805   size:15.52,Price: ,2.5,Tshwane UT (Students), 7552077   size:15.37,Price: ,2.78,x
1.119694393, Sport: ,Soccer, Time: ,Mon Jul 27 18:00:00 CEST 2015, Time: ,Mon Jul 27 18:00:00 CEST 2015, Event: ,Wits Uni (students) v N Mandela Met Uni (Stu), Favorite: ,Wits Uni (students), 7550759   size:503.59,Price: ,1.81,N Mandela Met Uni (Stu), 7550780   size:503.49,Price: ,1.86,The Draw, 58805   size:10.84,Price: ,2.6,ok
1.119710554, Sport: ,Tennis, Time: ,Mon Jul 27 17:58:00 CEST 2015, Time: ,Mon Jul 27 17:58:00 CEST 2015, Event: ,A Krajicek v Sugita, Favorite: ,Austin Krajicek, 3288367   size:342.8,Price: ,1.78,Yuichi Sugita, 3374117   size:2.66,Price: ,2.22,ok
1.119705581, Sport: ,Soccer, Time: ,Mon Jul 27 18:00:00 CEST 2015, Time: ,Mon Jul 27 18:00:00 CEST 2015, Event: ,Feralpisalo v Trapani, Favorite: ,Trapani, 4893594   size:3.57,Price: ,1.59,The Draw, 58805   size:6.85,Price: ,3.25,Feralpisalo, 4893595   size:6.1,Price: ,3.55,ok
1.119710521, Sport: ,Tennis, Time: ,Mon Jul 27 18:00:00 CEST 2015, Time: ,Mon Jul 27 18:00:00 CEST 2015, Event: ,Kudla v Matosevic, Favorite: ,Denis Kudla, 4829260   size:319.0,Price: ,1.44,Marinko Matosevic, 4423909   size:13.17,Price: ,3.2,ok
1.119610261, Sport: ,Soccer, Time: ,Mon Jul 27 18:00:00 CEST 2015, Time: ,Mon Jul 27 18:00:00 CEST 2015, Event: ,Volga Nyzhnyi Novgorod v SKA-Energiya, Favorite: ,Volga Nyzhnyi Novgorod, 3244509   size:57.61,Price: ,1.64,The Draw, 58805   size:29.22,Price: ,3.65,SKA-Energiya, 5441581   size:5.48,Price: ,7.2,x
1.119609841, Sport: ,Soccer, Time: ,Mon Jul 27 18:00:00 CEST 2015, Time: ,Mon Jul 27 18:00:00 CEST 2015, Event: ,Fakel v Shinnik, Favorite: ,S
