1.119083985, Sport: ,Snooker, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,OBrien v Swail, Favorite: ,Fergal OBrien, 2678272   size:2.28,Price: ,1.69,Joe Swail, 2280125   size:22.06,Price: ,2.36,okokokokok
1.119057059, Sport: ,Basketball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Boulazac v Denain, Favorite: ,Boulazac, 6718787   size:5.93,Price: ,1.5,Denain, 6719010   size:2.81,Price: ,2.72,ok
1.119057058, Sport: ,Basketball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Antibes v Le Portel, Favorite: ,Antibes, 5467755   size:49.22,Price: ,1.64,Le Portel, 6719000   size:27.53,Price: ,2.34,okokokokokok
1.119083662, Sport: ,Tennis, Time: ,Fri Jun 05 18:30:00 CEST 2015, Time: ,Fri Jun 05 18:30:00 CEST 2015, Event: ,Paquet v Parmentier, Favorite: ,Pauline Parmentier, 2309569   size:53.61,Price: ,1.28,Chloe Paquet, 7216239   size:2.73,Price: ,4.5,okokokokokok
1.119008768, Sport: ,Cricket, Time: ,Fri Jun 05 18:30:00 CEST 2015, Time: ,Fri Jun 05 18:30:00 CEST 2015, Event: ,Kent v Gloucestershire, Favorite: ,Kent, 5901   size:14.4,Price: ,1.72,Gloucestershire, 2219   size:10.39,Price: ,2.34,xxxxxx
1.119061914, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,N Lubbecke v Erlangen, Favorite: ,Draw, 330157   size:100.0,Price: ,1.01,N Lubbecke, 4196313   size:4.0,Price: ,1.35,Erlangen, 6775528   size:12.0,Price: ,4.0,xxxxxx
1.119083986, Sport: ,Snooker, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Gilbert v Georgiou, Favorite: ,David Gilbert, 2293307   size:584.78,Price: ,1.51,Michael Georgiou, 3439628   size:80.31,Price: ,2.7,xxxxxx
1.119061910, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Friesenheim v GWD Minden, Favorite: ,Draw, 330157   size:2.67,Price: ,1.74,GWD Minden, 543099   size:2.28,Price: ,1.91,Friesenheim, 4950974   size:7.05,Price: ,2.48,xxxxxx
1.119061918, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Fuchse Berlin v Flensburg Handewitt, Favorite: ,Fuchse Berlin, 2476365   size:5.97,Price: ,1.91,Flensburg Handewitt, 4506561   size:2.65,Price: ,2.56,Draw, 330157   size:3.6,Price: ,8.2,xxxxxx
1.119051068, Sport: ,Baseball, Time: ,Sat Jun 06 01:05:00 CEST 2015, Time: ,Sat Jun 06 01:05:00 CEST 2015, Event: ,LAA @ NYY, Favorite: ,NY Yankees (N Eovaldi), 9389895   size:277.99,Price: ,1.88,LA Angels (J Weaver), 2412538   size:478.0,Price: ,2.04,okokokokokok
1.119051106, Sport: ,Baseball, Time: ,Sat Jun 06 01:10:00 CEST 2015, Time: ,Sat Jun 06 01:10:00 CEST 2015, Event: ,OAK @ BOS, Favorite: ,Oakland (S Kazmir), 8431596   size:311.0,Price: ,1.97,Boston (W Miley), 9389894   size:3.57,Price: ,1.98,xxxxxx
1.119051149, Sport: ,Baseball, Time: ,Sat Jun 06 02:10:00 CEST 2015, Time: ,Sat Jun 06 02:10:00 CEST 2015, Event: ,TEX @ KC, Favorite: ,Kansas City (E Volquez), 9385643   size:490.0,Price: ,1.62,Texas (C Gonzalez), 9558038   size:4.44,Price: ,2.48,xxxxx
1.119008771, Sport: ,Cricket, Time: ,Fri Jun 05 18:30:00 CEST 2015, Time: ,Fri Jun 05 18:30:00 CEST 2015, Event: ,Somerset v Hampshire, Favorite: ,Somerset, 5995   size:300.89,Price: ,1.8,Hampshire, 3961   size:8.96,Price: ,2.18,ok
1.119008495, Sport: ,Cricket, Time: ,Fri Jun 05 19:30:00 CEST 2015, Time: ,Fri Jun 05 19:30:00 CEST 2015, Event: ,Yorkshire v Lancashire, Favorite: ,Yorkshire, 655   size:42.4,Price: ,1.61,Lancashire, 424679   size:12.68,Price: ,2.62,xxxxxx
1.119083951, Sport: ,Snooker, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Ebdon v Burnett, Favorite: ,Peter Ebdon, 2278791   size:2.73,Price: ,1.63,Jamie Burnett, 2280126   size:5.91,Price: ,2.5,xxxxxx
1.119051085, Sport: ,Baseball, Time: ,Sat Jun 06 01:07:00 CEST 2015, Time: ,Sat Jun 06 01:07:00 CEST 2015, Event: ,HOU @ TOR, Favorite: ,Toronto (A Sanchez), 9391061   size:277.56,Price: ,1.77,Houston (R Hernandez), 9391062   size:302.0,Price: ,2.2,okokokokokok
