1.119107903, Sport: ,Tennis, Time: ,Mon Jun 08 11:00:00 CEST 2015, Time: ,Mon Jun 08 11:00:00 CEST 2015, Event: ,Qureshi v Marchenko, Favorite: ,Illya Marchenko, 3691700   size:3.6,Price: ,1.26,Aisam-Ul-Haq Qureshi, 8259777   size:2.14,Price: ,4.2,okokokok
1.119107479, Sport: ,Tennis, Time: ,Mon Jun 08 11:00:00 CEST 2015, Time: ,Mon Jun 08 11:00:00 CEST 2015, Event: ,Michon v Majchrzak, Favorite: ,Axel Michon, 4994683   size:4.87,Price: ,1.85,Kamil Majchrzak, 8698678   size:4.73,Price: ,1.9,xxxx
1.119110119, Sport: ,Tennis, Time: ,Tue Jun 09 04:00:00 CEST 2015, Time: ,Tue Jun 09 04:00:00 CEST 2015, Event: ,Ayukawa v E Sema, Favorite: ,Erika Sema, 4151738   size:106.7,Price: ,1.07,Mana Ayukawa, 7683134   size:93.32,Price: ,1.08,okokokok
1.119110118, Sport: ,Tennis, Time: ,Tue Jun 09 04:00:00 CEST 2015, Time: ,Tue Jun 09 04:00:00 CEST 2015, Event: ,Tsuji v Ozeki, Favorite: ,Kanami Tsuji, 9568875   size:61.22,Price: ,1.07,Michika Ozeki, 8887168   size:53.55,Price: ,1.08,xxxx
1.119104721, Sport: ,Tennis, Time: ,Mon Jun 08 12:00:00 CEST 2015, Time: ,Mon Jun 08 12:00:00 CEST 2015, Event: ,Sijsling v Moriya, Favorite: ,Igor Sijsling, 2370190   size:3.82,Price: ,1.24,Hiroki Moriya, 5858055   size:26.68,Price: ,4.6,okokokok
1.119104402, Sport: ,Tennis, Time: ,Mon Jun 08 11:00:00 CEST 2015, Time: ,Mon Jun 08 11:00:00 CEST 2015, Event: ,Vandeweghe v Mitu, Favorite: ,Coco Vandeweghe, 2328051   size:1078.75,Price: ,1.33,Andreea Mitu, 7289592   size:27.26,Price: ,3.9,okokokok
1.119107913, Sport: ,Tennis, Time: ,Mon Jun 08 11:00:00 CEST 2015, Time: ,Mon Jun 08 11:00:00 CEST 2015, Event: ,Michalicka v Tiafoe, Favorite: ,Frances Tiafoe, 9399490   size:5.92,Price: ,1.52,Marek Michalicka, 7048682   size:3.97,Price: ,2.26,xxxx
1.119107316, Sport: ,Tennis, Time: ,Mon Jun 08 11:00:00 CEST 2015, Time: ,Mon Jun 08 11:00:00 CEST 2015, Event: ,Krajinovic v Gojowczyk, Favorite: ,Filip Krajinovic, 3509265   size:280.87,Price: ,1.94,Peter Gojowczyk, 4691416   size:59.1,Price: ,1.97,xxxx
1.119101377, Sport: ,Tennis, Time: ,Mon Jun 08 16:00:00 CEST 2015, Time: ,Mon Jun 08 16:00:00 CEST 2015, Event: ,Kellovsky v Coppejans, Favorite: ,Kimmer Coppejans, 7364095   size:2.55,Price: ,1.06,Dominik Kellovsky, 8490627   size:5.85,Price: ,9.8,okokokok
1.119107195, Sport: ,Tennis, Time: ,Mon Jun 08 14:15:00 CEST 2015, Time: ,Mon Jun 08 14:15:00 CEST 2015, Event: ,Bonaventure/Schuurs v Bencic/Siniakova, Favorite: ,Bencic/Siniakova, 9163495   size:5.0,Price: ,1.03,xxxx
1.119107992, Sport: ,Tennis, Time: ,Mon Jun 08 11:00:00 CEST 2015, Time: ,Mon Jun 08 11:00:00 CEST 2015, Event: ,K De Schepper v Mahut, Favorite: ,Nicolas Mahut, 2257317   size:53.08,Price: ,1.5,Kenny De Schepper, 5617034   size:27.94,Price: ,2.9,okokok
1.119101011, Sport: ,Tennis, Time: ,Mon Jun 08 14:30:00 CEST 2015, Time: ,Mon Jun 08 14:30:00 CEST 2015, Event: ,Cecchinato v T Yang, Favorite: ,Marco Cecchinato, 6374165   size:42.76,Price: ,1.18,Tsung-Hua Yang, 8259003   size:4.31,Price: ,5.0,ok
1.119107199, Sport: ,Tennis, Time: ,Mon Jun 08 12:45:00 CEST 2015, Time: ,Mon Jun 08 12:45:00 CEST 2015, Event: ,Jankovic/Pavlyuchenkova v Klemenschits/Maria, Favorite: ,Klemenschits/Maria, 9436934   size:5.0,Price: ,1.03,xxxx
1.119110091, Sport: ,Tennis, Time: ,Mon Jun 08 13:30:00 CEST 2015, Time: ,Mon Jun 08 13:30:00 CEST 2015, Event: ,Gajdosova v Larcher De Brito, Favorite: ,Jarmila Gajdosova, 5497360   size:33.26,Price: ,1.65,Michelle Larcher de Bri, 9283774   size:19.35,Price: ,2.42,okokokok
1.119100526, Sport: ,Tennis, Time: ,Mon Jun 08 12:45:00 CEST 2015, Time: ,Mon Jun 08 12:45:00 CEST 2015, Event: ,A Haider-Maurer v Marterer, Favorite: ,Andreas Haider-Maurer, 8260128   size:2.55,Price: ,1.39,Maximilian Marterer, 7335940   size:216.3,Price: ,3.55,okokokok
1.119104889, Sport: ,Tennis, Time: ,Mon Jun 08 15:00:00 CEST 2015, Time: ,Mon Jun 08 15:00:00 CEST 2015, Event: ,Lucic-Baroni v Voegele, Favorite: ,Mirjana Lucic-Baroni, 8283006   size:172.81,Price: ,1.37,Stefanie Voegele, 3622149   size:40.37,Price: ,3.35,okokokok
1.119107917, Sport: ,Tennis, Time: ,Mon Jun 08 11:00:00 CEST 2015, Time: ,Mon Jun 08 11:00:00 CEST 2015, Event: ,T Ito v Hernych, Favorite: ,Jan Hernych, 2249394   size:89.91,Price: ,1.68,Tatsuma Ito, 3374118   size:54.48,Price: ,2.34,xxxx
1.119103515, Sport: ,Tennis, Time: ,Mon Jun 08 16:00:00 CEST 2015, Time: ,Mon Jun 08 16:00:00 CEST 2015, Event: ,Lopez/Nadal v Haas/Stepanek, Favorite: ,Lopez/Nadal, 4581066   size:7.96,Price: ,1.48,Haas/Stepanek, 5501918   size:69.33,Price: ,2.76,xxxx
1.119104925, Sport: ,Tennis, Time: ,Mon Jun 08 15:00:00 CEST 2015, Time: ,Mon Jun 08 15:00:00 CEST 2015, Event: ,S Rogers v Ana Konjuh, Favorite: ,Ana Konjuh, 8173632   size:76.44,Price: ,1.39,Shelby Rogers, 4943786   size:5.0,Price: ,3.25,okokokok
1.119110134, Sport: ,Tennis, Time: ,Tue Jun 09 04:00:00 CEST 2015, Time: ,Tue Jun 09 04:00:00 CEST 2015, Event: ,Saigo v Kinard, Favorite: ,Yukina Saigo, 9568889   size:31.2,Price: ,1.03,Tori Kinard, 6564416   size:42.13,Price: ,1.04,xxxx
1.119110095, Sport: ,Tennis, Time: ,Tue Jun 09 04:00:00 CEST 2015, Time: ,Tue Jun 09 04:00:00 CEST 2015, Event: ,Okuno v Chimura, Favorite: ,Ayaka Okuno, 7750096   size:31.2,Price: ,1.03,Natsumi Chimura, 7750547   size:79.98,Price: ,1.08,okokokok
1.119087903, Sport: ,Basketball, Time: ,Mon Jun 08 18:00:00 CEST 2015, Time: ,Mon Jun 08 18:00:00 CEST 2015, Event: ,Mega Vizura v Crvena Zvezda, Favorite: ,Crvena Zvezda, 1275898   size:2.55,Price: ,1.12,Mega Vizura, 7735104   size:84.38,Price: ,7.6,okokok
1.119104133, Sport: ,Tennis, Time: ,Mon Jun 08 12:30:00 CEST 2015, Time: ,Mon Jun 08 12:30:00 CEST 2015, Event: ,Ilhan v G Muller, Favorite: ,Gilles Muller, 2248579   size:15749.5,Price: ,1.36,Marsel Ilhan, 4147957   size:10.37,Price: ,3.65,ok
1.119104177, Sport: ,Tennis, Time: ,Mon Jun 08 15:45:00 CEST 2015, Time: ,Mon Jun 08 15:45:00 CEST 2015, Event: ,Copil v J Nieminen, Favorite: ,Jarkko Nieminen, 2257304   size:5.0,Price: ,1.57,Marius Copil, 4195870   size:22.88,Price: ,2.66,xxxx
1.119110129, Sport: ,Tennis, Time: ,Tue Jun 09 04:00:00 CEST 2015, Time: ,Tue Jun 09 04:00:00 CEST 2015, Event: ,Ninomiya v Fujioka, Favorite: ,Makoto Ninomiya, 7750118   size:226.41,Price: ,1.03,Nozomi Fujioka, 9568885   size:102.69,Price: ,1.08,okokokok
1.119110327, Sport: ,Tennis, Time: ,Mon Jun 08 13:45:00 CEST 2015, Time: ,Mon Jun 08 13:45:00 CEST 2015, Event: ,Smethurst v Kudla, Favorite: ,Denis Kudla, 4829260   size:6.3,Price: ,1.27,Daniel Smethurst, 7364223   size:2.35,Price: ,3.4,okokokok
1.119104377, Sport: ,Tennis, Time: ,Mon Jun 08 14:30:00 CEST 2015, Time: ,Mon Jun 08 14:30:00 CEST 2015, Event: ,Dodin v M Krajicek, Favorite: ,Michaella Krajicek, 2256452   size:136.03,Price: ,1.87,Oceane Dodin, 7289631   size:28.85,Price: ,2.04,okokokok
1.119107769, Sport: ,Tennis, Time: ,Mon Jun 08 11:00:00 CEST 2015, Time: ,Mon Jun 08 11:00:00 CEST 2015, Event: ,Du Brown v Berrer, Favorite: ,Dustin Brown, 4486603   size:62.66,Price: ,1.81,Michael Berrer, 2263684   size:274.92,Price: ,2.22,okokokok
1.119107207, Sport: ,Tennis, Time: ,Mon Jun 08 16:00:00 CEST 2015, Time: ,Mon Jun 08 16:00:00 CEST 2015, Event: ,Bogdan/Hrdinova v Bertens/Larsson, Favorite: ,Bertens/Larsson, 7612543   size:4.65,Price: ,1.72,Bogdan/Hrdinova, 9493882   size:4.55,Price: ,1.76,okokokok
1.119053288, Sport: ,Baseball, Time: ,Tue Jun 09 02:10:00 CEST 2015, Time: ,Tue Jun 09 02:10:00 CEST 2015, Event: ,KC @ MIN, Favorite: ,Minnesota (P Hughes), 8436206   size:17.08,Price: ,1.91,Kansas City (J Vargas), 8432621   size:15.86,Price: ,1.98,xxxx
1.119100531, Sport: ,Tennis, Time: ,Mon Jun 08 14:45:00 CEST 2015, Time: ,Mon Jun 08 14:45:00 CEST 2015, Event: ,Dolgopolov v Kohlschreiber, Favorite: ,Philipp Kohlschreiber, 2257302   size:185.74,Price: ,1.53,Alexandr Dolgopolov, 4720522   size:14.94,Price: ,2.84,okokokok
1.119053247, Sport: ,Baseball, Time: ,Tue Jun 09 01:05:00 CEST 2015, Time: ,Tue Jun 09 01:05:00 CEST 2015, Event: ,MIL @ PIT, Favorite: ,Pittsburgh (A Burnett), 6327266   size:251.0,Price: ,1.65,Milwaukee (J Nelson), 7720203   size:312.0,Price: ,2.4,xxxx
1.119105581, Sport: ,Tennis, Time: ,Mon Jun 08 16:30:00 CEST 2015, Time: ,Mon Jun 08 16:30:00 CEST 2015, Event: ,V Pospisil v Matosevic, Favorite: ,Vasek Pospisil, 4903598   size:18.91,Price: ,1.72,Marinko Matosevic, 4423909   size:5.0,Price: ,2.32,okokok
1.119035339, Sport: ,Ice Hockey, Time: ,Tue Jun 09 02:05:00 CEST 2015, Time: ,Tue Jun 09 02:05:00 CEST 2015, Event: ,Tampa Bay @ Chicago, Favorite: ,Chicago, 2109831   size:2.66,Price: ,2.14,Tampa Bay, 2109715   size:2.77,Price: ,3.25,Tie, 60104   size:2.19,Price: ,4.1,x
1.119109421, Sport: ,Tennis, Time: ,Mon Jun 08 12:00:00 CEST 2015, Time: ,Mon Jun 08 12:00:00 CEST 2015, Event: ,Kania v Kudryavtseva, Favorite: ,Alla Kudryavtseva, 2263696   size:3.6,Price: ,1.59,Paula Kania, 7083220   size:74.28,Price: ,2.62,okokokok
1.119101020, Sport: ,Tennis, Time: ,Mon Jun 08 19:30:00 CEST 2015, Time: ,Mon Jun 08 19:30:00 CEST 2015, Event: ,Hamou v A Ungur, Favorite: ,Adrian Ungur, 4987965   size:14.29,Price: ,1.53,Maxime Hamou, 8859456   size:3.49,Price: ,2.58,okokokok
1.119053263, Sport: ,Baseball, Time: ,Tue Jun 09 01:10:00 CEST 2015, Time: ,Tue Jun 09 01:10:00 CEST 2015, Event: ,PHI @ CIN, Favorite: ,Cincinnati (M Leake), 4640134   size:313.0,Price: ,1.89,Philadelphia (C Hamels), 1474613   size:312.0,Price: ,2.06,okokokok
