1.119673115, Sport: ,Soccer, Time: ,Thu Jul 30 20:30:00 CEST 2015, Time: ,Thu Jul 30 20:30:00 CEST 2015, Event: ,Charleroi v Zorya, Favorite: ,Charleroi, 65808   size:272.24,Price: ,1.98,The Draw, 58805   size:16.61,Price: ,3.65,Zorya, 2017903   size:54.22,Price: ,4.3,
1.119737576, Sport: ,Soccer, Time: ,Thu Jul 30 20:45:00 CEST 2015, Time: ,Thu Jul 30 20:45:00 CEST 2015, Event: ,Brackley Town v MK Dons, Favorite: ,MK Dons, 893582   size:42.52,Price: ,2.08,Brackley Town, 2145773   size:64.86,Price: ,3.65,The Draw, 58805   size:16.07,Price: ,3.75,
1.119673017, Sport: ,Soccer, Time: ,Thu Jul 30 21:00:00 CEST 2015, Time: ,Thu Jul 30 21:00:00 CEST 2015, Event: ,Sampdoria v Vojvodina, Favorite: ,Sampdoria, 60311   size:2.85,Price: ,1.39,The Draw, 58805   size:59.12,Price: ,5.4,Vojvodina, 2020542   size:51.7,Price: ,10.0,
1.119674097, Sport: ,Soccer, Time: ,Thu Jul 30 21:05:00 CEST 2015, Time: ,Thu Jul 30 21:05:00 CEST 2015, Event: ,Southampton v Vitesse, Favorite: ,Southampton, 58943   size:1134.13,Price: ,1.39,The Draw, 58805   size:10.23,Price: ,5.1,Vitesse, 11186   size:16.01,Price: ,11.0,
1.119753255, Sport: ,Tennis, Time: ,Thu Jul 30 22:00:00 CEST 2015, Time: ,Thu Jul 30 22:00:00 CEST 2015, Event: ,Berankis v St Johnson, Favorite: ,Steve Johnson, 4876706   size:75.82,Price: ,1.46,Ricardas Berankis, 2923248   size:92.0,Price: ,2.86,
1.119670135, Sport: ,Soccer, Time: ,Thu Jul 30 22:30:00 CEST 2015, Time: ,Thu Jul 30 22:30:00 CEST 2015, Event: ,Quilmes v Independiente Rivadavia, Favorite: ,Quilmes, 476270   size:34.81,Price: ,2.24,The Draw, 58805   size:6.56,Price: ,3.2,Independiente Rivadavia, 5333044   size:108.91,Price: ,3.8,
1.119734680, Sport: ,Tennis, Time: ,Thu Jul 30 15:21:00 CEST 2015, Time: ,Thu Jul 30 15:21:00 CEST 2015, Event: ,Granollers/Lopez v Delbonis/Lorenzi, Favorite: ,Granollers/Lopez, 5561215   size:4.63,Price: ,1.17,Delbonis/Lorenzi, 10075677   size:2.55,Price: ,3.55,
1.119734815, Sport: ,Tennis, Time: ,Thu Jul 30 16:00:00 CEST 2015, Time: ,Thu Jul 30 16:00:00 CEST 2015, Event: ,Vaidisova v Vogt, Favorite: ,Stephanie Vogt, 2548776   size:211.55,Price: ,1.96,
1.119753493, Sport: ,Tennis, Time: ,Thu Jul 30 16:30:00 CEST 2015, Time: ,Thu Jul 30 16:30:00 CEST 2015, Event: ,Murray/Peers v Moser/Struff, Favorite: ,Murray/Peers, 7191922   size:13.18,Price: ,1.36,Moser/Struff, 10075670   size:7.13,Price: ,3.4,
1.119753473, Sport: ,Tennis, Time: ,Thu Jul 30 17:00:00 CEST 2015, Time: ,Thu Jul 30 17:00:00 CEST 2015, Event: ,T Pereira v Siegemund, Favorite: ,Laura Siegemund, 4829328   size:8.51,Price: ,1.88,Teliana Pereira, 6390242   size:171.42,Price: ,2.08,
1.119738468, Sport: ,Volleyball, Time: ,Thu Jul 30 17:00:00 CEST 2015, Time: ,Thu Jul 30 17:00:00 CEST 2015, Event: ,Greece v Turkey, Favorite: ,Turkey (W), 5857948   size:0.0,Price: ,0.0,
1.119735410, Sport: ,Tennis, Time: ,Thu Jul 30 17:00:00 CEST 2015, Time: ,Thu Jul 30 17:00:00 CEST 2015, Event: ,Couacaud v Millman, Favorite: ,John Millman, 4415206   size:4.99,Price: ,1.28,Enzo Couacaud, 8174333   size:4.16,Price: ,3.95,
1.119730242, Sport: ,Soccer, Time: ,Thu Jul 30 18:00:00 CEST 2015, Time: ,Thu Jul 30 18:00:00 CEST 2015, Event: ,Al-Hilal v Akhisar Belediye, Favorite: ,Akhisar Belediye, 4917452   size:3.39,Price: ,1.88,The Draw, 58805   size:68.36,Price: ,3.15,
1.119731947, Sport: ,Soccer, Time: ,Thu Jul 30 18:00:00 CEST 2015, Time: ,Thu Jul 30 18:00:00 CEST 2015, Event: ,Rakvere Tarvas v Tartu Santos, Favorite: ,Rakvere Tarvas, 5860928   size:2.66,Price: ,1.88,Tartu Santos, 8449352   size:2.85,Price: ,3.5,The Draw, 58805   size:3.8,Price: ,4.0,
1.119672625, Sport: ,Soccer, Time: ,Thu Jul 30 18:00:00 CEST 2015, Time: ,Thu Jul 30 18:00:00 CEST 2015, Event: ,Elfsborg v Odd, Favorite: ,Elfsborg, 30684   size:87.9,Price: ,1.92,The Draw, 58805   size:408.29,Price: ,3.7,Odd, 955466   size:166.95,Price: ,4.6,
1.119731877, Sport: ,Soccer, Time: ,Thu Jul 30 18:00:00 CEST 2015, Time: ,Thu Jul 30 18:00:00 CEST 2015, Event: ,HUJK Emmaste v Tallinna FC Flora III, Favorite: ,HUJK Emmaste, 6649069   size:3.5,Price: ,1.43,The Draw, 58805   size:11.11,Price: ,4.5,
1.119622070, Sport: ,Soccer, Time: ,Thu Jul 30 18:30:00 CEST 2015, Time: ,Thu Jul 30 18:30:00 CEST 2015, Event: ,Vaal Uni Students v NWU Mafikeng (Students), Favorite: ,NWU Mafikeng (Students), 7552079   size:6.03,Price: ,1.11,The Draw, 58805   size:3.65,Price: ,1.29,
