1.119299561, Sport: ,Baseball, Time: ,Tue Jul 07 02:05:00 CEST 2015, Time: ,Tue Jul 07 02:05:00 CEST 2015, Event: ,STL @ CHC, Favorite: ,Chicago Cubs (J Lester), 9377609   size:215.09,Price: ,1.81,St Louis (J Lackey), 8750362   size:2.77,Price: ,2.14,
1.119389723, Sport: ,Soccer, Time: ,Mon Jul 06 20:00:00 CEST 2015, Time: ,Mon Jul 06 20:00:00 CEST 2015, Event: ,HK Kopavogur U19 v Grotta/Kria U19, Favorite: ,HK Kopavogur U19, 8232716   size:2.02,Price: ,1.7,Grotta/Kria U19, 9568601   size:2.02,Price: ,3.1,The Draw, 58805   size:2.02,Price: ,4.3,
1.119357412, Sport: ,Soccer, Time: ,Mon Jul 06 18:30:00 CEST 2015, Time: ,Mon Jul 06 18:30:00 CEST 2015, Event: ,Dinamo Brest v Shakhter Soligorsk, Favorite: ,Shakhter Soligorsk, 46981   size:41.51,Price: ,1.68,The Draw, 58805   size:9.78,Price: ,4.0,Dinamo Brest, 2482528   size:13.37,Price: ,5.9,
1.119390711, Sport: ,Soccer, Time: ,Mon Jul 06 19:30:00 CEST 2015, Time: ,Mon Jul 06 19:30:00 CEST 2015, Event: ,NK Celje v FC Copenhagen, Favorite: ,FC Copenhagen, 28217   size:44.9,Price: ,1.67,The Draw, 58805   size:138.09,Price: ,4.1,NK Celje, 3188553   size:56.03,Price: ,6.0,
1.119339742, Sport: ,Soccer, Time: ,Mon Jul 06 21:30:00 CEST 2015, Time: ,Mon Jul 06 21:30:00 CEST 2015, Event: ,Al Ahly v Al Masry, Favorite: ,Al Masry, 5174044   size:2.72,Price: ,1.16,Al Ahly, 1328423   size:2.72,Price: ,1.17,The Draw, 58805   size:2.02,Price: ,2.04,
1.119390358, Sport: ,Soccer, Time: ,Mon Jul 06 18:00:00 CEST 2015, Time: ,Mon Jul 06 18:00:00 CEST 2015, Event: ,Chernomorets Odesa v Desna, Favorite: ,Chernomorets Odesa, 7430526   size:2.62,Price: ,1.92,Desna, 6666581   size:3.02,Price: ,3.35,The Draw, 58805   size:8.56,Price: ,3.4,
1.119377980, Sport: ,Tennis, Time: ,Mon Jul 06 17:45:00 CEST 2015, Time: ,Mon Jul 06 17:45:00 CEST 2015, Event: ,N Djokovic v K Anderson, Favorite: ,Novak Djokovic, 2249229   size:46810.94,Price: ,1.05,Kevin Anderson, 2519549   size:367.38,Price: ,20.0,
1.119383190, Sport: ,Tennis, Time: ,Mon Jul 06 17:45:00 CEST 2015, Time: ,Mon Jul 06 17:45:00 CEST 2015, Event: ,Skupski/Konta v Nestor/Mladenovic, Favorite: ,Nestor/Mladenovic, 7397460   size:5.79,Price: ,1.23,Skupski/Konta, 9778467   size:52.92,Price: ,3.35,
1.119340022, Sport: ,Soccer, Time: ,Mon Jul 06 22:00:00 CEST 2015, Time: ,Mon Jul 06 22:00:00 CEST 2015, Event: ,Wadi Degla v Misr El Makasa, Favorite: ,Misr El Makasa, 5905941   size:2.75,Price: ,2.58,Wadi degla, 5259318   size:2.01,Price: ,3.1,The Draw, 58805   size:17.31,Price: ,3.3,
1.119391641, Sport: ,Basketball, Time: ,Mon Jul 06 18:15:00 CEST 2015, Time: ,Mon Jul 06 18:15:00 CEST 2015, Event: ,Germany (W) v France (W), Favorite: ,France (W), 6469563   size:404.07,Price: ,1.06,Germany (W), 6427247   size:81.68,Price: ,9.8,
1.119341594, Sport: ,Basketball, Time: ,Mon Jul 06 19:00:00 CEST 2015, Time: ,Mon Jul 06 19:00:00 CEST 2015, Event: ,Indiana v Orlando White, Favorite: ,Orlando White, 9778099   size:3.03,Price: ,1.02,
1.119271989, Sport: ,Soccer, Time: ,Mon Jul 06 18:00:00 CEST 2015, Time: ,Mon Jul 06 18:00:00 CEST 2015, Event: ,Nomme Kalju v Paide Linnameeskond, Favorite: ,Nomme Kalju, 4007449   size:36.5,Price: ,1.23,The Draw, 58805   size:41.39,Price: ,6.8,Paide Linnameeskond, 5407316   size:3.03,Price: ,14.5,
