1.119738487, Sport: ,Volleyball, Time: ,Sat Aug 01 20:30:00 CEST 2015, Time: ,Sat Aug 01 20:30:00 CEST 2015, Event: ,Hungary (W) v Georgia (W), Favorite: ,Hungary (W), 6412760   size:5750.92,Price: ,1.01,Georgia (W), 8517191   size:1833.18,Price: ,1.13,ok
1.119743871, Sport: ,Soccer, Time: ,Sun Aug 02 01:00:00 CEST 2015, Time: ,Sun Aug 02 01:00:00 CEST 2015, Event: ,Rosario Central v Sarmiento de Junin, Favorite: ,Rosario Central, 220949   size:181.44,Price: ,1.56,The Draw, 58805   size:7.52,Price: ,3.95,Sarmiento de Junin, 5971606   size:37.3,Price: ,8.6,x
1.119743598, Sport: ,Soccer, Time: ,Sun Aug 02 01:00:00 CEST 2015, Time: ,Sun Aug 02 01:00:00 CEST 2015, Event: ,Colon v Independiente, Favorite: ,Independiente, 194512   size:107.66,Price: ,2.08,The Draw, 58805   size:320.56,Price: ,3.3,Colon, 194510   size:147.03,Price: ,4.4,ok
1.119782840, Sport: ,Soccer, Time: ,Sat Aug 01 23:00:00 CEST 2015, Time: ,Sat Aug 01 23:00:00 CEST 2015, Event: ,Gualaceo v Deportivo Quevedo, Favorite: ,Deportivo Quevedo, 7005169   size:142.09,Price: ,1.06,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119784662, Sport: ,Basketball, Time: ,Sat Aug 01 20:30:00 CEST 2015, Time: ,Sat Aug 01 20:30:00 CEST 2015, Event: ,Italy v Germany, Favorite: ,Italy, 512604   size:182.34,Price: ,1.39,Germany, 208009   size:2.55,Price: ,3.15,x
1.119779239, Sport: ,Soccer, Time: ,Sat Aug 01 21:00:00 CEST 2015, Time: ,Sat Aug 01 21:00:00 CEST 2015, Event: ,Los Barrios v Algeciras, Favorite: ,Algeciras, 516260   size:11.86,Price: ,1.84,The Draw, 58805   size:7.46,Price: ,3.5,Los Barrios, 9320415   size:6.92,Price: ,3.8,ok
1.119775597, Sport: ,Soccer, Time: ,Sat Aug 01 20:30:00 CEST 2015, Time: ,Sat Aug 01 20:30:00 CEST 2015, Event: ,Recreativo Huelva v Betis B, Favorite: ,Recreativo Huelva, 7449173   size:14.5,Price: ,1.79,The Draw, 58805   size:12.37,Price: ,3.45,Betis B, 2522844   size:47.52,Price: ,4.4,x
1.119641456, Sport: ,Soccer, Time: ,Sat Aug 01 20:30:00 CEST 2015, Time: ,Sat Aug 01 20:30:00 CEST 2015, Event: ,Wisla Krakow v Lech Poznan, Favorite: ,Lech Poznan, 502303   size:26.59,Price: ,2.34,The Draw, 58805   size:103.81,Price: ,3.3,Wisla Krakow, 10782   size:129.6,Price: ,3.6,x
1.119664136, Sport: ,Soccer, Time: ,Sun Aug 02 03:30:00 CEST 2015, Time: ,Sun Aug 02 03:30:00 CEST 2015, Event: ,Monarcas Morelia v Tigres, Favorite: ,Monarcas Morelia, 343015   size:201.43,Price: ,1.98,The Draw, 58805   size:14.22,Price: ,3.5,Tigres, 328916   size:83.86,Price: ,4.6,ok
1.119777098, Sport: ,Soccer, Time: ,Sat Aug 01 21:30:00 CEST 2015, Time: ,Sat Aug 01 21:30:00 CEST 2015, Event: ,Potros de Barinas v Atletico El Vigia, Favorite: ,Atletico El Vigia, 5770945   size:10.92,Price: ,1.08,The Draw, 58805   size:10.92,Price: ,1.29,x
1.119635799, Sport: ,Soccer, Time: ,Sat Aug 01 21:30:00 CEST 2015, Time: ,Sat Aug 01 21:30:00 CEST 2015, Event: ,Oeste v Santa Cruz PE, Favorite: ,Santa Cruz PE, 6132724   size:11.93,Price: ,2.64,Oeste, 3618374   size:3.62,Price: ,2.98,The Draw, 58805   size:7.42,Price: ,3.35,x
