1.119217823, Sport: ,Tennis, Time: ,Sun Jun 21 12:00:00 CEST 2015, Time: ,Sun Jun 21 12:00:00 CEST 2015, Event: ,Udomchoke v Smethurst, Favorite: ,Daniel Smethurst, 7364223   size:2.55,Price: ,1.82,Danai Udomchoke, 2263550   size:4.77,Price: ,2.08,ok
1.118808119, Sport: ,Cricket, Time: ,Sun Jun 21 11:00:00 CEST 2015, Time: ,Sun Jun 21 11:00:00 CEST 2015, Event: ,Bangladesh v India (2nd ODI), Favorite: ,India, 414464   size:270.03,Price: ,1.35,Bangladesh, 7659   size:29.28,Price: ,3.8,x
1.119217997, Sport: ,Tennis, Time: ,Sun Jun 21 12:00:00 CEST 2015, Time: ,Sun Jun 21 12:00:00 CEST 2015, Event: ,Rybarikova v Zheng, Favorite: ,Magdalena Rybarikova, 2548763   size:5.46,Price: ,1.28,Saisai Zheng, 5829453   size:40.43,Price: ,3.9,ok
1.119217402, Sport: ,Tennis, Time: ,Sun Jun 21 12:00:00 CEST 2015, Time: ,Sun Jun 21 12:00:00 CEST 2015, Event: ,Bambridge v Bemelmans, Favorite: ,Ruben Bemelmans, 2831873   size:2.0,Price: ,1.27,Luke Bambridge, 7364198   size:74.28,Price: ,4.3,ok
1.119161576, Sport: ,Cricket, Time: ,Sun Jun 21 12:00:00 CEST 2015, Time: ,Sun Jun 21 12:00:00 CEST 2015, Event: ,Hampshire v Somerset, Favorite: ,The Draw, 60443   size:3.43,Price: ,2.16,Hampshire, 3961   size:7.12,Price: ,2.4,Somerset, 5995   size:2.57,Price: ,2.88,x
1.119219895, Sport: ,Tennis, Time: ,Sun Jun 21 12:00:00 CEST 2015, Time: ,Sun Jun 21 12:00:00 CEST 2015, Event: ,Gavrilova v Erakovic, Favorite: ,Daria Gavrilova, 5053424   size:6.49,Price: ,1.76,Marina Erakovic, 2250859   size:9.05,Price: ,2.22,x
1.119221402, Sport: ,Tennis, Time: ,Sun Jun 21 12:00:00 CEST 2015, Time: ,Sun Jun 21 12:00:00 CEST 2015, Event: ,Thompson v Krajinovic, Favorite: ,Filip Krajinovic, 3509265   size:8.27,Price: ,1.5,Jordan Thompson, 8145584   size:2.86,Price: ,2.64,ok
1.119161577, Sport: ,Cricket, Time: ,Sun Jun 21 12:00:00 CEST 2015, Time: ,Sun Jun 21 12:00:00 CEST 2015, Event: ,Middlesex v Worcestershire, Favorite: ,The Draw, 60443   size:3.59,Price: ,2.06,Middlesex, 31378   size:2.88,Price: ,2.56,Worcestershire, 31372   size:2.55,Price: ,2.76,ok
1.119218015, Sport: ,Tennis, Time: ,Sun Jun 21 12:00:00 CEST 2015, Time: ,Sun Jun 21 12:00:00 CEST 2015, Event: ,Maria v Gajdosova, Favorite: ,Jarmila Gajdosova, 5497360   size:8.74,Price: ,1.87,Tatjana Maria, 7299657   size:8.71,Price: ,1.92,ok
1.119161594, Sport: ,Cricket, Time: ,Sun Jun 21 12:00:00 CEST 2015, Time: ,Sun Jun 21 12:00:00 CEST 2015, Event: ,Derbyshire v Surrey, Favorite: ,Surrey, 424676   size:40.1,Price: ,2.46,The Draw, 60443   size:2.68,Price: ,2.8,Derbyshire, 31375   size:2.27,Price: ,3.3,ok
1.119218594, Sport: ,Tennis, Time: ,Sun Jun 21 12:00:00 CEST 2015, Time: ,Sun Jun 21 12:00:00 CEST 2015, Event: ,Pavic v Soeda, Favorite: ,Mate Pavic, 5704638   size:6.56,Price: ,1.87,Go Soeda, 2249835   size:6.33,Price: ,1.96,x
1.119221558, Sport: ,Tennis, Time: ,Sun Jun 21 15:00:00 CEST 2015, Time: ,Sun Jun 21 15:00:00 CEST 2015, Event: ,Koukalova v Davis, Favorite: ,Klara Koukalova, 8445700   size:2.55,Price: ,1.53,Lauren Davis, 4176991   size:137.88,Price: ,2.58,x
