1.119130397, Sport: ,Baseball, Time: ,Wed Jun 17 02:10:00 CEST 2015, Time: ,Wed Jun 17 02:10:00 CEST 2015, Event: ,KC @ MIL, Favorite: ,Kansas City (C Young), 9448847   size:478.0,Price: ,1.91,Milwaukee (M Garza), 8432623   size:3.58,Price: ,2.04,ok
1.119130365, Sport: ,Baseball, Time: ,Wed Jun 17 01:10:00 CEST 2015, Time: ,Wed Jun 17 01:10:00 CEST 2015, Event: ,NYY @ MIA, Favorite: ,NY Yankees (N Eovaldi), 9389895   size:249.04,Price: ,1.95,Miami (D Phelps), 9407815   size:105.4,Price: ,2.02,x
1.119130389, Sport: ,Baseball, Time: ,Wed Jun 17 02:05:00 CEST 2015, Time: ,Wed Jun 17 02:05:00 CEST 2015, Event: ,CLE @ CHC, Favorite: ,Chicago Cubs (J Arrieta), 7539740   size:302.0,Price: ,1.71,Cleveland (T Bauer), 7184184   size:4.89,Price: ,2.34,x
1.119130325, Sport: ,Baseball, Time: ,Tue Jun 16 22:05:00 CEST 2015, Time: ,Tue Jun 16 22:05:00 CEST 2015, Event: ,ATL @ BOS, Favorite: ,Boston (W Miley), 9389894   size:195.01,Price: ,1.65,Atlanta (J Teheran), 5530617   size:301.0,Price: ,2.48,ok
1.119130349, Sport: ,Baseball, Time: ,Wed Jun 17 01:08:00 CEST 2015, Time: ,Wed Jun 17 01:08:00 CEST 2015, Event: ,CIN @ DET, Favorite: ,Detroit (K Ryan), 8812015   size:321.06,Price: ,1.73,Cincinnati (M Lorenzen), 9444109   size:311.58,Price: ,2.26,x
1.119130309, Sport: ,Baseball, Time: ,Tue Jun 16 21:40:00 CEST 2015, Time: ,Tue Jun 16 21:40:00 CEST 2015, Event: ,OAK @ SD, Favorite: ,San Diego (A Cashner), 6436041   size:61.54,Price: ,1.99,x
1.119162378, Sport: ,Tennis, Time: ,Wed Jun 17 08:00:00 CEST 2015, Time: ,Wed Jun 17 08:00:00 CEST 2015, Event: ,Mugevicius v Albot, Favorite: ,Radu Albot, 6603898   size:2735.92,Price: ,1.06,Lukas Mugevicius, 9377226   size:12.99,Price: ,8.8,ok
1.119173726, Sport: ,Tennis, Time: ,Wed Jun 17 05:00:00 CEST 2015, Time: ,Wed Jun 17 05:00:00 CEST 2015, Event: ,S Hong v N Luangnam, Favorite: ,Nudnida Luangnam, 2301147   size:7.76,Price: ,1.26,Seung-Yeon Hong, 8839156   size:48.32,Price: ,4.0,ok
1.119170413, Sport: ,Tennis, Time: ,Wed Jun 17 06:30:00 CEST 2015, Time: ,Wed Jun 17 06:30:00 CEST 2015, Event: ,Lertpitaksinchai v Lukic, Favorite: ,Vojislava Lukic, 9028631   size:6.14,Price: ,1.57,Nicha Lertpitaksinchai, 3673415   size:3.96,Price: ,2.44,ok
1.119170405, Sport: ,Tennis, Time: ,Wed Jun 17 06:30:00 CEST 2015, Time: ,Wed Jun 17 06:30:00 CEST 2015, Event: ,E Sema v D Kim, Favorite: ,Erika Sema, 4151738   size:639.26,Price: ,1.12,Da Hye Kim, 8839137   size:21.15,Price: ,6.0,ok
1.119170404, Sport: ,Tennis, Time: ,Wed Jun 17 05:00:00 CEST 2015, Time: ,Wed Jun 17 05:00:00 CEST 2015, Event: ,J Lee v N Han, Favorite: ,Na-Lae Han, 8842650   size:2.54,Price: ,1.35,Ji-Hee Lee, 9613930   size:6.48,Price: ,1.46,ok
1.119173729, Sport: ,Tennis, Time: ,Wed Jun 17 04:00:00 CEST 2015, Time: ,Wed Jun 17 04:00:00 CEST 2015, Event: ,S Han v M Kwon, Favorite: ,Sung-Hee Han, 9497479   size:14.36,Price: ,1.07,Mi Jeong Kwon, 9571991   size:20.38,Price: ,8.2,x
1.119173728, Sport: ,Tennis, Time: ,Wed Jun 17 05:00:00 CEST 2015, Time: ,Wed Jun 17 05:00:00 CEST 2015, Event: ,S Kim v S Kang, Favorite: ,Seo-Kyung Kang, 8839151   size:1343.05,Price: ,1.06,Sung Hee Kim, 9618533   size:19.72,Price: ,8.4,x
1.119170408, Sport: ,Tennis, Time: ,Wed Jun 17 05:00:00 CEST 2015, Time: ,Wed Jun 17 05:00:00 CEST 2015, Event: ,Y Lee v Mi Kato, Favorite: ,Miyu Kato, 8839047   size:14.8,Price: ,1.5,Ya-Hsuan Lee, 8839147   size:3.78,Price: ,2.58,x
1.119173723, Sport: ,Tennis, Time: ,Wed Jun 17 05:00:00 CEST 2015, Time: ,Wed Jun 17 05:00:00 CEST 2015, Event: ,K Chang v K Takahata, Favorite: ,Kai-Chen Chang, 8887166   size:7.38,Price: ,1.11,Kotomi Takahata, 8887182   size:27.22,Price: ,6.4,ok
1.119061954, Sport: ,Cricket, Time: ,Wed Jun 17 06:30:00 CEST 2015, Time: ,Wed Jun 17 06:30:00 CEST 2015, Event: ,Sri Lanka v Pakistan (1st Test), Favorite: ,The Draw, 60443   size:702.6,Price: ,1.73,Sri Lanka, 7337   size:345.84,Price: ,3.85,Pakistan, 7461   size:80.41,Price: ,5.9,x
1.119092436, Sport: ,Basketball, Time: ,Wed Jun 17 04:30:00 CEST 2015, Time: ,Wed Jun 17 04:30:00 CEST 2015, Event: ,Minnesota @ Los Angeles, Favorite: ,Minnesota, 13118   size:5.0,Price: ,1.22,Los Angeles, 3213264   size:19.23,Price: ,4.9,ok
1.119130405, Sport: ,Baseball, Time: ,Wed Jun 17 04:05:00 CEST 2015, Time: ,Wed Jun 17 04:05:00 CEST 2015, Event: ,ARI @ LAA, Favorite: ,LA Angels (G Richards), 5741327   size:327.0,Price: ,1.53,Arizona (J Hellickson), 9385116   size:300.0,Price: ,2.72,ok
1.119173695, Sport: ,Tennis, Time: ,Wed Jun 17 06:30:00 CEST 2015, Time: ,Wed Jun 17 06:30:00 CEST 2015, Event: ,S Jang v Okamura, Favorite: ,Su Jeong Jang, 7659425   size:7.76,Price: ,1.26,Kyoka Okamura, 8887170   size:2.54,Price: ,3.85,x
1.119130373, Sport: ,Baseball, Time: ,Wed Jun 17 01:10:00 CEST 2015, Time: ,Wed Jun 17 01:10:00 CEST 2015, Event: ,WSH @ TB, Favorite: ,Tampa Bay (A Colome), 7310998   size:297.99,Price: ,1.8,Washington (T Roark), 7637263   size:252.0,Price: ,2.14,x
