1.119161596, Sport: ,Cricket, Time: ,Mon Jun 22 12:00:00 CEST 2015, Time: ,Mon Jun 22 12:00:00 CEST 2015, Event: ,Glamorgan v Leicestershire, Favorite: ,Glamorgan, 169   size:6.0,Price: ,1.8,The Draw, 60443   size:6.98,Price: ,2.66,Leicestershire, 31377   size:2.19,Price: ,3.65,ok
1.119225927, Sport: ,Tennis, Time: ,Mon Jun 22 12:00:00 CEST 2015, Time: ,Mon Jun 22 12:00:00 CEST 2015, Event: ,Jenkins v Donskoy, Favorite: ,Evgeny Donskoy, 3391304   size:3.33,Price: ,1.38,Jarmere Jenkins, 7533932   size:29.07,Price: ,3.4,ok
1.119225543, Sport: ,Tennis, Time: ,Mon Jun 22 12:00:00 CEST 2015, Time: ,Mon Jun 22 12:00:00 CEST 2015, Event: ,Rybarikova v Kuznetsova, Favorite: ,Svetlana Kuznetsova, 2256501   size:48.0,Price: ,1.72,Magdalena Rybarikova, 2548763   size:22.1,Price: ,2.32,ok
1.119226013, Sport: ,Tennis, Time: ,Mon Jun 22 13:45:00 CEST 2015, Time: ,Mon Jun 22 13:45:00 CEST 2015, Event: ,Chen v Zopp, Favorite: ,Jurgen Zopp, 5223695   size:2.55,Price: ,1.26,Ti Chen, 2559490   size:57.2,Price: ,4.2,ok
1.119226057, Sport: ,Tennis, Time: ,Mon Jun 22 13:45:00 CEST 2015, Time: ,Mon Jun 22 13:45:00 CEST 2015, Event: ,Jarry v Saville, Favorite: ,Luke Saville, 6965426   size:35.6,Price: ,1.19,Nicolas Jarry, 8260515   size:61.93,Price: ,4.5,ok
1.119226014, Sport: ,Tennis, Time: ,Mon Jun 22 12:00:00 CEST 2015, Time: ,Mon Jun 22 12:00:00 CEST 2015, Event: ,McGee v Kamke, Favorite: ,James McGee, 7216252   size:51.0,Price: ,1.63,Tobias Kamke, 2581407   size:21.0,Price: ,2.46,x
1.119225964, Sport: ,Tennis, Time: ,Mon Jun 22 13:45:00 CEST 2015, Time: ,Mon Jun 22 13:45:00 CEST 2015, Event: ,Ward v Sugita, Favorite: ,Yuichi Sugita, 3374117   size:6.23,Price: ,1.66,Alexander Ward, 7234124   size:6.12,Price: ,2.08,ok
1.119222379, Sport: ,Tennis, Time: ,Mon Jun 22 13:00:00 CEST 2015, Time: ,Mon Jun 22 13:00:00 CEST 2015, Event: ,Licciardi v Golubev, Favorite: ,Andrey Golubev, 2454785   size:4.18,Price: ,1.21,Pietro Licciardi, 8619041   size:3.73,Price: ,1.73,ok
1.119226117, Sport: ,Tennis, Time: ,Mon Jun 22 13:45:00 CEST 2015, Time: ,Mon Jun 22 13:45:00 CEST 2015, Event: ,Reister v Kicker, Favorite: ,Julian Reister, 2607569   size:215.16,Price: ,1.33,Nicolas Kicker, 8326744   size:81.8,Price: ,3.65,ok
1.119226030, Sport: ,Tennis, Time: ,Mon Jun 22 12:00:00 CEST 2015, Time: ,Mon Jun 22 12:00:00 CEST 2015, Event: ,Nishioka v Ghem, Favorite: ,Yoshihito Nishioka, 7137497   size:276.32,Price: ,1.42,Andre Ghem, 5304700   size:55.0,Price: ,3.25,ok
