1.119632569, Sport: ,Soccer, Time: ,Fri Jul 31 20:15:00 CEST 2015, Time: ,Fri Jul 31 20:15:00 CEST 2015, Event: ,Mosta v Balzan, Favorite: ,Balzan, 7544076   size:6.05,Price: ,1.11,The Draw, 58805   size:10.96,Price: ,1.29,ok
1.119631477, Sport: ,Soccer, Time: ,Fri Jul 31 19:00:00 CEST 2015, Time: ,Fri Jul 31 19:00:00 CEST 2015, Event: ,Hassleholms IF v Nosaby IF, Favorite: ,Hassleholms IF, 9371563   size:4.02,Price: ,1.27,The Draw, 58805   size:2.05,Price: ,5.1,Nosaby IF, 8438634   size:22.32,Price: ,6.4,ok
1.119765030, Sport: ,Tennis, Time: ,Fri Jul 31 14:30:00 CEST 2015, Time: ,Fri Jul 31 14:30:00 CEST 2015, Event: ,Hogenkamp v Cetkovska, Favorite: ,Petra Cetkovska, 2415583   size:49.8,Price: ,1.83,Richel Hogenkamp, 6440521   size:42.75,Price: ,2.08,ok
1.119633253, Sport: ,Soccer, Time: ,Fri Jul 31 20:45:00 CEST 2015, Time: ,Fri Jul 31 20:45:00 CEST 2015, Event: ,St Patricks v Galway Utd, Favorite: ,St Patricks, 364471   size:895.55,Price: ,1.25,The Draw, 58805   size:104.64,Price: ,6.8,Galway Utd, 318841   size:72.24,Price: ,15.5,ok
1.119632165, Sport: ,Soccer, Time: ,Fri Jul 31 19:00:00 CEST 2015, Time: ,Fri Jul 31 19:00:00 CEST 2015, Event: ,Burghausen v Unterhaching, Favorite: ,Burghausen, 196544   size:5.14,Price: ,1.63,The Draw, 58805   size:41.37,Price: ,4.1,Unterhaching, 64371   size:6.97,Price: ,6.2,ok
1.119753848, Sport: ,Tennis, Time: ,Fri Jul 31 18:00:00 CEST 2015, Time: ,Fri Jul 31 18:00:00 CEST 2015, Event: ,Uchiyama v Yo Nishioka, Favorite: ,Yoshihito Nishioka, 7137497   size:157.76,Price: ,1.46,Yasutaka Uchiyama, 5858048   size:39.3,Price: ,2.76,x
1.119631908, Sport: ,Soccer, Time: ,Fri Jul 31 17:30:00 CEST 2015, Time: ,Fri Jul 31 17:30:00 CEST 2015, Event: ,MuSA v SalPA, Favorite: ,MuSA, 5491518   size:21.07,Price: ,1.71,The Draw, 58805   size:2.55,Price: ,4.3,SalPA, 5504881   size:2.74,Price: ,4.8,x
1.119631982, Sport: ,Soccer, Time: ,Fri Jul 31 17:30:00 CEST 2015, Time: ,Fri Jul 31 17:30:00 CEST 2015, Event: ,FC Kiffen v FC Viikingit, Favorite: ,FC Viikingit, 396723   size:2.19,Price: ,2.5,FC Kiffen, 498140   size:132.52,Price: ,2.88,The Draw, 58805   size:3.65,Price: ,3.75,x
1.119633883, Sport: ,Soccer, Time: ,Fri Jul 31 18:00:00 CEST 2015, Time: ,Fri Jul 31 18:00:00 CEST 2015, Event: ,Piast Gliwice v Gornik Zabrze, Favorite: ,Piast Gliwice, 3157365   size:33.3,Price: ,2.62,Gornik Zabrze, 503499   size:47.64,Price: ,2.92,The Draw, 58805   size:119.68,Price: ,3.4,ok
1.119632832, Sport: ,Soccer, Time: ,Fri Jul 31 18:30:00 CEST 2015, Time: ,Fri Jul 31 18:30:00 CEST 2015, Event: ,FAC Team fur Wien v FC Wacker Innsbruck, Favorite: ,FC Wacker Innsbruck, 2469752   size:14.95,Price: ,2.56,FAC Team fur Wien, 3258138   size:11.24,Price: ,2.96,The Draw, 58805   size:49.8,Price: ,3.45,ok
1.119768875, Sport: ,Tennis, Time: ,Fri Jul 31 13:45:00 CEST 2015, Time: ,Fri Jul 31 13:45:00 CEST 2015, Event: ,Caruso v T Brkic, Favorite: ,Salvatore Caruso, 8257868   size:3.7,Price: ,1.78,Tomislav Brkic, 3957838   size:9.33,Price: ,2.2,ok
1.119631742, Sport: ,Soccer, Time: ,Fri Jul 31 18:00:00 CEST 2015, Time: ,Fri Jul 31 18:00:00 CEST 2015, Event: ,Trans Narva v Nomme Kalju, Favorite: ,Nomme Kalju, 4007449   size:6.25,Price: ,1.45,The Draw, 58805   size:8.27,Price: ,4.8,Trans Narva, 46983   size:4.58,Price: ,7.6,ok
1.119752727, Sport: ,Soccer, Time: ,Fri Jul 31 20:30:00 CEST 2015, Time: ,Fri Jul 31 20:30:00 CEST 2015, Event: ,FC Vilafranca v Gimnastic, Favorite: ,Gimnastic, 912116   size:11.98,Price: ,1.08,The Draw, 58805   size:10.96,Price: ,1.29,x
1.119752333, Sport: ,Soccer, Time: ,Fri Jul 31 18:00:00 CEST 2015, Time: ,Fri Jul 31 18:00:00 CEST 2015, Event: ,AB Gladsaxe U19 v Randers Freja U19, Favorite: ,Randers Freja U19, 5625282   size:2.55,Price: ,1.65,The Draw, 58805   size:51.95,Price: ,3.75,AB Gladsaxe U19, 10081222   size:48.43,Price: ,3.95,ok
1.119636194, Sport: ,Soccer, Time: ,Fri Jul 31 20:00:00 CEST 2015, Time: ,Fri Jul 31 20:00:00 CEST 2015, Event: ,Niort v Valenciennes, Favorite: ,Niort, 309687   size:9.15,Price: ,1.92,The Draw, 58805   size:470.37,Price: ,3.45,Valenciennes, 669343   size:18.15,Price: ,5.2,x
1.119750032, Sport: ,Soccer, Time: ,Fri Jul 31 20:45:00 CEST 2015, Time: ,Fri Jul 31 20:45:00 CEST 2015, Event: ,Notts Co v Scunthorpe, Favorite: ,Notts Co, 486328   size:14.23,Price: ,2.58,Scunthorpe, 18566   size:11.81,Price: ,2.84,The Draw, 58805   size:109.04,Price: ,3.45,x
1.119784711, Sport: ,Tennis, Time: ,Fri Jul 31 18:00:00 CEST 2015, Time: ,Fri Jul 31 18:00:00 CEST 2015, Event: ,Arcangioli v Coin, Favorite: ,Julie Coin, 3289144   size:4.57,Price: ,1.4,Manon Arcangioli, 7289616   size:78.25,Price: ,3.05,ok
1.119784712, Sport: ,Tennis, Time: ,Fri Jul 31 18:00:00 CEST 2015, Time: ,Fri Jul 31 18:00:00 CEST 2015, Event: ,Frenkel v Hibino, Favorite: ,Nao Hibino, 7683152   size:7.54,Price: ,1.28,Nicole Frenkel, 9442839   size:55.41,Price: ,3.85,ok
1.119746917, Sport: ,Soccer, Time: ,Fri Jul 31 18:30:00 CEST 2015, Time: ,Fri Jul 31 18:30:00 CEST 2015, Event: ,SV Darmstadt v Betis, Favorite: ,SV Darmstadt, 993093   size:2.55,Price: ,2.18,Betis, 44507   size:2.55,Price: ,3.55,The Draw, 58805   size:2.55,Price: ,3.6,ok
1.119747969, Sport: ,Soccer, Time: ,Fri Jul 31 20:00:00 CEST 2015, Time: ,Fri Jul 31 20:00:00 CEST 2015, Event: ,Den Bosch v Lierse, Favorite: ,Lierse, 65800   size:20.03,Price: ,2.42,Den Bosch, 48452   size:151.13,Price: ,2.88,The Draw, 58805   size:113.53,Price: ,3.6,x
1.119746637, Sport: ,Soccer, Time: ,Fri Jul 31 20:00:00 CEST 2015, Time: ,Fri Jul 31 20:00:00 CEST 2015, Event: ,Naval v Academica, Favorite: ,Academica, 203143   size:11.98,Price: ,1.08,The Draw, 58805   size:10.96,Price: ,1.29,ok
1.119747605, Sport: ,Soccer, Time: ,Fri Jul 31 19:30:00 CEST 2015, Time: ,Fri Jul 31 19:30:00 CEST 2015, Event: ,VV Spaubeek v Fortuna Sittard, Favorite: ,Fortuna Sittard, 49058   size:142.18,Price: ,1.06,VV Spaubeek, 10091919   size:6.04,Price: ,1.12,The Draw, 58805   size:72.56,Price: ,3.5,ok
1.119636467, Sport: ,Soccer, Time: ,Fri Jul 31 20:00:00 CEST 2015, Time: ,Fri Jul 31 20:00:00 CEST 2015, Event: ,Clermont v Sochaux, Favorite: ,Clermont, 309686   size:2.84,Price: ,2.6,The Draw, 58805   size:416.85,Price: ,3.05,Sochaux, 44796   size:258.99,Price: ,3.3,x
1.119735860, Sport: ,Volleyball, Time: ,Fri Jul 31 16:00:00 CEST 2015, Time: ,Fri Jul 31 16:00:00 CEST 2015, Event: ,Turkey v Croatia, Favorite: ,Turkey, 1183420   size:357.54,Price: ,1.41,Croatia, 1183419   size:5.0,Price: ,3.1,ok
1.119753949, Sport: ,Handball, Time: ,Fri Jul 31 20:30:00 CEST 2015, Time: ,Fri Jul 31 20:30:00 CEST 2015, Event: ,Denmark U21 v Germany U21, Favorite: ,Germany U21, 7437025   size:9.67,Price: ,1.71,Denmark U21, 7437017   size:2.45,Price: ,2.6,Draw, 330157   size:71.92,Price: ,8.0,x
1.119748081, Sport: ,Soccer, Time: ,Fri Jul 31 20:30:00 CEST 2015, Time: ,Fri Jul 31 20:30:00 CEST 2015, Event: ,Burscough v Man Utd U21, Favorite: ,Man Utd U21, 6615321   size:281.15,Price: ,1.41,The Draw, 58805   size:49.19,Price: ,4.0,Burscough, 329504   size:38.64,Price: ,4.7,x
1.119636103, Sport: ,Soccer, Time: ,Fri Jul 31 20:00:00 CEST 2015, Time: ,Fri Jul 31 20:00:00 CEST 2015, Event: ,AC Ajaccio v Dijon, Favorite: ,AC Ajaccio, 8720753   size:2.84,Price: ,2.9,Dijon, 305995   size:18.25,Price: ,2.96,The Draw, 58805   size:620.12,Price: ,3.05,x
