1.119248397, Sport: ,Tennis, Time: ,Thu Jun 25 18:15:00 CEST 2015, Time: ,Thu Jun 25 18:15:00 CEST 2015, Event: ,Dolgopolov v Ye Lu, Favorite: ,Alexandr Dolgopolov, 4720522   size:197.8,Price: ,1.66,Yen-Hsun Lu, 8287128   size:5.02,Price: ,2.38,ok
1.119248551, Sport: ,Tennis, Time: ,Thu Jun 25 13:00:00 CEST 2015, Time: ,Thu Jun 25 13:00:00 CEST 2015, Event: ,Y Mertens v Nedovyesov, Favorite: ,Aleksandr Nedovyesov, 8188266   size:15.4,Price: ,1.42,Yannick Mertens, 4521608   size:2.0,Price: ,3.1,ok
1.119245081, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,Minella v Siegemund, Favorite: ,Laura Siegemund, 4829328   size:82.32,Price: ,1.26,Mandy Minella, 3425152   size:23.14,Price: ,4.3,ok
1.119244874, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,Duan v Tatishvili, Favorite: ,Anna Tatishvili, 2311979   size:84.27,Price: ,1.84,Ying-Ying Duan, 8243878   size:2.95,Price: ,2.1,x
1.119247985, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,Paszek v Wang, Favorite: ,Tamira Paszek, 2263715   size:58.41,Price: ,1.48,Yafan Wang, 7695509   size:5.02,Price: ,2.9,ok
1.119248314, Sport: ,Tennis, Time: ,Thu Jun 25 13:00:00 CEST 2015, Time: ,Thu Jun 25 13:00:00 CEST 2015, Event: ,Dodig v Zeballos, Favorite: ,Ivan Dodig, 2835266   size:13.16,Price: ,1.15,Horacio Zeballos, 3506037   size:3.42,Price: ,7.0,x
1.119248478, Sport: ,Tennis, Time: ,Thu Jun 25 13:00:00 CEST 2015, Time: ,Thu Jun 25 13:00:00 CEST 2015, Event: ,Mertl v Smith, Favorite: ,John-Patrick Smith, 8243874   size:3.37,Price: ,1.49,Jan Mertl, 3034493   size:15.1,Price: ,2.88,ok
1.119248037, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,D Evans v Sugita, Favorite: ,Yuichi Sugita, 3374117   size:23.95,Price: ,1.6,Daniel Evans, 3103121   size:19.67,Price: ,2.5,ok
1.119241950, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,Pella v Ymer, Favorite: ,Elias Ymer, 7414305   size:45.96,Price: ,1.61,Guido Pella, 6162610   size:38.03,Price: ,2.54,ok
1.119248946, Sport: ,Tennis, Time: ,Thu Jun 25 18:00:00 CEST 2015, Time: ,Thu Jun 25 18:00:00 CEST 2015, Event: ,Austin v Simmonds, Favorite: ,Chanel Simmonds, 6604256   size:71.96,Price: ,1.02,x
1.119243733, Sport: ,Tennis, Time: ,Thu Jun 25 13:00:00 CEST 2015, Time: ,Thu Jun 25 13:00:00 CEST 2015, Event: ,M Baghdatis v Bolelli, Favorite: ,Marcos Baghdatis, 2256469   size:93.54,Price: ,1.62,Simone Bolelli, 2309797   size:101.74,Price: ,2.48,ok
1.119248945, Sport: ,Tennis, Time: ,Thu Jun 25 18:00:00 CEST 2015, Time: ,Thu Jun 25 18:00:00 CEST 2015, Event: ,Zhao v Stevenson, Favorite: ,Alexandra Stevenson, 2345233   size:108.93,Price: ,1.07,x
1.119241915, Sport: ,Tennis, Time: ,Thu Jun 25 14:00:00 CEST 2015, Time: ,Thu Jun 25 14:00:00 CEST 2015, Event: ,Goerges/Hradecka v Chan/Zheng, Favorite: ,Chan/Zheng, 8461906   size:2.85,Price: ,1.76,Goerges/Hradecka, 9653008   size:2.49,Price: ,2.02,ok
1.119243939, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,Vickery v Pegula, Favorite: ,Sachia Vickery, 6596286   size:110.46,Price: ,1.45,Jessica Pegula, 6215852   size:92.42,Price: ,2.9,ok
1.119248386, Sport: ,Tennis, Time: ,Thu Jun 25 14:45:00 CEST 2015, Time: ,Thu Jun 25 14:45:00 CEST 2015, Event: ,Kubot/Mirnyi v Cuevas/Marrero, Favorite: ,Kubot/Mirnyi, 9666217   size:4.26,Price: ,1.84,Cuevas/Marrero, 8491495   size:2.6,Price: ,1.93,x
1.119226657, Sport: ,Cricket, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,Kenya v UAE, Favorite: ,UAE, 871131   size:2.56,Price: ,1.62,Kenya, 328229   size:5.75,Price: ,2.6,ok
1.119248062, Sport: ,Tennis, Time: ,Thu Jun 25 13:00:00 CEST 2015, Time: ,Thu Jun 25 13:00:00 CEST 2015, Event: ,Granollers/Paes v Guccione/Sa, Favorite: ,Granollers/Paes, 9653266   size:3.97,Price: ,1.56,Guccione/Sa, 9378423   size:2.56,Price: ,2.4,x
1.119246760, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,Zhang v Sasnovich, Favorite: ,Shuai Zhang, 2386498   size:17.12,Price: ,1.82,Aliaksandra Sasnovich, 7283310   size:2.88,Price: ,2.14,x
1.119245604, Sport: ,Tennis, Time: ,Thu Jun 25 18:00:00 CEST 2015, Time: ,Thu Jun 25 18:00:00 CEST 2015, Event: ,Black/Raymond v Makarova/Vesnina, Favorite: ,Makarova/Vesnina, 6369481   size:3.01,Price: ,1.48,Black/Raymond, 9568449   size:2.56,Price: ,2.62,ok
1.119247109, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,Yang v Hogenkamp, Favorite: ,Richel Hogenkamp, 6440521   size:9.23,Price: ,1.64,Zhaoxuan Yang, 8172570   size:19.73,Price: ,2.42,ok
1.119239153, Sport: ,Tennis, Time: ,Thu Jun 25 18:00:00 CEST 2015, Time: ,Thu Jun 25 18:00:00 CEST 2015, Event: ,Volandri v T Brkic, Favorite: ,Filippo Volandri, 2256483   size:8.32,Price: ,1.39,Tomislav Brkic, 3957838   size:4.5,Price: ,3.15,ok
1.119242518, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,And Beck v Falla, Favorite: ,Alejandro Falla, 2284300   size:260.5,Price: ,1.38,Andreas Beck, 2396600   size:54.02,Price: ,3.6,ok
1.119243150, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,Millot v Roger-Vasselin, Favorite: ,Edouard Roger-Vasselin, 8259187   size:142.82,Price: ,1.28,Vincent Millot, 4275820   size:12.42,Price: ,4.3,x
1.119248095, Sport: ,Tennis, Time: ,Thu Jun 25 16:30:00 CEST 2015, Time: ,Thu Jun 25 16:30:00 CEST 2015, Event: ,Querrey v Simon, Favorite: ,Gilles Simon, 2249345   size:58.88,Price: ,1.7,Sam Querrey, 2263560   size:21.91,Price: ,2.28,x
1.119247998, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,Gasparyan v Cepede Royg, Favorite: ,Margarita Gasparyan, 6750186   size:4.45,Price: ,1.44,Veronica Cepede Royg, 6400531   size:12.84,Price: ,3.2,ok
1.119248921, Sport: ,Tennis, Time: ,Thu Jun 25 17:00:00 CEST 2015, Time: ,Thu Jun 25 17:00:00 CEST 2015, Event: ,Arconada v Wong, Favorite: ,Usue Maitane Arconada, 7533705   size:41.51,Price: ,1.03,Keri Wong, 8735486   size:57.48,Price: ,1.51,ok
1.119248169, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,Vanni v Saville, Favorite: ,Luke Saville, 6965426   size:221.53,Price: ,1.35,Luca Vanni, 8681900   size:11.91,Price: ,3.65,ok
1.119248332, Sport: ,Tennis, Time: ,Thu Jun 25 13:30:00 CEST 2015, Time: ,Thu Jun 25 13:30:00 CEST 2015, Event: ,Du Brown v Arnaboldi, Favorite: ,Dustin Brown, 4486603   size:26.28,Price: ,1.16,Andrea Arnaboldi, 7593283   size:2.7,Price: ,6.6,ok
1.119241934, Sport: ,Tennis, Time: ,Thu Jun 25 11:00:00 CEST 2015, Time: ,Thu Jun 25 11:00:00 CEST 2015, Event: ,Molinero v Mo Gonzalez, Favorite: ,Florencia Molinero, 4946380   size:204.87,Price: ,1.52,Montserrat Gonzalez, 8443246   size:2.8,Price: ,2.6,x
1.119241751, Sport: ,Tennis, Time: ,Thu Jun 25 11:00:00 CEST 2015, Time: ,Thu Jun 25 11:00:00 CEST 2015, Event: ,Paquet v Ormaechea, Favorite: ,Paula Ormaechea, 4500370   size:105.55,Price: ,1.43,Chloe Paquet, 7216239   size:2.56,Price: ,2.94,x
1.119243049, Sport: ,Tennis, Time: ,Thu Jun 25 13:45:00 CEST 2015, Time: ,Thu Jun 25 13:45:00 CEST 2015, Event: ,Chirico v Xu, Favorite: ,Louisa Chirico, 7168233   size:19.06,Price: ,1.28,Yi-Fan Xu, 2550525   size:9.31,Price: ,4.2,x
1.119248605, Sport: ,Tennis, Time: ,Thu Jun 25 18:00:00 CEST 2015, Time: ,Thu Jun 25 18:00:00 CEST 2015, Event: ,Robredo v Verdasco, Favorite: ,Fernando Verdasco, 2256480   size:3.17,Price: ,1.58,Tommy Robredo, 2257298   size:5.75,Price: ,1.8,ok
1.119247955, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,K De Schepper v Robert, Favorite: ,Kenny De Schepper, 5617034   size:56.68,Price: ,1.6,Stephane Robert, 4422812   size:20.64,Price: ,2.5,ok
1.119241935, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,Sijsling v P Mathieu, Favorite: ,Paul-Henri Mathieu, 8259186   size:2.56,Price: ,1.61,Igor Sijsling, 2370190   size:7.58,Price: ,2.34,x
1.119247951, Sport: ,Tennis, Time: ,Thu Jun 25 12:00:00 CEST 2015, Time: ,Thu Jun 25 12:00:00 CEST 2015, Event: ,Peer v Mattek-Sands, Favorite: ,Bethanie Mattek-Sands, 8028692   size:14.17,Price: ,1.6,Shahar Peer, 2248472   size:5.87,Price: ,2.58,ok
