1.119765030, Sport: ,Tennis, Time: ,Fri Jul 31 14:30:00 CEST 2015, Time: ,Fri Jul 31 14:30:00 CEST 2015, Event: ,Hogenkamp v Cetkovska, Favorite: ,Petra Cetkovska, 2415583   size:3.51,Price: ,1.82,Richel Hogenkamp, 6440521   size:16.48,Price: ,2.04,ok
1.119746497, Sport: ,Soccer, Time: ,Fri Jul 31 10:00:00 CEST 2015, Time: ,Fri Jul 31 10:00:00 CEST 2015, Event: ,Alcorcon v FAR Rabat, Favorite: ,Alcorcon, 2250328   size:2.14,Price: ,2.34,FAR Rabat, 6670769   size:4.29,Price: ,2.86,The Draw, 58805   size:2.55,Price: ,3.45,x
1.119752558, Sport: ,Soccer, Time: ,Fri Jul 31 12:00:00 CEST 2015, Time: ,Fri Jul 31 12:00:00 CEST 2015, Event: ,Amkar Perm (Y) v Krylya Sovetov (Y), Favorite: ,Amkar Perm (Y), 9425933   size:3.03,Price: ,1.65,Krylya Sovetov (Y), 9989505   size:2.77,Price: ,3.5,The Draw, 58805   size:3.85,Price: ,3.8,ok
1.119752839, Sport: ,Soccer, Time: ,Fri Jul 31 11:00:00 CEST 2015, Time: ,Fri Jul 31 11:00:00 CEST 2015, Event: ,Rangsit Univ JW FC v Kasetsart University, Favorite: ,Rangsit Univ JW FC, 8670860   size:5.0,Price: ,1.73,Kasetsart University, 7456858   size:10.93,Price: ,1.76,The Draw, 58805   size:5.0,Price: ,3.4,x
1.119634023, Sport: ,Soccer, Time: ,Fri Jul 31 13:30:00 CEST 2015, Time: ,Fri Jul 31 13:30:00 CEST 2015, Event: ,Courts Young Lions v Balestier Khalsa, Favorite: ,Balestier Khalsa, 5322891   size:2.55,Price: ,1.68,The Draw, 58805   size:7.73,Price: ,3.6,Courts Young Lions, 5907159   size:6.97,Price: ,4.0,x
1.119669377, Sport: ,Cricket, Time: ,Fri Jul 31 11:30:00 CEST 2015, Time: ,Fri Jul 31 11:30:00 CEST 2015, Event: ,Durham v Surrey, Favorite: ,Durham, 31374   size:2.81,Price: ,1.78,Surrey, 424676   size:2.4,Price: ,2.08,x
1.119784769, Sport: ,Snooker, Time: ,Fri Jul 31 11:30:00 CEST 2015, Time: ,Fri Jul 31 11:30:00 CEST 2015, Event: ,Mark King v Rodion Judin, Favorite: ,Rodion Judin, 9381156   size:0.0,Price: ,0.0,x
1.119752445, Sport: ,Soccer, Time: ,Fri Jul 31 14:00:00 CEST 2015, Time: ,Fri Jul 31 14:00:00 CEST 2015, Event: ,Mathare United FC v Tusker FC, Favorite: ,Tusker FC, 7177028   size:7.55,Price: ,1.76,The Draw, 58805   size:10.0,Price: ,2.62,Mathare United FC, 9670771   size:5.0,Price: ,2.78,x
1.119737011, Sport: ,Tennis, Time: ,Fri Jul 31 12:30:00 CEST 2015, Time: ,Fri Jul 31 12:30:00 CEST 2015, Event: ,Kalashnikova/Kovinic v Yang/Zhu, Favorite: ,Kalashnikova/Kovinic, 9436884   size:2.55,Price: ,1.53,Yang/Zhu, 9285612   size:2.6,Price: ,2.46,x
1.119741358, Sport: ,Tennis, Time: ,Fri Jul 31 13:00:00 CEST 2015, Time: ,Fri Jul 31 13:00:00 CEST 2015, Event: ,Jabeur v Ostapenko, Favorite: ,Jelena Ostapenko, 8827537   size:2.96,Price: ,1.69,Ons Jabeur, 6161111   size:2.23,Price: ,2.24,ok
1.119736365, Sport: ,Volleyball, Time: ,Fri Jul 31 10:30:00 CEST 2015, Time: ,Fri Jul 31 10:30:00 CEST 2015, Event: ,Chinese Taipei v Kazakhstan, Favorite: ,Chinese Taipei, 2158182   size:2.86,Price: ,1.61,Kazakhstan, 2158338   size:7.09,Price: ,2.4,ok
1.119768875, Sport: ,Tennis, Time: ,Fri Jul 31 13:45:00 CEST 2015, Time: ,Fri Jul 31 13:45:00 CEST 2015, Event: ,Caruso v T Brkic, Favorite: ,Salvatore Caruso, 8257868   size:5.41,Price: ,1.75,Tomislav Brkic, 3957838   size:4.89,Price: ,2.14,ok
1.119746567, Sport: ,Soccer, Time: ,Fri Jul 31 11:30:00 CEST 2015, Time: ,Fri Jul 31 11:30:00 CEST 2015, Event: ,Nacional v NA Hussein Dey, Favorite: ,Nacional, 203723   size:3.66,Price: ,1.9,The Draw, 58805   size:5.63,Price: ,3.3,NA Hussein Dey, 7650243   size:4.66,Price: ,3.6,x
1.119764677, Sport: ,Tennis, Time: ,Fri Jul 31 11:00:00 CEST 2015, Time: ,Fri Jul 31 11:00:00 CEST 2015, Event: ,Yaf Wang v Ka Chang, Favorite: ,Yafan Wang, 7695509   size:101.82,Price: ,1.6,Kai-Chen Chang, 8887166   size:111.69,Price: ,2.58,x
1.119769486, Sport: ,Soccer, Time: ,Fri Jul 31 15:00:00 CEST 2015, Time: ,Fri Jul 31 15:00:00 CEST 2015, Event: ,Shakhtar U21 v FK Hoverla U21, Favorite: ,Shakhtar U21, 10096333   size:153.5,Price: ,1.06,FK Hoverla U21, 10096334   size:11.97,Price: ,1.08,The Draw, 58805   size:10.96,Price: ,1.29,ok
1.119769360, Sport: ,Soccer, Time: ,Fri Jul 31 15:00:00 CEST 2015, Time: ,Fri Jul 31 15:00:00 CEST 2015, Event: ,KCCA FC v Azam FC, Favorite: ,Azam FC, 7248365   size:11.97,Price: ,1.08,The Draw, 58805   size:10.96,Price: ,1.29,ok
1.119782896, Sport: ,Tennis, Time: ,Fri Jul 31 13:00:00 CEST 2015, Time: ,Fri Jul 31 13:00:00 CEST 2015, Event: ,Cabal/Farah v Peya/Soares, Favorite: ,Peya/Soares, 6504095   size:3.25,Price: ,1.78,x
1.119754279, Sport: ,Tennis, Time: ,Fri Jul 31 09:30:00 CEST 2015, Time: ,Fri Jul 31 09:30:00 CEST 2015, Event: ,Tig v Vekic, Favorite: ,Donna Vekic, 6603944   size:50.0,Price: ,1.58,Patricia Maria Tig, 8679189   size:15.39,Price: ,2.64,x
1.119736360, Sport: ,Tennis, Time: ,Fri Jul 31 10:30:00 CEST 2015, Time: ,Fri Jul 31 10:30:00 CEST 2015, Event: ,Lykina/Monova v Diatchenko/Savchuk, Favorite: ,Diatchenko/Savchuk, 10025948   size:109.65,Price: ,1.34,Lykina/Monova, 10079620   size:23.96,Price: ,3.5,ok
1.119736395, Sport: ,Volleyball, Time: ,Fri Jul 31 12:30:00 CEST 2015, Time: ,Fri Jul 31 12:30:00 CEST 2015, Event: ,India v Turkmenistan, Favorite: ,India, 4157193   size:1073.08,Price: ,1.01,Turkmenistan, 10091143   size:18.0,Price: ,1.19,ok
1.119736592, Sport: ,Volleyball, Time: ,Fri Jul 31 14:30:00 CEST 2015, Time: ,Fri Jul 31 14:30:00 CEST 2015, Event: ,China v Sri Lanka, Favorite: ,China, 1197302   size:0.0,Price: ,0.0,Sri Lanka, 4157190   size:18.0,Price: ,1.02,ok
