1.119063286, Sport: ,Tennis, Time: ,Fri Jun 05 15:00:00 CEST 2015, Time: ,Fri Jun 05 15:00:00 CEST 2015, Event: ,N Djokovic v A Murray, Favorite: ,Novak Djokovic, 2249229   size:219429.66,Price: ,1.2,Andy Murray, 2256509   size:7514.97,Price: ,5.8,okok
1.119074729, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,Duque-Marino v Sevastova, Favorite: ,Anastasija Sevastova, 2422070   size:31.2,Price: ,1.03,Mariana Duque-Marino, 8306312   size:111.98,Price: ,1.04,xx
1.119066391, Sport: ,Tennis, Time: ,Fri Jun 05 05:45:00 CEST 2015, Time: ,Fri Jun 05 05:45:00 CEST 2015, Event: ,Co Smith v Statham, Favorite: ,Connor Smith, 8732289   size:5.78,Price: ,1.84,Jose (Rubin) Statham, 8813788   size:4.47,Price: ,1.99,okok
1.119058575, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,Montanes v E Ymer, Favorite: ,Albert Montanes, 2263599   size:5.0,Price: ,1.84,Elias Ymer, 7414305   size:35.59,Price: ,2.04,okok
1.119061885, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Magdeburg v Rhein Neckar Lowen, Favorite: ,Draw, 330157   size:100.0,Price: ,1.01,Rhein Neckar Lowen, 2507296   size:4.86,Price: ,1.52,xx
1.119083654, Sport: ,Tennis, Time: ,Fri Jun 05 13:30:00 CEST 2015, Time: ,Fri Jun 05 13:30:00 CEST 2015, Event: ,Hercog v Bondarenko, Favorite: ,Kateryna Bondarenko, 2291864   size:211.41,Price: ,1.07,okok
1.119076420, Sport: ,Tennis, Time: ,Fri Jun 05 15:00:00 CEST 2015, Time: ,Fri Jun 05 15:00:00 CEST 2015, Event: ,U Radwanska v Melnikova, Favorite: ,Marina Melnikova, 6390238   size:208.56,Price: ,1.07,Urszula Radwanska, 2395156   size:889.8,Price: ,1.1,xx
1.119047518, Sport: ,Basketball, Time: ,Fri Jun 05 17:00:00 CEST 2015, Time: ,Fri Jun 05 17:00:00 CEST 2015, Event: ,Lithuania (W) v China (W), Favorite: ,China (W), 7886075   size:5.0,Price: ,1.03,okok
1.119043632, Sport: ,Rugby Union, Time: ,Fri Jun 05 20:45:00 CEST 2015, Time: ,Fri Jun 05 20:45:00 CEST 2015, Event: ,Stade Francais v Toulon, Favorite: ,Toulon, 1242213   size:5.78,Price: ,1.31,Stade Francais, 233949   size:2.61,Price: ,4.0,Draw, 246289   size:3.14,Price: ,25.0,xx
1.119076381, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,E Bogdan v Hogenkamp, Favorite: ,Elena Bogdan, 4520829   size:208.56,Price: ,1.07,Richel Hogenkamp, 6440521   size:556.12,Price: ,1.08,x
1.119083658, Sport: ,Tennis, Time: ,Fri Jun 05 16:30:00 CEST 2015, Time: ,Fri Jun 05 16:30:00 CEST 2015, Event: ,Allertova v Niculescu, Favorite: ,Monica Niculescu, 2309528   size:211.41,Price: ,1.07,okok
1.119061888, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Hamburg v Gummersbach, Favorite: ,Hamburg, 2027629   size:232.04,Price: ,1.81,Gummersbach, 2201945   size:125.31,Price: ,2.5,Draw, 330157   size:26.1,Price: ,8.2,okok
1.119076380, Sport: ,Tennis, Time: ,Fri Jun 05 10:30:00 CEST 2015, Time: ,Fri Jun 05 10:30:00 CEST 2015, Event: ,Whoriskey v Ostapenko, Favorite: ,Jelena Ostapenko, 8827537   size:889.8,Price: ,1.1,Caitlin Whoriskey, 8776880   size:177.96,Price: ,1.5,okok
