1.119605113, Sport: ,Soccer, Time: ,Wed Jul 29 00:30:00 CEST 2015, Time: ,Wed Jul 29 00:30:00 CEST 2015, Event: ,Paysandu v America MG, Favorite: ,Paysandu, 189951   size:214.89,Price: ,2.5,America MG, 4516149   size:16.15,Price: ,3.25,The Draw, 58805   size:4.66,Price: ,3.3,ok
1.119696484, Sport: ,Tennis, Time: ,Wed Jul 29 00:00:00 CEST 2015, Time: ,Wed Jul 29 00:00:00 CEST 2015, Event: ,D Sela v Fish, Favorite: ,Dudi Sela, 2263685   size:100.0,Price: ,1.62,Mardy Fish, 2257319   size:96.44,Price: ,2.46,ok
1.119708350, Sport: ,Soccer, Time: ,Tue Jul 28 22:00:00 CEST 2015, Time: ,Tue Jul 28 22:00:00 CEST 2015, Event: ,KH Hlidarendi v Vatnaliljur, Favorite: ,KH Hlidarendi, 6410404   size:2.0,Price: ,1.1,The Draw, 58805   size:3.97,Price: ,9.4,Vatnaliljur, 7301488   size:3.2,Price: ,15.0,ok
1.119711723, Sport: ,Handball, Time: ,Tue Jul 28 23:00:00 CEST 2015, Time: ,Tue Jul 28 23:00:00 CEST 2015, Event: ,Tunisia U21 v Romania U21, Favorite: ,Romania U21, 10026176   size:18.17,Price: ,1.4,Tunisia U21, 7437021   size:10.35,Price: ,3.55,Draw, 330157   size:3.46,Price: ,8.8,ok
1.119604749, Sport: ,Soccer, Time: ,Wed Jul 29 00:30:00 CEST 2015, Time: ,Wed Jul 29 00:30:00 CEST 2015, Event: ,Boa v Luverdense, Favorite: ,Boa, 5900070   size:414.87,Price: ,2.02,The Draw, 58805   size:12.42,Price: ,3.35,Luverdense, 4525645   size:2.82,Price: ,4.5,ok
1.119697776, Sport: ,Baseball, Time: ,Wed Jul 29 01:10:00 CEST 2015, Time: ,Wed Jul 29 01:10:00 CEST 2015, Event: ,KC @ CLE, Favorite: ,Cleveland (T Bauer), 7184184   size:260.54,Price: ,1.8,Kansas City (C Young), 9448847   size:11.2,Price: ,2.2,x
1.119711717, Sport: ,Handball, Time: ,Tue Jul 28 23:00:00 CEST 2015, Time: ,Tue Jul 28 23:00:00 CEST 2015, Event: ,Brazil U21 v Denmark U21, Favorite: ,Denmark U21, 7437017   size:5.65,Price: ,1.77,Brazil U21, 7437037   size:2.72,Price: ,2.32,Draw, 330157   size:3.36,Price: ,6.2,ok
1.119696359, Sport: ,Tennis, Time: ,Tue Jul 28 23:00:00 CEST 2015, Time: ,Tue Jul 28 23:00:00 CEST 2015, Event: ,Ramanathan v B Klein, Favorite: ,Brydan Klein, 2759763   size:21.07,Price: ,1.44,Ramkumar Ramanathan, 8173038   size:2.55,Price: ,2.9,ok
1.119697921, Sport: ,Baseball, Time: ,Wed Jul 29 04:15:00 CEST 2015, Time: ,Wed Jul 29 04:15:00 CEST 2015, Event: ,MIL @ SF, Favorite: ,San Francisco (M Cain), 1240009   size:5.0,Price: ,1.69,Milwaukee (W Peralta), 6636237   size:312.0,Price: ,2.38,x
1.119724245, Sport: ,Tennis, Time: ,Wed Jul 29 07:45:00 CEST 2015, Time: ,Wed Jul 29 07:45:00 CEST 2015, Event: ,Dubarenco v Ismailov, Favorite: ,Maxim Dubarenco, 7797862   size:16.09,Price: ,1.51,Temur Ismailov, 8304044   size:2.14,Price: ,2.5,ok
1.119697848, Sport: ,Baseball, Time: ,Wed Jul 29 02:10:00 CEST 2015, Time: ,Wed Jul 29 02:10:00 CEST 2015, Event: ,PIT @ MIN, Favorite: ,Pittsburgh (C Morton), 3966279   size:155.87,Price: ,1.98,Minnesota (M Pelfrey), 7177264   size:40.81,Price: ,2.02,ok
1.119724249, Sport: ,Tennis, Time: ,Wed Jul 29 08:00:00 CEST 2015, Time: ,Wed Jul 29 08:00:00 CEST 2015, Event: ,Zh Yang v M Gasparyan, Favorite: ,Margarita Gasparyan, 6750186   size:65.75,Price: ,1.19,Zhaoxuan Yang, 8172570   size:25.65,Price: ,4.9,ok
