1.119377463, Sport: ,Tennis, Time: ,Mon Jul 06 15:30:00 CEST 2015, Time: ,Mon Jul 06 15:30:00 CEST 2015, Event: ,S Wawrinka v Goffin, Favorite: ,Stan Wawrinka, 8597476   size:35251.24,Price: ,1.25,David Goffin, 5224084   size:952.57,Price: ,4.8,
1.119387787, Sport: ,Tennis, Time: ,Mon Jul 06 15:30:00 CEST 2015, Time: ,Mon Jul 06 15:30:00 CEST 2015, Event: ,Ma Cilic v Kudla, Favorite: ,Marin Cilic, 2263681   size:2682.69,Price: ,1.2,Denis Kudla, 4829260   size:77.01,Price: ,5.9,
1.119389609, Sport: ,Soccer, Time: ,Mon Jul 06 15:30:00 CEST 2015, Time: ,Mon Jul 06 15:30:00 CEST 2015, Event: ,Feni Soccer Club v Sheikh Jamal DC, Favorite: ,Sheikh Jamal DC, 8244834   size:2.12,Price: ,1.58,Feni Soccer Club, 8619019   size:4.79,Price: ,4.4,The Draw, 58805   size:2.02,Price: ,5.0,
1.119383175, Sport: ,Tennis, Time: ,Mon Jul 06 15:30:00 CEST 2015, Time: ,Mon Jul 06 15:30:00 CEST 2015, Event: ,Kyrgios/Keys v Kubot/Hlavackova, Favorite: ,Kubot/Hlavackova, 9831283   size:7.39,Price: ,1.49,Kyrgios/Keys, 9184367   size:8.98,Price: ,2.38,
1.119387141, Sport: ,Tennis, Time: ,Mon Jul 06 16:00:00 CEST 2015, Time: ,Mon Jul 06 16:00:00 CEST 2015, Event: ,Hsieh/Pennetta v Groenefeld/Vandeweghe, Favorite: ,Hsieh/Pennetta, 9308939   size:50.5,Price: ,1.48,Groenefeld/Vandeweghe, 9684490   size:8.16,Price: ,2.62,
1.119387765, Sport: ,Tennis, Time: ,Mon Jul 06 16:15:00 CEST 2015, Time: ,Mon Jul 06 16:15:00 CEST 2015, Event: ,Murray/Peers v Pospisil/Sock, Favorite: ,Pospisil/Sock, 8638693   size:121.11,Price: ,1.57,Murray/Peers, 7191922   size:9.21,Price: ,2.32,
1.119357525, Sport: ,Soccer, Time: ,Mon Jul 06 16:30:00 CEST 2015, Time: ,Mon Jul 06 16:30:00 CEST 2015, Event: ,Naftan v Torpedo BelAZ, Favorite: ,Naftan, 4043671   size:80.99,Price: ,2.0,The Draw, 58805   size:13.53,Price: ,3.6,Torpedo BelAZ, 5606609   size:31.83,Price: ,4.3,
1.119389838, Sport: ,Soccer, Time: ,Mon Jul 06 17:00:00 CEST 2015, Time: ,Mon Jul 06 17:00:00 CEST 2015, Event: ,Skonto FC Riga (Res) v BFC Daugavpils (Res), Favorite: ,Skonto FC Riga (Res), 9397708   size:78.41,Price: ,1.09,BFC Daugavpils (Res), 9457375   size:5.89,Price: ,1.16,The Draw, 58805   size:2.02,Price: ,4.0,
1.119398348, Sport: ,Tennis, Time: ,Mon Jul 06 17:30:00 CEST 2015, Time: ,Mon Jul 06 17:30:00 CEST 2015, Event: ,Giustino v Collarini, Favorite: ,Lorenzo Giustino, 7534093   size:6.02,Price: ,1.63,Andrea Collarini, 8284716   size:2.45,Price: ,2.06,
1.119389344, Sport: ,Tennis, Time: ,Mon Jul 06 17:30:00 CEST 2015, Time: ,Mon Jul 06 17:30:00 CEST 2015, Event: ,Marray/Nielsen v Dodig/Melo, Favorite: ,Dodig/Melo, 6195133   size:14.62,Price: ,1.44,Marray/Nielsen, 6480367   size:4.91,Price: ,3.1,
1.119383184, Sport: ,Tennis, Time: ,Mon Jul 06 18:00:00 CEST 2015, Time: ,Mon Jul 06 18:00:00 CEST 2015, Event: ,Cabal/Black v Hewitt/Dellacqua, Favorite: ,Cabal/Black, 9831787   size:2.52,Price: ,1.66,Hewitt/Dellacqua, 9778469   size:4.65,Price: ,2.06,
1.119383188, Sport: ,Tennis, Time: ,Mon Jul 06 18:00:00 CEST 2015, Time: ,Mon Jul 06 18:00:00 CEST 2015, Event: ,Mergea/Krajicek v Lindstedt/Medina Garrig, Favorite: ,Mergea/Krajicek, 9831826   size:4.65,Price: ,1.64,Lindstedt/Medina Garrig, 9778484   size:2.02,Price: ,2.08,
1.119383179, Sport: ,Tennis, Time: ,Mon Jul 06 18:00:00 CEST 2015, Time: ,Mon Jul 06 18:00:00 CEST 2015, Event: ,Venus/Olaru v Kontinen/Zheng, Favorite: ,Kontinen/Zheng, 9831784   size:3.33,Price: ,1.48,Venus/Olaru, 9791241   size:2.49,Price: ,2.5,
1.119389951, Sport: ,Soccer, Time: ,Mon Jul 06 18:30:00 CEST 2015, Time: ,Mon Jul 06 18:30:00 CEST 2015, Event: ,FK Salaspils II v FC Caramba Riga, Favorite: ,FC Caramba Riga, 8626445   size:5.55,Price: ,1.13,The Draw, 58805   size:15.32,Price: ,14.0,FK Salaspils II, 9608190   size:25.16,Price: ,19.5,
