1.119107191, Sport: ,Tennis, Time: ,Mon Jun 08 12:45:00 CEST 2015, Time: ,Mon Jun 08 12:45:00 CEST 2015, Event: ,Babos/Mladenovic v Bouchard/Tsurenko, Favorite: ,Babos/Mladenovic, 8242001   size:45.05,Price: ,1.24,Bouchard/Tsurenko, 9568198   size:2.68,Price: ,3.35,okokokok
1.119066656, Sport: ,Basketball, Time: ,Tue Jun 09 05:00:00 CEST 2015, Time: ,Tue Jun 09 05:00:00 CEST 2015, Event: ,Cambodia v Thailand, Favorite: ,Thailand, 4030991   size:3.06,Price: ,1.02,okokokok
1.119107479, Sport: ,Tennis, Time: ,Mon Jun 08 11:11:00 CEST 2015, Time: ,Mon Jun 08 11:11:00 CEST 2015, Event: ,Michon v Majchrzak, Favorite: ,Kamil Majchrzak, 8698678   size:41.52,Price: ,1.87,Axel Michon, 4994683   size:9.89,Price: ,2.04,okokokok
1.119110119, Sport: ,Tennis, Time: ,Tue Jun 09 04:00:00 CEST 2015, Time: ,Tue Jun 09 04:00:00 CEST 2015, Event: ,Ayukawa v E Sema, Favorite: ,Erika Sema, 4151738   size:106.24,Price: ,1.07,Mana Ayukawa, 7683134   size:92.97,Price: ,1.08,okokokok
1.119110118, Sport: ,Tennis, Time: ,Tue Jun 09 03:00:00 CEST 2015, Time: ,Tue Jun 09 03:00:00 CEST 2015, Event: ,Tsuji v Ozeki, Favorite: ,Kanami Tsuji, 9568875   size:60.96,Price: ,1.07,Michika Ozeki, 8887168   size:53.35,Price: ,1.08,xxxx
1.119104721, Sport: ,Tennis, Time: ,Mon Jun 08 12:00:00 CEST 2015, Time: ,Mon Jun 08 12:00:00 CEST 2015, Event: ,Sijsling v Moriya, Favorite: ,Igor Sijsling, 2370190   size:15.22,Price: ,1.22,Hiroki Moriya, 5858055   size:36.65,Price: ,4.9,okokokok
1.119107913, Sport: ,Tennis, Time: ,Mon Jun 08 11:12:00 CEST 2015, Time: ,Mon Jun 08 11:12:00 CEST 2015, Event: ,Michalicka v Tiafoe, Favorite: ,Marek Michalicka, 7048682   size:78.44,Price: ,1.07,Frances Tiafoe, 9399490   size:64.87,Price: ,1.62,okokokok
1.119100246, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Cachin v Zekic, Favorite: ,Pedro Cachin, 8461316   size:2.55,Price: ,1.46,Miljan Zekic, 7444811   size:2.55,Price: ,2.88,xxxx
1.119101377, Sport: ,Tennis, Time: ,Mon Jun 08 16:00:00 CEST 2015, Time: ,Mon Jun 08 16:00:00 CEST 2015, Event: ,Kellovsky v Coppejans, Favorite: ,Kimmer Coppejans, 7364095   size:2.55,Price: ,1.06,Dominik Kellovsky, 8490627   size:3.58,Price: ,11.5,okokokok
1.119107195, Sport: ,Tennis, Time: ,Mon Jun 08 14:15:00 CEST 2015, Time: ,Mon Jun 08 14:15:00 CEST 2015, Event: ,Bonaventure/Schuurs v Bencic/Siniakova, Favorite: ,Bencic/Siniakova, 9163495   size:11.51,Price: ,1.41,Bonaventure/Schuurs, 9378838   size:3.17,Price: ,2.52,xxxx
1.119100242, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Dzumhur v P Davydenko, Favorite: ,Damir Dzumhur, 7414058   size:2.55,Price: ,1.06,Philipp Davydenko, 7429697   size:65.24,Price: ,10.0,okokok
1.119101011, Sport: ,Tennis, Time: ,Mon Jun 08 14:30:00 CEST 2015, Time: ,Mon Jun 08 14:30:00 CEST 2015, Event: ,Cecchinato v T Yang, Favorite: ,Marco Cecchinato, 6374165   size:40.08,Price: ,1.19,Tsung-Hua Yang, 8259003   size:8.81,Price: ,5.0,ok
1.119107199, Sport: ,Tennis, Time: ,Mon Jun 08 12:45:00 CEST 2015, Time: ,Mon Jun 08 12:45:00 CEST 2015, Event: ,Jankovic/Pavlyuchenkova v Klemenschits/Maria, Favorite: ,Jankovic/Pavlyuchenkova, 9568201   size:12.56,Price: ,1.33,Klemenschits/Maria, 9436934   size:9.12,Price: ,2.72,okokokok
1.119110091, Sport: ,Tennis, Time: ,Mon Jun 08 13:30:00 CEST 2015, Time: ,Mon Jun 08 13:30:00 CEST 2015, Event: ,Gajdosova v Larcher De Brito, Favorite: ,Jarmila Gajdosova, 5497360   size:3.49,Price: ,1.69,Michelle Larcher de Bri, 9283774   size:19.84,Price: ,2.38,okokokok
1.119053296, Sport: ,Baseball, Time: ,Tue Jun 09 02:40:00 CEST 2015, Time: ,Tue Jun 09 02:40:00 CEST 2015, Event: ,STL @ COL, Favorite: ,St Louis (J Lackey), 8750362   size:550.0,Price: ,1.72,Colorado (D Hale), 9515546   size:111.0,Price: ,2.28,xxxx
1.119104889, Sport: ,Tennis, Time: ,Mon Jun 08 15:00:00 CEST 2015, Time: ,Mon Jun 08 15:00:00 CEST 2015, Event: ,Lucic-Baroni v Voegele, Favorite: ,Mirjana Lucic-Baroni, 8283006   size:156.06,Price: ,1.37,Stefanie Voegele, 3622149   size:66.52,Price: ,3.55,okokokok
1.119103515, Sport: ,Tennis, Time: ,Mon Jun 08 16:00:00 CEST 2015, Time: ,Mon Jun 08 16:00:00 CEST 2015, Event: ,Lopez/Nadal v Haas/Stepanek, Favorite: ,Lopez/Nadal, 4581066   size:5.82,Price: ,1.51,Haas/Stepanek, 5501918   size:25.02,Price: ,2.8,xxxx
1.119110134, Sport: ,Tennis, Time: ,Tue Jun 09 03:00:00 CEST 2015, Time: ,Tue Jun 09 03:00:00 CEST 2015, Event: ,Saigo v Kinard, Favorite: ,Yukina Saigo, 9568889   size:31.23,Price: ,1.03,Tori Kinard, 6564416   size:96.74,Price: ,1.04,xxxx
1.119110095, Sport: ,Tennis, Time: ,Tue Jun 09 03:00:00 CEST 2015, Time: ,Tue Jun 09 03:00:00 CEST 2015, Event: ,Okuno v Chimura, Favorite: ,Ayaka Okuno, 7750096   size:31.23,Price: ,1.03,Natsumi Chimura, 7750547   size:93.01,Price: ,1.08,okokokok
1.119087903, Sport: ,Basketball, Time: ,Mon Jun 08 18:00:00 CEST 2015, Time: ,Mon Jun 08 18:00:00 CEST 2015, Event: ,Mega Vizura v Crvena Zvezda, Favorite: ,Crvena Zvezda, 1275898   size:5.84,Price: ,1.13,Mega Vizura, 7735104   size:3.07,Price: ,7.8,okokokok
1.119104133, Sport: ,Tennis, Time: ,Mon Jun 08 12:30:00 CEST 2015, Time: ,Mon Jun 08 12:30:00 CEST 2015, Event: ,Ilhan v G Muller, Favorite: ,Gilles Muller, 2248579   size:2560.74,Price: ,1.3,Marsel Ilhan, 4147957   size:38.12,Price: ,4.3,okokokok
1.119110129, Sport: ,Tennis, Time: ,Tue Jun 09 04:00:00 CEST 2015, Time: ,Tue Jun 09 04:00:00 CEST 2015, Event: ,Ninomiya v Fujioka, Favorite: ,Makoto Ninomiya, 7750118   size:225.6,Price: ,1.03,Nozomi Fujioka, 9568885   size:102.31,Price: ,1.08,okokok
