1.119743507, Sport: ,Soccer, Time: ,Sat Aug 01 02:10:00 CEST 2015, Time: ,Sat Aug 01 02:10:00 CEST 2015, Event: ,CA Temperley v Velez, Favorite: ,CA Temperley, 8742769   size:52.23,Price: ,2.68,The Draw, 58805   size:83.47,Price: ,3.05,Velez, 367589   size:266.57,Price: ,3.2,ok
1.119698073, Sport: ,Baseball, Time: ,Sat Aug 01 02:05:00 CEST 2015, Time: ,Sat Aug 01 02:05:00 CEST 2015, Event: ,SF @ TEX, Favorite: ,San Francisco (M Bumgarner), 4171027   size:42.09,Price: ,1.58,Texas (N Martinez), 8443034   size:2.72,Price: ,2.66,x
1.119698033, Sport: ,Baseball, Time: ,Sat Aug 01 01:10:00 CEST 2015, Time: ,Sat Aug 01 01:10:00 CEST 2015, Event: ,TB @ BOS, Favorite: ,Boston (E Rodriguez), 9531865   size:549.63,Price: ,1.89,Tampa Bay (E Ramirez), 9402383   size:344.26,Price: ,2.04,ok
1.119698017, Sport: ,Baseball, Time: ,Sat Aug 01 01:10:00 CEST 2015, Time: ,Sat Aug 01 01:10:00 CEST 2015, Event: ,WSH @ NYM, Favorite: ,NY Mets (M Harvey), 6551353   size:327.58,Price: ,1.88,Washington (G Gonzalez), 6292847   size:425.86,Price: ,2.08,ok
1.119697985, Sport: ,Baseball, Time: ,Sat Aug 01 01:05:00 CEST 2015, Time: ,Sat Aug 01 01:05:00 CEST 2015, Event: ,DET @ BAL, Favorite: ,Baltimore (W Chen), 6298659   size:334.79,Price: ,1.61,Detroit (B Farmer), 8770569   size:318.3,Price: ,2.6,ok
1.119780542, Sport: ,Soccer, Time: ,Sat Aug 01 07:00:00 CEST 2015, Time: ,Sat Aug 01 07:00:00 CEST 2015, Event: ,Nadi FC v Lautoka FC, Favorite: ,Lautoka FC, 9454373   size:11.93,Price: ,1.08,The Draw, 58805   size:11.05,Price: ,1.29,ok
1.119753777, Sport: ,Tennis, Time: ,Sat Aug 01 02:00:00 CEST 2015, Time: ,Sat Aug 01 02:00:00 CEST 2015, Event: ,G Muller v Soeda, Favorite: ,Gilles Muller, 2248579   size:139.5,Price: ,1.22,Go Soeda, 2249835   size:263.34,Price: ,5.5,ok
1.119784989, Sport: ,Baseball, Time: ,Sat Aug 01 01:05:00 CEST 2015, Time: ,Sat Aug 01 01:05:00 CEST 2015, Event: ,ATL @ PHI, Favorite: ,Atlanta (W Perez), 9502348   size:33.23,Price: ,1.88,Philadelphia (D Buchanan), 8548266   size:456.0,Price: ,2.06,x
1.119784404, Sport: ,Tennis, Time: ,Sat Aug 01 01:00:00 CEST 2015, Time: ,Sat Aug 01 01:00:00 CEST 2015, Event: ,S Crawford v Brady, Favorite: ,Jennifer Brady, 8784966   size:5.86,Price: ,1.54,Samantha Crawford, 6603928   size:2.55,Price: ,2.5,x
1.119640256, Sport: ,Soccer, Time: ,Sat Aug 01 02:30:00 CEST 2015, Time: ,Sat Aug 01 02:30:00 CEST 2015, Event: ,Queretaro v Pachuca, Favorite: ,Queretaro, 328926   size:129.57,Price: ,2.46,Pachuca, 328954   size:42.35,Price: ,3.2,The Draw, 58805   size:171.79,Price: ,3.45,x
1.119727608, Sport: ,Soccer, Time: ,Sat Aug 01 01:15:00 CEST 2015, Time: ,Sat Aug 01 01:15:00 CEST 2015, Event: ,Nacional (Par) v Sportivo Luqueno, Favorite: ,Nacional (Par), 1370433   size:11.71,Price: ,2.64,Sportivo Luqueno, 2844791   size:21.02,Price: ,3.1,The Draw, 58805   size:5.09,Price: ,3.3,x
1.119554924, Sport: ,American Football, Time: ,Sat Aug 01 03:00:00 CEST 2015, Time: ,Sat Aug 01 03:00:00 CEST 2015, Event: ,Saskatchewan @ Edmonton, Favorite: ,Edmonton, 2014480   size:75.86,Price: ,1.21,Saskatchewan, 2026227   size:34.27,Price: ,4.9,ok
1.119698161, Sport: ,Baseball, Time: ,Sat Aug 01 03:35:00 CEST 2015, Time: ,Sat Aug 01 03:35:00 CEST 2015, Event: ,CLE @ OAK, Favorite: ,Cleveland (D Salazar), 7423005   size:266.41,Price: ,1.7,Oakland (K Graveman), 9385645   size:437.33,Price: ,2.36,ok
1.119638739, Sport: ,Soccer, Time: ,Sat Aug 01 02:00:00 CEST 2015, Time: ,Sat Aug 01 02:00:00 CEST 2015, Event: ,Oklahoma City Energy v Arizona Utd, Favorite: ,Oklahoma City Energy, 9587744   size:12.72,Price: ,1.63,The Draw, 58805   size:2.55,Price: ,4.2,Arizona Utd, 8602617   size:5.95,Price: ,4.7,ok
1.119701839, Sport: ,Soccer, Time: ,Sat Aug 01 03:30:00 CEST 2015, Time: ,Sat Aug 01 03:30:00 CEST 2015, Event: ,Universidad Guadalajara v Alebrijes de Oaxaca, Favorite: ,Universidad Guadalajara, 6533140   size:3.15,Price: ,2.02,Alebrijes de Oaxaca, 9988722   size:2.01,Price: ,3.5,The Draw, 58805   size:2.9,Price: ,3.55,x
1.119698177, Sport: ,Baseball, Time: ,Sat Aug 01 04:10:00 CEST 2015, Time: ,Sat Aug 01 04:10:00 CEST 2015, Event: ,LAA @ LAD, Favorite: ,LA Dodgers (C Kershaw), 3068257   size:270.78,Price: ,1.51,LA Angels (H Santiago), 8432634   size:109.99,Price: ,2.82,x
1.119785610, Sport: ,Tennis, Time: ,Sat Aug 01 06:00:00 CEST 2015, Time: ,Sat Aug 01 06:00:00 CEST 2015, Event: ,Donskoy v Kravchuk, Favorite: ,Evgeny Donskoy, 3391304   size:4.94,Price: ,1.72,Konstantin Kravchuk, 5011822   size:2.28,Price: ,2.22,ok
1.119717923, Sport: ,Soccer, Time: ,Sat Aug 01 03:00:00 CEST 2015, Time: ,Sat Aug 01 03:00:00 CEST 2015, Event: ,Cucuta Deportivo v Millonarios, Favorite: ,Millonarios, 900849   size:5.0,Price: ,2.62,The Draw, 58805   size:2.84,Price: ,3.05,Cucuta Deportivo, 2301978   size:24.74,Price: ,3.3,x
1.119639971, Sport: ,Soccer, Time: ,Sat Aug 01 04:30:00 CEST 2015, Time: ,Sat Aug 01 04:30:00 CEST 2015, Event: ,Tijuana v Dorados, Favorite: ,Tijuana, 5687741   size:5.0,Price: ,1.87,The Draw, 58805   size:12.59,Price: ,3.7,Dorados, 6119455   size:12.72,Price: ,4.8,x
1.119777610, Sport: ,Soccer, Time: ,Sat Aug 01 04:00:00 CEST 2015, Time: ,Sat Aug 01 04:00:00 CEST 2015, Event: ,Sporting San Miguel v San Francisco FC, Favorite: ,San Francisco FC, 3381777   size:10.92,Price: ,1.1,The Draw, 58805   size:5.13,Price: ,1.3,ok
1.119780598, Sport: ,Soccer, Time: ,Sat Aug 01 03:00:00 CEST 2015, Time: ,Sat Aug 01 03:00:00 CEST 2015, Event: ,Nadroga FC v Ba FC, Favorite: ,Ba FC, 9419989   size:11.93,Price: ,1.08,The Draw, 58805   size:11.05,Price: ,1.29,ok
1.119702009, Sport: ,Soccer, Time: ,Sat Aug 01 02:30:00 CEST 2015, Time: ,Sat Aug 01 02:30:00 CEST 2015, Event: ,Mineros de Zacatecas v FC Juarez, Favorite: ,Mineros de Zacatecas, 8692849   size:3.38,Price: ,1.88,The Draw, 58805   size:4.34,Price: ,3.5,FC Juarez, 10002706   size:5.0,Price: ,3.8,
1.119799734, Sport: ,Boxing, Time: ,Sat Aug 01 04:00:00 CEST 2015, Time: ,Sat Aug 01 04:00:00 CEST 2015, Event: ,Matthysse v Postol, Favorite: ,Lucas Matthysse, 5099848   size:10.5,Price: ,1.39,Viktor Postol, 8535982   size:2.13,Price: ,2.98,Draw, 31162   size:71.11,Price: ,21.0,
1.119701895, Sport: ,Soccer, Time: ,Sat Aug 01 05:00:00 CEST 2015, Time: ,Sat Aug 01 05:00:00 CEST 2015, Event: ,Cimarrones de Sonora v Zacatepec, Favorite: ,Cimarrones de Sonora, 9988723   size:9.09,Price: ,2.4,The Draw, 58805   size:4.64,Price: ,2.82,Zacatepec, 7444597   size:2.89,Price: ,3.05,
1.119701952, Sport: ,Soccer, Time: ,Sat Aug 01 05:00:00 CEST 2015, Time: ,Sat Aug 01 05:00:00 CEST 2015, Event: ,Murcielagos FC v Atlante, Favorite: ,Murcielagos FC, 9988672   size:2.55,Price: ,2.26,The Draw, 58805   size:2.34,Price: ,2.3,Atlante, 230270   size:2.55,Price: ,3.35,
