1.120242328, Sport: ,Soccer, Time: ,Thu Aug 27 20:00:00 CEST 2015, Time: ,Thu Aug 27 20:00:00 CEST 2015, Event: ,Al-Raed (KSA) v Al-Ittihad, Favorite: ,Al-Ittihad, 3727829   size:5.69,Price: ,1.75,The Draw, 58805   size:10.34,Price: ,3.9,Al-Raed (KSA), 6818039   size:38.89,Price: ,5.0,ok
1.120267506, Sport: ,Tennis, Time: ,Thu Aug 27 20:30:00 CEST 2015, Time: ,Thu Aug 27 20:30:00 CEST 2015, Event: ,Mestach v Sakkari, Favorite: ,An-Sophie Mestach, 4818332   size:2.55,Price: ,1.42,Maria Sakkari, 9002331   size:4.14,Price: ,3.1,x
1.120243896, Sport: ,Soccer, Time: ,Thu Aug 27 20:00:00 CEST 2015, Time: ,Thu Aug 27 20:00:00 CEST 2015, Event: ,V Throt Reykj U19 (W) v Stjar Alftanes U19 (W), Favorite: ,The Draw, 58805   size:136.99,Price: ,1.06,ok
1.120267587, Sport: ,Baseball, Time: ,Thu Aug 27 20:05:00 CEST 2015, Time: ,Thu Aug 27 20:05:00 CEST 2015, Event: ,TOR @ TEX, Favorite: ,Toronto (M Estrada), 9458890   size:46.57,Price: ,1.83,Texas (Y Gallardo), 9378796   size:28.83,Price: ,2.2,x
1.120251645, Sport: ,Tennis, Time: ,Thu Aug 27 20:30:00 CEST 2015, Time: ,Thu Aug 27 20:30:00 CEST 2015, Event: ,L Safarova v Cibulkova, Favorite: ,Lucie Safarova, 2256462   size:957.17,Price: ,1.34,Dominika Cibulkova, 2301145   size:7.03,Price: ,3.9,ok
1.120231319, Sport: ,Ice Hockey, Time: ,Thu Aug 27 19:30:00 CEST 2015, Time: ,Thu Aug 27 19:30:00 CEST 2015, Event: ,Liwest Linz v TPS, Favorite: ,TPS, 66803   size:14.14,Price: ,1.51,Liwest Linz, 1266781   size:5.97,Price: ,4.6,Tie, 60104   size:5.02,Price: ,5.4,x
1.120121944, Sport: ,Soccer, Time: ,Thu Aug 27 19:00:00 CEST 2015, Time: ,Thu Aug 27 19:00:00 CEST 2015, Event: ,HJK Helsinki v FK Krasnodar, Favorite: ,FK Krasnodar, 4020902   size:21.75,Price: ,1.78,The Draw, 58805   size:374.65,Price: ,4.0,HJK Helsinki, 6390   size:723.95,Price: ,5.2,
1.120122435, Sport: ,Soccer, Time: ,Thu Aug 27 20:30:00 CEST 2015, Time: ,Thu Aug 27 20:30:00 CEST 2015, Event: ,Red Bull Salzburg v Dinamo Minsk, Favorite: ,Red Bull Salzburg, 3158851   size:934.43,Price: ,1.44,The Draw, 58805   size:256.3,Price: ,5.2,Dinamo Minsk, 198689   size:5.48,Price: ,8.4,ok
1.120231310, Sport: ,Ice Hockey, Time: ,Thu Aug 27 19:30:00 CEST 2015, Time: ,Thu Aug 27 19:30:00 CEST 2015, Event: ,Red Bull Salzburg v SonderjyskE, Favorite: ,Red Bull Salzburg, 2584427   size:13.31,Price: ,1.32,SonderjyskE, 2719119   size:72.47,Price: ,5.8,Tie, 60104   size:69.56,Price: ,6.0,
1.120123121, Sport: ,Soccer, Time: ,Thu Aug 27 20:30:00 CEST 2015, Time: ,Thu Aug 27 20:30:00 CEST 2015, Event: ,Vojvodina v Plzen, Favorite: ,Plzen, 471040   size:157.04,Price: ,2.12,The Draw, 58805   size:115.48,Price: ,3.75,ok
1.120242837, Sport: ,Soccer, Time: ,Thu Aug 27 20:00:00 CEST 2015, Time: ,Thu Aug 27 20:00:00 CEST 2015, Event: ,D Belgrano (Res) v CA Fenix (Res), Favorite: ,D Belgrano (Res), 10115829   size:5.0,Price: ,1.1,The Draw, 58805   size:11.25,Price: ,1.73,CA Fenix (Res), 10197601   size:10.0,Price: ,3.0,x
1.120263755, Sport: ,Tennis, Time: ,Thu Aug 27 20:15:00 CEST 2015, Time: ,Thu Aug 27 20:15:00 CEST 2015, Event: ,Edmund v Andreozzi, Favorite: ,Kyle Edmund, 5626817   size:191.94,Price: ,1.3,Guido Andreozzi, 6603914   size:135.54,Price: ,4.3,ok
