1.119459418, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Rijeka v Slaven Belupo, Favorite: ,Rijeka, 166890   size:5.97,Price: ,1.24,The Draw, 58805   size:16.49,Price: ,6.6,Slaven Belupo, 170923   size:6.52,Price: ,15.0,x
1.119449298, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Ottawa Fury v Indy Eleven, Favorite: ,Ottawa Fury, 8441973   size:69.45,Price: ,2.28,The Draw, 58805   size:5.61,Price: ,3.25,Indy Eleven, 8441182   size:3.96,Price: ,3.4,ok
1.119502938, Sport: ,Soccer, Time: ,Mon Jul 20 01:00:00 CEST 2015, Time: ,Mon Jul 20 01:00:00 CEST 2015, Event: ,Alianza Petrolera v Boyaca Chico, Favorite: ,Alianza Petrolera, 5615116   size:3.12,Price: ,1.75,The Draw, 58805   size:17.09,Price: ,3.7,Boyaca Chico, 3636902   size:6.39,Price: ,5.5,ok
1.119497677, Sport: ,Baseball, Time: ,Mon Jul 20 02:05:00 CEST 2015, Time: ,Mon Jul 20 02:05:00 CEST 2015, Event: ,BOS @ LAA, Favorite: ,LA Angels (H Santiago), 8432634   size:498.7,Price: ,1.84,Boston (E Rodriguez), 9531865   size:346.9,Price: ,2.12,x
1.119573105, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Oriente Petrolero v Blooming, Favorite: ,Blooming, 2278549   size:142.62,Price: ,1.06,The Draw, 58805   size:2.88,Price: ,1.25,ok
1.119571563, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Antofagasta v Deportes Iquique, Favorite: ,Antofagasta, 6105741   size:233.45,Price: ,2.22,Deportes Iquique, 5271441   size:47.21,Price: ,3.4,The Draw, 58805   size:76.35,Price: ,3.65,x
1.119501078, Sport: ,Soccer, Time: ,Mon Jul 20 02:30:00 CEST 2015, Time: ,Mon Jul 20 02:30:00 CEST 2015, Event: ,CA Temperley v Independiente, Favorite: ,Independiente, 194512   size:32.52,Price: ,2.4,The Draw, 58805   size:255.5,Price: ,3.1,CA Temperley, 8742769   size:3.8,Price: ,3.65,ok
1.119583963, Sport: ,Tennis, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Giannessi v Ramos-Vinolas, Favorite: ,Albert Ramos-Vinolas, 8621877   size:19.56,Price: ,1.22,Alessandro Giannessi, 5829494   size:14.79,Price: ,5.3,ok
1.119571957, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Concepcion v Colo Colo, Favorite: ,Colo Colo, 330239   size:5.16,Price: ,1.62,The Draw, 58805   size:6.45,Price: ,3.75,Concepcion, 9935776   size:17.96,Price: ,3.95,ok
1.119571675, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Audax Italiano v Barnechea, Favorite: ,Audax Italiano, 2295419   size:3.72,Price: ,1.31,The Draw, 58805   size:2.57,Price: ,4.5,Barnechea, 8692144   size:3.41,Price: ,9.0,ok
1.119566360, Sport: ,Basketball, Time: ,Sun Jul 19 22:30:00 CEST 2015, Time: ,Sun Jul 19 22:30:00 CEST 2015, Event: ,Minnesota @ Tulsa, Favorite: ,Minnesota, 13118   size:104.35,Price: ,1.58,Tulsa, 711056   size:71.4,Price: ,2.72,ok
1.119571394, Sport: ,Soccer, Time: ,Sun Jul 19 22:30:00 CEST 2015, Time: ,Sun Jul 19 22:30:00 CEST 2015, Event: ,America de Cali v Fortaleza (Col), Favorite: ,America de Cali, 330236   size:37.21,Price: ,1.68,The Draw, 58805   size:4.12,Price: ,3.65,Fortaleza (Col), 8220184   size:81.32,Price: ,4.9,x
1.119581433, Sport: ,Soccer, Time: ,Mon Jul 20 02:35:00 CEST 2015, Time: ,Mon Jul 20 02:35:00 CEST 2015, Event: ,Canada (W) v Brazil (W), Favorite: ,Brazil (W), 541863   size:142.62,Price: ,1.06,The Draw, 58805   size:2.88,Price: ,1.25,ok
1.119566367, Sport: ,Basketball, Time: ,Mon Jul 20 01:00:00 CEST 2015, Time: ,Mon Jul 20 01:00:00 CEST 2015, Event: ,Connecticut @ Washington, Favorite: ,Washington, 13105   size:2.63,Price: ,1.46,Connecticut, 332194   size:409.32,Price: ,2.78,ok
1.119549184, Sport: ,Soccer, Time: ,Sun Jul 19 23:30:00 CEST 2015, Time: ,Sun Jul 19 23:30:00 CEST 2015, Event: ,Caracas v Deportivo Lara, Favorite: ,Caracas, 3738659   size:12.95,Price: ,1.64,The Draw, 58805   size:4.17,Price: ,3.95,Deportivo Lara, 4908157   size:13.04,Price: ,6.2,x
1.119571788, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Botafogo SP v CRAC, Favorite: ,Botafogo SP, 4435648   size:2.85,Price: ,1.71,The Draw, 58805   size:4.18,Price: ,3.1,Crac, 7055109   size:4.08,Price: ,3.3,x
1.119501912, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,San Martin de San Juan v Huracan, Favorite: ,San Martin de San Juan, 5637011   size:764.8,Price: ,2.2,The Draw, 58805   size:183.94,Price: ,3.25,Huracan, 194507   size:71.48,Price: ,3.95,ok
1.119573049, Sport: ,Soccer, Time: ,Sun Jul 19 20:15:00 CEST 2015, Time: ,Sun Jul 19 20:15:00 CEST 2015, Event: ,Naxxar Lions FC v Sliema Wanderers, Favorite: ,Sliema Wanderers, 46978   size:10.92,Price: ,1.5,The Draw, 58805   size:10.92,Price: ,2.22,ok
1.119574012, Sport: ,Soccer, Time: ,Sun Jul 19 21:00:00 CEST 2015, Time: ,Sun Jul 19 21:00:00 CEST 2015, Event: ,Volta Redonda v Sao Caetano, Favorite: ,Volta Redonda, 1040271   size:3.86,Price: ,2.18,Sao Caetano, 198130   size:2.04,Price: ,2.5,The Draw, 58805   size:5.14,Price: ,3.1,ok
