1.119279425, Sport: ,Tennis, Time: ,Wed Jul 01 12:30:00 CEST 2015, Time: ,Wed Jul 01 12:30:00 CEST 2015, Event: ,Huey/Lipsky v Cuevas/Marrero, Favorite: ,Cuevas/Marrero, 8491495   size:11.83,Price: ,1.52,Huey/Lipsky, 6084184   size:38.89,Price: ,2.54,x
1.119313700, Sport: ,Soccer, Time: ,Wed Jul 01 20:00:00 CEST 2015, Time: ,Wed Jul 01 20:00:00 CEST 2015, Event: ,Santos (Bra) U20 v Gremio Barueri U20, Favorite: ,Gremio Barueri U20, 6810860   size:140.0,Price: ,1.06,The Draw, 58805   size:3.91,Price: ,2.02,x
1.119329175, Sport: ,Tennis, Time: ,Wed Jul 01 20:00:00 CEST 2015, Time: ,Wed Jul 01 20:00:00 CEST 2015, Event: ,Guarachi v Zhu, Favorite: ,Alexa Guarachi, 9042251   size:4.15,Price: ,1.22,Amy Zhu, 9629413   size:13.92,Price: ,3.55,ok
1.119329176, Sport: ,Tennis, Time: ,Wed Jul 01 21:00:00 CEST 2015, Time: ,Wed Jul 01 21:00:00 CEST 2015, Event: ,Ivanova v Albanese, Favorite: ,Lauren Albanese, 2309521   size:11.66,Price: ,1.62,Dasha Ivanova, 9401819   size:6.82,Price: ,2.06,ok
1.119280117, Sport: ,Tennis, Time: ,Wed Jul 01 18:00:00 CEST 2015, Time: ,Wed Jul 01 18:00:00 CEST 2015, Event: ,Hingis/Mirza v Diyas/Zheng, Favorite: ,Hingis/Mirza, 2087731   size:9.44,Price: ,1.11,Diyas/Zheng, 9683976   size:71.66,Price: ,4.6,ok
1.119305942, Sport: ,Soccer, Time: ,Wed Jul 01 20:00:00 CEST 2015, Time: ,Wed Jul 01 20:00:00 CEST 2015, Event: ,CD UAI Urquiza v Platense, Favorite: ,CD UAI Urquiza, 8008857   size:2.31,Price: ,2.32,The Draw, 58805   size:15.42,Price: ,2.9,Platense, 5548214   size:7.61,Price: ,3.1,x
1.119280158, Sport: ,Tennis, Time: ,Wed Jul 01 13:00:00 CEST 2015, Time: ,Wed Jul 01 13:00:00 CEST 2015, Event: ,Jovanovski/Kichenok v Erakovic/Watson, Favorite: ,Erakovic/Watson, 6513220   size:16.94,Price: ,1.46,Jovanovski/Kichenok, 9683977   size:10.54,Price: ,2.58,ok
1.119281269, Sport: ,Tennis, Time: ,Wed Jul 01 13:30:00 CEST 2015, Time: ,Wed Jul 01 13:30:00 CEST 2015, Event: ,Wickmayer v Kulichkova, Favorite: ,Yanina Wickmayer, 2386943   size:34.81,Price: ,1.72,Elizaveta Kulichkova, 7795296   size:157.89,Price: ,2.3,x
1.119303800, Sport: ,Soccer, Time: ,Wed Jul 01 21:00:00 CEST 2015, Time: ,Wed Jul 01 21:00:00 CEST 2015, Event: ,FH Hafnarfjordur U19 v IA/Kari U19, Favorite: ,FH Hafnarfjordur U19, 7340337   size:10.72,Price: ,1.32,IA/Kari U19, 8555498   size:10.72,Price: ,1.36,The Draw, 58805   size:11.98,Price: ,3.3,ok
1.119325507, Sport: ,Soccer, Time: ,Wed Jul 01 20:00:00 CEST 2015, Time: ,Wed Jul 01 20:00:00 CEST 2015, Event: ,Deportivo Merlo v Tristan Suarez, Favorite: ,Tristan Suarez, 7128568   size:2.04,Price: ,2.48,The Draw, 58805   size:4.8,Price: ,2.72,Deportivo Merlo, 5181458   size:2.58,Price: ,3.35,x
1.119282330, Sport: ,Tennis, Time: ,Wed Jul 01 12:30:00 CEST 2015, Time: ,Wed Jul 01 12:30:00 CEST 2015, Event: ,Krajicek/Strycova v Aoyama/Voracova, Favorite: ,Krajicek/Strycova, 8757291   size:2.74,Price: ,1.54,Aoyama/Voracova, 8445661   size:6.15,Price: ,2.54,ok
