1.119872997, Sport: ,Soccer, Time: ,Fri Aug 07 18:15:00 CEST 2015, Time: ,Fri Aug 07 18:15:00 CEST 2015, Event: ,Ushuru FC v Sofapaka, Favorite: ,Sofapaka, 9564497   size:2.48,Price: ,2.02,Ushuru FC, 9675669   size:6.89,Price: ,2.64,The Draw, 58805   size:11.87,Price: ,2.66,x
1.119849215, Sport: ,Soccer, Time: ,Fri Aug 07 17:30:00 CEST 2015, Time: ,Fri Aug 07 17:30:00 CEST 2015, Event: ,FC Voluntari v Botosani, Favorite: ,Botosani, 3465177   size:265.72,Price: ,2.38,The Draw, 58805   size:17.39,Price: ,3.15,FC Voluntari, 8838645   size:26.9,Price: ,3.6,x
1.119766523, Sport: ,Soccer, Time: ,Fri Aug 07 20:45:00 CEST 2015, Time: ,Fri Aug 07 20:45:00 CEST 2015, Event: ,Vejle v AC Horsens, Favorite: ,Vejle, 44103   size:5.33,Price: ,2.16,AC Horsens, 195583   size:34.34,Price: ,3.55,The Draw, 58805   size:120.53,Price: ,3.6,ok
1.119765434, Sport: ,Soccer, Time: ,Fri Aug 07 21:15:00 CEST 2015, Time: ,Fri Aug 07 21:15:00 CEST 2015, Event: ,Fjardabyggd v Thor, Favorite: ,Thor, 3965658   size:25.2,Price: ,2.5,Fjardabyggd, 3968878   size:9.21,Price: ,2.76,The Draw, 58805   size:106.88,Price: ,3.7,x
1.119872253, Sport: ,Soccer, Time: ,Fri Aug 07 21:00:00 CEST 2015, Time: ,Fri Aug 07 21:00:00 CEST 2015, Event: ,Augnablik (W) v Keflavik (W), Favorite: ,Keflavik (W), 5232580   size:2.63,Price: ,1.07,The Draw, 58805   size:2.0,Price: ,1.27,x
1.119873221, Sport: ,Soccer, Time: ,Fri Aug 07 19:00:00 CEST 2015, Time: ,Fri Aug 07 19:00:00 CEST 2015, Event: ,Energetyk ROW v Legionovia, Favorite: ,Energetyk ROW, 7444778   size:3.42,Price: ,1.88,The Draw, 58805   size:2.14,Price: ,3.0,Legionovia, 10064502   size:6.61,Price: ,4.0,ok
1.119894025, Sport: ,Snooker, Time: ,Fri Aug 07 20:00:00 CEST 2015, Time: ,Fri Aug 07 20:00:00 CEST 2015, Event: ,Thepchaiya Un Nooh v David Grace, Favorite: ,Thepchaiya Un Nooh, 4322596   size:3.62,Price: ,1.38,David Grace, 3439626   size:4.19,Price: ,3.05,x
1.119871287, Sport: ,Soccer, Time: ,Fri Aug 07 22:00:00 CEST 2015, Time: ,Fri Aug 07 22:00:00 CEST 2015, Event: ,Tenerife v Eibar, Favorite: ,Eibar, 247969   size:9.0,Price: ,2.74,Tenerife, 44509   size:18.37,Price: ,2.86,The Draw, 58805   size:247.38,Price: ,3.45,x
1.119874033, Sport: ,Tennis, Time: ,Fri Aug 07 19:00:00 CEST 2015, Time: ,Fri Aug 07 19:00:00 CEST 2015, Event: ,Niculescu v Stosur, Favorite: ,Samantha Stosur, 2248502   size:182.96,Price: ,1.33,Monica Niculescu, 2309528   size:46.39,Price: ,3.95,x
1.119767293, Sport: ,Soccer, Time: ,Fri Aug 07 19:00:00 CEST 2015, Time: ,Fri Aug 07 19:00:00 CEST 2015, Event: ,Valerenga v Tromso, Favorite: ,Valerenga, 132563   size:767.6,Price: ,1.74,The Draw, 58805   size:370.08,Price: ,4.3,Tromso, 50046   size:63.47,Price: ,5.0,ok
1.119766243, Sport: ,Soccer, Time: ,Fri Aug 07 20:00:00 CEST 2015, Time: ,Fri Aug 07 20:00:00 CEST 2015, Event: ,RNK Split v NK Zagreb, Favorite: ,RNK Split, 4135157   size:219.53,Price: ,1.72,The Draw, 58805   size:69.84,Price: ,3.8,NK Zagreb, 189804   size:42.44,Price: ,5.9,ok
1.119768383, Sport: ,Soccer, Time: ,Fri Aug 07 20:00:00 CEST 2015, Time: ,Fri Aug 07 20:00:00 CEST 2015, Event: ,Brest v Nimes, Favorite: ,Brest, 669348   size:9.34,Price: ,1.76,The Draw, 58805   size:663.21,Price: ,3.5,Nimes, 77586   size:69.79,Price: ,6.6,ok
1.119870865, Sport: ,Soccer, Time: ,Fri Aug 07 18:00:00 CEST 2015, Time: ,Fri Aug 07 18:00:00 CEST 2015, Event: ,HNK Gorica v Lekenik, Favorite: ,HNK Gorica, 6692727   size:2.18,Price: ,1.09,The Draw, 58805   size:4.01,Price: ,4.0,Lekenik, 10120186   size:57.46,Price: ,5.1,ok
1.119852135, Sport: ,Soccer, Time: ,Fri Aug 07 20:00:00 CEST 2015, Time: ,Fri Aug 07 20:00:00 CEST 2015, Event: ,Jagodina v Novi Pazar, Favorite: ,Jagodina, 4906872   size:5.0,Price: ,2.22,The Draw, 58805   size:2.55,Price: ,3.25,Novi Pazar, 4276821   size:16.52,Price: ,3.75,x
1.119834523, Sport: ,Volleyball, Time: ,Fri Aug 07 17:00:00 CEST 2015, Time: ,Fri Aug 07 17:00:00 CEST 2015, Event: ,Poland v Macedonia, Favorite: ,Poland, 678742   size:129.48,Price: ,1.01,Macedonia, 3082451   size:2.34,Price: ,2.74,x
1.119770053, Sport: ,Soccer, Time: ,Fri Aug 07 19:30:00 CEST 2015, Time: ,Fri Aug 07 19:30:00 CEST 2015, Event: ,Bayreuth v Nurnberg II, Favorite: ,Bayreuth, 1212737   size:3.58,Price: ,2.3,Nurnberg II, 5576963   size:2.55,Price: ,3.25,The Draw, 58805   size:8.83,Price: ,3.45,x
1.119834522, Sport: ,Volleyball, Time: ,Fri Aug 07 19:00:00 CEST 2015, Time: ,Fri Aug 07 19:00:00 CEST 2015, Event: ,Estonia v Israel, Favorite: ,Estonia, 1191330   size:2.55,Price: ,1.05,Israel, 4770945   size:2.62,Price: ,2.46,ok
1.119907541, Sport: ,Tennis, Time: ,Fri Aug 07 18:00:00 CEST 2015, Time: ,Fri Aug 07 18:00:00 CEST 2015, Event: ,Mi Basic v Co Smith, Favorite: ,Mirza Basic, 5499167   size:128.02,Price: ,1.33,Connor Smith, 8732289   size:21.75,Price: ,3.65,x
1.119849566, Sport: ,Soccer, Time: ,Fri Aug 07 22:15:00 CEST 2015, Time: ,Fri Aug 07 22:15:00 CEST 2015, Event: ,Juan Aurich v Ayacucho Futbol Club, Favorite: ,Juan Aurich, 4462066   size:184.68,Price: ,1.51,The Draw, 58805   size:34.96,Price: ,4.1,Ayacucho Futbol Club, 9297155   size:35.02,Price: ,8.0,ok
1.119770558, Sport: ,Soccer, Time: ,Fri Aug 07 19:30:00 CEST 2015, Time: ,Fri Aug 07 19:30:00 CEST 2015, Event: ,Waldhof Mannheim v Hoffenheim II, Favorite: ,Waldhof Mannheim, 346909   size:2.55,Price: ,2.16,The Draw, 58805   size:8.55,Price: ,3.45,Hoffenheim II, 5730521   size:7.1,Price: ,3.5,ok
1.119871973, Sport: ,Soccer, Time: ,Fri Aug 07 20:00:00 CEST 2015, Time: ,Fri Aug 07 20:00:00 CEST 2015, Event: ,EC Sao Bento U20 v Sao Paulo FC U20, Favorite: ,Sao Paulo FC U20, 6714726   size:2.63,Price: ,1.07,The Draw, 58805   size:2.0,Price: ,1.26,x
1.119872424, Sport: ,Soccer, Time: ,Fri Aug 07 22:00:00 CEST 2015, Time: ,Fri Aug 07 22:00:00 CEST 2015, Event: ,KFG v Stal-Ulfur, Favorite: ,Stal-Ulfur, 6450366   size:2.63,Price: ,1.07,The Draw, 58805   size:2.0,Price: ,1.27,x
1.119872941, Sport: ,Soccer, Time: ,Fri Aug 07 16:00:00 CEST 2015, Time: ,Fri Aug 07 16:00:00 CEST 2015, Event: ,Nairobi City Stars v Mathare United FC, Favorite: ,Mathare United FC, 9670771   size:10.34,Price: ,2.18,The Draw, 58805   size:6.9,Price: ,3.2,Nairobi City Stars, 9675653   size:2.47,Price: ,3.35,x
1.119794326, Sport: ,Soccer, Time: ,Fri Aug 07 20:00:00 CEST 2015, Time: ,Fri Aug 07 20:00:00 CEST 2015, Event: ,Almere City v VVV, Favorite: ,Almere City, 4835124   size:11.0,Price: ,2.62,VVV, 503419   size:256.0,Price: ,2.9,The Draw, 58805   size:145.18,Price: ,3.55,x
1.119910427, Sport: ,Snooker, Time: ,Fri Aug 07 15:30:00 CEST 2015, Time: ,Fri Aug 07 15:30:00 CEST 2015, Event: ,Kyren Wilson v Vinnie Calabrese, Favorite: ,Vinnie Calabrese, 7304570   size:0.0,Price: ,0.0,Kyren Wilson, 5119461   size:8.25,Price: ,1.25,x
