1.119232822, Sport: ,Baseball, Time: ,Thu Jul 02 01:10:00 CEST 2015, Time: ,Thu Jul 02 01:10:00 CEST 2015, Event: ,SF @ MIA, Favorite: ,San Francisco (C Heston), 8875870   size:267.22,Price: ,1.9,Miami (D Haren), 9389911   size:106.38,Price: ,2.04,x
1.119232742, Sport: ,Baseball, Time: ,Wed Jul 01 18:35:00 CEST 2015, Time: ,Wed Jul 01 18:35:00 CEST 2015, Event: ,MIN @ CIN, Favorite: ,Cincinnati (J Cueto), 2942962   size:351.39,Price: ,1.54,Minnesota (T May), 8764796   size:373.62,Price: ,2.8,ok
1.119314291, Sport: ,Soccer, Time: ,Wed Jul 01 21:00:00 CEST 2015, Time: ,Wed Jul 01 21:00:00 CEST 2015, Event: ,Brediablik/Aug U19 (W) v Self Ham Aegir U19 (W), Favorite: ,Self Ham Aegir U19 (W), 9516396   size:10.68,Price: ,1.08,The Draw, 58805   size:3.27,Price: ,2.06,x
1.119240644, Sport: ,Soccer, Time: ,Wed Jul 01 20:45:00 CEST 2015, Time: ,Wed Jul 01 20:45:00 CEST 2015, Event: ,Celtic v Den Bosch, Favorite: ,Celtic, 55223   size:5.55,Price: ,1.4,The Draw, 58805   size:5.04,Price: ,5.5,Den Bosch, 48452   size:14.09,Price: ,8.4,ok
1.119243438, Sport: ,Soccer, Time: ,Thu Jul 02 03:00:00 CEST 2015, Time: ,Thu Jul 02 03:00:00 CEST 2015, Event: ,Joinville v Flamengo, Favorite: ,Flamengo, 198138   size:221.64,Price: ,2.46,The Draw, 58805   size:720.29,Price: ,3.3,ok
1.119319420, Sport: ,Tennis, Time: ,Wed Jul 01 19:00:00 CEST 2015, Time: ,Wed Jul 01 19:00:00 CEST 2015, Event: ,Moore v Sanders, Favorite: ,Storm Sanders, 7594131   size:13.61,Price: ,1.57,Jessica Moore, 2256458   size:9.05,Price: ,2.36,ok
1.119317242, Sport: ,Soccer, Time: ,Wed Jul 01 18:30:00 CEST 2015, Time: ,Wed Jul 01 18:30:00 CEST 2015, Event: ,Pfeddersheim v SV Sandhausen, Favorite: ,SV Sandhausen, 2047448   size:75.56,Price: ,1.13,The Draw, 58805   size:2.01,Price: ,11.5,Pfeddersheim, 7458113   size:30.5,Price: ,21.0,ok
1.119240124, Sport: ,Soccer, Time: ,Thu Jul 02 00:30:00 CEST 2015, Time: ,Thu Jul 02 00:30:00 CEST 2015, Event: ,Vasco da Gama v Avai, Favorite: ,Vasco da Gama, 784535   size:2893.69,Price: ,1.93,The Draw, 58805   size:291.49,Price: ,3.65,Avai, 3859186   size:136.27,Price: ,4.8,ok
1.119319422, Sport: ,Tennis, Time: ,Wed Jul 01 20:00:00 CEST 2015, Time: ,Wed Jul 01 20:00:00 CEST 2015, Event: ,Cako v Brady, Favorite: ,Jennifer Brady, 8784966   size:5.78,Price: ,1.24,Jacqueline Cako, 8801039   size:9.08,Price: ,4.1,ok
1.119232750, Sport: ,Baseball, Time: ,Wed Jul 01 19:07:00 CEST 2015, Time: ,Wed Jul 01 19:07:00 CEST 2015, Event: ,BOS @ TOR, Favorite: ,Toronto (M Buehrle), 7177273   size:498.81,Price: ,1.74,Boston (R Porcello), 9385112   size:115.31,Price: ,2.3,ok
1.119318458, Sport: ,Soccer, Time: ,Wed Jul 01 20:45:00 CEST 2015, Time: ,Wed Jul 01 20:45:00 CEST 2015, Event: ,Brora Rangers v Inverness CT, Favorite: ,Inverness CT, 56285   size:139.49,Price: ,1.06,The Draw, 58805   size:28.18,Price: ,2.0,ok
1.119318018, Sport: ,Soccer, Time: ,Wed Jul 01 19:30:00 CEST 2015, Time: ,Wed Jul 01 19:30:00 CEST 2015, Event: ,Stade Bierbeek v Oud-Heverlee Leuven, Favorite: ,Oud-Heverlee Leuven, 1311877   size:139.49,Price: ,1.06,The Draw, 58805   size:28.18,Price: ,2.0,ok
1.119313643, Sport: ,Soccer, Time: ,Wed Jul 01 20:00:00 CEST 2015, Time: ,Wed Jul 01 20:00:00 CEST 2015, Event: ,Ponte Preta U20 v Rio Branco EC U20, Favorite: ,Ponte Preta U20, 6713388   size:139.49,Price: ,1.06,Rio Branco EC U20, 7279682   size:100.97,Price: ,1.07,The Draw, 58805   size:2.57,Price: ,2.02,x
1.119232790, Sport: ,Baseball, Time: ,Thu Jul 02 01:05:00 CEST 2015, Time: ,Thu Jul 02 01:05:00 CEST 2015, Event: ,TEX @ BAL, Favorite: ,Baltimore (W Chen), 6298659   size:260.51,Price: ,1.58,Texas (N Martinez), 8443034   size:297.87,Price: ,2.62,ok
1.119232814, Sport: ,Baseball, Time: ,Thu Jul 02 01:10:00 CEST 2015, Time: ,Thu Jul 02 01:10:00 CEST 2015, Event: ,CLE @ TB, Favorite: ,Cleveland (C Carrasco), 4153692   size:288.78,Price: ,1.76,Tampa Bay (A Colome), 7310998   size:264.69,Price: ,2.24,ok
1.119313924, Sport: ,Soccer, Time: ,Wed Jul 01 20:00:00 CEST 2015, Time: ,Wed Jul 01 20:00:00 CEST 2015, Event: ,Rio Claro FC U20 v AA Francana U20, Favorite: ,Rio Claro FC U20, 7360202   size:2.01,Price: ,1.07,AA Francana U20, 8538547   size:16.64,Price: ,1.91,The Draw, 58805   size:2.56,Price: ,2.04,ok
1.119232854, Sport: ,Baseball, Time: ,Thu Jul 02 03:40:00 CEST 2015, Time: ,Thu Jul 02 03:40:00 CEST 2015, Event: ,LAD @ ARI, Favorite: ,LA Dodgers (B Anderson), 9389898   size:106.02,Price: ,1.75,Arizona (R Ray), 9458902   size:106.02,Price: ,2.28,ok
1.119327376, Sport: ,Soccer, Time: ,Thu Jul 02 03:00:00 CEST 2015, Time: ,Thu Jul 02 03:00:00 CEST 2015, Event: ,Once Caldas v Deportivo Pereira, Favorite: ,Once Caldas, 816112   size:3.28,Price: ,1.54,The Draw, 58805   size:7.1,Price: ,3.85,Deportivo Pereira, 5284708   size:2.11,Price: ,4.9,ok
1.119256967, Sport: ,Soccer, Time: ,Wed Jul 01 22:00:00 CEST 2015, Time: ,Wed Jul 01 22:00:00 CEST 2015, Event: ,Al Ittihad (EGY) v Al Masry, Favorite: ,Al Masry, 5174044   size:11.55,Price: ,2.6,The Draw, 58805   size:16.12,Price: ,3.0,Al Ittihad (EGY), 7023879   size:4.08,Price: ,3.2,ok
1.119329477, Sport: ,Basketball, Time: ,Wed Jul 01 20:00:00 CEST 2015, Time: ,Wed Jul 01 20:00:00 CEST 2015, Event: ,Australia U19 v Serbia U19, Favorite: ,Serbia U19, 7375434   size:3.65,Price: ,1.38,Australia U19, 7375431   size:393.5,Price: ,2.82,x
1.119266133, Sport: ,Cricket, Time: ,Thu Jul 02 00:00:00 CEST 2015, Time: ,Thu Jul 02 00:00:00 CEST 2015, Event: ,St Lucia v Barbados, Favorite: ,Barbados, 2312315   size:16.96,Price: ,1.9,St Lucia, 2312314   size:88.76,Price: ,2.02,ok
1.119305643, Sport: ,Soccer, Time: ,Wed Jul 01 20:00:00 CEST 2015, Time: ,Wed Jul 01 20:00:00 CEST 2015, Event: ,Villa Dalmine v Gimnasia Mendoza, Favorite: ,Gimnasia Mendoza, 9229725   size:139.49,Price: ,1.06,The Draw, 58805   size:2.01,Price: ,2.02,x
1.119241695, Sport: ,Soccer, Time: ,Wed Jul 01 19:30:00 CEST 2015, Time: ,Wed Jul 01 19:30:00 CEST 2015, Event: ,Lidkopings v Grebbestads IF, Favorite: ,Lidkopings, 8438632   size:14.74,Price: ,1.97,Grebbestads IF, 8438633   size:7.37,Price: ,2.9,The Draw, 58805   size:6.0,Price: ,4.4,ok
1.119325507, Sport: ,Soccer, Time: ,Wed Jul 01 20:00:00 CEST 2015, Time: ,Wed Jul 01 20:00:00 CEST 2015, Event: ,Deportivo Merlo v Tristan Suarez, Favorite: ,Tristan Suarez, 7128568   size:2.07,Price: ,2.58,Deportivo Merlo, 5181458   size:3.48,Price: ,2.86,The Draw, 58805   size:22.15,Price: ,2.92,x
1.119243347, Sport: ,Soccer, Time: ,Thu Jul 02 02:00:00 CEST 2015, Time: ,Thu Jul 02 02:00:00 CEST 2015, Event: ,Atletico MG v Coritiba, Favorite: ,Atletico MG, 361329   size:95.7,Price: ,1.37,The Draw, 58805   size:45.25,Price: ,5.6,Coritiba, 198141   size:123.29,Price: ,10.5,ok
1.119283092, Sport: ,Soccer, Time: ,Thu Jul 02 01:10:00 CEST 2015, Time: ,Thu Jul 02 01:10:00 CEST 2015, Event: ,Huracan v Independiente Rivadavia, Favorite: ,Huracan, 194507   size:25.86,Price: ,1.67,The Draw, 58805   size:15.63,Price: ,3.7,Independiente Rivadavia, 5333044   size:9.86,Price: ,6.6,x
1.119219669, Sport: ,Soccer, Time: ,Thu Jul 02 02:30:00 CEST 2015, Time: ,Thu Jul 02 02:30:00 CEST 2015, Event: ,Kansas City v Dallas, Favorite: ,Kansas City, 171912   size:10.87,Price: ,1.86,The Draw, 58805   size:12.25,Price: ,3.85,Dallas, 171910   size:38.95,Price: ,4.7,ok
