1.119854901, Sport: ,Tennis, Time: ,Thu Aug 06 10:30:00 CEST 2015, Time: ,Thu Aug 06 10:30:00 CEST 2015, Event: ,Pera v Vajdova, Favorite: ,Bernarda Pera, 8784983   size:5.21,Price: ,1.23,Natalia Vajdova, 9456624   size:2.55,Price: ,3.85,x
1.119792413, Sport: ,Cricket, Time: ,Thu Aug 06 12:00:00 CEST 2015, Time: ,Thu Aug 06 12:00:00 CEST 2015, Event: ,Glamorgan v Gloucestershire, Favorite: ,Glamorgan, 169   size:2.55,Price: ,1.88,Gloucestershire, 2219   size:2.55,Price: ,2.52,The Draw, 60443   size:4.79,Price: ,2.86,x
1.119745644, Sport: ,Soccer, Time: ,Thu Aug 06 13:15:00 CEST 2015, Time: ,Thu Aug 06 13:15:00 CEST 2015, Event: ,Ahbab FC v City FC New Delhi, Favorite: ,City FC New Delhi, 10091847   size:12.01,Price: ,1.08,The Draw, 58805   size:10.99,Price: ,1.29,ok
1.119079453, Sport: ,Cricket, Time: ,Thu Aug 06 12:00:00 CEST 2015, Time: ,Thu Aug 06 12:00:00 CEST 2015, Event: ,England v Australia (4th Test), Favorite: ,Australia, 16606   size:1790.42,Price: ,2.04,England, 10301   size:527.61,Price: ,3.25,The Draw, 60443   size:433.41,Price: ,4.7,x
1.119745588, Sport: ,Soccer, Time: ,Thu Aug 06 11:30:00 CEST 2015, Time: ,Thu Aug 06 11:30:00 CEST 2015, Event: ,Moonlight FC v Delhi United SC, Favorite: ,Delhi United SC, 10091831   size:15.0,Price: ,1.32,Moonlight FC, 10091830   size:5.0,Price: ,2.34,The Draw, 58805   size:10.0,Price: ,3.3,ok
1.119746014, Sport: ,Soccer, Time: ,Thu Aug 06 13:30:00 CEST 2015, Time: ,Thu Aug 06 13:30:00 CEST 2015, Event: ,Courts Young Lions v Albirex Niigata, Favorite: ,Albirex Niigata, 5712145   size:6.41,Price: ,1.77,The Draw, 58805   size:4.08,Price: ,3.75,Courts Young Lions, 5907159   size:2.55,Price: ,4.3,ok
1.119862728, Sport: ,Tennis, Time: ,Thu Aug 06 11:30:00 CEST 2015, Time: ,Thu Aug 06 11:30:00 CEST 2015, Event: ,Ianchuk v Grymalska, Favorite: ,Anastasia Grymalska, 6374157   size:2.94,Price: ,1.7,Olga Ianchuk, 7429432   size:2.36,Price: ,2.12,ok
1.119643718, Sport: ,Snooker, Time: ,Thu Aug 06 11:00:00 CEST 2015, Time: ,Thu Aug 06 11:00:00 CEST 2015, Event: ,Glover v Wattana, Favorite: ,Ian Glover, 6578658   size:5.3,Price: ,1.82,James Wattana, 2281479   size:2.45,Price: ,2.04,x
1.119860601, Sport: ,Volleyball, Time: ,Thu Aug 06 12:30:00 CEST 2015, Time: ,Thu Aug 06 12:30:00 CEST 2015, Event: ,China v Thailand, Favorite: ,China, 1197302   size:2.55,Price: ,1.05,Thailand, 1243242   size:19.94,Price: ,3.25,ok
1.119860801, Sport: ,Volleyball, Time: ,Thu Aug 06 14:30:00 CEST 2015, Time: ,Thu Aug 06 14:30:00 CEST 2015, Event: ,Iran v Australia, Favorite: ,Iran, 2175257   size:5.01,Price: ,1.28,Australia, 2175252   size:7.45,Price: ,3.7,ok
1.119860701, Sport: ,Volleyball, Time: ,Thu Aug 06 12:30:00 CEST 2015, Time: ,Thu Aug 06 12:30:00 CEST 2015, Event: ,Sri Lanka v Oman, Favorite: ,Oman, 7712695   size:3.54,Price: ,1.81,Sri Lanka, 4157190   size:3.25,Price: ,1.97,x
1.119860597, Sport: ,Volleyball, Time: ,Thu Aug 06 10:30:00 CEST 2015, Time: ,Thu Aug 06 10:30:00 CEST 2015, Event: ,Kuwait v Turkmenistan, Favorite: ,Kuwait, 7712803   size:3.57,Price: ,1.4,Turkmenistan, 10091143   size:9.34,Price: ,3.15,ok
1.119863304, Sport: ,Tennis, Time: ,Thu Aug 06 11:30:00 CEST 2015, Time: ,Thu Aug 06 11:30:00 CEST 2015, Event: ,Borecka v Komardina, Favorite: ,Anastasiya Komardina, 9148804   size:6.16,Price: ,1.77,Martina Borecka, 9148887   size:3.08,Price: ,2.08,ok
1.119857286, Sport: ,Tennis, Time: ,Thu Aug 06 14:35:00 CEST 2015, Time: ,Thu Aug 06 14:35:00 CEST 2015, Event: ,Menendez-Maceiras v Donskoy, Favorite: ,Adrian Menendez-Maceira, 9128710   size:2.65,Price: ,1.89,Evgeny Donskoy, 3391304   size:2.62,Price: ,1.91,x
1.119642870, Sport: ,Snooker, Time: ,Thu Aug 06 11:00:00 CEST 2015, Time: ,Thu Aug 06 11:00:00 CEST 2015, Event: ,Tirapongpaiboon v Sharav, Favorite: ,T Tirapongpaiboon, 6577669   size:143.59,Price: ,1.6,Eden Sharav, 6579147   size:2.55,Price: ,2.18,
1.119643223, Sport: ,Snooker, Time: ,Thu Aug 06 11:00:00 CEST 2015, Time: ,Thu Aug 06 11:00:00 CEST 2015, Event: ,Patrick v Hill, Favorite: ,Fraser Patrick, 2725268   size:2.55,Price: ,1.36,Darryl Hill, 7304564   size:4.46,Price: ,3.35,ok
1.119861000, Sport: ,Volleyball, Time: ,Thu Aug 06 14:30:00 CEST 2015, Time: ,Thu Aug 06 14:30:00 CEST 2015, Event: ,Kazakhstan v India, Favorite: ,Kazakhstan, 2158338   size:6.93,Price: ,1.46,India, 4157193   size:2.42,Price: ,2.64,ok
1.119860592, Sport: ,Volleyball, Time: ,Thu Aug 06 10:30:00 CEST 2015, Time: ,Thu Aug 06 10:30:00 CEST 2015, Event: ,South Korea v Japan, Favorite: ,South Korea, 1538770   size:4.85,Price: ,1.32,Japan, 1175884   size:21.41,Price: ,3.45,x
1.119839894, Sport: ,Tennis, Time: ,Thu Aug 06 11:00:00 CEST 2015, Time: ,Thu Aug 06 11:00:00 CEST 2015, Event: ,Kravchuk v Gojowczyk, Favorite: ,Peter Gojowczyk, 4691416   size:4.46,Price: ,1.64,Konstantin Kravchuk, 5011822   size:5.39,Price: ,2.26,x
1.119643081, Sport: ,Snooker, Time: ,Thu Aug 06 11:00:00 CEST 2015, Time: ,Thu Aug 06 11:00:00 CEST 2015, Event: ,Pengfei v Saengkham, Favorite: ,Tian Pengfei, 2584430   size:2.55,Price: ,1.35,Noppon Saengkham, 5119364   size:3.28,Price: ,3.35,ok
1.119853101, Sport: ,Tennis, Time: ,Thu Aug 06 13:45:00 CEST 2015, Time: ,Thu Aug 06 13:45:00 CEST 2015, Event: ,Mertl v Pavlasek, Favorite: ,Adam Pavlasek, 8494652   size:3.69,Price: ,1.32,Jan Mertl, 3034493   size:5.1,Price: ,3.65,ok
1.119855148, Sport: ,Tennis, Time: ,Thu Aug 06 13:30:00 CEST 2015, Time: ,Thu Aug 06 13:30:00 CEST 2015, Event: ,Ferro v Boeykens, Favorite: ,Fiona Ferro, 8535268   size:3.52,Price: ,1.42,Elyne Boeykens, 7283302   size:4.37,Price: ,2.72,x
1.119855149, Sport: ,Tennis, Time: ,Thu Aug 06 12:00:00 CEST 2015, Time: ,Thu Aug 06 12:00:00 CEST 2015, Event: ,Barbat v Rus, Favorite: ,Arantxa Rus, 2451050   size:4.92,Price: ,1.3,Karen Barbat, 6295669   size:4.38,Price: ,3.45,ok
