1.119497757, Sport: ,Baseball, Time: ,Tue Jul 21 04:10:00 CEST 2015, Time: ,Tue Jul 21 04:10:00 CEST 2015, Event: ,SF @ SD, Favorite: ,San Francisco (T Hudson), 8432632   size:28.62,Price: ,1.91,San Diego (I Kennedy), 7551799   size:292.0,Price: ,2.04,x
1.119505700, Sport: ,Soccer, Time: ,Mon Jul 20 19:30:00 CEST 2015, Time: ,Mon Jul 20 19:30:00 CEST 2015, Event: ,Volgar Astrakhan v Kamaz, Favorite: ,Volgar Astrakhan, 8666644   size:3.3,Price: ,1.67,The Draw, 58805   size:4.23,Price: ,3.6,Kamaz, 2460921   size:2.07,Price: ,6.2,ok
1.119581377, Sport: ,Soccer, Time: ,Mon Jul 20 20:15:00 CEST 2015, Time: ,Mon Jul 20 20:15:00 CEST 2015, Event: ,Mosta v Qormi FC, Favorite: ,Mosta, 6117136   size:142.23,Price: ,1.06,The Draw, 58805   size:2.87,Price: ,1.25,Qormi FC, 6702687   size:21.19,Price: ,1.75,x
1.119582626, Sport: ,Tennis, Time: ,Mon Jul 20 21:00:00 CEST 2015, Time: ,Mon Jul 20 21:00:00 CEST 2015, Event: ,Jung v Novikov, Favorite: ,Dennis Novikov, 6217982   size:206.36,Price: ,1.81,Jason Jung, 7048850   size:2.5,Price: ,2.0,ok
1.119580766, Sport: ,Soccer, Time: ,Mon Jul 20 20:45:00 CEST 2015, Time: ,Mon Jul 20 20:45:00 CEST 2015, Event: ,Tadcaster Albion AFC v Farsley, Favorite: ,Tadcaster Albion AFC, 8681928   size:2.1,Price: ,2.38,Farsley, 7446408   size:3.39,Price: ,2.5,The Draw, 58805   size:4.01,Price: ,3.75,x
1.119457229, Sport: ,Soccer, Time: ,Mon Jul 20 20:00:00 CEST 2015, Time: ,Mon Jul 20 20:00:00 CEST 2015, Event: ,Botosani v Viitorul Constanta, Favorite: ,Botosani, 3465177   size:7.47,Price: ,2.02,The Draw, 58805   size:7.38,Price: ,3.6,Viitorul Constanta, 5431165   size:7.52,Price: ,4.2,x
1.119585027, Sport: ,Handball, Time: ,Mon Jul 20 19:00:00 CEST 2015, Time: ,Mon Jul 20 19:00:00 CEST 2015, Event: ,Spain U21 v Qatar U21, Favorite: ,Spain U21, 7437030   size:58.13,Price: ,1.17,Qatar U21, 7437023   size:8.29,Price: ,8.2,Draw, 330157   size:5.03,Price: ,14.5,x
1.119456575, Sport: ,Soccer, Time: ,Mon Jul 20 20:00:00 CEST 2015, Time: ,Mon Jul 20 20:00:00 CEST 2015, Event: ,Flora Tallinn v Paide Linnameeskond, Favorite: ,Flora Tallinn, 180590   size:60.34,Price: ,1.17,The Draw, 58805   size:19.63,Price: ,7.6,Paide Linnameeskond, 5407316   size:30.81,Price: ,20.0,ok
1.119401458, Sport: ,Darts, Time: ,Mon Jul 20 20:10:00 CEST 2015, Time: ,Mon Jul 20 20:10:00 CEST 2015, Event: ,Thornton v Brown, Favorite: ,Robert Thornton, 2658190   size:9.16,Price: ,1.64,Keegan Brown, 7287082   size:102.62,Price: ,2.4,x
1.119497733, Sport: ,Baseball, Time: ,Tue Jul 21 02:40:00 CEST 2015, Time: ,Tue Jul 21 02:40:00 CEST 2015, Event: ,TEX @ COL, Favorite: ,Colorado (C Rusin), 9565222   size:120.37,Price: ,1.78,Texas (N Martinez), 8443034   size:104.0,Price: ,2.24,ok
1.119501446, Sport: ,Soccer, Time: ,Mon Jul 20 20:15:00 CEST 2015, Time: ,Mon Jul 20 20:15:00 CEST 2015, Event: ,Gimnasia La Plata v Godoy Cruz, Favorite: ,Gimnasia La Plata, 1213581   size:275.09,Price: ,1.76,The Draw, 58805   size:7.01,Price: ,3.75,Godoy Cruz, 1551296   size:37.24,Price: ,5.9,ok
1.119580861, Sport: ,Soccer, Time: ,Mon Jul 20 20:00:00 CEST 2015, Time: ,Mon Jul 20 20:00:00 CEST 2015, Event: ,CA Defensores Unidos v CD Cambaceres, Favorite: ,CA Defensores Unidos, 9544210   size:2.55,Price: ,2.3,The Draw, 58805   size:3.39,Price: ,3.2,CD Cambaceres, 10018875   size:4.24,Price: ,3.3,x
