1.119201696, Sport: ,Baseball, Time: ,Tue Jun 30 01:10:00 CEST 2015, Time: ,Tue Jun 30 01:10:00 CEST 2015, Event: ,CLE @ TB, Favorite: ,Tampa Bay (N Karns), 8837227   size:260.06,Price: ,1.79,Cleveland (C Anderson), 9653347   size:93.69,Price: ,2.18,x
1.119201664, Sport: ,Baseball, Time: ,Tue Jun 30 01:00:00 CEST 2015, Time: ,Tue Jun 30 01:00:00 CEST 2015, Event: ,TEX @ BAL, Favorite: ,Baltimore (B Norris), 7545089   size:109.47,Price: ,1.75,Texas (W Rodriguez), 9429563   size:316.4,Price: ,2.24,x
1.119201688, Sport: ,Baseball, Time: ,Tue Jun 30 01:10:00 CEST 2015, Time: ,Tue Jun 30 01:10:00 CEST 2015, Event: ,MIN @ CIN, Favorite: ,Cincinnati (M Leake), 4640134   size:299.99,Price: ,1.63,Minnesota (M Pelfrey), 7177264   size:478.45,Price: ,2.42,ok
1.119201721, Sport: ,Baseball, Time: ,Tue Jun 30 04:05:00 CEST 2015, Time: ,Tue Jun 30 04:05:00 CEST 2015, Event: ,NYY @ LAA, Favorite: ,LA Angels (C Wilson), 6296977   size:316.98,Price: ,1.8,NY Yankees (C Sabathia), 3832740   size:5.02,Price: ,2.2,ok
1.119201672, Sport: ,Baseball, Time: ,Tue Jun 30 01:05:00 CEST 2015, Time: ,Tue Jun 30 01:05:00 CEST 2015, Event: ,MIL @ PHI, Favorite: ,Milwaukee (J Nelson), 7720203   size:530.75,Price: ,1.7,Philadelphia (S OSullivan), 8659035   size:339.89,Price: ,2.32,ok
1.119201704, Sport: ,Baseball, Time: ,Tue Jun 30 02:10:00 CEST 2015, Time: ,Tue Jun 30 02:10:00 CEST 2015, Event: ,KC @ HOU, Favorite: ,Houston (L McCullers), 9496284   size:110.7,Price: ,1.79,kansas city (J Blanton), 9657055   size:315.62,Price: ,2.18,ok
1.119296656, Sport: ,Tennis, Time: ,Mon Jun 29 20:30:00 CEST 2015, Time: ,Mon Jun 29 20:30:00 CEST 2015, Event: ,Lindell v Montanes, Favorite: ,Albert Montanes, 2263599   size:142.49,Price: ,1.3,Christian Lindell, 4843189   size:48.76,Price: ,3.6,ok
1.119201680, Sport: ,Baseball, Time: ,Tue Jun 30 01:07:00 CEST 2015, Time: ,Tue Jun 30 01:07:00 CEST 2015, Event: ,BOS @ TOR, Favorite: ,Toronto (R Dickey), 7172150   size:65.52,Price: ,1.86,Boston (C Buchholz), 2515837   size:336.43,Price: ,2.1,x
1.119201729, Sport: ,Baseball, Time: ,Tue Jun 30 04:05:00 CEST 2015, Time: ,Tue Jun 30 04:05:00 CEST 2015, Event: ,COL @ OAK, Favorite: ,Oakland (K Graveman), 9385645   size:187.86,Price: ,1.64,Colorado (D Hale), 9515546   size:303.42,Price: ,2.5,ok
1.119201712, Sport: ,Baseball, Time: ,Tue Jun 30 03:40:00 CEST 2015, Time: ,Tue Jun 30 03:40:00 CEST 2015, Event: ,LAD @ ARI, Favorite: ,LA Dodgers (M Bolsinger), 9427456   size:294.07,Price: ,1.69,Arizona (A Webster), 9609119   size:102.52,Price: ,2.38,x
