1.119073148, Sport: ,Handball, Time: ,Sun Jun 14 20:15:00 CEST 2015, Time: ,Sun Jun 14 20:15:00 CEST 2015, Event: ,Denmark v Bosnia Herzegovina, Favorite: ,Denmark, 602688   size:1767.54,Price: ,1.01,Bosnia Herzegovina, 624109   size:3.87,Price: ,18.0,Draw, 330157   size:3.01,Price: ,21.0,ok
1.119092321, Sport: ,Cricket, Time: ,Sun Jun 14 15:30:00 CEST 2015, Time: ,Sun Jun 14 15:30:00 CEST 2015, Event: ,Yorkshire v Northamptonshire, Favorite: ,Yorkshire, 655   size:35.69,Price: ,1.53,Northamptonshire, 475559   size:65.61,Price: ,2.74,x
1.119130149, Sport: ,Baseball, Time: ,Sun Jun 14 22:05:00 CEST 2015, Time: ,Sun Jun 14 22:05:00 CEST 2015, Event: ,ARI @ SF, Favorite: ,San Francisco (C Heston), 8875870   size:9.27,Price: ,1.74,Arizona (R De La Rosa), 9382117   size:272.07,Price: ,2.3,x
1.119073828, Sport: ,Handball, Time: ,Sun Jun 14 15:15:00 CEST 2015, Time: ,Sun Jun 14 15:15:00 CEST 2015, Event: ,Germany v Austria, Favorite: ,Germany, 620386   size:8.46,Price: ,1.1,Austria, 620378   size:3.34,Price: ,9.2,Draw, 330157   size:3.21,Price: ,13.0,ok
1.119008390, Sport: ,Basketball, Time: ,Sun Jun 14 21:00:00 CEST 2015, Time: ,Sun Jun 14 21:00:00 CEST 2015, Event: ,Minnesota @ Phoenix, Favorite: ,Minnesota, 13118   size:5.32,Price: ,1.34,Phoenix, 13128   size:2.68,Price: ,3.45,x
1.119161188, Sport: ,Tennis, Time: ,Sun Jun 14 14:25:00 CEST 2015, Time: ,Sun Jun 14 14:25:00 CEST 2015, Event: ,Nadal v Troicki, Favorite: ,Rafael Nadal, 2251410   size:47192.19,Price: ,1.22,Viktor Troicki, 2263624   size:1984.02,Price: ,5.3,ok
1.119130061, Sport: ,Baseball, Time: ,Sun Jun 14 19:10:00 CEST 2015, Time: ,Sun Jun 14 19:10:00 CEST 2015, Event: ,ATL @ NYM, Favorite: ,NY Mets (D Gee), 5480951   size:97.44,Price: ,1.82,Atlanta (M Foltynewicz), 9449904   size:517.0,Price: ,2.1,ok
1.119159562, Sport: ,Handball, Time: ,Sun Jun 14 17:00:00 CEST 2015, Time: ,Sun Jun 14 17:00:00 CEST 2015, Event: ,Azerbaijan (W) v Bulgaria (W), Favorite: ,Draw, 330157   size:0.0,Price: ,0.0,Azerbaijan (W), 6257697   size:5.77,Price: ,1.25,x
1.119152964, Sport: ,Tennis, Time: ,Sun Jun 14 14:30:00 CEST 2015, Time: ,Sun Jun 14 14:30:00 CEST 2015, Event: ,Rae/Smith v Chan/Zheng, Favorite: ,Chan/Zheng, 8461906   size:2.55,Price: ,1.38,Rae/Smith, 8621531   size:20.71,Price: ,3.3,x
1.119130141, Sport: ,Baseball, Time: ,Sun Jun 14 21:35:00 CEST 2015, Time: ,Sun Jun 14 21:35:00 CEST 2015, Event: ,OAK @ LAA, Favorite: ,Oakland (S Gray), 7569852   size:3.59,Price: ,1.94,LA Angels (M Shoemaker), 7683114   size:855.16,Price: ,1.99,ok
1.119073577, Sport: ,Handball, Time: ,Sun Jun 14 19:00:00 CEST 2015, Time: ,Sun Jun 14 19:00:00 CEST 2015, Event: ,Iceland v Montenegro, Favorite: ,Iceland, 624111   size:5.44,Price: ,1.21,Montenegro, 2261747   size:15.53,Price: ,5.1,Draw, 330157   size:10.06,Price: ,10.5,ok
1.119162405, Sport: ,Tennis, Time: ,Sun Jun 14 14:15:00 CEST 2015, Time: ,Sun Jun 14 14:15:00 CEST 2015, Event: ,Riske v Ana Konjuh, Favorite: ,Alison Riske, 4566011   size:19.22,Price: ,1.56,Ana Konjuh, 8173632   size:11.71,Price: ,2.64,x
1.119159717, Sport: ,Tennis, Time: ,Sun Jun 14 13:59:00 CEST 2015, Time: ,Sun Jun 14 13:59:00 CEST 2015, Event: ,Teixeira v Dutra Silva, Favorite: ,Maxime Teixeira, 5321113   size:16.88,Price: ,1.82,Rogerio Dutra Silva, 2301068   size:42.62,Price: ,2.1,x
1.119162209, Sport: ,Baseball, Time: ,Sun Jun 14 20:15:00 CEST 2015, Time: ,Sun Jun 14 20:15:00 CEST 2015, Event: ,KC @ STL, Favorite: ,St Louis (J Lackey), 8750362   size:4.76,Price: ,1.79,Kansas City (C Young), 9448847   size:85.55,Price: ,2.22,x
1.118847856, Sport: ,Basketball, Time: ,Sun Jun 14 19:00:00 CEST 2015, Time: ,Sun Jun 14 19:00:00 CEST 2015, Event: ,Russia (W) v Latvia (W), Favorite: ,Russia (W), 7306785   size:13.51,Price: ,1.12,Latvia (W), 6427224   size:8.96,Price: ,8.0,x
1.119073815, Sport: ,Handball, Time: ,Sun Jun 14 15:00:00 CEST 2015, Time: ,Sun Jun 14 15:00:00 CEST 2015, Event: ,Russia v Portugal, Favorite: ,Russia, 602689   size:5.45,Price: ,1.25,Portugal, 625858   size:2.85,Price: ,6.2,Draw, 330157   size:6.5,Price: ,12.0,ok
1.119092415, Sport: ,Cricket, Time: ,Sun Jun 14 15:30:00 CEST 2015, Time: ,Sun Jun 14 15:30:00 CEST 2015, Event: ,Middlesex v Gloucestershire, Favorite: ,Middlesex, 31378   size:1098.24,Price: ,1.74,Gloucestershire, 2219   size:6.86,Price: ,2.28,x
