1.119053501, Sport: ,Baseball, Time: ,Thu Jun 11 01:05:00 CEST 2015, Time: ,Thu Jun 11 01:05:00 CEST 2015, Event: ,SEA @ CLE, Favorite: ,Cleveland (T Bauer), 7184184   size:32.07,Price: ,1.69,Seattle (T Walker), 7617352   size:99.85,Price: ,2.4,xx
1.119117674, Sport: ,Tennis, Time: ,Thu Jun 11 04:30:00 CEST 2015, Time: ,Thu Jun 11 04:30:00 CEST 2015, Event: ,A Okuno v Okadaue, Favorite: ,Ayaka Okuno, 7750096   size:12.89,Price: ,1.66,Chiaki Okadaue, 7657219   size:3.65,Price: ,2.42,ok
1.119121138, Sport: ,Tennis, Time: ,Wed Jun 10 20:45:00 CEST 2015, Time: ,Wed Jun 10 20:45:00 CEST 2015, Event: ,Fratangelo v D Novikov, Favorite: ,Bjorn Fratangelo, 7593723   size:7.89,Price: ,1.28,Dennis Novikov, 6217982   size:7.68,Price: ,3.8,ok
1.119035357, Sport: ,Ice Hockey, Time: ,Thu Jun 11 02:05:00 CEST 2015, Time: ,Thu Jun 11 02:05:00 CEST 2015, Event: ,Tampa Bay @ Chicago, Favorite: ,Chicago, 2109831   size:193.6,Price: ,2.14,Tampa Bay, 2109715   size:8.07,Price: ,3.5,Tie, 60104   size:4.99,Price: ,3.85,ok
1.119117675, Sport: ,Tennis, Time: ,Thu Jun 11 04:30:00 CEST 2015, Time: ,Thu Jun 11 04:30:00 CEST 2015, Event: ,M Ozeki v E Sema, Favorite: ,Erika Sema, 4151738   size:5.9,Price: ,1.11,Michika Ozeki, 8887168   size:7.67,Price: ,7.0,ok
1.119117676, Sport: ,Tennis, Time: ,Thu Jun 11 03:00:00 CEST 2015, Time: ,Thu Jun 11 03:00:00 CEST 2015, Event: ,M Minokoshi v Ninomiya, Favorite: ,Makoto Ninomiya, 7750118   size:8.17,Price: ,1.42,Mai Minokoshi, 7657300   size:2.54,Price: ,3.05,x
1.119053485, Sport: ,Baseball, Time: ,Wed Jun 10 21:10:00 CEST 2015, Time: ,Wed Jun 10 21:10:00 CEST 2015, Event: ,STL @ COL, Favorite: ,St Louis (C Martinez), 7564048   size:128.38,Price: ,1.8,Colorado (C Bettis), 7545057   size:313.63,Price: ,2.2,ok
1.119124667, Sport: ,Basketball, Time: ,Thu Jun 11 02:30:00 CEST 2015, Time: ,Thu Jun 11 02:30:00 CEST 2015, Event: ,Atenas v Quimsa, Favorite: ,Quimsa, 6243645   size:4.99,Price: ,1.85,Atenas, 6719082   size:3.88,Price: ,2.06,ok
1.119044404, Sport: ,Basketball, Time: ,Thu Jun 11 02:00:00 CEST 2015, Time: ,Thu Jun 11 02:00:00 CEST 2015, Event: ,Quilmes v Obras, Favorite: ,Quilmes, 7753472   size:181.12,Price: ,1.79,Obras, 6269780   size:2.54,Price: ,2.08,x
1.119046507, Sport: ,Basketball, Time: ,Wed Jun 10 21:00:00 CEST 2015, Time: ,Wed Jun 10 21:00:00 CEST 2015, Event: ,Unicaja v Barcelona, Favorite: ,Unicaja, 272998   size:52.63,Price: ,1.19,Barcelona, 266269   size:2.55,Price: ,1.42,ok
1.119117750, Sport: ,Tennis, Time: ,Thu Jun 11 04:30:00 CEST 2015, Time: ,Thu Jun 11 04:30:00 CEST 2015, Event: ,T Kinard v Inoue, Favorite: ,Miyabi Inoue, 8839053   size:15.97,Price: ,1.46,Tori Kinard, 6564416   size:2.96,Price: ,2.98,ok
1.119128056, Sport: ,Tennis, Time: ,Thu Jun 11 05:00:00 CEST 2015, Time: ,Thu Jun 11 05:00:00 CEST 2015, Event: ,J Choi v D H Kim, Favorite: ,Ji-Hee Choi, 8839153   size:5.4,Price: ,1.48,Da Hye Kim, 8839137   size:3.02,Price: ,2.64,ok
1.119073821, Sport: ,Handball, Time: ,Wed Jun 10 20:25:00 CEST 2015, Time: ,Wed Jun 10 20:25:00 CEST 2015, Event: ,Austria v Spain, Favorite: ,Spain, 620381   size:3.23,Price: ,1.19,Austria, 620378   size:3.64,Price: ,8.2,Draw, 330157   size:11.63,Price: ,12.0,okok
1.119053517, Sport: ,Baseball, Time: ,Thu Jun 11 01:08:00 CEST 2015, Time: ,Thu Jun 11 01:08:00 CEST 2015, Event: ,CHC @ DET, Favorite: ,Chicago Cubs (J Arrieta), 7539740   size:310.68,Price: ,1.92,Detroit (S Greene), 9385642   size:310.75,Price: ,2.02,okok
1.119128052, Sport: ,Tennis, Time: ,Thu Jun 11 05:00:00 CEST 2015, Time: ,Thu Jun 11 05:00:00 CEST 2015, Event: ,Y Tanaka v N Han, Favorite: ,Na-Lae Han, 8842650   size:2.54,Price: ,1.32,Yuuki Tanaka, 8839145   size:2.85,Price: ,3.1,okok
1.119126039, Sport: ,Handball, Time: ,Wed Jun 10 19:30:00 CEST 2015, Time: ,Wed Jun 10 19:30:00 CEST 2015, Event: ,Luxembourg v Estonia, Favorite: ,Estonia, 2261728   size:5.66,Price: ,1.56,Luxembourg, 2261742   size:2.67,Price: ,3.3,Draw, 330157   size:90.43,Price: ,9.0,okok
1.118847366, Sport: ,Rugby Union, Time: ,Wed Jun 10 20:30:00 CEST 2015, Time: ,Wed Jun 10 20:30:00 CEST 2015, Event: ,South Africa U20 v Australia U20, Favorite: ,South Africa U20, 7323825   size:3.46,Price: ,1.28,Australia U20, 7323962   size:2.67,Price: ,4.4,Draw, 246289   size:6.39,Price: ,22.0,okok
1.119128058, Sport: ,Tennis, Time: ,Thu Jun 11 04:00:00 CEST 2015, Time: ,Thu Jun 11 04:00:00 CEST 2015, Event: ,R Ozaki v H Chang, Favorite: ,Risa Ozaki, 7593284   size:2.54,Price: ,1.11,Hanna Chang, 9580452   size:12.25,Price: ,6.6,okok
1.119126036, Sport: ,Handball, Time: ,Wed Jun 10 20:00:00 CEST 2015, Time: ,Wed Jun 10 20:00:00 CEST 2015, Event: ,Belgium v Greece, Favorite: ,Belgium, 2260889   size:12.18,Price: ,1.74,Greece, 624110   size:2.64,Price: ,2.36,Draw, 330157   size:3.35,Price: ,5.2,okok
1.119053557, Sport: ,Baseball, Time: ,Thu Jun 11 02:10:00 CEST 2015, Time: ,Thu Jun 11 02:10:00 CEST 2015, Event: ,KC @ MIN, Favorite: ,Kansas City (E Volquez), 9385643   size:4.99,Price: ,1.98,Minnesota (K Gibson), 7395517   size:90.9,Price: ,1.99,okok
1.119053549, Sport: ,Baseball, Time: ,Thu Jun 11 02:10:00 CEST 2015, Time: ,Thu Jun 11 02:10:00 CEST 2015, Event: ,HOU @ CHW, Favorite: ,Chicago White Sox (J Quintana), 6401579   size:98.56,Price: ,1.89,Houston (V Velasquez), 9580436   size:513.51,Price: ,2.04,ok
1.119053469, Sport: ,Baseball, Time: ,Wed Jun 10 19:05:00 CEST 2015, Time: ,Wed Jun 10 19:05:00 CEST 2015, Event: ,WSH @ NYY, Favorite: ,NY Yankees (N Eovaldi), 9389895   size:134.91,Price: ,1.79,Washington (G Gonzalez), 6292847   size:211.88,Price: ,2.24,x
