1.119610525, Sport: ,Soccer, Time: ,Mon Jul 27 02:30:00 CEST 2015, Time: ,Mon Jul 27 02:30:00 CEST 2015, Event: ,Belgrano v Boca Juniors, Favorite: ,Boca Juniors, 17304   size:26.61,Price: ,2.52,The Draw, 58805   size:62.95,Price: ,3.25,ok
1.119610981, Sport: ,Soccer, Time: ,Mon Jul 27 00:30:00 CEST 2015, Time: ,Mon Jul 27 00:30:00 CEST 2015, Event: ,Lanus v Defensa y Justicia, Favorite: ,Lanus, 194513   size:59.15,Price: ,1.79,The Draw, 58805   size:10.08,Price: ,3.7,Defensa y Justicia, 5178272   size:62.24,Price: ,5.6,x
1.119593981, Sport: ,Soccer, Time: ,Mon Jul 27 02:30:00 CEST 2015, Time: ,Mon Jul 27 02:30:00 CEST 2015, Event: ,Cucuta Deportivo v Patriotas, Favorite: ,Cucuta Deportivo, 2301978   size:15.51,Price: ,2.56,The Draw, 58805   size:7.92,Price: ,3.15,Patriotas, 5360525   size:7.2,Price: ,3.25,ok
1.119680979, Sport: ,Soccer, Time: ,Mon Jul 27 00:00:00 CEST 2015, Time: ,Mon Jul 27 00:00:00 CEST 2015, Event: ,Atletico Nacional v CD Plaza Amador, Favorite: ,CD Plaza Amador, 7899390   size:2.49,Price: ,2.12,Atletico Nacional, 478920   size:4.56,Price: ,3.0,The Draw, 58805   size:19.89,Price: ,3.1,x
1.119698763, Sport: ,Tennis, Time: ,Mon Jul 27 08:00:00 CEST 2015, Time: ,Mon Jul 27 08:00:00 CEST 2015, Event: ,E Sema v You, Favorite: ,Erika Sema, 4151738   size:8.46,Price: ,1.35,Xiaodi You, 9458785   size:71.61,Price: ,3.15,ok
1.119698740, Sport: ,Tennis, Time: ,Mon Jul 27 08:00:00 CEST 2015, Time: ,Mon Jul 27 08:00:00 CEST 2015, Event: ,Soylu v O Ianchuk, Favorite: ,Ipek Soylu, 8397938   size:2.55,Price: ,1.32,Olga Ianchuk, 7429432   size:2.55,Price: ,3.5,x
1.119602887, Sport: ,Handball, Time: ,Mon Jul 27 01:45:00 CEST 2015, Time: ,Mon Jul 27 01:45:00 CEST 2015, Event: ,Argentina U21 v Chile U21, Favorite: ,Argentina U21, 7437045   size:141.25,Price: ,1.01,Chile U21, 7437035   size:70.91,Price: ,13.0,Draw, 330157   size:70.84,Price: ,18.0,ok
1.119698885, Sport: ,Tennis, Time: ,Mon Jul 27 08:00:00 CEST 2015, Time: ,Mon Jul 27 08:00:00 CEST 2015, Event: ,Zh Yang v Vankova, Favorite: ,Zhaoxuan Yang, 8172570   size:13.07,Price: ,1.6,Katerina Vankova, 7795596   size:2.55,Price: ,2.46,ok
1.119698368, Sport: ,Tennis, Time: ,Mon Jul 27 08:00:00 CEST 2015, Time: ,Mon Jul 27 08:00:00 CEST 2015, Event: ,X Sun v Ninomiya, Favorite: ,Makoto Ninomiya, 7750118   size:5.45,Price: ,1.43,Xu Liu Sun, 8710303   size:78.21,Price: ,2.84,ok
1.119602901, Sport: ,Handball, Time: ,Sun Jul 26 23:30:00 CEST 2015, Time: ,Sun Jul 26 23:30:00 CEST 2015, Event: ,Germany U21 v Brazil U21, Favorite: ,Germany U21, 7437025   size:16.3,Price: ,1.34,Brazil U21, 7437037   size:6.9,Price: ,3.75,Draw, 330157   size:71.08,Price: ,8.6,x
1.119600813, Sport: ,Handball, Time: ,Sun Jul 26 23:30:00 CEST 2015, Time: ,Sun Jul 26 23:30:00 CEST 2015, Event: ,Serbia U21 v Qatar U21, Favorite: ,Qatar U21, 7437023   size:20.58,Price: ,1.49,Serbia U21, 7437022   size:8.33,Price: ,2.62,Draw, 330157   size:4.02,Price: ,11.5,x
1.119698645, Sport: ,Tennis, Time: ,Mon Jul 27 08:00:00 CEST 2015, Time: ,Mon Jul 27 08:00:00 CEST 2015, Event: ,Ar Rodionova v K Okamura, Favorite: ,Arina Rodionova, 2967315   size:183.44,Price: ,1.77,Kyoka Okamura, 8887170   size:2.01,Price: ,2.06,x
