1.119101803, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Lindstedt/Lipsky v Karlovic/Kubot, Favorite: ,Lindstedt/Lipsky, 9566089   size:7.63,Price: ,1.74,Karlovic/Kubot, 9566090   size:6.72,Price: ,2.12,xx
1.119101007, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Y Mertens v Alejandro Gonzalez, Favorite: ,Alejandro Gonzalez, 6604262   size:114.85,Price: ,1.37,Yannick Mertens, 4521608   size:2.55,Price: ,3.3,okok
1.119053361, Sport: ,Baseball, Time: ,Wed Jun 10 01:10:00 CEST 2015, Time: ,Wed Jun 10 01:10:00 CEST 2015, Event: ,PHI @ CIN, Favorite: ,Cincinnati (A DeSclafani), 9385641   size:289.99,Price: ,1.72,Philadelphia (A Harang), 9385113   size:17.26,Price: ,2.3,okok
1.119116866, Sport: ,Tennis, Time: ,Tue Jun 09 12:45:00 CEST 2015, Time: ,Tue Jun 09 12:45:00 CEST 2015, Event: ,D Thiem v M Zverev, Favorite: ,Dominic Thiem, 5720747   size:16.03,Price: ,1.73,Mischa Zverev, 2263625   size:27.19,Price: ,2.32,xx
1.119111570, Sport: ,Tennis, Time: ,Tue Jun 09 15:45:00 CEST 2015, Time: ,Tue Jun 09 15:45:00 CEST 2015, Event: ,Berankis v T Ito, Favorite: ,Tatsuma Ito, 3374118   size:71.55,Price: ,1.72,Ricardas Berankis, 2923248   size:65.0,Price: ,2.24,okok
1.119044401, Sport: ,Basketball, Time: ,Wed Jun 10 02:00:00 CEST 2015, Time: ,Wed Jun 10 02:00:00 CEST 2015, Event: ,Penarol v Gecr Indalo, Favorite: ,Penarol, 6719113   size:5.74,Price: ,1.49,Gecr Indalo, 6719074   size:17.08,Price: ,2.8,xx
1.119104365, Sport: ,Tennis, Time: ,Tue Jun 09 12:30:00 CEST 2015, Time: ,Tue Jun 09 12:30:00 CEST 2015, Event: ,Bouchard v Shvedova, Favorite: ,Eugenie Bouchard, 5704759   size:1017.85,Price: ,1.4,Yaroslava Shvedova, 2263713   size:28.44,Price: ,3.3,xx
1.119104486, Sport: ,Tennis, Time: ,Tue Jun 09 14:15:00 CEST 2015, Time: ,Tue Jun 09 14:15:00 CEST 2015, Event: ,J Larsson v Koukalova, Favorite: ,Klara Koukalova, 8445700   size:18.04,Price: ,1.53,Johanna Larsson, 3220168   size:101.0,Price: ,2.72,okok
1.119066780, Sport: ,Basketball, Time: ,Tue Jun 09 14:00:00 CEST 2015, Time: ,Tue Jun 09 14:00:00 CEST 2015, Event: ,Singapore v Myanmar, Favorite: ,Myanmar, 9555586   size:5.75,Price: ,1.02,xx
1.119101016, Sport: ,Tennis, Time: ,Tue Jun 09 14:30:00 CEST 2015, Time: ,Tue Jun 09 14:30:00 CEST 2015, Event: ,Hernandez-Fernandez v Quinzi, Favorite: ,Jose Hernandez-Fernande, 9420497   size:7.43,Price: ,1.64,Gianluigi Quinzi, 8257864   size:6.0,Price: ,2.32,xx
1.119100526, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,A Haider-Maurer v Marterer, Favorite: ,Andreas Haider-Maurer, 8260128   size:29.99,Price: ,1.38,Maximilian Marterer, 7335940   size:22.0,Price: ,3.4,okok
1.119111782, Sport: ,Tennis, Time: ,Tue Jun 09 13:15:00 CEST 2015, Time: ,Tue Jun 09 13:15:00 CEST 2015, Event: ,Michalicka v Ghem, Favorite: ,Andre Ghem, 5304700   size:13.59,Price: ,1.52,Marek Michalicka, 7048682   size:67.85,Price: ,2.82,okok
1.119104725, Sport: ,Tennis, Time: ,Tue Jun 09 14:30:00 CEST 2015, Time: ,Tue Jun 09 14:30:00 CEST 2015, Event: ,B Klein v J Ward, Favorite: ,James Ward, 2370329   size:7.12,Price: ,1.46,Brydan Klein, 2759763   size:15.25,Price: ,2.78,xx
