1.119058575, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,Montanes v E Ymer, Favorite: ,Albert Montanes, 2263599   size:26.39,Price: ,1.85,Elias Ymer, 7414305   size:261.03,Price: ,2.12,okokokokokok
1.119061885, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Magdeburg v Rhein Neckar Lowen, Favorite: ,Draw, 330157   size:100.0,Price: ,1.01,Rhein Neckar Lowen, 2507296   size:11.35,Price: ,1.47,Magdeburg, 2531263   size:3.99,Price: ,3.4,xxxxxx
1.119083654, Sport: ,Tennis, Time: ,Fri Jun 05 13:30:00 CEST 2015, Time: ,Fri Jun 05 13:30:00 CEST 2015, Event: ,Hercog v Bondarenko, Favorite: ,Polona Hercog, 2548781   size:70.38,Price: ,1.85,Kateryna Bondarenko, 2291864   size:4.15,Price: ,2.14,xxxxxx
1.119051060, Sport: ,Baseball, Time: ,Sat Jun 06 01:05:00 CEST 2015, Time: ,Sat Jun 06 01:05:00 CEST 2015, Event: ,CHC @ WSH, Favorite: ,Washington (T Roark), 7637263   size:388.12,Price: ,1.81,Chicago Cubs (T Wada), 8684321   size:5.0,Price: ,2.2,okokokokokok
1.119051140, Sport: ,Baseball, Time: ,Sat Jun 06 02:10:00 CEST 2015, Time: ,Sat Jun 06 02:10:00 CEST 2015, Event: ,MIL @ MIN, Favorite: ,Minnesota (K Gibson), 7395517   size:479.0,Price: ,1.78,Milwaukee (K Lohse), 7179919   size:107.0,Price: ,2.18,xxxxxx
1.119051186, Sport: ,Baseball, Time: ,Sat Jun 06 04:10:00 CEST 2015, Time: ,Sat Jun 06 04:10:00 CEST 2015, Event: ,TB @ SEA, Favorite: ,Tampa Bay (J Odorizzi), 7286524   size:5.0,Price: ,1.92,Seattle (J Happ), 9520039   size:348.0,Price: ,2.06,okokokokokok
1.118839180, Sport: ,Basketball, Time: ,Sat Jun 06 02:30:00 CEST 2015, Time: ,Sat Jun 06 02:30:00 CEST 2015, Event: ,Indiana @ Chicago, Favorite: ,Chicago, 13117   size:15.92,Price: ,1.27,Indiana, 13116   size:2.64,Price: ,3.95,okokokokokok
1.119076420, Sport: ,Tennis, Time: ,Fri Jun 05 15:00:00 CEST 2015, Time: ,Fri Jun 05 15:00:00 CEST 2015, Event: ,U Radwanska v Melnikova, Favorite: ,Urszula Radwanska, 2395156   size:67.94,Price: ,1.18,Marina Melnikova, 6390238   size:7.79,Price: ,5.4,okokokokokok
1.119047518, Sport: ,Basketball, Time: ,Fri Jun 05 17:00:00 CEST 2015, Time: ,Fri Jun 05 17:00:00 CEST 2015, Event: ,Lithuania (W) v China (W), Favorite: ,China (W), 7886075   size:5.0,Price: ,1.03,okokokokokok
1.118839183, Sport: ,Basketball, Time: ,Sat Jun 06 04:00:00 CEST 2015, Time: ,Sat Jun 06 04:00:00 CEST 2015, Event: ,San Antonio @ Phoenix, Favorite: ,Phoenix, 13128   size:779.0,Price: ,1.35,San Antonio, 13121   size:5.12,Price: ,3.45,okokokokokok
1.119076381, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,E Bogdan v Hogenkamp, Favorite: ,Richel Hogenkamp, 6440521   size:165.63,Price: ,1.28,Elena Bogdan, 4520829   size:19.87,Price: ,4.1,okokokokokok
1.119083658, Sport: ,Tennis, Time: ,Fri Jun 05 16:30:00 CEST 2015, Time: ,Fri Jun 05 16:30:00 CEST 2015, Event: ,Allertova v Niculescu, Favorite: ,Denisa Allertova, 8679183   size:2.55,Price: ,1.66,Monica Niculescu, 2309528   size:24.03,Price: ,2.4,xxxxxx
1.119061888, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Hamburg v Gummersbach, Favorite: ,Gummersbach, 2201945   size:7.12,Price: ,1.89,Hamburg, 2027629   size:3.01,Price: ,2.66,Draw, 330157   size:5.31,Price: ,8.2,xxxxxx
1.118948146, Sport: ,Basketball, Time: ,Fri Jun 05 20:50:00 CEST 2015, Time: ,Fri Jun 05 20:50:00 CEST 2015, Event: ,Nancy v Limoges, Favorite: ,Limoges, 3817200   size:351.58,Price: ,1.61,Nancy, 1293966   size:2.55,Price: ,2.46,okokokokokok
1.119025946, Sport: ,Basketball, Time: ,Fri Jun 05 20:45:00 CEST 2015, Time: ,Fri Jun 05 20:45:00 CEST 2015, Event: ,Reggio Emilia v Venezia, Favorite: ,Reggio Emilia, 958950   size:8.21,Price: ,1.67,Venezia, 5878119   size:7.54,Price: ,2.28,okokokokokok
1.119074510, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,Kudryavtseva v Kontaveit, Favorite: ,Anett Kontaveit, 5300737   size:27.47,Price: ,1.47,Alla Kudryavtseva, 2263696   size:26.53,Price: ,2.9,okokokokokok
1.119076410, Sport: ,Tennis, Time: ,Fri Jun 05 13:30:00 CEST 2015, Time: ,Fri Jun 05 13:30:00 CEST 2015, Event: ,Martincova v Mar Sanchez, Favorite: ,Maria Sanchez, 5374654   size:2.2,Price: ,1.58,Tereza Martincova, 7335514   size:19.5,Price: ,2.46,okokokokokok
1.119051132, Sport: ,Baseball, Time: ,Sat Jun 06 02:10:00 CEST 2015, Time: ,Sat Jun 06 02:10:00 CEST 2015, Event: ,DET @ CWS, Favorite: ,Chicago White Sox (J Quintana), 6401579   size:4.09,Price: ,1.87,Detroit (K Ryan), 8812015   size:292.19,Price: ,2.08,okokokokokok
1.119078998, Sport: ,Tennis, Time: ,Fri Jun 05 16:00:00 CEST 2015, Time: ,Fri Jun 05 16:00:00 CEST 2015, Event: ,P Lorenzi v Jarry, Favorite: ,Paolo Lorenzi, 2345099   size:5.93,Price: ,1.34,Nicolas Jarry, 8260515   size:2.03,Price: ,3.8,okokokokokok
1.119051013, Sport: ,Basketball, Time: ,Fri Jun 05 13:00:00 CEST 2015, Time: ,Fri Jun 05 13:00:00 CEST 2015, Event: ,NLEX Road Warriors v San Miguel Beermen, Favorite: ,San Miguel Beermen, 3803247   size:132.0,Price: ,1.38,NLEX Road Warriors, 8911710   size:2.6,Price: ,3.4,okokokokok
1.119051178, Sport: ,Baseball, Time: ,Sat Jun 06 04:10:00 CEST 2015, Time: ,Sat Jun 06 04:10:00 CEST 2015, Event: ,STL @ LAD, Favorite: ,LA Dodgers (B Anderson), 9389898   size:62.18,Price: ,1.88,St Louis (C Martinez), 7564048   size:274.0,Price: ,2.1,x
1.119051534, Sport: ,Tennis, Time: ,Fri Jun 05 13:00:00 CEST 2015, Time: ,Fri Jun 05 13:00:00 CEST 2015, Event: ,Tsonga v S Wawrinka, Favorite: ,Stanislas Wawrinka, 2257309   size:3803.24,Price: ,1.42,Jo-Wilfried Tsonga, 4190307   size:2921.62,Price: ,3.35,okokokokokok
1.119083985, Sport: ,Snooker, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,OBrien v Swail, Favorite: ,Fergal OBrien, 2678272   size:4.87,Price: ,1.64,Joe Swail, 2280125   size:9.33,Price: ,2.24,okokokokokok
1.119057058, Sport: ,Basketball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Antibes v Le Portel, Favorite: ,Antibes, 5467755   size:5.32,Price: ,1.5,Le Portel, 6719000   size:3.15,Price: ,2.54,okokokokokok
1.119078994, Sport: ,Tennis, Time: ,Fri Jun 05 12:45:00 CEST 2015, Time: ,Fri Jun 05 12:45:00 CEST 2015, Event: ,Djere v Souza, Favorite: ,Joao Souza, 4490590   size:4.22,Price: ,1.5,Laslo Djere, 7692106   size:3.13,Price: ,2.82,xxxxxx
1.119083662, Sport: ,Tennis, Time: ,Fri Jun 05 18:30:00 CEST 2015, Time: ,Fri Jun 05 18:30:00 CEST 2015, Event: ,Paquet v Parmentier, Favorite: ,Pauline Parmentier, 2309569   size:5.0,Price: ,1.27,Chloe Paquet, 7216239   size:7.98,Price: ,4.4,okokokokokok
1.119078235, Sport: ,Snooker, Time: ,Fri Jun 05 15:30:00 CEST 2015, Time: ,Fri Jun 05 15:30:00 CEST 2015, Event: ,Selt v Anda, Favorite: ,Matthew Selt, 2725267   size:2.55,Price: ,1.43,Zhang Anda, 4894068   size:2.72,Price: ,2.94,okokokokokok
1.119076372, Sport: ,Tennis, Time: ,Fri Jun 05 10:44:00 CEST 2015, Time: ,Fri Jun 05 10:44:00 CEST 2015, Event: ,Schuurs v Kostova, Favorite: ,Elitsa Kostova, 6196031   size:2.55,Price: ,1.17,Demi Schuurs, 8543381   size:6.8,Price: ,5.0,xxxxxx
1.119083986, Sport: ,Snooker, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Gilbert v Georgiou, Favorite: ,David Gilbert, 2293307   size:21.23,Price: ,1.5,Michael Georgiou, 3439628   size:79.92,Price: ,2.7,xxxxxx
1.119061516, Sport: ,Tennis, Time: ,Fri Jun 05 13:00:00 CEST 2015, Time: ,Fri Jun 05 13:00:00 CEST 2015, Event: ,Mattek-Sands/Safarova v Hlavackova/Hradecka, Favorite: ,Mattek-Sands/Safarova, 9163485   size:124.14,Price: ,1.51,Hlavackova/Hradecka, 4470757   size:3.1,Price: ,2.58,okokokokokok
1.119061910, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Friesenheim v GWD Minden, Favorite: ,GWD Minden, 543099   size:11.89,Price: ,1.86,Draw, 330157   size:2.64,Price: ,2.28,xxxxx
1.119076406, Sport: ,Tennis, Time: ,Fri Jun 05 13:30:00 CEST 2015, Time: ,Fri Jun 05 13:30:00 CEST 2015, Event: ,An Rodionova v Hozumi, Favorite: ,Eri Hozumi, 7657224   size:7.83,Price: ,1.83,Anastasia Rodionova, 2328019   size:3.74,Price: ,2.14,x
1.119076404, Sport: ,Tennis, Time: ,Fri Jun 05 13:30:00 CEST 2015, Time: ,Fri Jun 05 13:30:00 CEST 2015, Event: ,A Bogdan v Wagemaker, Favorite: ,Ana Bogdan, 3875013   size:2.55,Price: ,1.22,Mandy Wagemaker, 9166290   size:2.55,Price: ,4.8,okokokokokok
1.119076400, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,Kerkhove v Pous-Tio, Favorite: ,Lesley Kerkhove, 7283298   size:14.7,Price: ,1.83,Laura Pous-Tio, 8443238   size:20.48,Price: ,2.02,okokokokokok
1.119061918, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Fuchse Berlin v Flensburg Handewitt, Favorite: ,Fuchse Berlin, 2476365   size:4.19,Price: ,1.91,Flensburg Handewitt, 4506561   size:3.22,Price: ,2.48,Draw, 330157   size:68.97,Price: ,7.6,xxxxxx
1.119074782, Sport: ,Tennis, Time: ,Fri Jun 05 11:00:00 CEST 2015, Time: ,Fri Jun 05 11:00:00 CEST 2015, Event: ,Ignatik v Vesely, Favorite: ,Jiri Vesely, 7032143   size:12311.66,Price: ,1.16,Uladzimir Ignatik, 3259323   size:5.96,Price: ,5.7,okokokokokok
1.119076443, Sport: ,Snooker, Time: ,Fri Jun 05 11:00:00 CEST 2015, Time: ,Fri Jun 05 11:00:00 CEST 2015, Event: ,Gould v Leslie, Favorite: ,Martin Gould, 2613031   size:187.98,Price: ,1.23,Michael Leslie, 6535838   size:103.89,Price: ,4.7,okokokokokok
1.119051068, Sport: ,Baseball, Time: ,Sat Jun 06 01:05:00 CEST 2015, Time: ,Sat Jun 06 01:05:00 CEST 2015, Event: ,LAA @ NYY, Favorite: ,NY Yankees (N Eovaldi), 9389895   size:57.44,Price: ,1.89,LA Angels (J Weaver), 2412538   size:347.0,Price: ,2.08,okokokokokok
1.119059108, Sport: ,Tennis, Time: ,Fri Jun 05 13:45:00 CEST 2015, Time: ,Fri Jun 05 13:45:00 CEST 2015, Event: ,H Zeballos v T Daniel, Favorite: ,Taro Daniel, 8173434   size:33.97,Price: ,1.8,Horacio Zeballos, 3506037   size:36.3,Price: ,2.18,okokokokokok
1.119051106, Sport: ,Baseball, Time: ,Sat Jun 06 01:10:00 CEST 2015, Time: ,Sat Jun 06 01:10:00 CEST 2015, Event: ,OAK @ BOS, Favorite: ,Boston (W Miley), 9389894   size:56.18,Price: ,1.91,Oakland (S Kazmir), 8431596   size:97.95,Price: ,2.06,okokokokokok
1.119084686, Sport: ,Baseball, Time: ,Sat Jun 06 03:40:00 CEST 2015, Time: ,Sat Jun 06 03:40:00 CEST 2015, Event: ,NYM @ ARI, Favorite: ,Arizona (J Hellickson), 9385116   size:4.49,Price: ,1.78,NY Mets (J Niese), 3340416   size:3.77,Price: ,2.12,okokokokokok
1.119008495, Sport: ,Cricket, Time: ,Fri Jun 05 19:30:00 CEST 2015, Time: ,Fri Jun 05 19:30:00 CEST 2015, Event: ,Yorkshire v Lancashire, Favorite: ,Yorkshire, 655   size:31.88,Price: ,1.59,Lancashire, 424679   size:25.55,Price: ,2.48,xxxxx
1.119083951, Sport: ,Snooker, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Ebdon v Burnett, Favorite: ,Peter Ebdon, 2278791   size:18.63,Price: ,1.57,Jamie Burnett, 2280126   size:3.63,Price: ,2.44,x
1.119051085, Sport: ,Baseball, Time: ,Sat Jun 06 01:07:00 CEST 2015, Time: ,Sat Jun 06 01:07:00 CEST 2015, Event: ,HOU @ TOR, Favorite: ,Toronto (A Sanchez), 9391061   size:104.0,Price: ,1.83,Houston (R Hernandez), 9391062   size:294.0,Price: ,2.12,okokokokokok
1.119051161, Sport: ,Baseball, Time: ,Sat Jun 06 02:40:00 CEST 2015, Time: ,Sat Jun 06 02:40:00 CEST 2015, Event: ,MIA @ COL, Favorite: ,Colorado (E Butler), 8587372   size:502.0,Price: ,1.92,Miami (T Koehler), 6720895   size:522.0,Price: ,1.97,xxxxxx
1.119083958, Sport: ,Snooker, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Woollaston v Yuelong, Favorite: ,Ben Woollaston, 2293306   size:5.16,Price: ,1.55,Zhou Yuelong, 6185914   size:3.16,Price: ,2.52,okokokokokok
1.119076441, Sport: ,Snooker, Time: ,Fri Jun 05 11:00:00 CEST 2015, Time: ,Fri Jun 05 11:00:00 CEST 2015, Event: ,G Wilson v J Walker, Favorite: ,Gary Wilson, 5764157   size:2.55,Price: ,1.61,Joel Walker, 5760963   size:5.46,Price: ,2.4,xxxxxx
