1.119280071, Sport: ,Tennis, Time: ,Tue Jun 30 12:30:00 CEST 2015, Time: ,Tue Jun 30 12:30:00 CEST 2015, Event: ,Pavlyuchenkova v Barthel, Favorite: ,Anastasia Pavlyuchenkov, 9438602   size:88.38,Price: ,1.49,Mona Barthel, 5056975   size:62.4,Price: ,2.86,ok
1.119275961, Sport: ,Tennis, Time: ,Tue Jun 30 12:30:00 CEST 2015, Time: ,Tue Jun 30 12:30:00 CEST 2015, Event: ,Bemelmans v Bautista Agut, Favorite: ,Roberto Bautista Agut, 4290403   size:18.65,Price: ,1.2,Ruben Bemelmans, 2831873   size:10.96,Price: ,5.3,ok
1.119306065, Sport: ,Tennis, Time: ,Tue Jun 30 10:00:00 CEST 2015, Time: ,Tue Jun 30 10:00:00 CEST 2015, Event: ,Gigounon v Crepaldi, Favorite: ,Germain Gigounon, 8174343   size:2.93,Price: ,1.48,Erik Crepaldi, 7839753   size:23.99,Price: ,2.78,x
1.119276217, Sport: ,Tennis, Time: ,Tue Jun 30 16:15:00 CEST 2015, Time: ,Tue Jun 30 16:15:00 CEST 2015, Event: ,Stepanek v Al Bedene, Favorite: ,Radek Stepanek, 2249332   size:28.09,Price: ,1.6,Aljaz Bedene, 5706996   size:68.85,Price: ,2.54,x
1.119296661, Sport: ,Tennis, Time: ,Tue Jun 30 11:45:00 CEST 2015, Time: ,Tue Jun 30 11:45:00 CEST 2015, Event: ,Cecchinato v Napolitano, Favorite: ,Marco Cecchinato, 6374165   size:79.5,Price: ,1.11,Stefano Napolitano, 8257870   size:11.38,Price: ,5.6,ok
1.119295945, Sport: ,Tennis, Time: ,Tue Jun 30 14:30:00 CEST 2015, Time: ,Tue Jun 30 14:30:00 CEST 2015, Event: ,Kubler v Panfil, Favorite: ,Jason Kubler, 4448756   size:2.97,Price: ,1.46,Grzegorz Panfil, 7412916   size:8.37,Price: ,2.8,ok
1.119296635, Sport: ,Tennis, Time: ,Tue Jun 30 15:00:00 CEST 2015, Time: ,Tue Jun 30 15:00:00 CEST 2015, Event: ,Hemery v Bourgue, Favorite: ,Calvin Hemery , 8284525   size:2.54,Price: ,1.71,Mathias Bourgue, 7066925   size:2.07,Price: ,2.1,ok
1.119296634, Sport: ,Tennis, Time: ,Tue Jun 30 13:30:00 CEST 2015, Time: ,Tue Jun 30 13:30:00 CEST 2015, Event: ,Ramirez Hidalgo v Ma Gonzalez, Favorite: ,Maximo Gonzalez, 2489416   size:3.39,Price: ,1.52,Ruben Ramirez Hidalgo, 2257299   size:2.56,Price: ,2.62,x
1.119280158, Sport: ,Tennis, Time: ,Tue Jun 30 13:00:00 CEST 2015, Time: ,Tue Jun 30 13:00:00 CEST 2015, Event: ,Jovanovski/Kichenok v Erakovic/Watson, Favorite: ,Erakovic/Watson, 6513220   size:3.57,Price: ,1.41,Jovanovski/Kichenok, 9683977   size:38.62,Price: ,2.34,ok
1.119277332, Sport: ,Tennis, Time: ,Tue Jun 30 12:30:00 CEST 2015, Time: ,Tue Jun 30 12:30:00 CEST 2015, Event: ,Paire v Youzhny, Favorite: ,Mikhail Youzhny, 2263536   size:64.23,Price: ,1.53,Benoit Paire, 3911345   size:50.57,Price: ,2.8,x
1.119277496, Sport: ,Tennis, Time: ,Tue Jun 30 14:45:00 CEST 2015, Time: ,Tue Jun 30 14:45:00 CEST 2015, Event: ,Almagro v Simon, Favorite: ,Gilles Simon, 2249345   size:7378.61,Price: ,1.23,Nicolas Almagro, 2257310   size:30.41,Price: ,5.1,ok
