1.122480277, Sport: ,Soccer, Time: ,Thu Jan 07 17:00:00 CET 2016, Time: ,Thu Jan 07 17:00:00 CET 2016, Event: ,Sao Caetano U20 v Perolas Negras U20, Favorite: ,Sao Caetano U20, 9465221   size:16.37,Price: ,1.48,Perolas Negras U20, 10681029   size:2.0,Price: ,7.2,The Draw, 58805   size:8.47,Price: ,4.7,ok
1.122481844, Sport: ,Snooker, Time: ,Thu Jan 07 12:00:00 CET 2016, Time: ,Thu Jan 07 12:00:00 CET 2016, Event: ,Mark Selby v Robert Milkins, Favorite: ,Mark Selby, 2280127   size:29.85,Price: ,1.51,Robert Milkins, 2278803   size:13.64,Price: ,2.56,ok
1.122478797, Sport: ,Soccer, Time: ,Thu Jan 07 14:05:00 CET 2016, Time: ,Thu Jan 07 14:05:00 CET 2016, Event: ,Al Wahda (Abu Dhabi) v Dibba Al Fujairah, Favorite: ,Al Wahda (Abu Dhabi), 6132829   size:3.24,Price: ,1.73,Dibba Al Fujairah, 6685874   size:58.95,Price: ,4.9,The Draw, 58805   size:90.18,Price: ,4.1,ok
1.122481365, Sport: ,Handball, Time: ,Thu Jan 07 16:00:00 CET 2016, Time: ,Thu Jan 07 16:00:00 CET 2016, Event: ,Ukraine v Greece, Favorite: ,Ukraine, 620385   size:2.7,Price: ,1.03,Greece, 624110   size:18.0,Price: ,1.77,Draw, 330157   size:18.0,Price: ,1.29,x
1.122486699, Sport: ,Tennis, Time: ,Fri Jan 08 04:00:00 CET 2016, Time: ,Fri Jan 08 04:00:00 CET 2016, Event: ,Kravchuk v Sugita, Favorite: ,Yuichi Sugita, 3374117   size:10.24,Price: ,1.97,Konstantin Kravchuk, 5011822   size:5.0,Price: ,2.02,x
1.122481363, Sport: ,Handball, Time: ,Thu Jan 07 15:00:00 CET 2016, Time: ,Thu Jan 07 15:00:00 CET 2016, Event: ,Cyprus v Latvia, Favorite: ,Latvia, 2409743   size:13.53,Price: ,1.01,Cyprus, 3510837   size:2.63,Price: ,55.0,Draw, 330157   size:2.63,Price: ,55.0,ok
1.122480351, Sport: ,Soccer, Time: ,Thu Jan 07 19:00:00 CET 2016, Time: ,Thu Jan 07 19:00:00 CET 2016, Event: ,SC Atibaia U20 v Goiania EC Goiania U20, Favorite: ,SC Atibaia U20, 10251776   size:6.47,Price: ,2.2,Goiania EC Goiania U20, 10681109   size:43.37,Price: ,2.56,The Draw, 58805   size:3.44,Price: ,3.3,x
1.122486691, Sport: ,Tennis, Time: ,Fri Jan 08 04:00:00 CET 2016, Time: ,Fri Jan 08 04:00:00 CET 2016, Event: ,Soeda v Coppejans, Favorite: ,Go Soeda, 2249835   size:2.55,Price: ,1.65,Kimmer Coppejans, 7364095   size:6.02,Price: ,2.38,ok
1.122472879, Sport: ,Darts, Time: ,Thu Jan 07 19:00:00 CET 2016, Time: ,Thu Jan 07 19:00:00 CET 2016, Event: ,Ailen de Graaf v Anca Zijlstra, Favorite: ,Ailen de Graaf, 10689149   size:2.55,Price: ,1.19,Anca Zijlstra, 10672315   size:2.55,Price: ,3.8,ok
1.122491473, Sport: ,Tennis, Time: ,Fri Jan 08 05:00:00 CET 2016, Time: ,Fri Jan 08 05:00:00 CET 2016, Event: ,Jor Thompson v Falla, Favorite: ,Jordan Thompson, 8145584   size:13.9,Price: ,1.04,Alejandro Falla, 2284300   size:13.9,Price: ,1.04,x
1.122490342, Sport: ,Tennis, Time: ,Thu Jan 07 15:15:00 CET 2016, Time: ,Thu Jan 07 15:15:00 CET 2016, Event: ,An Kuznetsov v Nadal, Favorite: ,Rafael Nadal, 2251410   size:128693.15,Price: ,1.04,Andrey Kuznetsov, 4257454   size:42.65,Price: ,23.0,ok
1.122489912, Sport: ,Soccer, Time: ,Thu Jan 07 19:00:00 CET 2016, Time: ,Thu Jan 07 19:00:00 CET 2016, Event: ,Audax Sao Paulo EC U20 v Sao Paulo FC U20, Favorite: ,Sao Paulo FC U20, 6714726   size:7.66,Price: ,1.62,Audax Sao Paulo EC U20, 7279634   size:66.95,Price: ,5.1,The Draw, 58805   size:4.18,Price: ,4.1,ok
1.122473243, Sport: ,Basketball, Time: ,Thu Jan 07 20:30:00 CET 2016, Time: ,Thu Jan 07 20:30:00 CET 2016, Event: ,Angers Women v Clube Uniao Sportiva Wo, Favorite: ,Angers Women, 9034872   size:3.27,Price: ,1.03,Clube Uniao Sportiva Wo, 10462541   size:3.27,Price: ,1.03,ok
1.122481307, Sport: ,Basketball, Time: ,Thu Jan 07 15:00:00 CET 2016, Time: ,Thu Jan 07 15:00:00 CET 2016, Event: ,Ekaterinburg (W) v Nadezhda (W), Favorite: ,Ekaterinburg (W), 6068594   size:4.17,Price: ,1.2,Nadezhda (W), 5290907   size:7.52,Price: ,5.5,x
1.122482517, Sport: ,Darts, Time: ,Thu Jan 07 14:30:00 CET 2016, Time: ,Thu Jan 07 14:30:00 CET 2016, Event: ,Ann Louise Peters v Zoe Jones, Favorite: ,Zoe Jones, 9122214   size:10.23,Price: ,1.59,Ann Louise Peters, 8193156   size:5.0,Price: ,2.54,x
1.122485911, Sport: ,Tennis, Time: ,Thu Jan 07 08:30:00 CET 2016, Time: ,Thu Jan 07 08:30:00 CET 2016, Event: ,Mektic/Sancic v Skugor/Soeda, Favorite: ,Mektic/Sancic, 8964483   size:2.55,Price: ,1.49,Skugor/Soeda, 10685004   size:44.23,Price: ,2.58,ok
1.122479315, Sport: ,Soccer, Time: ,Thu Jan 07 16:00:00 CET 2016, Time: ,Thu Jan 07 16:00:00 CET 2016, Event: ,Club Brugge v AZ Alkmaar, Favorite: ,Club Brugge, 10762   size:11.07,Price: ,2.24,Az Alkmaar, 3631356   size:2.55,Price: ,3.35,The Draw, 58805   size:122.01,Price: ,3.55,x
1.122466192, Sport: ,Darts, Time: ,Thu Jan 07 16:30:00 CET 2016, Time: ,Thu Jan 07 16:30:00 CET 2016, Event: ,Trina Gulliver v Lisa Ashton, Favorite: ,Lisa Ashton, 6962364   size:265.29,Price: ,1.13,Trina Gulliver, 2759081   size:4.45,Price: ,6.2,x
1.122472906, Sport: ,Tennis, Time: ,Thu Jan 07 14:30:00 CET 2016, Time: ,Thu Jan 07 14:30:00 CET 2016, Event: ,Klaasen/Ram v Rosol/Zelenay, Favorite: ,Klaasen/Ram, 9546313   size:112.66,Price: ,1.44,Rosol/Zelenay, 10682288   size:2.55,Price: ,2.82,ok
1.122481352, Sport: ,Basketball, Time: ,Thu Jan 07 11:00:00 CET 2016, Time: ,Thu Jan 07 11:00:00 CET 2016, Event: ,Samsung Life Blue Minx v KDB Life Winnus, Favorite: ,Samsung Life Blue Minx, 7894748   size:2.55,Price: ,1.48,KDB Life Winnus, 5166575   size:21.14,Price: ,2.82,x
