1.119225482, Sport: ,Cricket, Time: ,Sat Jun 27 12:00:00 CEST 2015, Time: ,Sat Jun 27 12:00:00 CEST 2015, Event: ,Surrey v Gloucestershire, Favorite: ,Surrey, 424676   size:10.18,Price: ,2.12,The Draw, 60443   size:2.57,Price: ,2.76,Gloucestershire, 2219   size:2.82,Price: ,3.7,ok
1.119159923, Sport: ,Basketball, Time: ,Sat Jun 27 12:45:00 CEST 2015, Time: ,Sat Jun 27 12:45:00 CEST 2015, Event: ,Italy U19 v Tunisia U19, Favorite: ,Italy U19, 9607910   size:108.93,Price: ,1.02,Tunisia U19, 9608159   size:5.79,Price: ,1.28,ok
1.119159944, Sport: ,Basketball, Time: ,Sat Jun 27 17:15:00 CEST 2015, Time: ,Sat Jun 27 17:15:00 CEST 2015, Event: ,Dominican Republic U19 v Serbia U19, Favorite: ,Serbia U19, 7375434   size:314.5,Price: ,1.02,Dominican Republic U19, 9608160   size:2.57,Price: ,1.28,ok
1.119294339, Sport: ,Tennis, Time: ,Sat Jun 27 11:45:00 CEST 2015, Time: ,Sat Jun 27 11:45:00 CEST 2015, Event: ,Heuser v Heller, Favorite: ,Peter Heller, 7234042   size:73.55,Price: ,1.02,ok
1.119294417, Sport: ,Tennis, Time: ,Sat Jun 27 17:00:00 CEST 2015, Time: ,Sat Jun 27 17:00:00 CEST 2015, Event: ,Dellien v Jakupovic, Favorite: ,Hugo Dellien, 8226987   size:3.53,Price: ,1.43,Alexandros Jakupovic, 7444897   size:5.94,Price: ,2.66,ok
1.119294407, Sport: ,Tennis, Time: ,Sat Jun 27 11:45:00 CEST 2015, Time: ,Sat Jun 27 11:45:00 CEST 2015, Event: ,N Barrientos v Rice, Favorite: ,Nicolas Barrientos, 7083200   size:2.57,Price: ,1.12,David Rice, 7366957   size:2.83,Price: ,6.0,ok
1.119294369, Sport: ,Tennis, Time: ,Sat Jun 27 11:45:00 CEST 2015, Time: ,Sat Jun 27 11:45:00 CEST 2015, Event: ,Bortolotti v Crepaldi, Favorite: ,Erik Crepaldi, 7839753   size:14.86,Price: ,1.44,Marco Bortolotti, 8574172   size:11.14,Price: ,2.48,ok
1.119294327, Sport: ,Tennis, Time: ,Sat Jun 27 11:45:00 CEST 2015, Time: ,Sat Jun 27 11:45:00 CEST 2015, Event: ,Inzerillo v Michon, Favorite: ,Axel Michon, 4994683   size:2.57,Price: ,1.1,Jerome Inzerillo, 8505852   size:2.57,Price: ,1.62,ok
1.119294349, Sport: ,Tennis, Time: ,Sat Jun 27 13:30:00 CEST 2015, Time: ,Sat Jun 27 13:30:00 CEST 2015, Event: ,Krstin v Hanfmann, Favorite: ,Pedja Krstin, 8257862   size:58.77,Price: ,1.58,Yannick Hanfmann, 8639275   size:2.91,Price: ,2.14,ok
1.119293898, Sport: ,Tennis, Time: ,Sat Jun 27 16:00:00 CEST 2015, Time: ,Sat Jun 27 16:00:00 CEST 2015, Event: ,Garcia/Srebotnik v Chan/Zheng, Favorite: ,Garcia/Srebotnik, 9128646   size:4.88,Price: ,1.55,Chan/Zheng, 8461906   size:2.09,Price: ,2.42,ok
1.119294474, Sport: ,Tennis, Time: ,Sat Jun 27 11:45:00 CEST 2015, Time: ,Sat Jun 27 11:45:00 CEST 2015, Event: ,De Greef v Shcherba, Favorite: ,Arthur De Greef , 8492061   size:73.55,Price: ,1.02,Vitalii Shcherba, 7364124   size:5.17,Price: ,5.3,ok
1.119294343, Sport: ,Tennis, Time: ,Sat Jun 27 15:15:00 CEST 2015, Time: ,Sat Jun 27 15:15:00 CEST 2015, Event: ,Schleper v T Bezolt, Favorite: , Thomas Bezolt , 9688420   size:74.41,Price: ,1.02,ok
1.119294057, Sport: ,Tennis, Time: ,Sat Jun 27 17:00:00 CEST 2015, Time: ,Sat Jun 27 17:00:00 CEST 2015, Event: ,Hemery v Delbonis, Favorite: ,Federico Delbonis, 6181532   size:6.47,Price: ,1.37,Calvin Hemery , 8284525   size:3.97,Price: ,3.4,ok
1.119294344, Sport: ,Tennis, Time: ,Sat Jun 27 13:30:00 CEST 2015, Time: ,Sat Jun 27 13:30:00 CEST 2015, Event: ,Merunka v Kuzmanov, Favorite: ,Dimitar Kuzmanov, 8443097   size:2.57,Price: ,1.05,Stefan Merunka, 8661863   size:10.75,Price: ,6.2,ok
1.119226729, Sport: ,Cricket, Time: ,Sat Jun 27 11:45:00 CEST 2015, Time: ,Sat Jun 27 11:45:00 CEST 2015, Event: ,Kenya v UAE, Favorite: ,UAE, 871131   size:15.27,Price: ,1.4,Kenya, 328229   size:9.72,Price: ,2.2,x
1.119294410, Sport: ,Tennis, Time: ,Sat Jun 27 13:30:00 CEST 2015, Time: ,Sat Jun 27 13:30:00 CEST 2015, Event: ,Beretta v F Coria, Favorite: ,Federico Coria, 8326752   size:3.38,Price: ,1.61,Duilio Beretta, 8326761   size:2.02,Price: ,2.1,ok
1.119258377, Sport: ,Basketball, Time: ,Sat Jun 27 11:15:00 CEST 2015, Time: ,Sat Jun 27 11:15:00 CEST 2015, Event: ,Meralco Bolts v San Miguel Beermen, Favorite: ,San Miguel Beermen, 3803247   size:337.01,Price: ,1.36,Meralco Bolts, 5023541   size:116.55,Price: ,3.45,x
1.119294381, Sport: ,Tennis, Time: ,Sat Jun 27 11:45:00 CEST 2015, Time: ,Sat Jun 27 11:45:00 CEST 2015, Event: ,Rodriguez - Pace v Massara, Favorite: ,Ricardo Rodriguez - Pac, 9260153   size:2.57,Price: ,1.05,Antonio Massara, 8661779   size:2.67,Price: ,8.4,x
