1.121237072, Sport: ,Tennis, Time: ,Fri Oct 16 07:00:00 CEST 2015, Time: ,Fri Oct 16 07:00:00 CEST 2015, Event: ,Babos v Ka Pliskova, Favorite: ,Karolina Pliskova, 6199453   size:1896.22,Price: ,1.51,Timea Babos, 4828174   size:87.89,Price: ,2.88,ok
1.121237617, Sport: ,Tennis, Time: ,Fri Oct 16 06:31:00 CEST 2015, Time: ,Fri Oct 16 06:31:00 CEST 2015, Event: ,Cipolla v Da Nguyen, Favorite: ,Flavio Cipolla, 2424788   size:214.2,Price: ,1.79,Daniel Nguyen, 8349390   size:20.49,Price: ,1.9,ok
1.121270887, Sport: ,Tennis, Time: ,Fri Oct 16 07:30:00 CEST 2015, Time: ,Fri Oct 16 07:30:00 CEST 2015, Event: ,K Anderson v Tsonga, Favorite: ,Jo-Wilfried Tsonga, 4190307   size:246.55,Price: ,1.82,Kevin Anderson, 2519549   size:1444.84,Price: ,2.2,ok
1.121270955, Sport: ,Tennis, Time: ,Fri Oct 16 06:30:00 CEST 2015, Time: ,Fri Oct 16 06:30:00 CEST 2015, Event: ,Jurak/Melichar v Kichenok/Kichenok, Favorite: ,Jurak/Melichar, 10407833   size:111.45,Price: ,1.33,Kichenok/Kichenok, 4670057   size:38.05,Price: ,3.6,ok
1.120939228, Sport: ,Cricket, Time: ,Fri Oct 16 06:30:00 CEST 2015, Time: ,Fri Oct 16 06:30:00 CEST 2015, Event: ,Sri Lanka U19 v Pakistan U19 (1st ODI), Favorite: ,Sri Lanka U19, 1210408   size:113.26,Price: ,1.03,Pakistan U19, 737326   size:113.26,Price: ,1.03,ok
1.121255716, Sport: ,Tennis, Time: ,Fri Oct 16 07:30:00 CEST 2015, Time: ,Fri Oct 16 07:30:00 CEST 2015, Event: ,Cabal/Farah v Nestor/Roger-Vasselin, Favorite: ,Nestor/Roger-Vasselin, 10138985   size:29.07,Price: ,1.47,Cabal/Farah, 6098095   size:11.18,Price: ,2.92,ok
