Data\Backup\allmatches_2015_07_09T07_58_35.csv,1.119416751, Sport: ,Tennis, Time: ,Thu Jul 09 14:00:00 CEST 2015, Time: ,Thu Jul 09 14:00:00 C
Data\Backup\allmatches_2015_07_12T09_01_03.csv,1.119465228, Sport: ,Soccer, Time: ,Sun
Data\Backup\allmatches_2015_07_12T09_45_51.csv,1.119465578, Sport: ,Soccer, Time: ,Sun Jul 12 14:00:00 CEST 20
Data\Backup\allmatches_2015_07_21T07_43_41.csv,1.119584766, Sport: ,Tennis, Time: ,Tu
Data\Backup\allmatches_2015_07_27T17_53_26.csv,1.119609841, Sport: ,Soccer, Time: ,Mon Jul 27 18:00:00 CEST 2015, Time: ,Mon Jul 27 18:00:00 CEST 2015, Event: ,Fakel v Shinnik, Favorite: ,S
Data\Backup\allmatches_2015_07_29T17_08_44.csv,1.119734998, Sport:
Data\Backup\allmatches_2015_08_11T18_50_08.csv,1.119846112, Sport: ,Soccer
Data\Backup\allmatches_2015_08_11T18_52_14.csv,1.119846112, Sport: ,Soccer
Data\Backup\allmatches_2015_08_11T19_03_39.csv,1.119953417, Sport: ,Tennis, Time: ,Tue Aug 11 21
Data\Backup\allmatches_2015_08_25T17_21_45.csv,1.120233506, Sport: ,Tenn
Data\Backup\allmatches_2015_08_26T21_06_08.csv,1.120233451, Sport
Data\Backup\allmatches_2015_08_26T21_07_58.csv,1.120233451, Sport
Data\Backup\allmatches_2015_08_26T21_11_28.csv,1.120251789, Sport:
Data\Backup\allmatches_2015_08_27T18_49_11.csv,1.120268100, Sport: ,Tennis, Time: ,Thu Aug 27 21:00:00 CEST 2015, Time: ,Thu Aug 27 21:00:00 CEST 2015, Event: ,Butorac/Lipsky v Fyrstenberg/Qureshi, Favorite: ,Fyrstenberg/Qureshi, 
Data\Backup\allmatches_2015_08_31T06_44_24.csv,1.120180486, Sport: ,Soccer, Time: ,Mon Aug 31 16:00:00 CEST 2015, Time: ,Mon Aug 31 16:00:00 CEST 2015, Event: ,Weston-super-Mare v Bath City, Favorite: ,Bath Cit
Data\Backup\allmatches_2015_09_01T20_54_39.csv,1.120333849, Spor
Data\Backup\allmatches_2015_09_02T14_02_49.csv,1.120351202, S
Data\Backup\allmatches_2015_09_03T11_50_14.csv,1.120380669, Sport: ,Soccer, Time: ,Thu Sep 03 16:00:00 CEST 2015
Data\Backup\allmatches_2015_09_04T08_54_01.csv,1.120398822, Sport: ,Soccer, Time: ,Fri Sep 04 15:45:00 CEST 2015, Time: ,Fri Sep 04 15:45:00 CEST 2015, Event: ,Al Nasr (UAE) v Al Wasl, Favori
Data\Backup\allmatches_2015_09_12T06_16_45.csv,1.120586318, Sport: ,Soccer, Time: ,Sat Sep 12 15:00:00 CEST 2015, Time: ,Sat Sep 12 15:00:00 CEST 2015, Event: ,Nice Futis Pori (W) v Vasa IFK (
Data\Backup\allmatches_2015_09_14T21_19_13.csv,1.120628098, Sport: ,Tennis, Time: ,Tue Sep 15 07:30:00 CEST 2015, Tim
Data\Backup\allmatches_2015_09_20T20_24_45.csv,1.120802703, Sport: 
Data\Backup\allmatches_2015_09_21T19_17_28.csv,1.120807576, Sport: ,Tennis, Time: ,Tue Sep 22 07:00:00 
Data\Backup\allmatches_2015_09_23T20_33_24.csv,1.120845130, Sport: ,Tennis, Time: ,Th
Data\Backup\allmatches_2015_09_24T20_28_11.csv,1.120860193, Sport: ,Tennis, Time: ,Fri Sep 25 05:00:00 CEST
Data\Backup\allmatches_2015_09_27T18_40_04.csv,1.120954914, Sport: ,Te
Data\Backup\allmatches_2015_07_09T07_58_35.csv,1.119416751, Sport: ,Tennis, Time: ,Thu Jul 09 14:00:00 CEST 2015, Time: ,Thu Jul 09 14:00:00 C
Data\Backup\allmatches_2015_07_12T09_01_03.csv,1.119465228, Sport: ,Soccer, Time: ,Sun
Data\Backup\allmatches_2015_07_12T09_45_51.csv,1.119465578, Sport: ,Soccer, Time: ,Sun Jul 12 14:00:00 CEST 20
Data\Backup\allmatches_2015_07_21T07_43_41.csv,1.119584766, Sport: ,Tennis, Time: ,Tu
Data\Backup\allmatches_2015_07_27T17_53_26.csv,1.119609841, Sport: ,Soccer, Time: ,Mon Jul 27 18:00:00 CEST 2015, Time: ,Mon Jul 27 18:00:00 CEST 2015, Event: ,Fakel v Shinnik, Favorite: ,S
Data\Backup\allmatches_2015_07_29T17_08_44.csv,1.119734998, Sport:
Data\Backup\allmatches_2015_08_11T18_50_08.csv,1.119846112, Sport: ,Soccer
Data\Backup\allmatches_2015_08_11T18_52_14.csv,1.119846112, Sport: ,Soccer
Data\Backup\allmatches_2015_08_11T19_03_39.csv,1.119953417, Sport: ,Tennis, Time: ,Tue Aug 11 21
Data\Backup\allmatches_2015_08_25T17_21_45.csv,1.120233506, Sport: ,Tenn
Data\Backup\allmatches_2015_08_26T21_06_08.csv,1.120233451, Sport
Data\Backup\allmatches_2015_08_26T21_07_58.csv,1.120233451, Sport
Data\Backup\allmatches_2015_08_26T21_11_28.csv,1.120251789, Sport:
