1.119168266, Sport: ,Mixed Martial Arts, Time: ,Sat Jun 20 22:00:00 CEST 2015, Time: ,Sat Jun 20 22:00:00 CEST 2015, Event: ,Hein v Sajewski, Favorite: ,Nick Hein, 8509548   size:13.06,Price: ,1.63,Lukasz Sajewski, 9612412   size:230.93,Price: ,2.36,ok
1.119168265, Sport: ,Mixed Martial Arts, Time: ,Sat Jun 20 22:00:00 CEST 2015, Time: ,Sat Jun 20 22:00:00 CEST 2015, Event: ,Sobotta v Kennedy, Favorite: ,Peter Sobotta, 3789403   size:7.1,Price: ,1.32,Steven Kennedy, 9612405   size:105.06,Price: ,3.85,ok
1.119168264, Sport: ,Mixed Martial Arts, Time: ,Sat Jun 20 21:00:00 CEST 2015, Time: ,Sat Jun 20 21:00:00 CEST 2015, Event: ,Siver v Kawajiri, Favorite: ,Dennis Siver, 3772556   size:41.01,Price: ,1.67,Tatsuya Kawajiri, 5455492   size:10.94,Price: ,2.16,x
1.119168263, Sport: ,Mixed Martial Arts, Time: ,Sat Jun 20 21:00:00 CEST 2015, Time: ,Sat Jun 20 21:00:00 CEST 2015, Event: ,Jedrzejczyk v Penne, Favorite: ,Joanna Jedrzejczyk, 8702171   size:236.51,Price: ,1.11,Jessica Penne, 9081942   size:36.79,Price: ,7.0,ok
1.119155826, Sport: ,Baseball, Time: ,Sat Jun 20 22:05:00 CEST 2015, Time: ,Sat Jun 20 22:05:00 CEST 2015, Event: ,LAA @ OAK, Favorite: ,Oakland (J Hahn), 9381400   size:48.24,Price: ,1.78,LA Angels (J Weaver), 2412538   size:995.0,Price: ,2.18,ok
1.119145012, Sport: ,Basketball, Time: ,Sat Jun 20 20:45:00 CEST 2015, Time: ,Sat Jun 20 20:45:00 CEST 2015, Event: ,Dinamo Sassari v Reggio Emilia, Favorite: ,Dinamo Sassari, 5520916   size:44.93,Price: ,1.4,Reggio Emilia, 958950   size:153.21,Price: ,3.3,ok
1.119216672, Sport: ,Basketball, Time: ,Sun Jun 21 00:45:00 CEST 2015, Time: ,Sun Jun 21 00:45:00 CEST 2015, Event: ,Antigua v Virgin Islands, Favorite: ,Virgin Islands, 2512082   size:5.59,Price: ,1.01,Antigua, 9582142   size:2633.67,Price: ,1.02,ok
1.119155866, Sport: ,Baseball, Time: ,Sun Jun 21 01:10:00 CEST 2015, Time: ,Sun Jun 21 01:10:00 CEST 2015, Event: ,MIA @ CIN, Favorite: ,Cincinnati (A DeSclafani), 9385641   size:684.53,Price: ,1.79,Miami (T Koehler), 6720895   size:160.97,Price: ,2.16,x
1.119066239, Sport: ,Cricket, Time: ,Sun Jun 21 00:00:00 CEST 2015, Time: ,Sun Jun 21 00:00:00 CEST 2015, Event: ,Barbados v Guyana, Favorite: ,Barbados, 2312315   size:33.19,Price: ,1.97,Guyana, 2009654   size:255.31,Price: ,2.0,ok
1.119092606, Sport: ,Basketball, Time: ,Sun Jun 21 01:00:00 CEST 2015, Time: ,Sun Jun 21 01:00:00 CEST 2015, Event: ,Washington @ Indiana, Favorite: ,Indiana, 13116   size:2.55,Price: ,1.91,Washington, 13105   size:315.62,Price: ,1.97,x
1.119201888, Sport: ,Boxing, Time: ,Sun Jun 21 02:30:00 CEST 2015, Time: ,Sun Jun 21 02:30:00 CEST 2015, Event: ,Spence Jr v Lo Greco, Favorite: ,Errol Spence Jr, 9622684   size:5.59,Price: ,1.04,Phil Lo Greco, 9647240   size:7.18,Price: ,17.0,Draw, 31162   size:2.79,Price: ,26.0,ok
