1.121332703, Sport: ,Tennis, Time: ,Tue Oct 20 12:00:00 CEST 2015, Time: ,Tue Oct 20 12:00:00 CEST 2015, Event: ,Darcis v A Mannarino, Favorite: ,Adrian Mannarino, 3066621   size:6.83,Price: ,1.64,Steve Darcis, 2481589   size:30.15,Price: ,2.52,x
1.121349375, Sport: ,Soccer, Time: ,Tue Oct 20 13:00:00 CEST 2015, Time: ,Tue Oct 20 13:00:00 CEST 2015, Event: ,Lokomotiv Tashkent v Buxoro FK, Favorite: ,Lokomotiv Tashkent, 6449763   size:16.84,Price: ,1.24,Buxoro FK, 8274736   size:2.67,Price: ,11.5,The Draw, 58805   size:2.55,Price: ,4.0,ok
1.121329815, Sport: ,Tennis, Time: ,Tue Oct 20 09:30:00 CEST 2015, Time: ,Tue Oct 20 09:30:00 CEST 2015, Event: ,Ramanathan v Gerasimov, Favorite: ,Egor Gerasimov, 7797772   size:62.24,Price: ,1.44,Ramkumar Ramanathan, 8173038   size:2.55,Price: ,2.96,ok
1.121331616, Sport: ,Tennis, Time: ,Tue Oct 20 10:00:00 CEST 2015, Time: ,Tue Oct 20 10:00:00 CEST 2015, Event: ,Bednarek/Martin v Muzaev/Zaitcev, Favorite: ,Bednarek/Martin, 10250813   size:2.55,Price: ,1.24,Muzaev/Zaitcev, 10431017   size:7.58,Price: ,4.5,ok
1.121347230, Sport: ,Soccer, Time: ,Tue Oct 20 17:30:00 CEST 2015, Time: ,Tue Oct 20 17:30:00 CEST 2015, Event: ,FC Nitra v Slovan Bratislava, Favorite: ,Slovan Bratislava, 46933   size:7.17,Price: ,1.35,FC Nitra, 1506281   size:8.5,Price: ,6.8,The Draw, 58805   size:2.55,Price: ,5.0,ok
1.121329818, Sport: ,Tennis, Time: ,Tue Oct 20 11:15:00 CEST 2015, Time: ,Tue Oct 20 11:15:00 CEST 2015, Event: ,Kudryavtsev v Konecny, Favorite: ,Alexander Kudryavtsev, 5908538   size:7.22,Price: ,1.24,Michal Konecny, 8522533   size:7.55,Price: ,4.1,ok
1.121339857, Sport: ,Basketball, Time: ,Tue Oct 20 17:30:00 CEST 2015, Time: ,Tue Oct 20 17:30:00 CEST 2015, Event: ,Helsinki v Pyrinto Tampere, Favorite: ,Helsinki, 9042443   size:2.74,Price: ,1.09,Pyrinto Tampere, 7749531   size:316.73,Price: ,1.86,x
1.121331695, Sport: ,Tennis, Time: ,Tue Oct 20 16:45:00 CEST 2015, Time: ,Tue Oct 20 16:45:00 CEST 2015, Event: ,Bellucci v Monfils, Favorite: ,Gael Monfils, 2257300   size:116.04,Price: ,1.4,Thomaz Bellucci, 2830908   size:59.39,Price: ,3.3,ok
1.121339863, Sport: ,Basketball, Time: ,Tue Oct 20 18:00:00 CEST 2015, Time: ,Tue Oct 20 18:00:00 CEST 2015, Event: ,OKK Beograd v Vojvodina, Favorite: ,OKK Beograd, 7735982   size:8.23,Price: ,1.03,Vojvodina, 1275949   size:8.23,Price: ,1.03,ok
1.121345861, Sport: ,Tennis, Time: ,Tue Oct 20 14:45:00 CEST 2015, Time: ,Tue Oct 20 14:45:00 CEST 2015, Event: ,Struff v Stakhovsky, Favorite: ,Jan-Lennard Struff, 8259098   size:592.13,Price: ,1.5,Sergiy Stakhovsky, 2284304   size:97.13,Price: ,2.94,x
1.121277216, Sport: ,Soccer, Time: ,Tue Oct 20 18:00:00 CEST 2015, Time: ,Tue Oct 20 18:00:00 CEST 2015, Event: ,Usti nad Labem v Dukla Prague, Favorite: ,Dukla Prague, 4142634   size:11.33,Price: ,1.97,Usti Nad Labem, 3358865   size:5.32,Price: ,3.95,The Draw, 58805   size:2.71,Price: ,3.75,ok
1.121342354, Sport: ,Tennis, Time: ,Tue Oct 20 16:45:00 CEST 2015, Time: ,Tue Oct 20 16:45:00 CEST 2015, Event: ,Dustov/Motti v Authom/Guez, Favorite: ,Dustov/Motti, 8375701   size:6.17,Price: ,1.04,Authom/Guez, 10434610   size:6.17,Price: ,1.04,x
1.121331867, Sport: ,Tennis, Time: ,Tue Oct 20 16:30:00 CEST 2015, Time: ,Tue Oct 20 16:30:00 CEST 2015, Event: ,St Johnson v Dolgopolov, Favorite: ,Alexandr Dolgopolov, 4720522   size:495.26,Price: ,1.79,Steve Johnson, 4876706   size:156.67,Price: ,2.22,x
1.121351055, Sport: ,Tennis, Time: ,Tue Oct 20 14:45:00 CEST 2015, Time: ,Tue Oct 20 14:45:00 CEST 2015, Event: ,Ilhan v T Ito, Favorite: ,Tatsuma Ito, 3374118   size:73.13,Price: ,1.84,Marsel Ilhan, 4147957   size:12.92,Price: ,2.16,x
