1.121344241, Sport: ,Rugby Union, Time: ,Fri Oct 23 20:45:00 CEST 2015, Time: ,Fri Oct 23 20:45:00 CEST 2015, Event: ,Gloucester v Saracens, Favorite: ,Saracens, 8881   size:443.01,Price: ,1.81,Gloucester, 168   size:58.6,Price: ,2.44,Draw, 246289   size:3.05,Price: ,22.0
1.121344248, Sport: ,Rugby Union, Time: ,Fri Oct 23 21:00:00 CEST 2015, Time: ,Fri Oct 23 21:00:00 CEST 2015, Event: ,Sale v Worcester, Favorite: ,Sale, 3139   size:7.13,Price: ,1.26,Worcester, 283308   size:55.72,Price: ,5.4,Draw, 246289   size:2.37,Price: ,23.0
1.121265895, Sport: ,Soccer, Time: ,Fri Oct 23 23:00:00 CEST 2015, Time: ,Fri Oct 23 23:00:00 CEST 2015, Event: ,Rubio Nu v Deportivo Santani, Favorite: ,Rubio Nu, 5363620   size:16.54,Price: ,2.3,Deportivo Santani, 7457440   size:76.98,Price: ,3.2,The Draw, 58805   size:2.0,Price: ,3.65
1.121322459, Sport: ,Soccer, Time: ,Sat Oct 24 00:00:00 CEST 2015, Time: ,Sat Oct 24 00:00:00 CEST 2015, Event: ,Lanus v Boca Juniors, Favorite: ,Boca Juniors, 17304   size:5.0,Price: ,1.97,Lanus, 194513   size:42.56,Price: ,4.9,The Draw, 58805   size:5.0,Price: ,3.4
1.121361848, Sport: ,American Football, Time: ,Sat Oct 24 01:00:00 CEST 2015, Time: ,Sat Oct 24 01:00:00 CEST 2015, Event: ,Montreal @ Toronto, Favorite: ,Toronto, 2014644   size:77.2,Price: ,1.35,Montreal, 2014643   size:2.68,Price: ,3.5
1.121362306, Sport: ,Basketball, Time: ,Sat Oct 24 02:00:00 CEST 2015, Time: ,Sat Oct 24 02:00:00 CEST 2015, Event: ,Boca Jrs v Obras, Favorite: ,Obras, 6269780   size:3.17,Price: ,1.08,Boca Jrs, 6719112   size:2.78,Price: ,1.8
1.121395848, Sport: ,Baseball, Time: ,Sat Oct 24 02:07:00 CEST 2015, Time: ,Sat Oct 24 02:07:00 CEST 2015, Event: ,TOR @ KC, Favorite: ,Toronto (D Price), 10108182   size:249.23,Price: ,1.78,Kansas City (Y Ventura), 7663454   size:38.65,Price: ,2.24
1.121431887, Sport: ,Soccer, Time: ,Sat Oct 24 03:15:00 CEST 2015, Time: ,Sat Oct 24 03:15:00 CEST 2015, Event: ,Honduras Progreso v Juticalpa, Favorite: ,Juticalpa, 10160888   size:139.86,Price: ,1.06,Honduras Progreso, 9216461   size:2.82,Price: ,1.77,The Draw, 58805   size:14.19,Price: ,2.92
1.121361851, Sport: ,American Football, Time: ,Sat Oct 24 04:00:00 CEST 2015, Time: ,Sat Oct 24 04:00:00 CEST 2015, Event: ,Hamilton @ BC, Favorite: ,Hamilton, 2014691   size:2.55,Price: ,1.85,BC, 2014481   size:5.9,Price: ,2.02
1.121349981, Sport: ,Ice Hockey, Time: ,Sat Oct 24 04:35:00 CEST 2015, Time: ,Sat Oct 24 04:35:00 CEST 2015, Event: ,Carolina @ Los Angeles, Favorite: ,Los Angeles, 2112286   size:4.7,Price: ,1.92,Carolina, 2108027   size:2.72,Price: ,3.75,Tie, 60104   size:2.68,Price: ,4.0
1.121261340, Sport: ,Soccer, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,Shimizu v Kashiwa, Favorite: ,Kashiwa, 441080   size:352.68,Price: ,2.18,Shimizu, 441086   size:2.77,Price: ,3.35,The Draw, 58805   size:91.44,Price: ,3.8
1.121261725, Sport: ,Soccer, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,Kawasaki v Yokohama FM, Favorite: ,Kawasaki, 1080507   size:21.56,Price: ,2.3,Yokohama FM, 441087   size:467.69,Price: ,3.2,The Draw, 58805   size:16.61,Price: ,3.85
1.121261533, Sport: ,Soccer, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,Kofu v Hiroshima, Favorite: ,Hiroshima, 744103   size:14.44,Price: ,1.83,Kofu, 1405179   size:2.78,Price: ,5.2,The Draw, 58805   size:136.99,Price: ,3.65
1.121261244, Sport: ,Soccer, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,Matsumoto v Tosu, Favorite: ,Matsumoto, 7081210   size:22.7,Price: ,2.6,Tosu, 3455676   size:30.72,Price: ,2.9,The Draw, 58805   size:44.7,Price: ,3.45
1.121261629, Sport: ,Soccer, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,FC Tokyo v Urawa, Favorite: ,Urawa, 441088   size:13.43,Price: ,2.12,FC Tokyo, 350849   size:23.37,Price: ,3.65,The Draw, 58805   size:37.78,Price: ,3.75
1.121439791, Sport: ,Tennis, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,Skugor v Zopp, Favorite: ,Jurgen Zopp, 5223695   size:3.53,Price: ,1.8,Franko Skugor, 2862839   size:38.34,Price: ,2.14
1.121261051, Sport: ,Soccer, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,Kobe v Yamagata, Favorite: ,Kobe, 441082   size:3.19,Price: ,1.86,Yamagata, 3718961   size:101.18,Price: ,4.6,The Draw, 58805   size:40.86,Price: ,3.85
1.121255805, Sport: ,Soccer, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,Daejeon Citizen v Busan lPark, Favorite: ,Busan lPark, 5352228   size:133.98,Price: ,2.58,Daejeon Citizen, 5352230   size:5.85,Price: ,3.05,The Draw, 58805   size:77.63,Price: ,3.25
1.121255853, Sport: ,Soccer, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,Pohang Steelers v Jeju Utd, Favorite: ,Pohang Steelers, 1363823   size:32.53,Price: ,1.75,Jeju Utd, 5342583   size:42.43,Price: ,5.4,The Draw, 58805   size:68.6,Price: ,3.7
1.121261437, Sport: ,Soccer, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,Nagoya v Niigata, Favorite: ,Niigata, 744094   size:23.44,Price: ,2.28,Nagoya, 441084   size:2.77,Price: ,3.35,The Draw, 58805   size:137.42,Price: ,3.7
1.121409711, Sport: ,Tennis, Time: ,Sat Oct 24 08:45:00 CEST 2015, Time: ,Sat Oct 24 08:45:00 CEST 2015, Event: ,Fabbiano/Zopp v Mektic/Skugor, Favorite: ,Mektic/Skugor, 9146543   size:2.55,Price: ,1.55,Fabbiano/Zopp, 10433866   size:2.75,Price: ,2.3
1.121282734, Sport: ,Volleyball, Time: ,Sat Oct 24 09:00:00 CEST 2015, Time: ,Sat Oct 24 09:00:00 CEST 2015, Event: ,GS Caltex Kixx v Korea Expressway, Favorite: ,GS Caltex Kixx, 10391693   size:2790.81,Price: ,1.01,Gyeongbuk Gimcheon High, 10391714   size:2790.81,Price: ,1.01
