1.119299486, Sport: ,Baseball, Time: ,Sun Jul 05 20:20:00 CEST 2015, Time: ,Sun Jul 05 20:20:00 CEST 2015, Event: ,MIA @ CHC, Favorite: ,Chicago Cubs (K Hendricks), 8688427   size:2.0,Price: ,1.7,Miami (M Latos), 9381399   size:3.96,Price: ,2.28,ok
1.119381963, Sport: ,Soccer, Time: ,Sun Jul 05 21:00:00 CEST 2015, Time: ,Sun Jul 05 21:00:00 CEST 2015, Event: ,CA Alvarado del Plata v Comodoro Rivadavia, Favorite: ,Comodoro Rivadavia, 9820331   size:10.62,Price: ,1.08,The Draw, 58805   size:28.02,Price: ,2.0,x
1.119382019, Sport: ,Soccer, Time: ,Sun Jul 05 21:30:00 CEST 2015, Time: ,Sun Jul 05 21:30:00 CEST 2015, Event: ,CD MAIPU v Universitario San Luis, Favorite: ,CD MAIPU, 7846922   size:5.02,Price: ,1.57,Universitario San Luis, 8389982   size:5.02,Price: ,1.86,The Draw, 58805   size:10.04,Price: ,2.02,x
1.119387426, Sport: ,Volleyball, Time: ,Sun Jul 05 21:10:00 CEST 2015, Time: ,Sun Jul 05 21:10:00 CEST 2015, Event: ,Algeria (W) v Kenya (W), Favorite: ,Algeria (W), 8723661   size:140.12,Price: ,1.01,Kenya (W), 8723662   size:120.49,Price: ,1.03,x
1.119391127, Sport: ,Tennis, Time: ,Sun Jul 05 10:00:00 CEST 2015, Time: ,Sun Jul 05 10:00:00 CEST 2015, Event: ,Rizzuti v Paval, Favorite: ,Giovanni Rizzuti, 8661105   size:10.62,Price: ,1.03,Costin Paval, 8395361   size:7.08,Price: ,1.07,x
1.119268468, Sport: ,Soccer, Time: ,Sun Jul 05 18:00:00 CEST 2015, Time: ,Sun Jul 05 18:00:00 CEST 2015, Event: ,Aalesunds v Mjondalen, Favorite: ,Aalesunds, 3038746   size:23.6,Price: ,1.88,The Draw, 58805   size:135.23,Price: ,4.0,Mjondalen, 3782270   size:8.75,Price: ,4.2,ok
1.119391491, Sport: ,Tennis, Time: ,Sun Jul 05 16:00:00 CEST 2015, Time: ,Sun Jul 05 16:00:00 CEST 2015, Event: ,Ho v Escobedo, Favorite: ,Ernesto Escobedo, 8700174   size:44.28,Price: ,1.03,Jonathan Ho, 8780279   size:16.6,Price: ,1.08,ok
1.119379365, Sport: ,Soccer, Time: ,Sun Jul 05 16:00:00 CEST 2015, Time: ,Sun Jul 05 16:00:00 CEST 2015, Event: ,VV Damme v Cercle Brugge, Favorite: ,Cercle Brugge, 259394   size:2.0,Price: ,1.08,The Draw, 58805   size:10.62,Price: ,3.0,VV Damme, 9819157   size:10.04,Price: ,5.1,ok
1.119391121, Sport: ,Tennis, Time: ,Sun Jul 05 11:45:00 CEST 2015, Time: ,Sun Jul 05 11:45:00 CEST 2015, Event: ,Virgili v Balleret, Favorite: ,Benjamin Balleret, 2377738   size:110.35,Price: ,1.41,Adelchi Virgili, 8288060   size:7.0,Price: ,3.25,ok
1.119269278, Sport: ,Soccer, Time: ,Sun Jul 05 17:30:00 CEST 2015, Time: ,Sun Jul 05 17:30:00 CEST 2015, Event: ,IFK Mariehamn v Ilves, Favorite: ,IFK Mariehamn, 1099216   size:67.01,Price: ,1.56,The Draw, 58805   size:10.74,Price: ,4.4,Ilves, 1229635   size:54.01,Price: ,7.2,x
1.119391493, Sport: ,Tennis, Time: ,Sun Jul 05 17:45:00 CEST 2015, Time: ,Sun Jul 05 17:45:00 CEST 2015, Event: ,Holt v Jomby, Favorite: ,Tom Jomby, 8859046   size:44.28,Price: ,1.03,ok
1.119391097, Sport: ,Tennis, Time: ,Sun Jul 05 15:45:00 CEST 2015, Time: ,Sun Jul 05 15:45:00 CEST 2015, Event: ,Galovic v Jakupovic, Favorite: ,Alexandros Jakupovic, 7444897   size:16.6,Price: ,1.08,x
1.119391486, Sport: ,Tennis, Time: ,Sun Jul 05 16:00:00 CEST 2015, Time: ,Sun Jul 05 16:00:00 CEST 2015, Event: ,Shropshire v Jones, Favorite: ,Greg Jones, 2753884   size:44.28,Price: ,1.03,Samuel Shropshire, 8660366   size:16.6,Price: ,1.08,x
