1.121618420, Sport: ,Rugby Union, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,London Irish v Bath, Favorite: ,Bath, 8887   size:2.68,Price: ,1.42,London Irish, 2734858   size:2.7,Price: ,3.05,Draw, 246289   size:21.99,Price: ,22.0,ok
1.121543109, Sport: ,Soccer, Time: ,Sat Nov 07 15:00:00 CET 2015, Time: ,Sat Nov 07 15:00:00 CET 2015, Event: ,Novara v Brescia, Favorite: ,Novara, 522045   size:10.37,Price: ,2.04,Brescia, 7407   size:838.45,Price: ,4.7,The Draw, 58805   size:134.59,Price: ,3.3,ok
1.121618423, Sport: ,Rugby Union, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Worcester v Newcastle, Favorite: ,Worcester, 283308   size:19.17,Price: ,1.4,Newcastle, 1247243   size:33.0,Price: ,3.1,Draw, 246289   size:21.99,Price: ,22.0,ok
1.121542937, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Aberdeen v Dundee Utd, Favorite: ,Aberdeen, 1189   size:190.81,Price: ,1.52,Dundee Utd, 48818   size:79.45,Price: ,7.0,The Draw, 58805   size:159.65,Price: ,4.7,ok
1.121555213, Sport: ,Soccer, Time: ,Sat Nov 07 07:00:00 CET 2015, Time: ,Sat Nov 07 07:00:00 CET 2015, Event: ,FC Seoul v Suwon Bluewings, Favorite: ,FC Seoul, 2479786   size:59.88,Price: ,2.76,Suwon Bluewings, 5339134   size:134.13,Price: ,2.86,The Draw, 58805   size:142.34,Price: ,3.2,ok
1.121552860, Sport: ,Soccer, Time: ,Sat Nov 07 14:00:00 CET 2015, Time: ,Sat Nov 07 14:00:00 CET 2015, Event: ,Vlasim v Znojmo, Favorite: ,Znojmo, 4142628   size:9.35,Price: ,2.18,Vlasim, 5866799   size:2.55,Price: ,3.1,The Draw, 58805   size:2.74,Price: ,3.5,x
1.121682089, Sport: ,Soccer, Time: ,Sat Nov 07 10:00:00 CET 2015, Time: ,Sat Nov 07 10:00:00 CET 2015, Event: ,UTA Arad v Soimii Pancota, Favorite: ,Soimii Pancota, 6681487   size:4.25,Price: ,1.07,UTA Arad, 2311174   size:3.31,Price: ,1.09,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121682364, Sport: ,Soccer, Time: ,Sat Nov 07 12:30:00 CET 2015, Time: ,Sat Nov 07 12:30:00 CET 2015, Event: ,Rapid Bucharest v Otelul Galati, Favorite: ,Rapid Bucharest, 6394   size:137.78,Price: ,1.22,Otelul Galati, 866238   size:22.34,Price: ,7.4,The Draw, 58805   size:15.0,Price: ,3.85,x
1.121553711, Sport: ,Soccer, Time: ,Sat Nov 07 14:00:00 CET 2015, Time: ,Sat Nov 07 14:00:00 CET 2015, Event: ,Viktoria Aschaffenburg v Jahn Regensburg, Favorite: ,Jahn Regensburg, 4855758   size:182.26,Price: ,1.48,Viktoria Aschaffenburg, 6516916   size:7.8,Price: ,7.0,The Draw, 58805   size:2.55,Price: ,4.7,x
1.121553436, Sport: ,Soccer, Time: ,Sat Nov 07 14:00:00 CET 2015, Time: ,Sat Nov 07 14:00:00 CET 2015, Event: ,Memmingen v Amberg, Favorite: ,Memmingen, 5862311   size:35.19,Price: ,2.42,Amberg, 9550072   size:7.98,Price: ,2.92,The Draw, 58805   size:6.3,Price: ,3.7,x
1.121544165, Sport: ,Soccer, Time: ,Sat Nov 07 06:00:00 CET 2015, Time: ,Sat Nov 07 06:00:00 CET 2015, Event: ,Tosu v Sendai, Favorite: ,Tosu, 3455676   size:4.61,Price: ,2.6,Sendai, 442179   size:56.54,Price: ,3.0,The Draw, 58805   size:202.05,Price: ,3.4,ok
1.121522614, Sport: ,Ice Hockey, Time: ,Sat Nov 07 04:05:00 CET 2015, Time: ,Sat Nov 07 04:05:00 CET 2015, Event: ,Columbus @ Anaheim, Favorite: ,Anaheim, 60109   size:77.69,Price: ,1.17,Columbus, 2114347   size:358.0,Price: ,3.0,Tie, 60104   size:58.37,Price: ,3.9,ok
1.121649299, Sport: ,Ice Hockey, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Latvia v Italy, Favorite: ,Latvia, 140146   size:144.82,Price: ,1.38,Italy, 140149   size:74.02,Price: ,5.8,Tie, 60104   size:93.37,Price: ,4.8,ok
1.121543877, Sport: ,Soccer, Time: ,Sat Nov 07 06:00:00 CET 2015, Time: ,Sat Nov 07 06:00:00 CET 2015, Event: ,Niigata v Shonan, Favorite: ,Niigata, 744094   size:574.51,Price: ,2.1,Shonan, 4546954   size:8.4,Price: ,3.8,The Draw, 58805   size:102.18,Price: ,3.75,x
1.121696853, Sport: ,Tennis, Time: ,Sat Nov 07 04:22:00 CET 2015, Time: ,Sat Nov 07 04:22:00 CET 2015, Event: ,Fujii v Anderson, Favorite: ,Oliver Anderson, 9629842   size:2.72,Price: ,1.03,Shinta Fujii, 9623911   size:8.4,Price: ,21.0,ok
1.121696857, Sport: ,Tennis, Time: ,Sat Nov 07 04:45:00 CET 2015, Time: ,Sat Nov 07 04:45:00 CET 2015, Event: ,Fukuda v Inui, Favorite: ,Sora Fukuda, 9628520   size:210.16,Price: ,1.2,Yuichiro Inui, 9634387   size:6.12,Price: ,3.65,ok
1.121617508, Sport: ,Tennis, Time: ,Sat Nov 07 13:30:00 CET 2015, Time: ,Sat Nov 07 13:30:00 CET 2015, Event: ,Jans-Ignacik/Klepac v Liang/Wang, Favorite: ,Jans-Ignacik/Klepac, 8964497   size:2.75,Price: ,1.86,Liang/Wang, 9128675   size:70.16,Price: ,1.97,x
1.121696859, Sport: ,Tennis, Time: ,Sat Nov 07 06:30:00 CET 2015, Time: ,Sat Nov 07 06:30:00 CET 2015, Event: ,Woo v Yui Ito, Favorite: ,Yuichi Ito, 3375669   size:3.0,Price: ,1.24,Chung Hyo Woo, 9472613   size:2.65,Price: ,2.94,ok
1.121649296, Sport: ,Ice Hockey, Time: ,Sat Nov 07 12:00:00 CET 2015, Time: ,Sat Nov 07 12:00:00 CET 2015, Event: ,Belarus v Japan, Favorite: ,Belarus, 253801   size:140.11,Price: ,1.36,Japan, 140153   size:82.36,Price: ,5.3,Tie, 60104   size:93.18,Price: ,4.8,ok
1.121553271, Sport: ,Soccer, Time: ,Sat Nov 07 13:00:00 CET 2015, Time: ,Sat Nov 07 13:00:00 CET 2015, Event: ,Levadia Tallinn v FC Infonet, Favorite: ,Levadia Tallinn, 206564   size:25.58,Price: ,1.75,FC Infonet, 7077882   size:3.59,Price: ,3.75,The Draw, 58805   size:2.76,Price: ,3.7,ok
1.121555069, Sport: ,Soccer, Time: ,Sat Nov 07 11:30:00 CET 2015, Time: ,Sat Nov 07 11:30:00 CET 2015, Event: ,Boluspor v Elazigspor, Favorite: ,Boluspor, 2553026   size:9.52,Price: ,2.64,Elazigspor, 196063   size:8.68,Price: ,2.88,The Draw, 58805   size:2.0,Price: ,3.35,x
1.121682199, Sport: ,Soccer, Time: ,Sat Nov 07 10:00:00 CET 2015, Time: ,Sat Nov 07 10:00:00 CET 2015, Event: ,Dacia Unirea Braila v Gloria Buzau, Favorite: ,Dacia Unirea Braila, 10292949   size:3.34,Price: ,1.55,Gloria Buzau, 2487031   size:5.0,Price: ,5.7,The Draw, 58805   size:5.0,Price: ,3.85,ok
1.121682474, Sport: ,Soccer, Time: ,Sat Nov 07 10:00:00 CET 2015, Time: ,Sat Nov 07 10:00:00 CET 2015, Event: ,CS FC Caransebes v CS Mioveni, Favorite: ,CS Mioveni, 5525359   size:2.55,Price: ,1.71,CS FC Caransebes, 8808428   size:5.0,Price: ,4.8,The Draw, 58805   size:6.53,Price: ,3.45,ok
1.121553326, Sport: ,Soccer, Time: ,Sat Nov 07 13:00:00 CET 2015, Time: ,Sat Nov 07 13:00:00 CET 2015, Event: ,Tammeka Tartu v Trans Narva, Favorite: ,Tammeka Tartu, 5407303   size:6.7,Price: ,2.32,Trans Narva, 46983   size:3.06,Price: ,2.64,The Draw, 58805   size:4.43,Price: ,3.85,ok
1.121552996, Sport: ,Soccer, Time: ,Sat Nov 07 14:00:00 CET 2015, Time: ,Sat Nov 07 14:00:00 CET 2015, Event: ,MFK Karvina v Usti nad Labem, Favorite: ,MFK Karvina, 3358864   size:31.41,Price: ,1.87,Usti Nad Labem, 3358865   size:2.55,Price: ,4.5,The Draw, 58805   size:2.55,Price: ,3.8,ok
1.121701317, Sport: ,Tennis, Time: ,Sat Nov 07 14:00:00 CET 2015, Time: ,Sat Nov 07 14:00:00 CET 2015, Event: ,Klaffner v Khromacheva, Favorite: ,Irina Khromacheva, 6092292   size:2.55,Price: ,1.41,Melanie Klaffner, 2814671   size:6.16,Price: ,2.9,x
1.121649329, Sport: ,Ice Hockey, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,South Korea v Slovenia, Favorite: ,South Korea, 781588   size:14.89,Price: ,1.02,Slovenia, 140151   size:14.89,Price: ,1.02,Tie, 60104   size:14.89,Price: ,1.02,x
1.121695387, Sport: ,Tennis, Time: ,Sat Nov 07 09:30:00 CET 2015, Time: ,Sat Nov 07 09:30:00 CET 2015, Event: ,V Williams v Vinci, Favorite: ,Venus Williams, 2309518   size:277.66,Price: ,1.36,Roberta Vinci, 2249840   size:8.7,Price: ,3.65,ok
1.120661605, Sport: ,Cricket, Time: ,Sat Nov 07 10:00:00 CET 2015, Time: ,Sat Nov 07 10:00:00 CET 2015, Event: ,Sri Lanka v West Indies (3rd ODI), Favorite: ,Sri Lanka, 7337   size:186.19,Price: ,1.58,West Indies, 235   size:8.0,Price: ,2.68,ok
1.121696860, Sport: ,Tennis, Time: ,Sat Nov 07 06:30:00 CET 2015, Time: ,Sat Nov 07 06:30:00 CET 2015, Event: ,Goto v Kawachi, Favorite: ,Shotaro Goto, 9628517   size:3.0,Price: ,1.42,Kazuma Kawachi, 9258748   size:43.32,Price: ,1.97,ok
1.121711587, Sport: ,Soccer, Time: ,Sat Nov 07 14:00:00 CET 2015, Time: ,Sat Nov 07 14:00:00 CET 2015, Event: ,Kraluv Dvur v Prevysov, Favorite: ,Kraluv Dvur, 4142633   size:4.25,Price: ,1.07,Prevysov, 5727458   size:4.25,Price: ,1.07,The Draw, 58805   size:7.0,Price: ,2.88,x
1.121544453, Sport: ,Soccer, Time: ,Sat Nov 07 14:15:00 CET 2015, Time: ,Sat Nov 07 14:15:00 CET 2015, Event: ,FC Ufa v Amkar, Favorite: ,FC Ufa, 6505028   size:111.42,Price: ,2.68,Amkar, 746696   size:15.13,Price: ,3.15,The Draw, 58805   size:49.03,Price: ,3.1,ok
1.121542834, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,St Johnstone v Kilmarnock, Favorite: ,St Johnstone, 57425   size:15.45,Price: ,1.78,Kilmarnock, 56086   size:33.58,Price: ,4.9,The Draw, 58805   size:335.96,Price: ,4.0,ok
1.121553161, Sport: ,Soccer, Time: ,Sat Nov 07 13:00:00 CET 2015, Time: ,Sat Nov 07 13:00:00 CET 2015, Event: ,Paide Linnameeskond v Flora Tallinn, Favorite: ,Flora Tallinn, 180590   size:2.55,Price: ,1.27,Paide Linnameeskond, 5407316   size:5.14,Price: ,9.2,The Draw, 58805   size:2.55,Price: ,5.4,x
1.121555067, Sport: ,Soccer, Time: ,Sat Nov 07 16:30:00 CET 2015, Time: ,Sat Nov 07 16:30:00 CET 2015, Event: ,Samsunspor v Adanaspor, Favorite: ,Samsunspor, 113124   size:43.83,Price: ,1.7,Adanaspor, 114383   size:3.23,Price: ,5.1,The Draw, 58805   size:12.26,Price: ,3.9,ok
1.121555065, Sport: ,Soccer, Time: ,Sat Nov 07 17:30:00 CET 2015, Time: ,Sat Nov 07 17:30:00 CET 2015, Event: ,Hapoel Kfar Saba v Hapoel Kiryat Shmona, Favorite: ,Hapoel Kiryat Shmona, 5538497   size:18.86,Price: ,2.08,Hapoel Kfar Saba, 5239235   size:5.33,Price: ,3.8,The Draw, 58805   size:2.55,Price: ,3.5,x
1.121553216, Sport: ,Soccer, Time: ,Sat Nov 07 13:00:00 CET 2015, Time: ,Sat Nov 07 13:00:00 CET 2015, Event: ,Tulevik Viljandi v Nomme Kalju, Favorite: ,Nomme Kalju, 4007449   size:4.09,Price: ,1.28,Tulevik Viljandi, 6242675   size:3.19,Price: ,8.4,The Draw, 58805   size:3.17,Price: ,5.5,x
1.121682589, Sport: ,Soccer, Time: ,Sat Nov 07 13:00:00 CET 2015, Time: ,Sat Nov 07 13:00:00 CET 2015, Event: ,FK Krasnodar (Y) v CSKA Moscow (Y), Favorite: ,CSKA Moscow (Y), 5386432   size:12.03,Price: ,1.97,FK Krasnodar (Y), 9045039   size:9.1,Price: ,2.5,The Draw, 58805   size:18.55,Price: ,3.1,ok
1.121543493, Sport: ,Soccer, Time: ,Sat Nov 07 15:00:00 CET 2015, Time: ,Sat Nov 07 15:00:00 CET 2015, Event: ,Pro Vercelli v Livorno, Favorite: ,Livorno, 201326   size:1272.26,Price: ,2.48,Pro Vercelli, 5369664   size:80.15,Price: ,3.45,The Draw, 58805   size:666.62,Price: ,3.1,x
1.121552805, Sport: ,Soccer, Time: ,Sat Nov 07 10:15:00 CET 2015, Time: ,Sat Nov 07 10:15:00 CET 2015, Event: ,Trinec v Frydek Mistek, Favorite: ,Trinec, 2951815   size:3.0,Price: ,2.08,Frydek Mistek, 3358860   size:13.47,Price: ,3.8,The Draw, 58805   size:2.55,Price: ,3.55,x
1.121539023, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Altrincham v Barnsley, Favorite: ,Barnsley, 1117   size:42.04,Price: ,1.64,Altrincham, 62505   size:12.44,Price: ,6.0,The Draw, 58805   size:92.95,Price: ,4.0,x
1.121590365, Sport: ,Soccer, Time: ,Sat Nov 07 16:00:00 CET 2015, Time: ,Sat Nov 07 16:00:00 CET 2015, Event: ,Gateshead v Southport, Favorite: ,Gateshead, 18571   size:75.69,Price: ,1.99,Southport, 18568   size:106.55,Pri,x
1.121544069, Sport: ,Soccer, Time: ,Sat Nov 07 06:00:00 CET 2015, Time: ,Sat Nov 07 06:00:00 CET 2015, Event: ,Kashima v Yokohama FM, Favorite: ,Kashima, 441079   size:305.49,Price: ,2.02,Yokohama FM, 441087   size:44.36,Price: ,3.75,The Draw, 58805   size:34.44,Price: ,3.85,ok
1.121566814, Sport: ,Basketball, Time: ,Sat Nov 07 04:30:00 CET 2015, Time: ,Sat Nov 07 04:30:00 CET 2015, Event: ,Houston @ Sacramento, Favorite: ,Houston, 13123   size:194.4,Price: ,1.56,Sacramento, 13127   size:64.38,Price: ,2.74,ok
1.121555071, Sport: ,Soccer, Time: ,Sat Nov 07 16:30:00 CET 2015, Time: ,Sat Nov 07 16:30:00 CET 2015, Event: ,Sanliurfaspor v Yeni Malatyaspor, Favorite: ,Sanliurfaspor, 2610482   size:9.09,Price: ,1.9,Yeni Malatyaspor, 5306085   size:9.41,Price: ,4.4,The Draw, 58805   size:2.55,Price: ,3.6,x
1.121555077, Sport: ,Soccer, Time: ,Sat Nov 07 15:30:00 CET 2015, Time: ,Sat Nov 07 15:30:00 CET 2015, Event: ,Haverfordwest v Newtown, Favorite: ,Newtown, 3667299   size:48.71,Price: ,1.91,Haverfordwest, 866240   size:2.56,Price: ,3.75,The Draw, 58805   size:2.78,Price: ,3.9,ok
1.121553051, Sport: ,Soccer, Time: ,Sat Nov 07 10:15:00 CET 2015, Time: ,Sat Nov 07 10:15:00 CET 2015, Event: ,Banik Sokolov v Hradec Kralove, Favorite: ,Banik Sokolov, 3358867   size:5.0,Price: ,2.38,Hradec Kralove, 367579   size:3.61,Price: ,2.62,The Draw, 58805   size:2.55,Price: ,3.45,x
1.121555075, Sport: ,Soccer, Time: ,Sat Nov 07 15:30:00 CET 2015, Time: ,Sat Nov 07 15:30:00 CET 2015, Event: ,Connahs Quay v Carmarthen Town, Favorite: ,Connahs Quay, 339727   size:2.55,Price: ,2.18,Carmarthen Town, 1193681   size:2.55,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.65,ok
1.121553106, Sport: ,Soccer, Time: ,Sat Nov 07 13:00:00 CET 2015, Time: ,Sat Nov 07 13:00:00 CET 2015, Event: ,Parnu Linnameeskond v Sillamae Kalev, Favorite: ,Sillamae Kalev, 4837259   size:2.19,Price: ,1.62,Parnu Linnameeskond, 6267873   size:2.8,Price: ,4.8,The Draw, 58805   size:3.45,Price: ,3.9,ok
