1.120221456, Sport: ,Tennis, Time: ,Thu Aug 27 02:30:00 CEST 2015, Time: ,Thu Aug 27 02:30:00 CEST 2015, Event: ,X Sun v M Minokoshi, Favorite: ,Mai Minokoshi, 7657300   size:2.61,Price: ,1.92,Xu Liu Sun, 8710303   size:13.66,Price: ,2.0,x
1.120251844, Sport: ,Tennis, Time: ,Thu Aug 27 02:30:00 CEST 2015, Time: ,Thu Aug 27 02:30:00 CEST 2015, Event: ,Lertcheewakarn v S Ishizu, Favorite: ,Sachie Ishizu, 4822949   size:2.55,Price: ,1.75,Noppawan Lertcheewakarn, 2293408   size:5.46,Price: ,2.12,x
1.120123566, Sport: ,Soccer, Time: ,Thu Aug 27 03:00:00 CEST 2015, Time: ,Thu Aug 27 03:00:00 CEST 2015, Event: ,Vasco da Gama v Flamengo, Favorite: ,Flamengo, 198138   size:56.69,Price: ,1.78,The Draw, 58805   size:29.86,Price: ,4.0,Vasco da Gama, 784535   size:53.73,Price: ,4.9,x
1.120221139, Sport: ,Baseball, Time: ,Thu Aug 27 02:05:00 CEST 2015, Time: ,Thu Aug 27 02:05:00 CEST 2015, Event: ,TOR @ TEX, Favorite: ,Toronto (D Price), 10108182   size:52.78,Price: ,1.56,Texas (C Lewis), 4634645   size:54.72,Price: ,2.76,ok
1.120253764, Sport: ,Tennis, Time: ,Thu Aug 27 04:00:00 CEST 2015, Time: ,Thu Aug 27 04:00:00 CEST 2015, Event: ,S Jang v Lertpitaksinchai, Favorite: ,Su Jeong Jang, 7659425   size:2.55,Price: ,1.65,Nicha Lertpitaksinchai, 3673415   size:11.95,Price: ,2.22,ok
1.120256575, Sport: ,Tennis, Time: ,Thu Aug 27 02:30:00 CEST 2015, Time: ,Thu Aug 27 02:30:00 CEST 2015, Event: ,Plipuech v Chimura, Favorite: ,Peangtarn Plipuech, 8244519   size:36.73,Price: ,1.25,Natsumi Chimura, 7750547   size:3.53,Price: ,3.3,ok
1.119768927, Sport: ,Basketball, Time: ,Thu Aug 27 02:00:00 CEST 2015, Time: ,Thu Aug 27 02:00:00 CEST 2015, Event: ,Canada v Puerto Rico, Favorite: ,Canada, 208005   size:244.52,Price: ,1.35,Puerto Rico, 208003   size:15.66,Price: ,3.6,ok
1.120232892, Sport: ,Tennis, Time: ,Thu Aug 27 01:33:00 CEST 2015, Time: ,Thu Aug 27 01:33:00 CEST 2015, Event: ,Keys v Kvitova, Favorite: ,Petra Kvitova, 2497008   size:6583.08,Price: ,1.95,Madison Keys, 3800907   size:424.66,Price: ,2.02,
1.120256086, Sport: ,Soccer, Time: ,Thu Aug 27 02:00:00 CEST 2015, Time: ,Thu Aug 27 02:00:00 CEST 2015, Event: ,Zamora v Union Atletico Falcon, Favorite: ,Zamora, 565025   size:3.47,Price: ,1.44,The Draw, 58805   size:10.02,Price: ,4.4,Union Atletico Falcon, 9989662   size:6.74,Price: ,6.6,ok
1.120124262, Sport: ,Soccer, Time: ,Thu Aug 27 04:00:00 CEST 2015, Time: ,Thu Aug 27 04:00:00 CEST 2015, Event: ,Tijuana v Necaxa, Favorite: ,Tijuana, 5687741   size:10.53,Price: ,1.6,The Draw, 58805   size:2.66,Price: ,3.55,Necaxa, 230910   size:8.58,Price: ,5.9,ok
1.120244734, Sport: ,Soccer, Time: ,Thu Aug 27 09:00:00 CEST 2015, Time: ,Thu Aug 27 09:00:00 CEST 2015, Event: ,Fiji v American Samoa, Favorite: ,Fiji, 822106   size:3272.43,Price: ,1.02,The Draw, 58805   size:3.09,Price: ,3.35,American Samoa, 6226439   size:12.0,Price: ,85.0,ok
1.120241865, Sport: ,Soccer, Time: ,Thu Aug 27 02:45:00 CEST 2015, Time: ,Thu Aug 27 02:45:00 CEST 2015, Event: ,Deportivo Cali v Ind Medellin, Favorite: ,Deportivo Cali, 328690   size:18.49,Price: ,2.18,The Draw, 58805   size:4.23,Price: ,3.5,Ind Medellin, 1067444   size:37.72,Price: ,3.65,x
1.120241920, Sport: ,Soccer, Time: ,Thu Aug 27 03:00:00 CEST 2015, Time: ,Thu Aug 27 03:00:00 CEST 2015, Event: ,Once Caldas v Deportivo Pasto, Favorite: ,Once Caldas, 816112   size:15.82,Price: ,1.72,The Draw, 58805   size:6.42,Price: ,4.0,Deportivo Pasto, 478919   size:5.0,Price: ,5.8,x
1.120243841, Sport: ,Soccer, Time: ,Thu Aug 27 02:00:00 CEST 2015, Time: ,Thu Aug 27 02:00:00 CEST 2015, Event: ,Bambu FC v Chepo FC, Favorite: ,Chepo FC, 7831157   size:4.99,Price: ,1.24,Bambu FC, 10197827   size:11.37,Price: ,4.4,The Draw, 58805   size:6.23,Price: ,4.9,ok
1.120192507, Sport: ,Soccer, Time: ,Thu Aug 27 02:00:00 CEST 2015, Time: ,Thu Aug 27 02:00:00 CEST 2015, Event: ,Univ Catolica (Ecu) v El Nacional, Favorite: ,Univ Catolica (Ecu), 7005170   size:4.57,Price: ,2.72,The Draw, 58805   size:24.11,Price: ,3.0,El Nacional, 330234   size:2.55,Price: ,3.05,ok
1.120120717, Sport: ,Volleyball, Time: ,Thu Aug 27 05:10:00 CEST 2015, Time: ,Thu Aug 27 05:10:00 CEST 2015, Event: ,Algeria v USA, Favorite: ,USA, 1312962   size:0.0,Price: ,0.0,Algeria, 3005995   size:27.54,Price: ,1000.0,ok
1.120224572, Sport: ,Soccer, Time: ,Thu Aug 27 04:15:00 CEST 2015, Time: ,Thu Aug 27 04:15:00 CEST 2015, Event: ,Tolima v Barranquilla, Favorite: ,Tolima, 2277370   size:10.5,Price: ,2.42,The Draw, 58805   size:7.17,Price: ,3.15,Barranquilla, 5343353   size:7.79,Price: ,3.4,x
1.120221163, Sport: ,Baseball, Time: ,Thu Aug 27 03:40:00 CEST 2015, Time: ,Thu Aug 27 03:40:00 CEST 2015, Event: ,STL @ ARI, Favorite: ,Arizona (P Corbin), 6344320   size:681.23,Price: ,1.81,St Louis (J Lackey), 8750362   size:701.09,Price: ,2.12,x
1.120242030, Sport: ,Soccer, Time: ,Thu Aug 27 03:00:00 CEST 2015, Time: ,Thu Aug 27 03:00:00 CEST 2015, Event: ,Isidro Metapan v FAS, Favorite: ,Isidro Metapan, 4864112   size:2.55,Price: ,2.16,The Draw, 58805   size:4.54,Price: ,2.96,Fas, 4867481   size:2.55,Price: ,3.1,
1.120120725, Sport: ,Volleyball, Time: ,Thu Aug 27 08:10:00 CEST 2015, Time: ,Thu Aug 27 08:10:00 CEST 2015, Event: ,Peru v China, Favorite: ,China, 1197302   size:0.0,Price: ,0.0,Peru, 2158347   size:8.16,Price: ,150.0,ok
1.120120727, Sport: ,Volleyball, Time: ,Thu Aug 27 05:10:00 CEST 2015, Time: ,Thu Aug 27 05:10:00 CEST 2015, Event: ,Russia v Cuba, Favorite: ,Russia, 678741   size:0.0,Price: ,0.0,Cuba, 2010180   size:5.35,Price: ,120.0,ok
1.120123636, Sport: ,Soccer, Time: ,Thu Aug 27 04:00:00 CEST 2015, Time: ,Thu Aug 27 04:00:00 CEST 2015, Event: ,CD Olimpia v Seattle, Favorite: ,CD Olimpia, 1395933   size:151.62,Price: ,2.08,The Draw, 58805   size:17.34,Price: ,3.55,Seattle, 3155352   size:10.5,Price: ,3.8,ok
1.120245160, Sport: ,Tennis, Time: ,Thu Aug 27 02:30:00 CEST 2015, Time: ,Thu Aug 27 02:30:00 CEST 2015, Event: ,Davis/Riske v Goerges/Hradecka, Favorite: ,Goerges/Hradecka, 9653008   size:36.56,Price: ,1.44,Davis/Riske, 8284228   size:12.12,Price: ,3.0,ok
1.120251659, Sport: ,Tennis, Time: ,Thu Aug 27 02:30:00 CEST 2015, Time: ,Thu Aug 27 02:30:00 CEST 2015, Event: ,Y Lee v Tanaka, Favorite: ,Ya Hsuan Lee, 7928038   size:4.38,Price: ,1.41,Yuuki Tanaka, 8839145   size:242.98,Price: ,3.25,ok
1.120124207, Sport: ,Soccer, Time: ,Thu Aug 27 02:00:00 CEST 2015, Time: ,Thu Aug 27 02:00:00 CEST 2015, Event: ,Toluca v Zacatepec, Favorite: ,Toluca, 230914   size:16.37,Price: ,1.51,The Draw, 58805   size:5.0,Price: ,3.85,Zacatepec, 7444597   size:2.7,Price: ,6.4,ok
1.120123776, Sport: ,Soccer, Time: ,Thu Aug 27 02:00:00 CEST 2015, Time: ,Thu Aug 27 02:00:00 CEST 2015, Event: ,San Francisco FC v Queretaro, Favorite: ,Queretaro, 328926   size:4.56,Price: ,1.46,The Draw, 58805   size:17.98,Price: ,4.8,San Francisco FC, 3381777   size:4.49,Price: ,8.6,x
1.120211076, Sport: ,Tennis, Time: ,Thu Aug 27 02:45:00 CEST 2015, Time: ,Thu Aug 27 02:45:00 CEST 2015, Event: ,Monroe/Paire v Carreno Bus/Garcia-Lope, Favorite: ,Carreno Bus/Garcia-Lope, 9128738   size:6.58,Price: ,1.53,Monroe/Paire, 10189412   size:13.66,Price: ,2.74,ok
1.120123276, Sport: ,Soccer, Time: ,Thu Aug 27 03:00:00 CEST 2015, Time: ,Thu Aug 27 03:00:00 CEST 2015, Event: ,Colorado v Houston Dynamo, Favorite: ,Colorado, 171911   size:265.81,Price: ,2.16,The Draw, 58805   size:179.33,Price: ,3.5,Houston Dynamo, 1432923   size:372.39,Price: ,3.9,ok
1.120123496, Sport: ,Soccer, Time: ,Thu Aug 27 03:00:00 CEST 2015, Time: ,Thu Aug 27 03:00:00 CEST 2015, Event: ,Cruzeiro v Palmeiras, Favorite: ,Cruzeiro, 192807   size:3.96,Price: ,1.99,The Draw, 58805   size:32.63,Price: ,3.65,Palmeiras, 189952   size:10.36,Price: ,4.3,x
