1.122742571, Sport: ,Handball, Time: ,Tue Jan 26 18:15:00 CET 2016, Time: ,Tue Jan 26 18:15:00 CET 2016, Event: ,Spain v Hungary, Favorite: ,Spain, 620381   size:1000.0,Price: ,1.13,Hungary, 602691   size:23.67,Price: ,10.5,Draw, 330157   size:6.9,Price: ,20.0,ok
1.122742820, Sport: ,Basketball, Time: ,Tue Jan 26 17:30:00 CET 2016, Time: ,Tue Jan 26 17:30:00 CET 2016, Event: ,BK Jekabpils v BC Rakvere Tarvas, Favorite: ,BK Jekabpils, 9007742   size:2.62,Price: ,1.03,BC Rakvere Tarvas, 9027220   size:2.62,Price: ,1.03,ok
1.122742828, Sport: ,Basketball, Time: ,Tue Jan 26 20:00:00 CET 2016, Time: ,Tue Jan 26 20:00:00 CET 2016, Event: ,Belfius Mons-Hainaut v BK Khimik Yuzhne, Favorite: ,Belfius Mons-Hainaut, 9040825   size:2.54,Price: ,1.63,BK Khimik Yuzhne, 9143332   size:6.87,Price: ,2.48,ok
1.122753606, Sport: ,Soccer, Time: ,Tue Jan 26 18:00:00 CET 2016, Time: ,Tue Jan 26 18:00:00 CET 2016, Event: ,Sweden (W) v Scotland (W), Favorite: ,Sweden (W), 541860   size:61.95,Price: ,1.21,Scotland (W), 605320   size:7.99,Price: ,9.2,The Draw, 58805   size:14.91,Price: ,5.4,ok
1.122742832, Sport: ,Basketball, Time: ,Tue Jan 26 20:00:00 CET 2016, Time: ,Tue Jan 26 20:00:00 CET 2016, Event: ,Antwerp Giants v BK Ventspils, Favorite: ,Antwerp Giants, 2585925   size:2.54,Price: ,1.49,BK Ventspils, 677838   size:110.2,Price: ,3.0,ok
1.122736399, Sport: ,Soccer, Time: ,Tue Jan 26 18:00:00 CET 2016, Time: ,Tue Jan 26 18:00:00 CET 2016, Event: ,FC Ashdod v Bnei Yehuda, Favorite: ,Bnei Yehuda, 1561969   size:8.0,Price: ,1.5,FC Ashdod, 6145706   size:8.0,Price: ,2.32,The Draw, 58805   size:16.0,Price: ,3.05,ok
1.122730571, Sport: ,Ice Hockey, Time: ,Tue Jan 26 19:00:00 CET 2016, Time: ,Tue Jan 26 19:00:00 CET 2016, Event: ,Skelleftea Aik v Rogle BK, Favorite: ,Skelleftea AIK, 760584   size:322.0,Price: ,1.39,Rogle BK, 4138401   size:105.0,Price: ,6.6,Tie, 60104   size:93.0,Price: ,5.6,ok
1.122753674, Sport: ,Tennis, Time: ,Tue Jan 26 18:00:00 CET 2016, Time: ,Tue Jan 26 18:00:00 CET 2016, Event: ,Jarry/Salamanca v Galdos/Martinez, Favorite: ,Jarry/Salamanca, 10756048   size:9.21,Price: ,1.06,Galdos/Martinez, 10756049   size:9.21,Price: ,1.06,x
1.122660666, Sport: ,Soccer, Time: ,Tue Jan 26 18:30:00 CET 2016, Time: ,Tue Jan 26 18:30:00 CET 2016, Event: ,Willem II v Groningen, Favorite: ,Willem II, 48455   size:74.98,Price: ,2.04,Groningen, 48450   size:29.66,Price: ,3.95,The Draw, 58805   size:387.23,Price: ,3.75,x
1.122753662, Sport: ,Tennis, Time: ,Tue Jan 26 18:00:00 CET 2016, Time: ,Tue Jan 26 18:00:00 CET 2016, Event: ,Cachin/Kicker v De Greef/Mena, Favorite: ,Cachin/Kicker, 10756046   size:9.21,Price: ,1.06,De Greef/Mena, 10756047   size:9.21,Price: ,1.06,ok
