1.119851254, Sport: ,Tennis, Time: ,Wed Aug 05 13:30:00 CEST 2015, Time: ,Wed Aug 05 13:30:00 CEST 2015, Event: ,Fyrstenberg/Gonzalez v Souza/Vesely, Favorite: ,Fyrstenberg/Gonzalez, 9128657   size:2.68,Price: ,1.35,Souza/Vesely, 10105804   size:2.58,Price: ,3.0,ok
1.119639835, Sport: ,Snooker, Time: ,Wed Aug 05 11:00:00 CEST 2015, Time: ,Wed Aug 05 11:00:00 CEST 2015, Event: ,Anda v Hicks, Favorite: ,Zhang Anda, 4894068   size:5.98,Price: ,1.49,Andy Hicks, 2281451   size:3.01,Price: ,3.0,ok
1.119837750, Sport: ,Tennis, Time: ,Wed Aug 05 10:30:00 CEST 2015, Time: ,Wed Aug 05 10:30:00 CEST 2015, Event: ,Kvatsabaia v Krejcikova, Favorite: ,Barbora Krejcikova, 8784972   size:5.98,Price: ,1.14,Sofia Kvatsabaia, 9345642   size:4.92,Price: ,5.1,ok
1.119855126, Sport: ,Tennis, Time: ,Wed Aug 05 14:30:00 CEST 2015, Time: ,Wed Aug 05 14:30:00 CEST 2015, Event: ,Bertens v Bara, Favorite: ,Kiki Bertens, 5611697   size:6.65,Price: ,1.22,Irina Maria Bara, 9628716   size:43.17,Price: ,4.4,ok
1.119793992, Sport: ,Cricket, Time: ,Wed Aug 05 15:00:00 CEST 2015, Time: ,Wed Aug 05 15:00:00 CEST 2015, Event: ,Warwickshire v Hampshire, Favorite: ,Warwickshire, 2120   size:99.19,Price: ,1.95,Hampshire, 3961   size:363.88,Price: ,2.04,x
1.119855007, Sport: ,Soccer, Time: ,Wed Aug 05 15:00:00 CEST 2015, Time: ,Wed Aug 05 15:00:00 CEST 2015, Event: ,PSV U19 v South Africa U19, Favorite: ,PSV U19, 2502335   size:2.55,Price: ,1.39,South Africa U19, 10087744   size:2.55,Price: ,1.58,The Draw, 58805   size:2.55,Price: ,3.1,ok
1.119855129, Sport: ,Tennis, Time: ,Wed Aug 05 10:00:00 CEST 2015, Time: ,Wed Aug 05 10:00:00 CEST 2015, Event: ,Reix v Radanovic, Favorite: ,Sherazad Reix, 9610851   size:27.6,Price: ,1.4,Dejana Radanovic, 9630247   size:4.76,Price: ,2.9,ok
1.119837437, Sport: ,Tennis, Time: ,Wed Aug 05 11:30:00 CEST 2015, Time: ,Wed Aug 05 11:30:00 CEST 2015, Event: ,R Haase v Delbonis, Favorite: ,Federico Delbonis, 6181532   size:27.03,Price: ,1.45,Robin Haase, 2309796   size:71.3,Price: ,3.15,ok
1.119739279, Sport: ,Soccer, Time: ,Wed Aug 05 12:00:00 CEST 2015, Time: ,Wed Aug 05 12:00:00 CEST 2015, Event: ,SAI Training Centre v Kalighat MS, Favorite: ,Kalighat MS, 7014685   size:4.21,Price: ,1.53,The Draw, 58805   size:2.01,Price: ,3.2,x
1.119739235, Sport: ,Soccer, Time: ,Wed Aug 05 12:20:00 CEST 2015, Time: ,Wed Aug 05 12:20:00 CEST 2015, Event: ,Japan v South Korea, Favorite: ,Japan, 29636   size:16.87,Price: ,2.76,South Korea, 47965   size:428.1,Price: ,2.86,The Draw, 58805   size:50.9,Price: ,3.25,x
1.119639906, Sport: ,Snooker, Time: ,Wed Aug 05 11:00:00 CEST 2015, Time: ,Wed Aug 05 11:00:00 CEST 2015, Event: ,Highfield v Wild, Favorite: ,Liam Highfield, 4392732   size:3.97,Price: ,1.26,Michael Wild, 6443350   size:3.8,Price: ,4.0,ok
1.119639987, Sport: ,Snooker, Time: ,Wed Aug 05 11:00:00 CEST 2015, Time: ,Wed Aug 05 11:00:00 CEST 2015, Event: ,Melling v Wells, Favorite: ,Daniel Wells, 3495954   size:4.89,Price: ,1.86,Chris Melling, 8551063   size:5.98,Price: ,2.1,x
1.119847745, Sport: ,Tennis, Time: ,Wed Aug 05 15:15:00 CEST 2015, Time: ,Wed Aug 05 15:15:00 CEST 2015, Event: ,Montanes v Schwartzman, Favorite: ,Diego Schwartzman, 8736474   size:62.97,Price: ,1.44,Albert Montanes, 2263599   size:2.12,Price: ,3.15,x
1.119837743, Sport: ,Tennis, Time: ,Wed Aug 05 13:30:00 CEST 2015, Time: ,Wed Aug 05 13:30:00 CEST 2015, Event: ,Ianchuk v Klasen, Favorite: ,Olga Ianchuk, 7429432   size:2.55,Price: ,1.37,Anna Klasen, 9148883   size:2.01,Price: ,3.2,
1.119837744, Sport: ,Tennis, Time: ,Wed Aug 05 10:30:00 CEST 2015, Time: ,Wed Aug 05 10:30:00 CEST 2015, Event: ,Grymalska v Martincova, Favorite: ,Tereza Martincova, 7335514   size:4.26,Price: ,1.51,Anastasia Grymalska, 6374157   size:2.53,Price: ,2.54,x
1.119837741, Sport: ,Tennis, Time: ,Wed Aug 05 12:00:00 CEST 2015, Time: ,Wed Aug 05 12:00:00 CEST 2015, Event: ,Vankova v Pantuckova, Favorite: ,Katerina Vankova, 7795596   size:3.57,Price: ,1.8,Gabriela Pantuckova, 9148884   size:3.26,Price: ,1.97,x
1.119837742, Sport: ,Tennis, Time: ,Wed Aug 05 10:30:00 CEST 2015, Time: ,Wed Aug 05 10:30:00 CEST 2015, Event: ,Giovine v G Garcia Perez, Favorite: ,Claudia Giovine, 9028649   size:3.85,Price: ,1.67,Georgina Garcia Perez, 9626819   size:3.0,Price: ,2.14,x
1.119852142, Sport: ,Tennis, Time: ,Wed Aug 05 12:00:00 CEST 2015, Time: ,Wed Aug 05 12:00:00 CEST 2015, Event: ,Giannessi v Ad Virgili, Favorite: ,Alessandro Giannessi, 5829494   size:4.73,Price: ,1.36,Adelchi Virgili, 8288060   size:12.32,Price: ,3.25,ok
1.119813451, Sport: ,Tennis, Time: ,Wed Aug 05 14:30:00 CEST 2015, Time: ,Wed Aug 05 14:30:00 CEST 2015, Event: ,Marach/Qureshi v Haase/Kontinen, Favorite: ,Marach/Qureshi, 10075689   size:8.24,Price: ,1.5,Haase/Kontinen, 10105796   size:3.09,Price: ,2.38,x
1.119835688, Sport: ,Soccer, Time: ,Wed Aug 05 12:00:00 CEST 2015, Time: ,Wed Aug 05 12:00:00 CEST 2015, Event: ,FC Hradec Kralove U19 v Ceske Budejovice U19, Favorite: ,FC Hradec Kralove U19, 6854008   size:2.73,Price: ,1.83,Ceske Budejovice U19, 6584724   size:4.18,Price: ,2.5,The Draw, 58805   size:2.8,Price: ,3.75,x
1.119851317, Sport: ,Tennis, Time: ,Wed Aug 05 13:00:00 CEST 2015, Time: ,Wed Aug 05 13:00:00 CEST 2015, Event: ,P Lorenzi v Ramirez Hidalgo, Favorite: ,Paolo Lorenzi, 2345099   size:3.5,Price: ,1.43,Ruben Ramirez Hidalgo, 2257299   size:87.91,Price: ,2.92,ok
1.119740176, Sport: ,Soccer, Time: ,Wed Aug 05 13:45:00 CEST 2015, Time: ,Wed Aug 05 13:45:00 CEST 2015, Event: ,Manila Jeepney v Ceres La Salle, Favorite: ,Ceres La Salle, 9225697   size:20.0,Price: ,1.1,Manila Jeepney, 9238040   size:5.6,Price: ,8.4,The Draw, 58805   size:5.0,Price: ,18.0,x
1.119739504, Sport: ,Soccer, Time: ,Wed Aug 05 11:30:00 CEST 2015, Time: ,Wed Aug 05 11:30:00 CEST 2015, Event: ,Simla Youngs v Youngmen FC, Favorite: ,Youngmen FC, 10091628   size:14.3,Price: ,1.25,The Draw, 58805   size:10.0,Price: ,3.1,x
1.119639693, Sport: ,Snooker, Time: ,Wed Aug 05 11:00:00 CEST 2015, Time: ,Wed Aug 05 11:00:00 CEST 2015, Event: ,O Lines v J White, Favorite: ,Oliver Lines, 6575023   size:5.0,Price: ,1.61,Jimmy White, 2329403   size:2.55,Price: ,2.48,x
