1.122466265, Sport: ,Tennis, Time: ,Mon Jan 04 16:45:00 CET 2016, Time: ,Mon Jan 04 16:45:00 CET 2016, Event: ,Torebko v Neis, Favorite: ,Peter Torebko, 5829498   size:13.78,Price: ,1.04,Fabricio Neis, 8326758   size:13.78,Price: ,1.04,ok
1.122466221, Sport: ,Tennis, Time: ,Mon Jan 04 16:45:00 CET 2016, Time: ,Mon Jan 04 16:45:00 CET 2016, Event: ,Juan  Galarza v Matute, Favorite: ,Juan Ignacio Galarza, 8979626   size:13.78,Price: ,1.04,Juan Manuel Matute, 9260505   size:13.78,Price: ,1.04,ok
1.122389756, Sport: ,Soccer, Time: ,Mon Jan 04 19:55:00 CET 2016, Time: ,Mon Jan 04 19:55:00 CET 2016, Event: ,Maccabi Haifa v Hapoel Beer Sheva, Favorite: ,Hapoel Beer Sheva, 844519   size:95.59,Price: ,2.68,Maccabi Haifa, 189818   size:3.67,Price: ,3.0,The Draw, 58805   size:9.86,Price: ,3.15,x
1.122389976, Sport: ,Soccer, Time: ,Mon Jan 04 17:00:00 CET 2016, Time: ,Mon Jan 04 17:00:00 CET 2016, Event: ,Maccabi Ahi Nazareth v Hapoel Katamon, Favorite: ,Maccabi Ahi Nazareth, 5188358   size:27.57,Price: ,2.28,Hapoel Katamon, 7629623   size:40.73,Price: ,2.74,The Draw, 58805   size:4.57,Price: ,3.2,x
1.122417175, Sport: ,Soccer, Time: ,Mon Jan 04 11:30:00 CET 2016, Time: ,Mon Jan 04 11:30:00 CET 2016, Event: ,H Morasha R HaSharon v Hapoel Azor, Favorite: ,Hapoel Azor, 6772812   size:2.55,Price: ,1.66,H Morasha R HaSharon, 8994245   size:6.34,Price: ,5.0,The Draw, 58805   size:5.98,Price: ,3.65,x
1.122417452, Sport: ,Soccer, Time: ,Mon Jan 04 13:30:00 CET 2016, Time: ,Mon Jan 04 13:30:00 CET 2016, Event: ,Ironi Beth SHemesh v Hapoel Merhavim, Favorite: ,Hapoel Merhavim, 10397481   size:3.67,Price: ,1.67,Ironi Beth SHemesh, 10675015   size:2.63,Price: ,3.8,The Draw, 58805   size:3.06,Price: ,3.85,x
1.122407408, Sport: ,Soccer, Time: ,Mon Jan 04 14:00:00 CET 2016, Time: ,Mon Jan 04 14:00:00 CET 2016, Event: ,Barnsley U21 v Crewe U21, Favorite: ,Barnsley U21, 6667038   size:2.68,Price: ,1.18,Crewe U21, 6628863   size:2.66,Price: ,1.71,The Draw, 58805   size:2.66,Price: ,3.2,x
1.122457192, Sport: ,Volleyball, Time: ,Mon Jan 04 11:00:00 CET 2016, Time: ,Mon Jan 04 11:00:00 CET 2016, Event: ,Suwon Kepco v KB Star Insurance, Favorite: ,Suwon Kepco, 10389011   size:8.52,Price: ,1.28,KB Star Insurance, 10411665   size:12.07,Price: ,3.75,x
1.122458040, Sport: ,Tennis, Time: ,Mon Jan 04 13:30:00 CET 2016, Time: ,Mon Jan 04 13:30:00 CET 2016, Event: ,Cecchinato v Dzumhur, Favorite: ,Damir Dzumhur, 7414058   size:3.71,Price: ,1.61,Marco Cecchinato, 6374165   size:6.16,Price: ,2.62,ok
1.122453393, Sport: ,Darts, Time: ,Mon Jan 04 20:15:00 CET 2016, Time: ,Mon Jan 04 20:15:00 CET 2016, Event: ,Aileen de Graaf v Casey Gallagher, Favorite: ,Aileen De Graaf, 8276556   size:362.83,Price: ,1.22,Casey Gallagher, 8276548   size:130.31,Price: ,4.5,ok
1.122389752, Sport: ,Soccer, Time: ,Mon Jan 04 20:45:00 CET 2016, Time: ,Mon Jan 04 20:45:00 CET 2016, Event: ,Nice v Rennes, Favorite: ,Nice, 189829   size:151.91,Price: ,2.42,Rennes, 44799   size:15.08,Price: ,3.3,The Draw, 58805   size:712.77,Price: ,3.35,x
1.122452042, Sport: ,Basketball, Time: ,Mon Jan 04 11:00:00 CET 2016, Time: ,Mon Jan 04 11:00:00 CET 2016, Event: ,Samsung Life Blue Minx v KEB Hanabank, Favorite: ,KEB Hanabank, 8118828   size:5.82,Price: ,1.75,Samsung Life Blue Minx, 7894748   size:63.99,Price: ,2.18,x
1.122389471, Sport: ,Soccer, Time: ,Mon Jan 04 18:30:00 CET 2016, Time: ,Mon Jan 04 18:30:00 CET 2016, Event: ,Panathinaikos v Panaitolikos, Favorite: ,Panathinaikos, 50334   size:134.62,Price: ,1.38,Panaitolikos, 2126382   size:42.72,Price: ,12.5,The Draw, 58805   size:220.04,Price: ,4.9,ok
1.122458567, Sport: ,Tennis, Time: ,Mon Jan 04 09:30:00 CET 2016, Time: ,Mon Jan 04 09:30:00 CET 2016, Event: ,Ratiwatana/Ratiwatana v Ito/Pavlasek, Favorite: ,Ratiwatana/Ratiwatana, 2091363   size:3.82,Price: ,1.31,Ito/Pavlasek, 10685001   size:4.22,Price: ,2.88,x
1.122450344, Sport: ,Tennis, Time: ,Tue Jan 05 01:00:00 CET 2016, Time: ,Tue Jan 05 01:00:00 CET 2016, Event: ,Laaksonen v Bourgue, Favorite: ,Henri Laaksonen, 6344314   size:2.55,Price: ,1.51,Mathias Bourgue, 7066925   size:2.55,Price: ,2.64,x
1.122452005, Sport: ,Basketball, Time: ,Mon Jan 04 19:00:00 CET 2016, Time: ,Mon Jan 04 19:00:00 CET 2016, Event: ,Svendborg v Hoersholm, Favorite: ,Svendborg, 6719075   size:3.27,Price: ,1.03,Hoersholm, 6719077   size:3.27,Price: ,1.03,ok
1.122450324, Sport: ,Tennis, Time: ,Mon Jan 04 06:30:00 CET 2016, Time: ,Mon Jan 04 06:30:00 CET 2016, Event: ,A Mannarino v Gaio, Favorite: ,Adrian Mannarino, 3066621   size:1152.03,Price: ,1.07,Federico Gaio, 8284479   size:2.7,Price: ,9.0,ok
1.122450328, Sport: ,Tennis, Time: ,Mon Jan 04 06:42:00 CET 2016, Time: ,Mon Jan 04 06:42:00 CET 2016, Event: ,Saville v Rola, Favorite: ,Blaz Rola, 8174357   size:39.28,Price: ,1.21,Luke Saville, 6965426   size:16.51,Price: ,4.1,ok
1.122450823, Sport: ,Tennis, Time: ,Mon Jan 04 07:00:00 CET 2016, Time: ,Mon Jan 04 07:00:00 CET 2016, Event: ,Mitu v Siniakova, Favorite: ,Katerina Siniakova, 7137442   size:31.07,Price: ,1.64,Andreea Mitu, 7289592   size:4.2,Price: ,2.4,ok
1.122409455, Sport: ,Darts, Time: ,Mon Jan 04 16:30:00 CET 2016, Time: ,Mon Jan 04 16:30:00 CET 2016, Event: ,Pip Blackwell v Martin Atkins, Favorite: ,Pip Blackwell, 8905185   size:270.92,Price: ,1.61,Martin Atkins, 2650136   size:2.55,Price: ,2.5,x
1.122450474, Sport: ,Tennis, Time: ,Mon Jan 04 08:45:00 CET 2016, Time: ,Mon Jan 04 08:45:00 CET 2016, Event: ,Du Lee v Sugita, Favorite: ,Yuichi Sugita, 3374117   size:7.54,Price: ,1.71,Duckhee Lee, 8505197   size:5.55,Price: ,2.3,ok
1.122389754, Sport: ,Soccer, Time: ,Mon Jan 04 20:45:00 CET 2016, Time: ,Mon Jan 04 20:45:00 CET 2016, Event: ,Sutton Utd v Lowestoft Town, Favorite: ,Sutton Utd, 1034133   size:122.53,Price: ,1.67,Lowestoft Town, 2870977   size:42.41,Price: ,5.6,The Draw, 58805   size:50.78,Price: ,4.1,ok
