1.122506891, Sport: ,Soccer, Time: ,Sun Jan 17 15:00:00 CET 2016, Time: ,Sun Jan 17 15:00:00 CET 2016, Event: ,Fidelis Andria v Lecce, Favorite: ,Fidelis Andria, 928539   size:8.75,Price: ,2.56,Lecce, 508827   size:4.03,Price: ,2.84,The Draw, 58805   size:15.02,Price: ,2.88,x
1.122505558, Sport: ,Soccer, Time: ,Sat Jan 16 20:15:00 CET 2016, Time: ,Sat Jan 16 20:15:00 CET 2016, Event: ,Osasuna v Oviedo, Favorite: ,Osasuna, 10543   size:263.64,Price: ,2.16,Oviedo, 21678   size:434.19,Price: ,4.5,The Draw, 58805   size:47.2,Price: ,3.1,x
1.122634501, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Futbol Alcobendas Sport v CDE Lugo Fuenlabrada, Favorite: ,Futbol Alcobendas Sport, 9433225   size:105.42,Price: ,1.62,CDE Lugo Fuenlabrada, 10243045   size:32.74,Price: ,4.4,The Draw, 58805   size:32.74,Price: ,3.25,x
1.122634624, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Moralo v Azuaga, Favorite: ,Moralo, 10621551   size:27.48,Price: ,1.02,Azuaga, 10622040   size:27.48,Price: ,1.02,The Draw, 58805   size:7.85,Price: ,1.07,ok
1.122499545, Sport: ,Soccer, Time: ,Sat Jan 16 20:00:00 CET 2016, Time: ,Sat Jan 16 20:00:00 CET 2016, Event: ,SC Bastia v Montpellier, Favorite: ,The Draw, 58805   size:10.99,Price: ,2.7,SC Bastia, 7534982   size:245.35,Price: ,3.45,Montpellier, 44797   size:844.77,Price: ,2.88,x
1.122523081, Sport: ,Soccer, Time: ,Sun Jan 17 15:00:00 CET 2016, Time: ,Sun Jan 17 15:00:00 CET 2016, Event: ,Bursaspor v Trabzonspor, Favorite: ,Bursaspor, 113183   size:2.69,Price: ,2.36,Trabzonspor, 113125   size:129.73,Price: ,3.2,The Draw, 58805   size:45.9,Price: ,3.5,ok
1.122624140, Sport: ,Soccer, Time: ,Sun Jan 17 11:45:00 CET 2016, Time: ,Sun Jan 17 11:45:00 CET 2016, Event: ,AD Son Sardina (W) v UE LEstartit (W), Favorite: ,AD Son Sardina (W), 10503324   size:55.43,Price: ,2.18,UE LEstartit (W), 6388758   size:46.73,Price: ,2.4,The Draw, 58805   size:25.69,Price: ,3.55,x
1.122625477, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,CF Montanesa v CD Masnou, Favorite: ,CF Montanesa, 9339211   size:2.55,Price: ,1.57,CD Masnou, 7977281   size:32.74,Price: ,4.7,The Draw, 58805   size:32.74,Price: ,3.35,ok
1.122623853, Sport: ,Soccer, Time: ,Sun Jan 17 12:15:00 CET 2016, Time: ,Sun Jan 17 12:15:00 CET 2016, Event: ,Espanyol (W) v Fundacion Albacete (W), Favorite: ,Espanyol (W), 5226488   size:65.4,Price: ,1.25,Fundacion Albacete (W), 7156577   size:11.25,Price: ,6.8,The Draw, 58805   size:18.74,Price: ,4.5,ok
1.122507291, Sport: ,Soccer, Time: ,Sun Jan 17 00:00:00 CET 2016, Time: ,Sun Jan 17 00:00:00 CET 2016, Event: ,Alebrijes de Oaxaca v Universidad Guadalajara, Favorite: ,Alebrijes de Oaxaca, 9988722   size:2.07,Price: ,2.26,Universidad Guadalajara, 6533140   size:4.44,Price: ,2.98,The Draw, 58805   size:4.25,Price: ,3.25,x
