1.119574642, Sport: ,Tennis, Time: ,Sat Jul 18 22:15:00 CEST 2015, Time: ,Sat Jul 18 22:15:00 CEST 2015, Event: ,Chiudinelli v Pabon Cuesta, Favorite: ,Marco Chiudinelli, 2263632   size:2.06,Price: ,1.05, Ricardo Pabon Cuesta , 10012035   size:8.98,Price: ,9.4,ok
1.119574203, Sport: ,Tennis, Time: ,Sat Jul 18 21:30:00 CEST 2015, Time: ,Sat Jul 18 21:30:00 CEST 2015, Event: ,Mestach v Date-Krumm, Favorite: ,An-Sophie Mestach, 4818332   size:2.63,Price: ,1.67,Kimiko Date-Krumm, 8244520   size:2.63,Price: ,2.32,ok
1.119574764, Sport: ,Basketball, Time: ,Sat Jul 18 22:00:00 CEST 2015, Time: ,Sat Jul 18 22:00:00 CEST 2015, Event: ,San Antonio v Boston, Favorite: ,Boston, 13108   size:1011.37,Price: ,1.01,x
1.119578729, Sport: ,Boxing, Time: ,Sat Jul 18 22:00:00 CEST 2015, Time: ,Sat Jul 18 22:00:00 CEST 2015, Event: ,Arreola v Kassi, Favorite: ,Chris Arreola, 3812537   size:206.49,Price: ,1.03,Fred Kassi, 10016760   size:40.93,Price: ,8.4,Draw, 31162   size:14.4,Price: ,21.0,x
1.119468794, Sport: ,Baseball, Time: ,Sun Jul 19 01:15:00 CEST 2015, Time: ,Sun Jul 19 01:15:00 CEST 2015, Event: ,NYM @ STL, Favorite: ,St Louis (J Lackey), 8750362   size:495.58,Price: ,1.68,NY Mets (B Colon), 8432627   size:101.16,Price: ,2.36,ok
1.119523490, Sport: ,Volleyball, Time: ,Sun Jul 19 03:05:00 CEST 2015, Time: ,Sun Jul 19 03:05:00 CEST 2015, Event: ,USA (W) v Puerto Rico (W), Favorite: ,USA (W), 8555561   size:826.1,Price: ,1.02,Puerto Rico (W), 8723807   size:2.06,Price: ,1.95,ok
1.119543061, Sport: ,Soccer, Time: ,Sat Jul 18 21:30:00 CEST 2015, Time: ,Sat Jul 18 21:30:00 CEST 2015, Event: ,Arroceros de Calabozo v Union Atletico Falcon, Favorite: ,Union Atletico Falcon, 9989662   size:5.91,Price: ,1.27,Arroceros de Calabozo, 9989661   size:91.07,Price: ,1.42,The Draw, 58805   size:5.16,Price: ,3.55,x
1.119468752, Sport: ,Baseball, Time: ,Sun Jul 19 01:08:00 CEST 2015, Time: ,Sun Jul 19 01:08:00 CEST 2015, Event: ,BAL @ DET, Favorite: ,Detroit (D Price), 8753728   size:5.39,Price: ,1.76,Baltimore (C Tillman), 4079994   size:2.24,Price: ,2.3,x
1.119503008, Sport: ,Soccer, Time: ,Sun Jul 19 01:00:00 CEST 2015, Time: ,Sun Jul 19 01:00:00 CEST 2015, Event: ,Atletico Nacional v Ind Medellin, Favorite: ,Atletico Nacional, 478920   size:36.3,Price: ,2.02,The Draw, 58805   size:15.0,Price: ,3.45,Ind Medellin, 1067444   size:27.22,Price: ,4.0,x
1.119451118, Sport: ,Soccer, Time: ,Sun Jul 19 02:00:00 CEST 2015, Time: ,Sun Jul 19 02:00:00 CEST 2015, Event: ,Boa v Ceara, Favorite: ,Boa, 5900070   size:14.69,Price: ,2.64,Ceara, 4016599   size:136.59,Price: ,3.0,The Draw, 58805   size:368.07,Price: ,3.2,x
1.119523218, Sport: ,Volleyball, Time: ,Sun Jul 19 01:05:00 CEST 2015, Time: ,Sun Jul 19 01:05:00 CEST 2015, Event: ,Canada (W) v Cuba (W), Favorite: ,Cuba (W), 6489948   size:2.55,Price: ,1.53,Canada (W), 8723660   size:7.88,Price: ,2.44,x
1.119573391, Sport: ,Soccer, Time: ,Sun Jul 19 03:00:00 CEST 2015, Time: ,Sun Jul 19 03:00:00 CEST 2015, Event: ,San Marcos v Cobreloa, Favorite: ,San Marcos, 7000095   size:9.68,Price: ,1.75,The Draw, 58805   size:3.69,Price: ,3.6,Cobreloa, 328700   size:3.48,Price: ,4.4,x
1.119454946, Sport: ,Soccer, Time: ,Sun Jul 19 04:00:00 CEST 2015, Time: ,Sun Jul 19 04:00:00 CEST 2015, Event: ,Seattle v Colorado, Favorite: ,Seattle, 3155352   size:4.06,Price: ,2.08,The Draw, 58805   size:332.8,Price: ,3.5,Colorado, 171911   size:181.78,Price: ,4.1,x
1.118855371, Sport: ,Boxing, Time: ,Sat Jul 18 23:00:00 CEST 2015, Time: ,Sat Jul 18 23:00:00 CEST 2015, Event: ,Quigg v Martinez, Favorite: ,Scott Quigg, 5897943   size:864.42,Price: ,1.22,Kiko Martinez, 2484198   size:31.32,Price: ,5.6,Draw, 31162   size:2.06,Price: ,44.0,ok
1.119568323, Sport: ,Soccer, Time: ,Sun Jul 19 01:00:00 CEST 2015, Time: ,Sun Jul 19 01:00:00 CEST 2015, Event: ,Carolina Dynamo v Charlotte Eagles, Favorite: ,Charlotte Eagles, 4835001   size:10.92,Price: ,1.08,The Draw, 58805   size:10.92,Price: ,1.29,ok
1.119451279, Sport: ,Soccer, Time: ,Sun Jul 19 02:00:00 CEST 2015, Time: ,Sun Jul 19 02:00:00 CEST 2015, Event: ,Oeste v America MG, Favorite: ,America MG, 4516149   size:23.33,Price: ,2.22,The Draw, 58805   size:118.81,Price: ,3.35,Oeste, 3618374   size:32.34,Price: ,3.7,x
1.119503641, Sport: ,Soccer, Time: ,Sat Jul 18 23:00:00 CEST 2015, Time: ,Sat Jul 18 23:00:00 CEST 2015, Event: ,El Nacional v Aucas, Favorite: ,El Nacional, 330234   size:15.24,Price: ,2.1,The Draw, 58805   size:5.16,Price: ,3.45,Aucas, 897347   size:9.65,Price: ,3.9,ok
