1.122805128, Sport: ,Ice Hockey, Time: ,Sun Jan 31 15:00:00 CET 2016, Time: ,Sun Jan 31 15:00:00 CET 2016, Event: ,Lokomotiv Yaroslavl v HC Sochi, Favorite: ,Lokomotiv Yaroslavl, 672199   size:69.46,Price: ,1.7,Hc Sochi, 8874475   size:41.35,Price: ,4.6,Tie, 60104   size:79.35,Price: ,4.5
1.122775939, Sport: ,Basketball, Time: ,Sun Jan 31 18:00:00 CET 2016, Time: ,Sun Jan 31 18:00:00 CET 2016, Event: ,CEZ Basket Nymburk v UNICS Kazan, Favorite: ,Unics Kazan, 5134712   size:8.14,Price: ,1.4,CEZ Basket Nymburk, 1467332   size:6.46,Price: ,3.15,ok
1.122718222, Sport: ,Soccer, Time: ,Sun Jan 31 21:00:00 CET 2016, Time: ,Sun Jan 31 21:00:00 CET 2016, Event: ,Gloria v Veranopolis, Favorite: ,Gloria, 166896   size:2.63,Price: ,1.1,Veranopolis, 6149523   size:2.63,Price: ,1.1,The Draw, 58805   size:2.63,Price: ,1.1
1.122719956, Sport: ,Soccer, Time: ,Sun Jan 31 14:30:00 CET 2016, Time: ,Sun Jan 31 14:30:00 CET 2016, Event: ,Achilles 29 v Go Ahead Eagles, Favorite: ,Go Ahead Eagles, 419123   size:67.53,Price: ,1.69,Achilles 29, 4189472   size:187.32,Price: ,5.5,The Draw, 58805   size:209.95,Price: ,4.1
1.122712166, Sport: ,Soccer, Time: ,Sun Jan 31 20:30:00 CET 2016, Time: ,Sun Jan 31 20:30:00 CET 2016, Event: ,Real Madrid v Espanyol, Favorite: ,Real Madrid, 2426   size:30673.33,Price: ,1.12,Espanyol, 59044   size:44.1,Price: ,29.0,The Draw, 58805   size:178.01,Price: ,13.5
1.122775812, Sport: ,Basketball, Time: ,Sun Jan 31 17:00:00 CET 2016, Time: ,Sun Jan 31 17:00:00 CET 2016, Event: ,EA7-Emporio Armani Mila v Sidigas Avellino, Favorite: ,EA7-Emporio Armani Mila, 10324684   size:2.55,Price: ,1.12,Sidigas Avellino, 5838445   size:5.92,Price: ,7.6,x
1.122776423, Sport: ,Cricket, Time: ,Mon Feb 01 10:30:00 CET 2016, Time: ,Mon Feb 01 10:30:00 CET 2016, Event: ,Hambantota v Galle, Favorite: ,Hambantota, 10749487   size:159.59,Price: ,1.03,Galle, 10749486   size:159.59,Price: ,1.03,ok
1.122718220, Sport: ,Soccer, Time: ,Sun Jan 31 20:00:00 CET 2016, Time: ,Sun Jan 31 20:00:00 CET 2016, Event: ,Brasil de Pelotas v Gremio, Favorite: ,Gremio, 198134   size:2.42,Price: ,1.9,Brasil de Pelotas, 7160974   size:4.27,Price: ,4.2,The Draw, 58805   size:28.16,Price: ,3.45
1.122776420, Sport: ,Cricket, Time: ,Mon Feb 01 05:30:00 CET 2016, Time: ,Mon Feb 01 05:30:00 CET 2016, Event: ,Kandy v Kurunegala, Favorite: ,Kandy, 10749488   size:159.59,Price: ,1.03,Kurunegala, 10749490   size:159.59,Price: ,1.03
1.122812783, Sport: ,Soccer, Time: ,Sun Jan 31 23:00:00 CET 2016, Time: ,Sun Jan 31 23:00:00 CET 2016, Event: ,America RN v ABC, Favorite: ,America RN, 4701920   size:65.75,Price: ,1.74,abc, 3794139   size:24.16,Price: ,3.85,The Draw, 58805   size:3.83,Price: ,3.55
1.122759417, Sport: ,Soccer, Time: ,Sun Jan 31 17:00:00 CET 2016, Time: ,Sun Jan 31 17:00:00 CET 2016, Event: ,CD Izarra v Ferrol, Favorite: ,Ferrol, 309110   size:11.7,Price: ,2.3,CD Izarra, 9320407   size:30.38,Price: ,3.45,The Draw, 58805   size:8.07,Price: ,3.25,x
1.122747123, Sport: ,Soccer, Time: ,Sun Jan 31 16:00:00 CET 2016, Time: ,Sun Jan 31 16:00:00 CET 2016, Event: ,Aves v Braga B, Favorite: ,Aves, 505958   size:67.09,Price: ,2.02,Braga B, 6563319   size:85.72,Price: ,4.5,The Draw, 58805   size:35.18,Price: ,3.35
1.122747049, Sport: ,Soccer, Time: ,Sun Jan 31 16:00:00 CET 2016, Time: ,Sun Jan 31 16:00:00 CET 2016, Event: ,Academico de Viseu v Santa Clara, Favorite: ,Academico de Viseu, 7611327   size:208.16,Price: ,2.16,Santa Clara, 48793   size:2.61,Price: ,4.1,The Draw, 58805   size:4.0,Price: ,3.25
1.122805014, Sport: ,Volleyball, Time: ,Sun Jan 31 18:00:00 CET 2016, Time: ,Sun Jan 31 18:00:00 CET 2016, Event: ,Calzedonia Verona v Andreoli Latina, Favorite: ,Calzedonia Verona, 9132051   size:2.55,Price: ,1.29,Andreoli Latina, 2495986   size:2.55,Price: ,3.8
1.122805016, Sport: ,Volleyball, Time: ,Sun Jan 31 18:00:00 CET 2016, Time: ,Sun Jan 31 18:00:00 CET 2016, Event: ,Exprivia Molfetta v Revivre Milano, Favorite: ,Exprivia Molfetta, 7928206   size:4.13,Price: ,1.21,Revivre Milano, 8926740   size:4.2,Price: ,5.0,ok
1.122805138, Sport: ,Ice Hockey, Time: ,Sun Jan 31 12:30:00 CET 2016, Time: ,Sun Jan 31 12:30:00 CET 2016, Event: ,Sibir Novosibirsk v Slovan Bratislava, Favorite: ,Sibir Novosibirsk, 1252389   size:10.33,Price: ,2.06,Slovan Bratislava, 1357713   size:20.99,Price: ,3.45,Tie, 60104   size:107.57,Price: ,4.1
1.122805017, Sport: ,Volleyball, Time: ,Sun Jan 31 18:00:00 CET 2016, Time: ,Sun Jan 31 18:00:00 CET 2016, Event: ,LPR Piacenza v Trentino Volley, Favorite: ,Trentino Volley, 3416132   size:2.55,Price: ,1.12,Lpr Piacenza, 10724284   size:22.35,Price: ,7.2,ok
1.122835160, Sport: ,Darts, Time: ,Sun Jan 31 13:45:00 CET 2016, Time: ,Sun Jan 31 13:45:00 CET 2016, Event: ,Kim Huybrechts v James Wade, Favorite: ,James Wade, 2409762   size:35.39,Price: ,1.64,Kim Huybrechts, 5707918   size:45.04,Price: ,2.46
1.122805018, Sport: ,Volleyball, Time: ,Sun Jan 31 18:00:00 CET 2016, Time: ,Sun Jan 31 18:00:00 CET 2016, Event: ,Modena Volley v Vero Volley, Favorite: ,Modena Volley, 8152103   size:2.55,Price: ,1.09,Vero Volley, 10410541   size:3.99,Price: ,8.0,ok
1.122718214, Sport: ,Soccer, Time: ,Sun Jan 31 22:30:00 CET 2016, Time: ,Sun Jan 31 22:30:00 CET 2016, Event: ,Figueirense v Brusque, Favorite: ,Figueirense, 198125   size:227.0,Price: ,1.44,Brusque, 4461062   size:5.14,Price: ,7.4,The Draw, 58805   size:2.55,Price: ,4.7
1.122721427, Sport: ,Soccer, Time: ,Sun Jan 31 14:30:00 CET 2016, Time: ,Sun Jan 31 14:30:00 CET 2016, Event: ,Carlisle v Everton, Favorite: ,Everton, 56343   size:1850.36,Price: ,1.42,Carlisle, 18561   size:155.47,Price: ,9.0,The Draw, 58805   size:649.03,Price: ,5.3
1.122719984, Sport: ,Soccer, Time: ,Sun Jan 31 18:00:00 CET 2016, Time: ,Sun Jan 31 18:00:00 CET 2016, Event: ,Club Brugge v Lokeren, Favorite: ,Club Brugge, 10762   size:522.27,Price: ,1.34,Lokeren, 43430   size:15.78,Price: ,11.0,The Draw, 58805   size:26.3,Price: ,5.8
1.122718212, Sport: ,Soccer, Time: ,Sun Jan 31 20:00:00 CET 2016, Time: ,Sun Jan 31 20:00:00 CET 2016, Event: ,Criciuma v Avai, Favorite: ,Criciuma, 356589   size:2.55,Price: ,2.02,Avai, 3859186   size:2.55,Price: ,3.85,The Draw, 58805   size:4.55,Price: ,3.55
1.122718218, Sport: ,Soccer, Time: ,Sun Jan 31 21:00:00 CET 2016, Time: ,Sun Jan 31 21:00:00 CET 2016, Event: ,Aimore v Lajeadense, Favorite: ,Aimore, 8208443   size:3.54,Price: ,2.36,Lajeadense, 6149522   size:4.31,Price: ,2.88,The Draw, 58805   size:2.97,Price: ,3.1
1.122718216, Sport: ,Soccer, Time: ,Sun Jan 31 20:00:00 CET 2016, Time: ,Sun Jan 31 20:00:00 CET 2016, Event: ,Metropolitano v Camboriu, Favorite: ,Metropolitano, 4562556   size:64.45,Price: ,2.02,Camboriu, 7028994   size:4.73,Price: ,3.2,The Draw, 58805   size:29.22,Price: ,3.25
