1.121101665, Sport: ,Basketball, Time: ,Fri Oct 09 03:30:00 CEST 2015, Time: ,Fri Oct 09 03:30:00 CEST 2015, Event: ,Quilmes v Weber Bahia Estudiantes, Favorite: ,Weber Bahia Estudiantes, 6719105   size:91.18,Price: ,1.36,Quilmes, 7753472   size:2.55,Price: ,1.44,ok
1.121101666, Sport: ,Basketball, Time: ,Fri Oct 09 03:30:00 CEST 2015, Time: ,Fri Oct 09 03:30:00 CEST 2015, Event: ,Regatas v Sionista, Favorite: ,Regatas, 6718792   size:2.98,Price: ,1.68,Sionista, 6719083   size:2.53,Price: ,1.98,ok
1.120992631, Sport: ,Soccer, Time: ,Thu Oct 08 20:45:00 CEST 2015, Time: ,Thu Oct 08 20:45:00 CEST 2015, Event: ,Hungary v Faroe Islands, Favorite: ,Hungary, 15290   size:1328.92,Price: ,2.54,Faroe Islands, 29633   size:995.28,Price: ,3.6,The Draw, 58805   size:1139.74,Price: ,3.0,ok
1.120993764, Sport: ,Soccer, Time: ,Thu Oct 08 20:45:00 CEST 2015, Time: ,Thu Oct 08 20:45:00 CEST 2015, Event: ,Scotland v Poland, Favorite: ,The Draw, 58805   size:521.59,Price: ,2.46,Scotland, 447   size:2.26,Price: ,3.6,Poland, 8207   size:1562.05,Price: ,3.15,ok
1.120991222, Sport: ,Soccer, Time: ,Thu Oct 08 23:00:00 CEST 2015, Time: ,Thu Oct 08 23:00:00 CEST 2015, Event: ,Venezuela v Paraguay, Favorite: ,Venezuela, 15302   size:487.05,Price: ,2.42,Paraguay, 55211   size:151.14,Price: ,3.45,The Draw, 58805   size:1467.54,Price: ,3.25,x
1.121015822, Sport: ,Soccer, Time: ,Fri Oct 09 03:00:00 CEST 2015, Time: ,Fri Oct 09 03:00:00 CEST 2015, Event: ,Honduras v Guatemala, Favorite: ,Honduras, 43666   size:129.55,Price: ,1.94,Guatemala, 440499   size:37.62,Price: ,5.0,The Draw, 58805   size:560.65,Price: ,3.45,x
1.121120589, Sport: ,Tennis, Time: ,Thu Oct 08 23:00:00 CEST 2015, Time: ,Thu Oct 08 23:00:00 CEST 2015, Event: ,Ball/Reid v Brands/Brown, Favorite: ,Ball/Reid, 8892655   size:2.55,Price: ,1.88,Brands/Brown, 10384610   size:2.55,Price: ,1.88,x
1.121120503, Sport: ,Tennis, Time: ,Thu Oct 08 22:30:00 CEST 2015, Time: ,Thu Oct 08 22:30:00 CEST 2015, Event: ,Galdos/Hernandez-Fernan v Coppejans/De Loore, Favorite: ,Galdos/Hernandez-Fernan, 9457255   size:47.53,Price: ,1.57,Coppejans/De Loore, 10384278   size:2.55,Price: ,2.72,ok
1.121107485, Sport: ,Ice Hockey, Time: ,Fri Oct 09 02:35:00 CEST 2015, Time: ,Fri Oct 09 02:35:00 CEST 2015, Event: ,Pittsburgh @ Dallas, Favorite: ,Dallas, 2108116   size:94.96,Price: ,2.52,Pittsburgh, 2115995   size:13.38,Price: ,2.64,Tie, 60104   size:276.0,Price: ,4.0,ok
1.121005941, Sport: ,Soccer, Time: ,Fri Oct 09 04:00:00 CEST 2015, Time: ,Fri Oct 09 04:00:00 CEST 2015, Event: ,Millenium Universidad v CA Independiente, Favorite: ,Millenium Universidad, 8304292   size:10.63,Price: ,1.1,CA Independiente, 8015153   size:10.63,Price: ,1.1,The Draw, 58805   size:4.43,Price: ,1.29,x
1.121107480, Sport: ,Ice Hockey, Time: ,Fri Oct 09 02:05:00 CEST 2015, Time: ,Fri Oct 09 02:05:00 CEST 2015, Event: ,Carolina @ Nashville, Favorite: ,Nashville, 2109832   size:130.51,Price: ,1.95,Carolina, 2108027   size:330.99,Price: ,3.6,Tie, 60104   size:12.01,Price: ,4.2,ok
1.121092238, Sport: ,Tennis, Time: ,Thu Oct 08 23:00:00 CEST 2015, Time: ,Thu Oct 08 23:00:00 CEST 2015, Event: ,Giron/Paul v Fritz/Opelka, Favorite: ,Giron/Paul, 10384608   size:2.81,Price: ,1.78,Fritz/Opelka, 10221689   size:2.48,Price: ,2.02,x
1.121092952, Sport: ,Basketball, Time: ,Thu Oct 08 20:45:00 CEST 2015, Time: ,Thu Oct 08 20:45:00 CEST 2015, Event: ,Trento v Armani Milano, Favorite: ,Trento, 8782954   size:5.0,Price: ,1.58,Armani Milano, 952727   size:41.26,Price: ,2.48,ok
1.121019039, Sport: ,Handball, Time: ,Thu Oct 08 20:45:00 CEST 2015, Time: ,Thu Oct 08 20:45:00 CEST 2015, Event: ,Paris Saint German v Chambery, Favorite: ,Chambery, 3361608   size:2.71,Price: ,1.01,Paris Saint German, 8835235   size:157.34,Price: ,1.07,Draw, 330157   size:2.71,Price: ,1.01,x
1.121121041, Sport: ,Soccer, Time: ,Fri Oct 09 01:00:00 CEST 2015, Time: ,Fri Oct 09 01:00:00 CEST 2015, Event: ,Atletico Halcon Junior v Atletico Limeno, Favorite: ,The Draw, 58805   size:23.53,Price: ,1.34,Atletico Halcon Junior, 10389575   size:30.0,Price: ,2.0,Atletico Limeno, 10389577   size:88.63,Price: ,1.61,ok
1.120993631, Sport: ,Soccer, Time: ,Thu Oct 08 20:45:00 CEST 2015, Time: ,Thu Oct 08 20:45:00 CEST 2015, Event: ,Romania v Finland, Favorite: ,Romania, 26   size:471.86,Price: ,1.83,Finland, 8178   size:286.25,Price: ,10.5,The Draw, 58805   size:59.17,Price: ,2.74,x
1.121074826, Sport: ,Basketball, Time: ,Fri Oct 09 04:00:00 CEST 2015, Time: ,Fri Oct 09 04:00:00 CEST 2015, Event: ,Toronto @ LA Lakers, Favorite: ,Toronto, 13113   size:2.99,Price: ,1.44,LA Lakers, 2120881   size:5.62,Price: ,3.0,ok
1.121120432, Sport: ,Tennis, Time: ,Thu Oct 08 22:00:00 CEST 2015, Time: ,Thu Oct 08 22:00:00 CEST 2015, Event: ,Lao v Pegula, Favorite: ,Jessica Pegula, 6215852   size:143.35,Price: ,1.34,Danielle Lao, 8826936   size:5.93,Price: ,3.2,ok
1.120889723, Sport: ,American Football, Time: ,Fri Oct 09 02:25:00 CEST 2015, Time: ,Fri Oct 09 02:25:00 CEST 2015, Event: ,Indianapolis @ Houston, Favorite: ,Houston Texans, 179823   size:314.32,Price: ,1.48,Indianapolis Colts, 50200   size:442.81,Price: ,3.05,x
1.121120595, Sport: ,Tennis, Time: ,Thu Oct 08 20:57:00 CEST 2015, Time: ,Thu Oct 08 20:57:00 CEST 2015, Event: ,Ramirez/Reyes-Varela v Barrientos/Struvay, Favorite: ,Barrientos/Struvay, 8226198   size:116.87,Price: ,1.32,Ramirez/Reyes-Varela, 8329159   size:9.74,Price: ,3.35,ok
1.121107790, Sport: ,Baseball, Time: ,Fri Oct 09 01:37:00 CEST 2015, Time: ,Fri Oct 09 01:37:00 CEST 2015, Event: ,HOU @ KC, Favorite: ,Kansas City (Y Ventura), 7663454   size:592.88,Price: ,1.78,Houston (C McHugh), 8480882   size:543.22,Price: ,2.26,x
1.121074791, Sport: ,Basketball, Time: ,Thu Oct 08 21:00:00 CEST 2015, Time: ,Thu Oct 08 21:00:00 CEST 2015, Event: ,Boston @ Real Madrid, Favorite: ,Boston, 13108   size:354.34,Price: ,1.38,Real Madrid, 266274   size:2.2,Price: ,3.1,ok
1.121092165, Sport: ,Tennis, Time: ,Thu Oct 08 21:41:00 CEST 2015, Time: ,Thu Oct 08 21:41:00 CEST 2015, Event: ,Kicker/Olivo v Dutra Silva/Ghem, Favorite: ,Dutra Silva/Ghem, 9417728   size:2.09,Price: ,1.74,Kicker/Olivo, 9002385   size:9.34,Price: ,2.12,x
