1.122635005, Sport: ,Soccer, Time: ,Thu Jan 21 13:00:00 CET 2016, Time: ,Thu Jan 21 13:00:00 CET 2016, Event: ,Sanliurfaspor v Basaksehir, Favorite: ,Basaksehir, 10071088   size:28.12,Price: ,1.96,Sanliurfaspor, 2610482   size:3.69,Price: ,4.3,The Draw, 58805   size:25.31,Price: ,3.8,ok
1.122659455, Sport: ,Volleyball, Time: ,Thu Jan 21 18:00:00 CET 2016, Time: ,Thu Jan 21 18:00:00 CET 2016, Event: ,ACH Volley Ljubljana v Vojvodina NS Seme Novi , Favorite: ,Vojvodina Ns Seme Novi, 10472896   size:8.07,Price: ,1.84,Ach Volley Ljubljana, 6117119   size:7.09,Price: ,2.0,x
1.122668608, Sport: ,Ice Hockey, Time: ,Thu Jan 21 18:30:00 CET 2016, Time: ,Thu Jan 21 18:30:00 CET 2016, Event: ,Sparta v Frisk/Asker, Favorite: ,Sparta, 2357194   size:2.86,Price: ,1.75,Frisk/Asker, 2894880   size:7.89,Price: ,3.25,Tie, 60104   size:102.72,Price: ,4.2,ok
1.122667916, Sport: ,Basketball, Time: ,Thu Jan 21 18:30:00 CET 2016, Time: ,Thu Jan 21 18:30:00 CET 2016, Event: ,Slask Wroclaw v Turk Telekom, Favorite: ,Turk Telekom, 631280   size:487.38,Price: ,1.08,Slask Wroclaw, 272970   size:8.85,Price: ,5.4,ok
1.122645604, Sport: ,Tennis, Time: ,Thu Jan 21 21:30:00 CET 2016, Time: ,Thu Jan 21 21:30:00 CET 2016, Event: ,Kicker/Pereira v Dutra Silva/Lapentti, Favorite: ,Kicker/Pereira, 10728294   size:7.62,Price: ,1.89,Dutra Silva/Lapentti, 8735115   size:2.55,Price: ,1.91,x
1.122668602, Sport: ,Ice Hockey, Time: ,Thu Jan 21 18:30:00 CET 2016, Time: ,Thu Jan 21 18:30:00 CET 2016, Event: ,Lillehammer IK v Valerenga IF, Favorite: ,Valerenga IF, 4138407   size:2.55,Price: ,1.8,Lillehammer IK, 4138388   size:7.77,Price: ,3.1,Tie, 60104   size:105.89,Price: ,4.1,x
1.122668324, Sport: ,Basketball, Time: ,Fri Jan 22 04:05:00 CET 2016, Time: ,Fri Jan 22 04:05:00 CET 2016, Event: ,Atlanta Hawks @ Sacramento Kings, Favorite: ,Sacramento, 13127   size:2.43,Price: ,1.88,Atlanta, 13114   size:4.46,Price: ,1.92,ok
1.122678091, Sport: ,Tennis, Time: ,Thu Jan 21 13:30:00 CET 2016, Time: ,Thu Jan 21 13:30:00 CET 2016, Event: ,F Arguello v Sakamoto, Favorite: ,Facundo Arguello, 6129383   size:5.14,Price: ,1.21,Pedro Sakamoto, 8304915   size:14.98,Price: ,4.8,ok
1.122666543, Sport: ,Soccer, Time: ,Thu Jan 21 18:00:00 CET 2016, Time: ,Thu Jan 21 18:00:00 CET 2016, Event: ,KSV Superfund v Deutschslandsberger SC, Favorite: ,KSV Superfund, 4840627   size:2.91,Price: ,1.57,Deutschslandsberger SC, 10735128   size:22.07,Price: ,4.1,The Draw, 58805   size:23.97,Price: ,3.85,ok
1.122668842, Sport: ,Ice Hockey, Time: ,Fri Jan 22 01:05:00 CET 2016, Time: ,Fri Jan 22 01:05:00 CET 2016, Event: ,Ottawa @ New Jersey, Favorite: ,New Jersey, 2112200   size:2.04,Price: ,2.24,Ottawa, 2108072   size:4.27,Price: ,2.62,Tie, 60104   size:3.74,Price: ,3.95,ok
1.122667633, Sport: ,Soccer, Time: ,Thu Jan 21 12:30:00 CET 2016, Time: ,Thu Jan 21 12:30:00 CET 2016, Event: ,Da Nang FC U19 v Quang Ngai U19, Favorite: ,Da Nang FC U19, 9137078   size:2.55,Price: ,2.14,Quang Ngai U19, 10718663   size:5.76,Price: ,3.0,The Draw, 58805   size:3.76,Price: ,3.75,ok
1.122667353, Sport: ,Soccer, Time: ,Thu Jan 21 20:45:00 CET 2016, Time: ,Thu Jan 21 20:45:00 CET 2016, Event: ,Lorca Deportivo CF v Atletico Baleares, Favorite: ,Lorca Deportivo CF, 10243205   size:2.55,Price: ,2.26,Atletico Baleares, 3303611   size:4.26,Price: ,2.84,The Draw, 58805   size:2.0,Price: ,3.25,x
1.122560689, Sport: ,Basketball, Time: ,Fri Jan 22 05:00:00 CET 2016, Time: ,Fri Jan 22 05:00:00 CET 2016, Event: ,Arizona @ Stanford, Favorite: ,Arizona, 29835   size:2.59,Price: ,1.03,Stanford, 29831   size:2.59,Price: ,1.03,ok
1.122679348, Sport: ,Tennis, Time: ,Fri Jan 22 05:00:00 CET 2016, Time: ,Fri Jan 22 05:00:00 CET 2016, Event: ,Sijsling v Lacko, Favorite: ,Lukas Lacko, 2263634   size:12.69,Price: ,1.76,Igor Sijsling, 2370190   size:34.52,Price: ,1.91,ok
1.122653359, Sport: ,Rugby Union, Time: ,Thu Jan 21 20:45:00 CET 2016, Time: ,Thu Jan 21 20:45:00 CET 2016, Event: ,Sale Sharks v Newport, Favorite: ,Sale Sharks, 5972677   size:324.92,Price: ,1.34,Newport Gwent Dragons, 955488   size:81.67,Price: ,4.2,Draw, 246289   size:3.28,Price: ,28.0,ok
1.122581543, Sport: ,Soccer, Time: ,Thu Jan 21 12:15:00 CET 2016, Time: ,Thu Jan 21 12:15:00 CET 2016, Event: ,Kyrgyzstan U21 v Kazakhstan U21, Favorite: ,Kyrgyzstan U21, 6099131   size:15.32,Price: ,2.42,Kazakhstan U21, 919452   size:11.0,Price: ,3.3,The Draw, 58805   size:69.7,Price: ,3.3,x
1.122659856, Sport: ,Ice Hockey, Time: ,Thu Jan 21 15:00:00 CET 2016, Time: ,Thu Jan 21 15:00:00 CET 2016, Event: ,Salavat Yulaev UFA v HC Sochi, Favorite: ,Salavat Yulaev Ufa, 10698097   size:22.22,Price: ,1.85,Hc Sochi, 8874475   size:68.99,Price: ,3.6,Tie, 60104   size:53.0,Price: ,4.6,x
1.122659459, Sport: ,Volleyball, Time: ,Thu Jan 21 18:00:00 CET 2016, Time: ,Thu Jan 21 18:00:00 CET 2016, Event: ,Budvanska Rivijera Budv v VC Zenit-Kazan, Favorite: ,VC Zenit-Kazan, 10391836   size:2503.0,Price: ,1.01,Budvanska Rivijera Budv, 10444797   size:7.01,Price: ,1.13,ok
1.122663427, Sport: ,Basketball, Time: ,Fri Jan 22 02:00:00 CET 2016, Time: ,Fri Jan 22 02:00:00 CET 2016, Event: ,Atenas v Instituto Atletico Cent, Favorite: ,Atenas, 6719082   size:2.0,Price: ,1.01,Instituto Atletico Cent, 10346458   size:2.0,Price: ,1.01,ok
1.122659840, Sport: ,Ice Hockey, Time: ,Thu Jan 21 19:00:00 CET 2016, Time: ,Thu Jan 21 19:00:00 CET 2016, Event: ,IK Pantern v AIK Stockholm, Favorite: ,IK Pantern, 9001037   size:214.45,Price: ,1.7,AIK Stockholm, 702159   size:2.43,Price: ,1.82,Tie, 60104   size:69.18,Price: ,4.1,x
