1.121529172, Sport: ,Basketball, Time: ,Sun Nov 01 01:05:00 CET 2015, Time: ,Sun Nov 01 01:05:00 CET 2015, Event: ,Brooklyn @ Memphis, Favorite: ,Memphis, 119812   size:6744.48,Price: ,1.1,Brooklyn, 6758557   size:38.5,Price: ,9.2,ok
1.121560276, Sport: ,Soccer, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Tauro FC v Sporting San Miguel, Favorite: ,Tauro FC, 3298378   size:5.18,Price: ,2.6,Sporting San Miguel, 7546734   size:54.72,Price: ,2.88,The Draw, 58805   size:49.61,Price: ,3.05,x
1.121493559, Sport: ,American Football, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Oregon State @ Utah, Favorite: ,Utah, 532780   size:848.28,Price: ,1.03,Oregon State, 661960   size:35.72,Price: ,15.5,ok
1.121604102, Sport: ,Tennis, Time: ,Sat Oct 31 22:05:00 CET 2015, Time: ,Sat Oct 31 22:05:00 CET 2015, Event: ,Smethurst v Bragusi, Favorite: ,Daniel Smethurst, 7364223   size:13.9,Price: ,1.08,Darius Florin Bragusi, 9623498   size:7.24,Price: ,6.8,ok
1.121504293, Sport: ,Soccer, Time: ,Sat Oct 31 22:30:00 CET 2015, Time: ,Sat Oct 31 22:30:00 CET 2015, Event: ,OHiggins v Antofagasta, Favorite: ,OHiggins, 5129871   size:18.51,Price: ,1.49,Antofagasta, 6105741   size:37.72,Price: ,7.8,The Draw, 58805   size:8.1,Price: ,4.8,x
1.121493597, Sport: ,American Football, Time: ,Sun Nov 01 00:00:00 CET 2015, Time: ,Sun Nov 01 00:00:00 CET 2015, Event: ,Michigan @ Minnesota, Favorite: ,Michigan, 484729   size:263.18,Price: ,1.18,Minnesota, 18575   size:3.04,Price: ,5.6,ok
1.121395272, Sport: ,Ice Hockey, Time: ,Sun Nov 01 00:05:00 CET 2015, Time: ,Sun Nov 01 00:05:00 CET 2015, Event: ,Detroit @ Ottawa, Favorite: ,Ottawa, 2108072   size:109.0,Price: ,2.26,Detroit, 975676   size:482.0,Price: ,2.84,Tie, 60104   size:106.72,Price: ,4.2,x
1.121568986, Sport: ,Soccer, Time: ,Sat Oct 31 22:00:00 CET 2015, Time: ,Sat Oct 31 22:00:00 CET 2015, Event: ,Manta FC v Macara, Favorite: ,Manta FC, 5366102   size:5.0,Price: ,1.03,Macara, 6161547   size:79.97,Price: ,3.9,The Draw, 58805   size:51.52,Price: ,3.65,ok
1.121603936, Sport: ,Tennis, Time: ,Sat Oct 31 21:20:00 CET 2015, Time: ,Sat Oct 31 21:20:00 CET 2015, Event: ,G Elias v G Pella, Favorite: ,Guido Pella, 6162610   size:333.0,Price: ,1.41,Gastao Elias, 2923174   size:2.8,Price: ,3.25,x
1.121395277, Sport: ,Ice Hockey, Time: ,Sun Nov 01 00:05:00 CET 2015, Time: ,Sun Nov 01 00:05:00 CET 2015, Event: ,Boston @ Tampa Bay, Favorite: ,Tampa Bay, 2109715   size:7.14,Price: ,2.1,Boston, 2112316   size:73.48,Price: ,3.3,Tie, 60104   size:64.41,Price: ,4.2,x
1.121566965, Sport: ,Soccer, Time: ,Sat Oct 31 22:30:00 CET 2015, Time: ,Sat Oct 31 22:30:00 CET 2015, Event: ,Londrina v Tupi, Favorite: ,Londrina, 4525642   size:2.55,Price: ,1.73,Tupi, 4516150   size:7.78,Price: ,5.1,The Draw, 58805   size:5.0,Price: ,3.4,x
