1.119137717, Sport: ,Tennis, Time: ,Fri Jun 12 17:00:00 CEST 2015, Time: ,Fri Jun 12 17:00:00 CEST 2015, Event: ,Rae/Smith v Niculescu/Parra Santonj, Favorite: ,Niculescu/Parra Santonj, 9568457   size:5.48,Price: ,1.46,Rae/Smith, 8621531   size:3.1,Price: ,2.58,x
1.119138726, Sport: ,Tennis, Time: ,Fri Jun 12 14:30:00 CEST 2015, Time: ,Fri Jun 12 14:30:00 CEST 2015, Event: ,A Radwanska v L Davis, Favorite: ,Agnieszka Radwanska, 2263577   size:658.55,Price: ,1.15,Lauren Davis, 4176991   size:38.58,Price: ,7.4,ok
1.119128491, Sport: ,Tennis, Time: ,Fri Jun 12 11:00:00 CEST 2015, Time: ,Fri Jun 12 11:00:00 CEST 2015, Event: ,Albot v Gabashvili, Favorite: ,Teymuraz Gabashvili, 4877292   size:1894.24,Price: ,1.1,Radu Albot, 6603898   size:7.88,Price: ,8.0,x
1.118847468, Sport: ,Basketball, Time: ,Fri Jun 12 16:30:00 CEST 2015, Time: ,Fri Jun 12 16:30:00 CEST 2015, Event: ,Slovak Republic (W) v Lithuania (W), Favorite: ,Lithuania (W), 6427230   size:7.95,Price: ,1.48,Slovak Republic (W), 6427245   size:2.92,Price: ,2.74,x
1.118847464, Sport: ,Basketball, Time: ,Fri Jun 12 16:30:00 CEST 2015, Time: ,Fri Jun 12 16:30:00 CEST 2015, Event: ,Croatia (W) v Latvia (W), Favorite: ,Latvia (W), 6427224   size:2.55,Price: ,1.3,Croatia (W), 6469564   size:120.7,Price: ,4.0,x
1.119142763, Sport: ,Tennis, Time: ,Fri Jun 12 17:30:00 CEST 2015, Time: ,Fri Jun 12 17:30:00 CEST 2015, Event: ,Ana Konjuh v Vickery, Favorite: ,Ana Konjuh, 8173632   size:29.91,Price: ,1.33,Sachia Vickery, 6596286   size:9.69,Price: ,3.85,ok
1.118847494, Sport: ,Basketball, Time: ,Fri Jun 12 19:30:00 CEST 2015, Time: ,Fri Jun 12 19:30:00 CEST 2015, Event: ,Romania (W) v Montenegro (W), Favorite: ,Montenegro (W), 6427234   size:2.55,Price: ,1.06,Romania (W), 6427228   size:2.55,Price: ,1.31,ok
1.118749009, Sport: ,Cricket, Time: ,Fri Jun 12 14:00:00 CEST 2015, Time: ,Fri Jun 12 14:00:00 CEST 2015, Event: ,England v New Zealand (2nd ODI), Favorite: ,New Zealand, 448   size:578.9,Price: ,1.81,England, 10301   size:903.71,Price: ,2.22,ok
1.119129807, Sport: ,Tennis, Time: ,Fri Jun 12 14:00:00 CEST 2015, Time: ,Fri Jun 12 14:00:00 CEST 2015, Event: ,Cecchinato v Clezar, Favorite: ,Marco Cecchinato, 6374165   size:235.14,Price: ,1.33,Guilherme Clezar, 5304142   size:23.91,Price: ,3.4,ok
1.119117085, Sport: ,Basketball, Time: ,Fri Jun 12 20:50:00 CEST 2015, Time: ,Fri Jun 12 20:50:00 CEST 2015, Event: ,Strasbourg v Limoges, Favorite: ,Strasbourg, 1193143   size:2.55,Price: ,1.43,Limoges, 3817200   size:27.29,Price: ,2.98,x
1.119139972, Sport: ,Tennis, Time: ,Fri Jun 12 15:45:00 CEST 2015, Time: ,Fri Jun 12 15:45:00 CEST 2015, Event: ,Ramos-Vinolas v G Elias, Favorite: ,Albert Ramos-Vinolas, 8621877   size:12.97,Price: ,1.32,Gastao Elias, 2923174   size:2.66,Price: ,3.35,ok
1.119136005, Sport: ,Basketball, Time: ,Fri Jun 12 21:00:00 CEST 2015, Time: ,Fri Jun 12 21:00:00 CEST 2015, Event: ,Unicaja v Barcelona, Favorite: ,Barcelona, 266269   size:386.1,Price: ,1.36,Unicaja, 272998   size:4.9,Price: ,3.4,x
1.119137730, Sport: ,Tennis, Time: ,Fri Jun 12 12:00:00 CEST 2015, Time: ,Fri Jun 12 12:00:00 CEST 2015, Event: ,N Broady v Carreras, Favorite: ,Naomi Broady, 3960538   size:154.95,Price: ,1.29,Amanda Carreras, 7364002   size:2.43,Price: ,3.65,ok
1.119067086, Sport: ,Basketball, Time: ,Fri Jun 12 14:00:00 CEST 2015, Time: ,Fri Jun 12 14:00:00 CEST 2015, Event: ,Thailand v Singapore, Favorite: ,Singapore, 5767311   size:103.09,Price: ,1.02,ok
1.119129650, Sport: ,Tennis, Time: ,Fri Jun 12 12:00:00 CEST 2015, Time: ,Fri Jun 12 12:00:00 CEST 2015, Event: ,Monfils v Kohlschreiber, Favorite: ,Philipp Kohlschreiber, 2257302   size:92.75,Price: ,1.71,Gael Monfils, 2257300   size:221.5,Price: ,2.38,x
1.119126440, Sport: ,Tennis, Time: ,Fri Jun 12 14:00:00 CEST 2015, Time: ,Fri Jun 12 14:00:00 CEST 2015, Event: ,Chuang/Savchuk v Chan/Zheng, Favorite: ,Chan/Zheng, 8461906   size:2.55,Price: ,1.4,Chuang/Savchuk, 9568463   size:82.53,Price: ,2.74,ok
1.119134409, Sport: ,Tennis, Time: ,Fri Jun 12 10:00:00 CEST 2015, Time: ,Fri Jun 12 10:00:00 CEST 2015, Event: ,Dzumhur v H Zeballos, Favorite: ,Damir Dzumhur, 7414058   size:123.73,Price: ,1.71,Horacio Zeballos, 3506037   size:26.59,Price: ,2.3,x
1.119137539, Sport: ,Tennis, Time: ,Fri Jun 12 13:00:00 CEST 2015, Time: ,Fri Jun 12 13:00:00 CEST 2015, Event: ,Niculescu v Konta, Favorite: ,Johanna Konta, 5596561   size:3.05,Price: ,1.87,Monica Niculescu, 2309528   size:99.0,Price: ,2.04,x
1.119137617, Sport: ,Tennis, Time: ,Fri Jun 12 16:30:00 CEST 2015, Time: ,Fri Jun 12 16:30:00 CEST 2015, Event: ,Marchenko v Goffin, Favorite: ,David Goffin, 5224084   size:1242.72,Price: ,1.31,Illya Marchenko, 3691700   size:9.32,Price: ,3.85,ok
1.119091772, Sport: ,Cricket, Time: ,Fri Jun 12 20:00:00 CEST 2015, Time: ,Fri Jun 12 20:00:00 CEST 2015, Event: ,Kent v Hampshire, Favorite: ,Hampshire, 3961   size:5.14,Price: ,1.73,Kent, 5901   size:44.75,Price: ,2.3,ok
1.118847501, Sport: ,Basketball, Time: ,Fri Jun 12 19:30:00 CEST 2015, Time: ,Fri Jun 12 19:30:00 CEST 2015, Event: ,Belarus (W) v Poland (W), Favorite: ,Belarus (W), 6427238   size:2.55,Price: ,1.34,Poland (W), 6427244   size:8.33,Price: ,3.5,ok
1.119129901, Sport: ,Tennis, Time: ,Fri Jun 12 19:30:00 CEST 2015, Time: ,Fri Jun 12 19:30:00 CEST 2015, Event: ,Fratangelo v Alejandro Gonzalez, Favorite: ,Alejandro Gonzalez, 6604262   size:7.26,Price: ,1.89,Bjorn Fratangelo, 7593723   size:27.61,Price: ,2.0,x
1.118847488, Sport: ,Basketball, Time: ,Fri Jun 12 19:00:00 CEST 2015, Time: ,Fri Jun 12 19:00:00 CEST 2015, Event: ,Hungary (W) v Sweden (W), Favorite: ,Sweden (W), 6427229   size:4.97,Price: ,1.61,Hungary (W), 6427239   size:3.33,Price: ,2.4,ok
1.119091777, Sport: ,Cricket, Time: ,Fri Jun 12 20:00:00 CEST 2015, Time: ,Fri Jun 12 20:00:00 CEST 2015, Event: ,Sussex v Essex, Favorite: ,Sussex, 31379   size:3.02,Price: ,1.89,Essex, 31376   size:6.39,Price: ,1.96,x
1.119091754, Sport: ,Cricket, Time: ,Fri Jun 12 18:30:00 CEST 2015, Time: ,Fri Jun 12 18:30:00 CEST 2015, Event: ,Gloucestershire v Glamorgan, Favorite: ,Gloucestershire, 2219   size:5.0,Price: ,1.87,Glamorgan, 169   size:29.4,Price: ,2.02,x
1.119091459, Sport: ,Cricket, Time: ,Fri Jun 12 18:30:00 CEST 2015, Time: ,Fri Jun 12 18:30:00 CEST 2015, Event: ,Leicestershire v Northamptonshire, Favorite: ,Northamptonshire, 475559   size:2.55,Price: ,1.94,Leicestershire, 31377   size:5.14,Price: ,1.95,x
1.118847483, Sport: ,Basketball, Time: ,Fri Jun 12 19:00:00 CEST 2015, Time: ,Fri Jun 12 19:00:00 CEST 2015, Event: ,Great Britain (W) v Russia (W), Favorite: ,Russia (W), 7306785   size:601.0,Price: ,1.04,Great Britain (W), 7306786   size:70.05,Price: ,8.6,ok
1.119118742, Sport: ,Basketball, Time: ,Fri Jun 12 10:15:00 CEST 2015, Time: ,Fri Jun 12 10:15:00 CEST 2015, Event: ,Blackwater Elite v Talk n Text, Favorite: ,Talk N Text, 3871935   size:211.0,Price: ,1.23,Blackwater Elite, 8911707   size:11.4,Price: ,4.8,ok
1.119142457, Sport: ,Tennis, Time: ,Fri Jun 12 15:40:00 CEST 2015, Time: ,Fri Jun 12 15:40:00 CEST 2015, Event: ,M Zverev v Ma Cilic, Favorite: ,Marin Cilic, 2263681   size:110.0,Price: ,1.26,Mischa Zverev, 2263625   size:49.26,Price: ,4.6,ok
1.119142815, Sport: ,Handball, Time: ,Fri Jun 12 18:00:00 CEST 2015, Time: ,Fri Jun 12 18:00:00 CEST 2015, Event: ,Kosovo (W) v Finland (W), Favorite: ,Draw, 330157   size:100.0,Price: ,1.01,x
1.119137505, Sport: ,Tennis, Time: ,Fri Jun 12 12:00:00 CEST 2015, Time: ,Fri Jun 12 12:00:00 CEST 2015, Event: ,Montanes v Nedovyesov, Favorite: ,Albert Montanes, 2263599   size:7.04,Price: ,1.66,Aleksandr Nedovyesov, 8188266   size:30.46,Price: ,2.4,ok
1.119091784, Sport: ,Cricket, Time: ,Fri Jun 12 20:00:00 CEST 2015, Time: ,Fri Jun 12 20:00:00 CEST 2015, Event: ,Durham v Worcestershire, Favorite: ,Durham, 31374   size:3.61,Price: ,1.75,Worcestershire, 31372   size:3.93,Price: ,2.26,x
1.119091764, Sport: ,Cricket, Time: ,Fri Jun 12 19:30:00 CEST 2015, Time: ,Fri Jun 12 19:30:00 CEST 2015, Event: ,Lancashire v Derbyshire, Favorite: ,Lancashire, 424679   size:5.0,Price: ,1.6,Derbyshire, 31375   size:22.45,Price: ,2.5,ok
1.119129713, Sport: ,Tennis, Time: ,Fri Jun 12 15:45:00 CEST 2015, Time: ,Fri Jun 12 15:45:00 CEST 2015, Event: ,G Muller v Copil, Favorite: ,Gilles Muller, 2248579   size:88.25,Price: ,1.36,Marius Copil, 4195870   size:82.95,Price: ,3.5,ok
1.119142371, Sport: ,Tennis, Time: ,Fri Jun 12 10:07:00 CEST 2015, Time: ,Fri Jun 12 10:07:00 CEST 2015, Event: ,Rublev v Donskoy, Favorite: ,Andrey Rublev, 7797771   size:28.08,Price: ,1.76,Evgeny Donskoy, 3391304   size:219.39,Price: ,2.2,ok
1.119067083, Sport: ,Basketball, Time: ,Fri Jun 12 12:00:00 CEST 2015, Time: ,Fri Jun 12 12:00:00 CEST 2015, Event: ,Philippines v East Timor, Favorite: ,Philippines, 4096285   size:0.0,Price: ,0.0,East Timor, 9555585   size:10.01,Price: ,400.0,ok
1.119091769, Sport: ,Cricket, Time: ,Fri Jun 12 19:30:00 CEST 2015, Time: ,Fri Jun 12 19:30:00 CEST 2015, Event: ,Warwickshire v Nottinghamshire, Favorite: ,Nottinghamshire, 2780   size:3.05,Price: ,1.9,Warwickshire, 2120   size:3.82,Price: ,2.06,x
1.119091758, Sport: ,Cricket, Time: ,Fri Jun 12 18:30:00 CEST 2015, Time: ,Fri Jun 12 18:30:00 CEST 2015, Event: ,Somerset v Surrey, Favorite: ,Somerset, 5995   size:15.36,Price: ,1.73,Surrey, 424676   size:3.66,Price: ,2.18,x
1.119142517, Sport: ,Tennis, Time: ,Fri Jun 12 13:45:00 CEST 2015, Time: ,Fri Jun 12 13:45:00 CEST 2015, Event: ,Coppejans v Gombos, Favorite: ,Kimmer Coppejans, 7364095   size:118.42,Price: ,1.6,Norbert Gombos, 8173023   size:5.83,Price: ,2.44,x
