1.121788320, Sport: ,Volleyball, Time: ,Wed Nov 18 17:00:00 CET 2015, Time: ,Wed Nov 18 17:00:00 CET 2015, Event: ,SCM Craiova v Fatra Zlin, Favorite: ,Scm Craiova, 10410544   size:2.55,Price: ,1.13,Fatra Zlin, 7885460   size:13.23,Price: ,6.4,x
1.121841460, Sport: ,Tennis, Time: ,Wed Nov 18 07:30:00 CET 2015, Time: ,Wed Nov 18 07:30:00 CET 2015, Event: ,Voegele/Zhang v Lertpitaksinch/Plipuech, Favorite: ,Voegele/Zhang, 10530495   size:16.44,Price: ,1.03,Lertpitaksinch/Plipuech, 9220478   size:16.44,Price: ,1.03,x
1.121860077, Sport: ,Tennis, Time: ,Wed Nov 18 14:00:00 CET 2015, Time: ,Wed Nov 18 14:00:00 CET 2015, Event: ,Maleckova v Kawa, Favorite: ,Jesika Maleckova, 9150595   size:2.55,Price: ,1.56,Katarzyna Kawa, 7186321   size:30.68,Price: ,2.44,ok
1.121841440, Sport: ,Tennis, Time: ,Wed Nov 18 10:00:00 CET 2015, Time: ,Wed Nov 18 10:00:00 CET 2015, Event: ,Melnikova v Shvedova, Favorite: ,Yaroslava Shvedova, 2263713   size:183.25,Price: ,1.15,Marina Melnikova, 6390238   size:33.26,Price: ,7.0,ok
1.121866357, Sport: ,Tennis, Time: ,Wed Nov 18 13:00:00 CET 2015, Time: ,Wed Nov 18 13:00:00 CET 2015, Event: ,Amanmuradova v Pera, Favorite: ,Bernarda Pera, 8784983   size:2.55,Price: ,1.66,Akgul Amanmuradova, 2301144   size:38.42,Price: ,2.2,x
1.121861261, Sport: ,Tennis, Time: ,Wed Nov 18 13:45:00 CET 2015, Time: ,Wed Nov 18 13:45:00 CET 2015, Event: ,Vanni v B Becker, Favorite: ,Benjamin Becker, 2249398   size:6.1,Price: ,1.6,Luca Vanni, 8681900   size:43.23,Price: ,2.54,x
1.121841464, Sport: ,Tennis, Time: ,Wed Nov 18 11:30:00 CET 2015, Time: ,Wed Nov 18 11:30:00 CET 2015, Event: ,Cho/Hsu v Hsu/Raina, Favorite: ,Hsu/Raina, 10530499   size:2.55,Price: ,1.41,Cho/Hsu, 8964273   size:2.55,Price: ,2.86,ok
1.121860074, Sport: ,Tennis, Time: ,Wed Nov 18 12:30:00 CET 2015, Time: ,Wed Nov 18 12:30:00 CET 2015, Event: ,Dinu v Njiric, Favorite: ,Cristina Dinu, 7216240   size:2.55,Price: ,1.48,Silvia Njiric, 4828175   size:6.1,Price: ,2.7,ok
1.121860075, Sport: ,Tennis, Time: ,Wed Nov 18 11:00:00 CET 2015, Time: ,Wed Nov 18 11:00:00 CET 2015, Event: ,Stefkova v Stojanovic, Favorite: ,Barbora Stefkova, 8887755   size:6.1,Price: ,1.82,Nina Stojanovic, 9028632   size:70.65,Price: ,1.99,ok
1.121841468, Sport: ,Tennis, Time: ,Wed Nov 18 09:30:00 CET 2015, Time: ,Wed Nov 18 09:30:00 CET 2015, Event: ,Lee/Shih v Chan/Namigata, Favorite: ,Chan/Namigata, 10530501   size:533.94,Price: ,1.02,Lee/Shih, 10530500   size:4.08,Price: ,16.5,ok
1.121841820, Sport: ,Tennis, Time: ,Wed Nov 18 13:45:00 CET 2015, Time: ,Wed Nov 18 13:45:00 CET 2015, Event: ,Grigoriu/Paval v Bury/Siljestrom, Favorite: ,Grigoriu/Paval, 8815385   size:3.75,Price: ,1.09,Bury/Siljestrom, 9940566   size:2.55,Price: ,1.47,x
1.121870243, Sport: ,Tennis, Time: ,Wed Nov 18 15:30:00 CET 2015, Time: ,Wed Nov 18 15:30:00 CET 2015, Event: ,Berrer v Chiudinelli, Favorite: ,Michael Berrer, 2263684   size:38.77,Price: ,1.71,Marco Chiudinelli, 2263632   size:6.1,Price: ,2.16,x
1.121850993, Sport: ,Basketball, Time: ,Wed Nov 18 11:00:00 CET 2015, Time: ,Wed Nov 18 11:00:00 CET 2015, Event: ,Samsung Life Blue Minx v KB Stars, Favorite: ,Samsung Life Blue Minx, 7894748   size:2.55,Price: ,1.67,KB Stars, 6739926   size:2.55,Price: ,2.26,x
1.121858576, Sport: ,Soccer, Time: ,Wed Nov 18 14:30:00 CET 2015, Time: ,Wed Nov 18 14:30:00 CET 2015, Event: ,AC Milan U19 v Delfino Pescara U19, Favorite: ,AC Milan U19, 2502326   size:2.03,Price: ,1.39,Delfino Pescara U19, 6639019   size:14.74,Price: ,1.95,The Draw, 58805   size:9.66,Price: ,3.15,ok
1.121858631, Sport: ,Soccer, Time: ,Wed Nov 18 14:30:00 CET 2015, Time: ,Wed Nov 18 14:30:00 CET 2015, Event: ,Inter U19 v AC Cesena U19, Favorite: ,Inter U19, 2503323   size:2.74,Price: ,1.37,AC Cesena U19, 6673863   size:5.0,Price: ,4.9,The Draw, 58805   size:4.28,Price: ,4.3,ok
1.121858356, Sport: ,Soccer, Time: ,Wed Nov 18 16:45:00 CET 2015, Time: ,Wed Nov 18 16:45:00 CET 2015, Event: ,Al Salmiyah U20 v Al Arabi (Kuwait) U20, Favorite: ,Al Arabi (Kuwait) U20, 10462495   size:11.8,Price: ,1.1,Al Salmiyah U20, 10462507   size:108.22,Price: ,1.13,The Draw, 58805   size:11.64,Price: ,3.05,ok
1.121850891, Sport: ,Basketball, Time: ,Wed Nov 18 17:30:00 CET 2015, Time: ,Wed Nov 18 17:30:00 CET 2015, Event: ,Kauhajoen Karhu v Kouvot Kouvola, Favorite: ,Kouvot Kouvola, 7749353   size:45.61,Price: ,1.67,Kauhajoen Karhu, 2621631   size:28.34,Price: ,2.26,x
1.121860073, Sport: ,Tennis, Time: ,Wed Nov 18 12:30:00 CET 2015, Time: ,Wed Nov 18 12:30:00 CET 2015, Event: ,Silka v Buzarnescu, Favorite: ,Mihaela Buzarnescu, 5776800   size:520.49,Price: ,1.02,Klara Silka, 10350017   size:8.45,Price: ,13.0,ok
1.121858741, Sport: ,Soccer, Time: ,Wed Nov 18 14:30:00 CET 2015, Time: ,Wed Nov 18 14:30:00 CET 2015, Event: ,SS Lazio U19 v Empoli FC U19, Favorite: ,Empoli FC U19, 6641812   size:3.12,Price: ,2.1,SS Lazio U19, 6839228   size:5.53,Price: ,2.44,The Draw, 58805   size:4.85,Price: ,3.5,x
1.121858411, Sport: ,Soccer, Time: ,Wed Nov 18 16:45:00 CET 2015, Time: ,Wed Nov 18 16:45:00 CET 2015, Event: ,Al Kuwait SC U20 v Al Jahrah FC U20, Favorite: ,Al Kuwait SC U20, 10437859   size:11.8,Price: ,1.1,Al Jahrah FC U20, 10533686   size:108.22,Price: ,1.13,The Draw, 58805   size:11.64,Price: ,3.05,ok
