1.121995522, Sport: ,Soccer, Time: ,Wed Dec 02 11:00:00 CET 2015, Time: ,Wed Dec 02 11:00:00 CET 2015, Event: ,FC Vysocina Jihlava U19 v AC Sparta Praha U19, Favorite: ,AC Sparta Praha U19, 6533101   size:381.35,Price: ,1.08,FC Vysocina Jihlava U19, 6582670   size:6.56,Price: ,16.5,The Draw, 58805   size:7.09,Price: ,9.2,x
1.122090848, Sport: ,Soccer, Time: ,Wed Dec 02 10:00:00 CET 2015, Time: ,Wed Dec 02 10:00:00 CET 2015, Event: ,Zenit St Petersburg (Y) v FC Ufa (Y), Favorite: ,Zenit St Petersburg (Y), 6289889   size:16.32,Price: ,1.38,FC Ufa (Y), 10178767   size:2.77,Price: ,7.8,The Draw, 58805   size:11.06,Price: ,5.8,ok
1.121976216, Sport: ,Ice Hockey, Time: ,Wed Dec 02 17:30:00 CET 2015, Time: ,Wed Dec 02 17:30:00 CET 2015, Event: ,Heinolan Peliitat v K Vantaa, Favorite: ,Heinolan Peliitat, 6022874   size:9.59,Price: ,2.28,K Vantaa, 2597484   size:6.12,Price: ,2.68,Tie, 60104   size:54.19,Price: ,4.1,x
1.122099785, Sport: ,Basketball, Time: ,Wed Dec 02 17:00:00 CET 2015, Time: ,Wed Dec 02 17:00:00 CET 2015, Event: ,BK Khimik Yuzhne v TU Rock, Favorite: ,BK Khimik Yuzhne, 9143332   size:2.54,Price: ,1.57,TU Rock, 6718520   size:20.07,Price: ,2.5,ok
1.121976214, Sport: ,Ice Hockey, Time: ,Wed Dec 02 17:30:00 CET 2015, Time: ,Wed Dec 02 17:30:00 CET 2015, Event: ,Jukurit v Leki, Favorite: ,Jukurit, 272756   size:14.17,Price: ,1.54,Leki, 4196564   size:32.25,Price: ,5.4,Tie, 60104   size:94.51,Price: ,4.8,ok
1.122099781, Sport: ,Basketball, Time: ,Wed Dec 02 22:00:00 CET 2015, Time: ,Wed Dec 02 22:00:00 CET 2015, Event: ,Benfica v Antwerp Giants, Favorite: ,Benfica, 8953442   size:2.54,Price: ,1.51,Antwerp Giants, 2585925   size:2.54,Price: ,2.7,x
1.122016703, Sport: ,Handball, Time: ,Wed Dec 02 19:00:00 CET 2015, Time: ,Wed Dec 02 19:00:00 CET 2015, Event: ,Ricoh v Kristianstad, Favorite: ,Ricoh, 8836769   size:2.83,Price: ,1.03,Kristianstad, 2929927   size:2.83,Price: ,1.03,Draw, 330157   size:75.0,Price: ,1.04,x
1.122016708, Sport: ,Handball, Time: ,Wed Dec 02 19:00:00 CET 2015, Time: ,Wed Dec 02 19:00:00 CET 2015, Event: ,Drott v Aranas, Favorite: ,Aranas, 3343966   size:2.83,Price: ,1.03,Drott, 330162   size:5.24,Price: ,1.6,Draw, 330157   size:75.0,Price: ,1.04,ok
1.121996747, Sport: ,Basketball, Time: ,Thu Dec 03 02:00:00 CET 2015, Time: ,Thu Dec 03 02:00:00 CET 2015, Event: ,Detroit @ Vanderbilt, Favorite: ,Detroit, 13111   size:3.0,Price: ,1.04,Vanderbilt, 701625   size:3.0,Price: ,1.04,x
1.121998924, Sport: ,Soccer, Time: ,Wed Dec 02 20:30:00 CET 2015, Time: ,Wed Dec 02 20:30:00 CET 2015, Event: ,Austria Vienna v Sturm Graz, Favorite: ,Austria Vienna, 65352   size:109.81,Price: ,2.32,Sturm Graz, 71085   size:254.46,Price: ,3.35,The Draw, 58805   size:400.72,Price: ,3.55,ok
