1.120998818, Sport: ,Ice Hockey, Time: ,Fri Oct 02 19:30:00 CEST 2015, Time: ,Fri Oct 02 19:30:00 CEST 2015, Event: ,Straubing v Wolfsburg, Favorite: ,Straubing, 2056823   size:17.47,Price: ,2.42,Wolfsburg, 1031534   size:95.97,Price: ,2.52,Tie, 60104   size:83.45,Price: ,4.5,x
1.120861247, Sport: ,Soccer, Time: ,Sat Oct 03 00:30:00 CEST 2015, Time: ,Sat Oct 03 00:30:00 CEST 2015, Event: ,Criciuma v Parana, Favorite: ,Criciuma, 356589   size:5.0,Price: ,2.1,Parana, 198129   size:343.84,Price: ,4.1,The Draw, 58805   size:15.46,Price: ,3.4,x
1.121004291, Sport: ,Tennis, Time: ,Fri Oct 02 15:00:00 CEST 2015, Time: ,Fri Oct 02 15:00:00 CEST 2015, Event: ,Cervantes/Vervoort v Bozoljac/Cipolla, Favorite: ,Bozoljac/Cipolla, 8681898   size:5.81,Price: ,1.59,Cervantes/Vervoort, 8860933   size:2.7,Price: ,2.32,x
1.120866416, Sport: ,Soccer, Time: ,Fri Oct 02 17:30:00 CEST 2015, Time: ,Fri Oct 02 17:30:00 CEST 2015, Event: ,FC Voluntari v Concordia Chiajna, Favorite: ,Concordia Chiajna, 5367199   size:5.0,Price: ,2.78,FC Voluntari, 8838645   size:67.5,Price: ,2.96,The Draw, 58805   size:305.73,Price: ,3.15,x
1.120997205, Sport: ,Soccer, Time: ,Fri Oct 02 15:00:00 CEST 2015, Time: ,Fri Oct 02 15:00:00 CEST 2015, Event: ,Blama v Sahab SC, Favorite: ,Blama, 6750873   size:2.78,Price: ,1.09,Sahab SC, 6772868   size:2.78,Price: ,1.09,The Draw, 58805   size:10.73,Price: ,1.29,ok
1.120866932, Sport: ,Soccer, Time: ,Fri Oct 02 19:30:00 CEST 2015, Time: ,Fri Oct 02 19:30:00 CEST 2015, Event: ,Anderlecht (W) v DVC Evas Tienen (W), Favorite: ,Anderlecht (W), 6639183   size:2.55,Price: ,1.18,DVC Evas Tienen (W), 10201445   size:25.07,Price: ,6.4,The Draw, 58805   size:2.39,Price: ,5.5,ok
1.120998815, Sport: ,Ice Hockey, Time: ,Fri Oct 02 19:30:00 CEST 2015, Time: ,Fri Oct 02 19:30:00 CEST 2015, Event: ,Eisbaren Berlin v ERC Ingolstadt, Favorite: ,Eisbaren Berlin, 233923   size:99.0,Price: ,1.84,ERC Ingolstadt, 233927   size:104.49,Price: ,3.3,Tie, 60104   size:38.37,Price: ,4.9,ok
1.120998531, Sport: ,Soccer, Time: ,Fri Oct 02 15:00:00 CEST 2015, Time: ,Fri Oct 02 15:00:00 CEST 2015, Event: ,Shakhtar U21 v Odesa U21, Favorite: ,Shakhtar U21, 10096333   size:5.0,Price: ,1.16,Odesa U21, 10092747   size:5.0,Price: ,2.62,The Draw, 58805   size:6.26,Price: ,2.62,ok
1.120888564, Sport: ,Soccer, Time: ,Fri Oct 02 22:00:00 CEST 2015, Time: ,Fri Oct 02 22:00:00 CEST 2015, Event: ,River Plate (Ecu) v Independiente (Ecu), Favorite: ,Independiente (Ecu), 6432339   size:2.55,Price: ,2.36,River Plate (Ecu), 9180231   size:2.55,Price: ,3.1,The Draw, 58805   size:23.36,Price: ,3.25,ok
1.121018971, Sport: ,Tennis, Time: ,Fri Oct 02 11:00:00 CEST 2015, Time: ,Fri Oct 02 11:00:00 CEST 2015, Event: ,Kravchuk/Molchanov v Grigelis/Mugevicius, Favorite: ,Kravchuk/Molchanov, 8288076   size:2.71,Price: ,1.03,Grigelis/Mugevicius, 9296837   size:2.71,Price: ,1.03,x
1.120862105, Sport: ,Handball, Time: ,Fri Oct 02 19:45:00 CEST 2015, Time: ,Fri Oct 02 19:45:00 CEST 2015, Event: ,Wetzlar v Magdeburg, Favorite: ,Magdeburg, 2531263   size:2.86,Price: ,1.75,Wetzlar, 2507302   size:47.18,Price: ,2.68,Draw, 330157   size:9.4,Price: ,8.2,x
1.120992302, Sport: ,Ice Hockey, Time: ,Fri Oct 02 18:00:00 CEST 2015, Time: ,Fri Oct 02 18:00:00 CEST 2015, Event: ,Mountfield HK v Trinec, Favorite: ,Mountfield HK, 7577373   size:2.74,Price: ,2.28,Trinec, 563259   size:16.2,Price: ,2.58,Tie, 60104   size:21.95,Price: ,4.3,ok
1.120968697, Sport: ,Soccer, Time: ,Fri Oct 02 20:25:00 CEST 2015, Time: ,Fri Oct 02 20:25:00 CEST 2015, Event: ,Dundalk v Longford, Favorite: ,Dundalk, 198746   size:134.66,Price: ,1.22,Longford, 184330   size:10.42,Price: ,16.5,The Draw, 58805   size:19.7,Price: ,1.74,ok
1.120863158, Sport: ,Soccer, Time: ,Fri Oct 02 19:00:00 CEST 2015, Time: ,Fri Oct 02 19:00:00 CEST 2015, Event: ,Sivasspor v Mersin Idman Yurdu, Favorite: ,Sivasspor, 508773   size:5.01,Price: ,1.97,Mersin Idman Yurdu, 508779   size:12.73,Price: ,4.2,The Draw, 58805   size:3.19,Price: ,3.7,x
1.120866822, Sport: ,Soccer, Time: ,Fri Oct 02 19:30:00 CEST 2015, Time: ,Fri Oct 02 19:30:00 CEST 2015, Event: ,OH Leuven (W) v KRC Genk (W), Favorite: ,OH Leuven (W), 6743192   size:134.14,Price: ,1.06,KRC Genk (W), 10204970   size:134.14,Price: ,1.06,The Draw, 58805   size:7.15,Price: ,1.26,x
1.120997316, Sport: ,Soccer, Time: ,Fri Oct 02 15:15:00 CEST 2015, Time: ,Fri Oct 02 15:15:00 CEST 2015, Event: ,Mathare United FC v Nakuru Top Fry AllStars, Favorite: ,Mathare United FC, 9670771   size:6.04,Price: ,1.7,Nakuru Top Fry AllStars, 9670787   size:8.2,Price: ,2.7,The Draw, 58805   size:5.55,Price: ,3.2,ok
1.120862869, Sport: ,Soccer, Time: ,Fri Oct 02 20:30:00 CEST 2015, Time: ,Fri Oct 02 20:30:00 CEST 2015, Event: ,Crotone v Salernitana, Favorite: ,Crotone, 60300   size:78.73,Price: ,2.56,Salernitana, 60303   size:69.59,Price: ,3.25,The Draw, 58805   size:3.56,Price: ,3.15,ok
1.120998880, Sport: ,Ice Hockey, Time: ,Fri Oct 02 19:30:00 CEST 2015, Time: ,Fri Oct 02 19:30:00 CEST 2015, Event: ,Kolner Haie v Adler Mannheim, Favorite: ,Kolner Haie, 233911   size:25.0,Price: ,2.4,Adler Mannheim, 233924   size:59.0,Price: ,2.5,Tie, 60104   size:74.72,Price: ,4.5,ok
1.121019150, Sport: ,Basketball, Time: ,Fri Oct 02 17:00:00 CEST 2015, Time: ,Fri Oct 02 17:00:00 CEST 2015, Event: ,Tajfun v Sutjeskka, Favorite: ,Tajfun, 8193254   size:8.34,Price: ,1.03,Sutjeskka, 10370389   size:8.34,Price: ,1.03,ok
1.120998883, Sport: ,Ice Hockey, Time: ,Fri Oct 02 19:30:00 CEST 2015, Time: ,Fri Oct 02 19:30:00 CEST 2015, Event: ,EHC Munchen v Iserlohn, Favorite: ,EHC Munchen, 4923560   size:65.15,Price: ,1.81,Iserlohn, 265130   size:6.69,Price: ,3.65,Tie, 60104   size:65.0,Price: ,5.0,ok
1.120995496, Sport: ,Ice Hockey, Time: ,Fri Oct 02 17:30:00 CEST 2015, Time: ,Fri Oct 02 17:30:00 CEST 2015, Event: ,TuTo v JYP Akatemia, Favorite: ,TuTo, 4196542   size:135.5,Price: ,1.7,JYP Akatemia, 5847122   size:6.14,Price: ,3.45,Tie, 60104   size:4.66,Price: ,4.5,ok
1.120866301, Sport: ,Soccer, Time: ,Fri Oct 02 18:00:00 CEST 2015, Time: ,Fri Oct 02 18:00:00 CEST 2015, Event: ,Ruch Chorzow v Pogon Szczecin, Favorite: ,Pogon Szczecin, 46953   size:8.57,Price: ,2.74,Ruch Chorzow, 2160683   size:2.4,Price: ,2.92,The Draw, 58805   size:379.64,Price: ,3.3,ok
1.120887583, Sport: ,Handball, Time: ,Fri Oct 02 20:30:00 CEST 2015, Time: ,Fri Oct 02 20:30:00 CEST 2015, Event: ,Aragon v Morrazo, Favorite: ,Aragon, 3749683   size:483.42,Price: ,1.07,Morrazo, 7602610   size:261.0,Price: ,1.13,Draw, 330157   size:5.81,Price: ,1.41,x
1.120964899, Sport: ,Snooker, Time: ,Fri Oct 02 15:30:00 CEST 2015, Time: ,Fri Oct 02 15:30:00 CEST 2015, Event: ,Dott v Hicks, Favorite: ,Graeme Dott, 2278797   size:2.55,Price: ,1.16,Andy Hicks, 2281451   size:2.0,Price: ,6.4,ok
1.120869251, Sport: ,Soccer, Time: ,Fri Oct 02 20:00:00 CEST 2015, Time: ,Fri Oct 02 20:00:00 CEST 2015, Event: ,Chateauroux v Avranches, Favorite: ,Chateauroux, 70469   size:5.0,Price: ,2.18,Avranches, 2224930   size:2.55,Price: ,4.1,The Draw, 58805   size:9.73,Price: ,3.1,x
1.120997150, Sport: ,Soccer, Time: ,Fri Oct 02 15:00:00 CEST 2015, Time: ,Fri Oct 02 15:00:00 CEST 2015, Event: ,Al Teeba v Al Jalil, Favorite: ,Al Teeba, 8875656   size:2.78,Price: ,1.09,Al Jalil, 5650175   size:2.78,Price: ,1.09,The Draw, 58805   size:10.73,Price: ,1.29,x
1.120964898, Sport: ,Snooker, Time: ,Fri Oct 02 15:30:00 CEST 2015, Time: ,Fri Oct 02 15:30:00 CEST 2015, Event: ,Poomjaeng v Georgiou, Favorite: ,Dechawat Poomjaeng, 5722690   size:2.55,Price: ,1.59,Michael Georgiou, 3439628   size:2.55,Price: ,2.5,ok
