1.121440225, Sport: ,Soccer, Time: ,Sun Nov 01 20:30:00 CET 2015, Time: ,Sun Nov 01 20:30:00 CET 2015, Event: ,Betis v Ath Bilbao, Favorite: ,Ath Bilbao, 215903   size:2794.61,Price: ,2.24,Betis, 44507   size:99.87,Price: ,3.7,The Draw, 58805   size:3102.82,Price: ,3.45,ok
1.121461305, Sport: ,Ice Hockey, Time: ,Sun Nov 01 21:05:00 CET 2015, Time: ,Sun Nov 01 21:05:00 CET 2015, Event: ,San Jose @ Colorado, Favorite: ,Colorado, 2108117   size:471.09,Price: ,2.54,San Jose, 2110001   size:75.29,Price: ,2.62,Tie, 60104   size:145.22,Price: ,4.1,x
1.121440343, Sport: ,Soccer, Time: ,Sun Nov 01 18:15:00 CET 2015, Time: ,Sun Nov 01 18:15:00 CET 2015, Event: ,Sporting Gijon v Malaga, Favorite: ,Sporting Gijon, 68246   size:3951.57,Price: ,1.48,Malaga, 13360   size:680.46,Price: ,10.5,The Draw, 58805   size:331.49,Price: ,4.2,ok
1.121503326, Sport: ,Soccer, Time: ,Sun Nov 01 20:00:00 CET 2015, Time: ,Sun Nov 01 20:00:00 CET 2015, Event: ,Boca Unidos v Ferro Carril Oeste, Favorite: ,Boca Unidos, 5369720   size:37.61,Price: ,2.62,Ferro Carril Oeste, 5985279   size:14.01,Price: ,3.15,The Draw, 58805   size:7.62,Price: ,2.96,x
1.121444545, Sport: ,Soccer, Time: ,Sun Nov 01 18:30:00 CET 2015, Time: ,Sun Nov 01 18:30:00 CET 2015, Event: ,Oleksandria v Vorskla, Favorite: ,Oleksandria, 5618507   size:14.53,Price: ,1.6,Vorskla, 2017721   size:18.35,Price: ,7.6,The Draw, 58805   size:2.8,Price: ,3.9,x
1.121491091, Sport: ,Soccer, Time: ,Sun Nov 01 19:00:00 CET 2015, Time: ,Sun Nov 01 19:00:00 CET 2015, Event: ,Toluca v CF America, Favorite: ,CF America, 328952   size:224.54,Price: ,2.64,Toluca, 230914   size:190.94,Price: ,2.86,The Draw, 58805   size:179.14,Price: ,3.3,ok
1.121444940, Sport: ,Soccer, Time: ,Sun Nov 01 22:00:00 CET 2015, Time: ,Sun Nov 01 22:00:00 CET 2015, Event: ,Jacksonville Armada v Fort Lauderdale, Favorite: ,Fort Lauderdale, 5673440   size:10.0,Price: ,2.3,Jacksonville Armada, 9212618   size:6.19,Price: ,3.1,The Draw, 58805   size:2.55,Price: ,3.5,ok
1.121479060, Sport: ,Soccer, Time: ,Mon Nov 02 00:00:00 CET 2015, Time: ,Mon Nov 02 00:00:00 CET 2015, Event: ,Tolima v Junior, Favorite: ,Tolima, 2277370   size:3.0,Price: ,2.02,Junior, 363629   size:202.07,Price: ,4.3,The Draw, 58805   size:9.64,Price: ,3.3,ok
1.121506712, Sport: ,Soccer, Time: ,Sun Nov 01 19:30:00 CET 2015, Time: ,Sun Nov 01 19:30:00 CET 2015, Event: ,El Tanque Sisley v Cerro, Favorite: ,Cerro, 2329297   size:22.42,Price: ,2.76,El Tanque Sisley, 5593448   size:19.48,Price: ,2.86,The Draw, 58805   size:8.67,Price: ,3.35,ok
1.121614504, Sport: ,Tennis, Time: ,Sun Nov 01 19:02:00 CET 2015, Time: ,Sun Nov 01 19:02:00 CET 2015, Event: ,And Martin v G Elias, Favorite: ,Gastao Elias, 2923174   size:511.58,Price: ,1.52,Andrej Martin, 5071877   size:144.74,Price: ,2.8,ok
1.121355413, Sport: ,American Football, Time: ,Mon Nov 02 02:30:00 CET 2015, Time: ,Mon Nov 02 02:30:00 CET 2015, Event: ,Green Bay @ Denver, Favorite: ,Green Bay Packers, 50192   size:644.05,Price: ,1.81,Denver Broncos, 50211   size:123.63,Price: ,2.22,x
1.121529244, Sport: ,Basketball, Time: ,Sun Nov 01 19:00:00 CET 2015, Time: ,Sun Nov 01 19:00:00 CET 2015, Event: ,Basquet Manresa v Joventut, Favorite: ,Joventut, 1038478   size:342.0,Price: ,1.73,Basquet Manresa, 2728338   size:50.47,Price: ,1.9,ok
1.121502165, Sport: ,Soccer, Time: ,Sun Nov 01 22:00:00 CET 2015, Time: ,Sun Nov 01 22:00:00 CET 2015, Event: ,Boca Juniors v Tigre, Favorite: ,Boca Juniors, 17304   size:510.02,Price: ,1.48,Tigre, 2451815   size:61.13,Price: ,9.0,The Draw, 58805   size:23.77,Price: ,4.4,ok
