1.122116074, Sport: ,Soccer, Time: ,Fri Dec 04 14:00:00 CET 2015, Time: ,Fri Dec 04 14:00:00 CET 2015, Event: ,Al Sadd (QAT) v Al Sailiya, Favorite: ,Al Sadd (QAT), 4525676   size:2.06,Price: ,1.33,Al Sailiya, 5183548   size:6.84,Price: ,8.0,The Draw, 58805   size:2.67,Price: ,5.5,x
1.122010162, Sport: ,Soccer, Time: ,Fri Dec 04 20:55:00 CET 2015, Time: ,Fri Dec 04 20:55:00 CET 2015, Event: ,Salford City v Hartlepool, Favorite: ,Hartlepool, 48303   size:16.86,Price: ,2.2,Salford City, 4236580   size:13.34,Price: ,3.55,The Draw, 58805   size:5.13,Price: ,3.75,x
1.122145790, Sport: ,Soccer, Time: ,Sat Dec 05 05:00:00 CET 2015, Time: ,Sat Dec 05 05:00:00 CET 2015, Event: ,Noj Stel Kanagawa (W) v Speranza FC (W), Favorite: ,Noj Stel Kanagawa (W), 10549777   size:3.65,Price: ,1.11,Speranza FC (W), 9375939   size:3.65,Price: ,1.11,The Draw, 58805   size:12.44,Price: ,3.15,x
1.122150908, Sport: ,Snooker, Time: ,Fri Dec 04 14:00:00 CET 2015, Time: ,Fri Dec 04 14:00:00 CET 2015, Event: ,Liang Wenbo v Marco Fu, Favorite: ,Marco Fu, 2278808   size:549.03,Price: ,1.58,Liang Wenbo, 2293301   size:15.73,Price: ,2.68,x
1.122006587, Sport: ,Soccer, Time: ,Fri Dec 04 19:00:00 CET 2015, Time: ,Fri Dec 04 19:00:00 CET 2015, Event: ,TSG Neustrelitz v Luckenwalde, Favorite: ,TSG Neustrelitz, 2495960   size:7.72,Price: ,1.46,Luckenwalde, 9988837   size:6.96,Price: ,7.0,The Draw, 58805   size:15.76,Price: ,4.7,ok
1.122009855, Sport: ,Soccer, Time: ,Fri Dec 04 20:00:00 CET 2015, Time: ,Fri Dec 04 20:00:00 CET 2015, Event: ,AZ Alkmaar v ADO Den Haag, Favorite: ,Az Alkmaar, 3631356   size:891.45,Price: ,1.87,ADO Den Haag, 315069   size:147.01,Price: ,4.4,The Draw, 58805   size:296.77,Price: ,4.0,x
1.122151685, Sport: ,Snooker, Time: ,Fri Dec 04 14:00:00 CET 2015, Time: ,Fri Dec 04 14:00:00 CET 2015, Event: ,David Grace v Martin Gould, Favorite: ,Martin Gould, 2613031   size:183.96,Price: ,1.29,David Grace, 3439626   size:5.43,Price: ,3.8,x
1.122008765, Sport: ,Soccer, Time: ,Fri Dec 04 17:00:00 CET 2015, Time: ,Fri Dec 04 17:00:00 CET 2015, Event: ,Spartak Moscow v Kryliya Sovetov, Favorite: ,Spartak Moscow, 5517   size:27.11,Price: ,1.73,Kryliya Sovetov, 579339   size:6.38,Price: ,5.7,The Draw, 58805   size:130.6,Price: ,3.9,ok
1.122006585, Sport: ,Soccer, Time: ,Fri Dec 04 14:30:00 CET 2015, Time: ,Fri Dec 04 14:30:00 CET 2015, Event: ,Atletico De Kolkata v Mumbai City, Favorite: ,Atletico De Kolkata, 8897744   size:56.72,Price: ,1.46,Mumbai City, 8897745   size:26.12,Price: ,9.2,The Draw, 58805   size:62.66,Price: ,4.6,x
1.122116515, Sport: ,Soccer, Time: ,Fri Dec 04 20:30:00 CET 2015, Time: ,Fri Dec 04 20:30:00 CET 2015, Event: ,CD Villegas v CD Arnedo, Favorite: ,CD Villegas, 8889596   size:6.06,Price: ,1.83,CD Arnedo, 7708971   size:50.27,Price: ,3.3,The Draw, 58805   size:20.74,Price: ,3.15,x
