1.121206520, Sport: ,Tennis, Time: ,Wed Oct 14 06:00:00 CEST 2015, Time: ,Wed Oct 14 06:00:00 CEST 2015, Event: ,Bopanna/Kubot v Inglot/Lindstedt, Favorite: ,Bopanna/Kubot, 10411670   size:9.38,Price: ,1.68,Inglot/Lindstedt, 10075651   size:5.71,Price: ,1.76,ok
1.121101341, Sport: ,Soccer, Time: ,Tue Oct 13 20:45:00 CEST 2015, Time: ,Tue Oct 13 20:45:00 CEST 2015, Event: ,Buxton v Rushall Olympic, Favorite: ,Buxton, 2662204   size:2.55,Price: ,1.7,Rushall Olympic, 2608907   size:4.08,Price: ,4.3,The Draw, 58805   size:4.28,Price: ,3.8,x
1.121100098, Sport: ,Soccer, Time: ,Tue Oct 13 19:00:00 CEST 2015, Time: ,Tue Oct 13 19:00:00 CEST 2015, Event: ,Roskilde v Hobro, Favorite: ,Roskilde, 518517   size:17.61,Price: ,2.74,Hobro, 1212772   size:117.53,Price: ,2.84,The Draw, 58805   size:98.29,Price: ,3.2,x
1.121109988, Sport: ,Ice Hockey, Time: ,Tue Oct 13 17:30:00 CEST 2015, Time: ,Tue Oct 13 17:30:00 CEST 2015, Event: ,TPS v Sport, Favorite: ,TPS, 66803   size:109.0,Price: ,1.67,Sport, 275249   size:95.0,Price: ,4.6,Tie, 60104   size:69.0,Price: ,4.7,ok
1.121107841, Sport: ,Ice Hockey, Time: ,Tue Oct 13 19:45:00 CEST 2015, Time: ,Tue Oct 13 19:45:00 CEST 2015, Event: ,Fribourg Gotteron v SCL Tigers, Favorite: ,Fribourg Gotteron, 243252   size:7.48,Price: ,1.48,SCL Tigers, 243257   size:103.47,Price: ,4.3,Tie, 60104   size:110.1,Price: ,4.1,ok
1.121209075, Sport: ,Basketball, Time: ,Wed Oct 14 04:00:00 CEST 2015, Time: ,Wed Oct 14 04:00:00 CEST 2015, Event: ,Olimpico v San Martin, Favorite: ,Olimpico, 6719115   size:8.2,Price: ,1.03,San Martin, 8861781   size:8.2,Price: ,1.03,ok
1.121209074, Sport: ,Basketball, Time: ,Wed Oct 14 03:00:00 CEST 2015, Time: ,Wed Oct 14 03:00:00 CEST 2015, Event: ,Instituto Atletico Cent v Libertad, Favorite: ,Instituto Atletico Cent, 10346458   size:8.2,Price: ,1.03,Libertad, 6719116   size:8.2,Price: ,1.03,ok
1.121159691, Sport: ,Basketball, Time: ,Tue Oct 13 20:30:00 CEST 2015, Time: ,Tue Oct 13 20:30:00 CEST 2015, Event: ,Antibes v Orleans, Favorite: ,Antibes, 5467755   size:5.71,Price: ,1.23,Orleans, 2285941   size:5.71,Price: ,1.23,ok
1.121209072, Sport: ,Basketball, Time: ,Wed Oct 14 02:30:00 CEST 2015, Time: ,Wed Oct 14 02:30:00 CEST 2015, Event: ,Argentino v Quilmes, Favorite: ,Argentino, 6719106   size:8.2,Price: ,1.03,Quilmes, 7753472   size:8.2,Price: ,1.03,x
1.121097042, Sport: ,Soccer, Time: ,Tue Oct 13 18:30:00 CEST 2015, Time: ,Tue Oct 13 18:30:00 CEST 2015, Event: ,Greuther Furth II v Bayern Munich II, Favorite: ,Bayern Munich II, 5949557   size:16.98,Price: ,1.43,Greuther Furth II, 9884599   size:37.28,Price: ,8.4,The Draw, 58805   size:2.63,Price: ,4.8,x
1.121096072, Sport: ,Soccer, Time: ,Tue Oct 13 18:00:00 CEST 2015, Time: ,Tue Oct 13 18:00:00 CEST 2015, Event: ,Northern Ireland U21 v FYR Macedonia U21, Favorite: ,Northern Ireland U21, 233649   size:5.0,Price: ,2.24,FYR Macedonia U21, 2002767   size:101.42,Price: ,3.65,The Draw, 58805   size:170.78,Price: ,3.35,x
1.121113732, Sport: ,Ice Hockey, Time: ,Tue Oct 13 19:00:00 CEST 2015, Time: ,Tue Oct 13 19:00:00 CEST 2015, Event: ,AIK v Karlskoga, Favorite: ,AIK, 2075196   size:58.78,Price: ,1.85,Karlskoga, 6267380   size:5.71,Price: ,3.35,Tie, 60104   size:19.49,Price: ,4.7,ok
