1.122286838, Sport: ,Tennis, Time: ,Tue Dec 15 13:00:00 CET 2015, Time: ,Tue Dec 15 13:00:00 CET 2015, Event: ,Anna Morgina v Silvia Njiric, Favorite: ,Silvia Njiric, 4828175   size:5.89,Price: ,1.55,Anna Morgina, 9028616   size:75.47,Price: ,2.44,x
1.122194410, Sport: ,Soccer, Time: ,Mon Dec 14 19:30:00 CET 2015, Time: ,Mon Dec 14 19:30:00 CET 2015, Event: ,Sint Truidense (Youth) v OH Leuven (Y), Favorite: ,Sint Truidense (Youth), 10158287   size:6.86,Price: ,2.1,OH Leuven (Y), 7159228   size:2.27,Price: ,2.8,The Draw, 58805   size:4.11,Price: ,4.6,ok
1.122194135, Sport: ,Soccer, Time: ,Mon Dec 14 19:30:00 CET 2015, Time: ,Mon Dec 14 19:30:00 CET 2015, Event: ,Anderlecht (Y) v Standard Liege (Y), Favorite: ,Standard Liege (Y), 7159118   size:28.82,Price: ,1.92,Anderlecht (Y), 7174785   size:21.13,Price: ,3.65,The Draw, 58805   size:123.3,Price: ,4.5,x
1.122272016, Sport: ,Soccer, Time: ,Mon Dec 14 19:30:00 CET 2015, Time: ,Mon Dec 14 19:30:00 CET 2015, Event: ,Vasco de Gama U20 v Atletico Mineiro U20, Favorite: ,Atletico Mineiro U20, 5181675   size:11.43,Price: ,1.73,Vasco de Gama U20, 5185919   size:6.86,Price: ,5.1,The Draw, 58805   size:4.11,Price: ,4.0,ok
1.122275449, Sport: ,Basketball, Time: ,Tue Dec 15 11:00:00 CET 2015, Time: ,Tue Dec 15 11:00:00 CET 2015, Event: ,Seoul Knights v Seoul Thunders, Favorite: ,Seoul Thunders, 8000107   size:2.74,Price: ,1.03,Seoul Knights, 7954787   size:188.69,Price: ,1.04,ok
1.122219027, Sport: ,Ice Hockey, Time: ,Mon Dec 14 19:45:00 CET 2015, Time: ,Mon Dec 14 19:45:00 CET 2015, Event: ,Davos v Biel, Favorite: ,Davos, 243249   size:7.09,Price: ,1.36,Biel, 3315685   size:50.58,Price: ,6.4,Tie, 60104   size:19.06,Price: ,8.2,x
1.122194190, Sport: ,Soccer, Time: ,Mon Dec 14 19:30:00 CET 2015, Time: ,Mon Dec 14 19:30:00 CET 2015, Event: ,Charleroi (Y) v KVC Westerlo (Youth), Favorite: ,Charleroi (Y), 7167644   size:13.43,Price: ,1.82,KVC Westerlo (Youth), 8764419   size:2.55,Price: ,3.5,The Draw, 58805   size:8.94,Price: ,4.3,x
1.122219026, Sport: ,Ice Hockey, Time: ,Mon Dec 14 19:45:00 CET 2015, Time: ,Mon Dec 14 19:45:00 CET 2015, Event: ,Lausanne HC v Geneve Servette, Favorite: ,Lausanne HC, 7555451   size:210.21,Price: ,2.3,Geneve Servette, 4932959   size:14.77,Price: ,2.54,Tie, 60104   size:91.71,Price: ,4.2,ok
1.122283176, Sport: ,Soccer, Time: ,Tue Dec 15 15:30:00 CET 2015, Time: ,Tue Dec 15 15:30:00 CET 2015, Event: ,Al-Khaleej v Al-Quadisiya (KSA), Favorite: ,Al-Khaleej, 8838647   size:9.63,Price: ,1.64,Al-Quadisiya (KSA), 10201607   size:8.97,Price: ,2.74,The Draw, 58805   size:16.93,Price: ,2.9,x
1.122283231, Sport: ,Soccer, Time: ,Tue Dec 15 15:55:00 CET 2015, Time: ,Tue Dec 15 15:55:00 CET 2015, Event: ,Al-Taawon (KSA) v Al-Wahda (KSA), Favorite: ,Al-Taawon (KSA), 7747262   size:5.44,Price: ,1.1,Al-Wahda (KSA), 6617059   size:5.44,Price: ,1.1,The Draw, 58805   size:16.46,Price: ,2.88,ok
1.122285557, Sport: ,Tennis, Time: ,Tue Dec 15 05:30:00 CET 2015, Time: ,Tue Dec 15 05:30:00 CET 2015, Event: ,Nungnadda Wannasuk v Jennifer Elie, Favorite: ,Jennifer Elie, 6549185   size:11.33,Price: ,1.73,Nungnadda Wannasuk, 5303663   size:11.15,Price: ,2.14,x
1.122286800, Sport: ,Tennis, Time: ,Tue Dec 15 11:30:00 CET 2015, Time: ,Tue Dec 15 11:30:00 CET 2015, Event: ,Nina Stojanovic v Kanika Vaidya, Favorite: ,Nina Stojanovic, 9028632   size:294.05,Price: ,1.14,Kanika Vaidya, 10279164   size:21.43,Price: ,7.4,x
1.122285558, Sport: ,Tennis, Time: ,Tue Dec 15 07:00:00 CET 2015, Time: ,Tue Dec 15 07:00:00 CET 2015, Event: ,Patcharin Cheapchandej v Patty Schnyder, Favorite: ,Patty Schnyder, 4843506   size:2.36,Price: ,1.08,Patcharin Cheapchandej, 9629951   size:2.0,Price: ,9.0,ok
1.122245973, Sport: ,Cricket, Time: ,Tue Dec 15 05:30:00 CET 2015, Time: ,Tue Dec 15 05:30:00 CET 2015, Event: ,England U19 v India U19, Favorite: ,India U19, 737325   size:2.55,Price: ,1.2,England U19, 737329   size:2.55,Price: ,2.64,ok
1.122285559, Sport: ,Tennis, Time: ,Tue Dec 15 07:00:00 CET 2015, Time: ,Tue Dec 15 07:00:00 CET 2015, Event: ,Peangtarn Plipuech v Kyoka Okamura, Favorite: ,Kyoka Okamura, 8887170   size:8.44,Price: ,1.86,Peangtarn Plipuech, 8244519   size:8.44,Price: ,1.93,x
1.122286742, Sport: ,Tennis, Time: ,Tue Dec 15 10:00:00 CET 2015, Time: ,Tue Dec 15 10:00:00 CET 2015, Event: ,XU Liu Sun v Polina Leykina, Favorite: ,Polina Leykina, 9062872   size:8.44,Price: ,1.2,Xu Liu Sun, 8710303   size:48.71,Price: ,4.5,ok
1.122190988, Sport: ,Volleyball, Time: ,Mon Dec 14 19:00:00 CET 2015, Time: ,Mon Dec 14 19:00:00 CET 2015, Event: ,Ostrowiec Swietokrzyski v Impel Wroclaw, Favorite: ,Impel Wroclaw, 6912945   size:24.62,Price: ,1.01,Ostrowiec Swietokrzyski, 10399355   size:2.74,Price: ,1.03,ok
1.122286788, Sport: ,Tennis, Time: ,Tue Dec 15 10:00:00 CET 2015, Time: ,Tue Dec 15 10:00:00 CET 2015, Event: ,Valentyna Ivakhnenko v Veronika Kapshay, Favorite: ,Valentyna Ivakhnenko, 6498928   size:2.55,Price: ,1.18,Veronika Kapshay, 6390241   size:34.3,Price: ,5.0,ok
1.122279427, Sport: ,Cricket, Time: ,Tue Dec 15 13:30:00 CET 2015, Time: ,Tue Dec 15 13:30:00 CET 2015, Event: ,Comilla v Barisal, Favorite: ,Comilla, 10485382   size:105.31,Price: ,1.92,Barisal, 6119232   size:127.32,Price: ,1.94,ok
1.122166980, Sport: ,Soccer, Time: ,Mon Dec 14 20:45:00 CET 2015, Time: ,Mon Dec 14 20:45:00 CET 2015, Event: ,Blackburn v Nottm Forest, Favorite: ,Blackburn, 48350   size:2361.72,Price: ,2.34,Nottm Forest, 69718   size:432.42,Price: ,3.65,The Draw, 58805   size:11777.4,Price: ,3.3,x
1.122285527, Sport: ,Tennis, Time: ,Tue Dec 15 08:30:00 CET 2015, Time: ,Tue Dec 15 08:30:00 CET 2015, Event: ,Marianna Zakarlyuk v Kamonwan Buayam, Favorite: ,Kamonwan Buayam, 9002333   size:2.36,Price: ,1.47,Marianna Zakarlyuk, 9028642   size:2.55,Price: ,2.78,ok
