1.119728872, Sport: ,Soccer, Time: ,Mon Aug 03 15:45:00 CEST 2015, Time: ,Mon Aug 03 15:45:00 CEST 2015, Event: ,Tomsk v Arsenal Tula, Favorite: ,Tomsk, 1090112   size:2.84,Price: ,2.08,The Draw, 58805   size:3.8,Price: ,3.25,Arsenal Tula, 7402112   size:15.0,Price: ,3.4,x
1.119669538, Sport: ,Cricket, Time: ,Mon Aug 03 15:00:00 CEST 2015, Time: ,Mon Aug 03 15:00:00 CEST 2015, Event: ,Warwickshire v Glamorgan, Favorite: ,Warwickshire, 2120   size:27.32,Price: ,1.77,Glamorgan, 169   size:2.93,Price: ,2.12,ok
1.119668204, Sport: ,Soccer, Time: ,Mon Aug 03 14:00:00 CEST 2015, Time: ,Mon Aug 03 14:00:00 CEST 2015, Event: ,Harimau Muda B v Courts Young Lions, Favorite: ,Harimau Muda B, 5606145   size:2.0,Price: ,2.0,Courts Young Lions, 5907159   size:4.31,Price: ,3.55,The Draw, 58805   size:2.55,Price: ,3.6,x
1.119817204, Sport: ,Soccer, Time: ,Mon Aug 03 16:00:00 CEST 2015, Time: ,Mon Aug 03 16:00:00 CEST 2015, Event: ,FC Banants Yerevan II v MIKA FC II, Favorite: ,MIKA FC II, 7184087   size:11.94,Price: ,1.08,The Draw, 58805   size:10.92,Price: ,1.29,x
1.119822242, Sport: ,Tennis, Time: ,Mon Aug 03 11:00:00 CEST 2015, Time: ,Mon Aug 03 11:00:00 CEST 2015, Event: ,Tsitsipas v Ad Virgili, Favorite: ,Adelchi Virgili, 8288060   size:2.55,Price: ,1.64,Stefanos Tsitsipas, 9193006   size:2.55,Price: ,2.06,ok
1.119822089, Sport: ,Soccer, Time: ,Mon Aug 03 14:00:00 CEST 2015, Time: ,Mon Aug 03 14:00:00 CEST 2015, Event: ,Hungary (W) v Belarus (W), Favorite: ,Belarus (W), 5767800   size:25.72,Price: ,1.02,The Draw, 58805   size:2.0,Price: ,1.26,x
1.119819551, Sport: ,Tennis, Time: ,Mon Aug 03 12:45:00 CEST 2015, Time: ,Mon Aug 03 12:45:00 CEST 2015, Event: ,Londero v P Davydenko, Favorite: ,Juan Ignacio Londero, 7430086   size:2.55,Price: ,1.41,Philipp Davydenko, 7429697   size:8.19,Price: ,2.8,ok
1.119825274, Sport: ,Tennis, Time: ,Mon Aug 03 13:00:00 CEST 2015, Time: ,Mon Aug 03 13:00:00 CEST 2015, Event: ,Mertens v Lemoine, Favorite: ,Elise Mertens, 9002334   size:4.19,Price: ,1.52,Quirine Lemoine, 4020166   size:6.73,Price: ,2.62,
1.119729153, Sport: ,Soccer, Time: ,Mon Aug 03 14:00:00 CEST 2015, Time: ,Mon Aug 03 14:00:00 CEST 2015, Event: ,Yenisey Krasnoyarsk v Spartak Moscow II, Favorite: ,Yenisey Krasnoyarsk, 5441577   size:12.57,Price: ,2.42,Spartak Moscow II, 9747515   size:5.38,Price: ,3.1,The Draw, 58805   size:9.0,Price: ,3.3,x
1.119825716, Sport: ,Tennis, Time: ,Mon Aug 03 13:00:00 CEST 2015, Time: ,Mon Aug 03 13:00:00 CEST 2015, Event: ,Velotti v J Paz, Favorite: ,Agustin Velotti, 4873352   size:2.55,Price: ,1.51,Juan Pablo Paz, 8461061   size:2.23,Price: ,2.24,ok
1.119803522, Sport: ,Tennis, Time: ,Mon Aug 03 11:30:00 CEST 2015, Time: ,Mon Aug 03 11:30:00 CEST 2015, Event: ,Carreno Busta v Delbonis, Favorite: ,Federico Delbonis, 6181532   size:36.38,Price: ,1.9,Pablo Carreno Busta, 5479878   size:113.22,Price: ,2.06,ok
1.119728462, Sport: ,Soccer, Time: ,Mon Aug 03 16:00:00 CEST 2015, Time: ,Mon Aug 03 16:00:00 CEST 2015, Event: ,Gazovik v Zenit St Petersburg II, Favorite: ,Gazovik, 3244508   size:16.04,Price: ,1.78,The Draw, 58805   size:4.46,Price: ,3.25,Zenit St Petersburg II, 9386609   size:16.39,Price: ,4.9,ok
1.119825119, Sport: ,Tennis, Time: ,Mon Aug 03 11:45:00 CEST 2015, Time: ,Mon Aug 03 11:45:00 CEST 2015, Event: ,Mat Trevisan v O Luz, Favorite: ,Matteo Trevisan, 8284473   size:2.55,Price: ,1.59,Orlando Luz, 9420501   size:2.55,Price: ,2.1,ok
1.119814668, Sport: ,Tennis, Time: ,Mon Aug 03 16:00:00 CEST 2015, Time: ,Mon Aug 03 16:00:00 CEST 2015, Event: ,R Olivo v Stanek, Favorite: ,Renzo Olivo, 4822931   size:3.79,Price: ,1.32,Robin Stanek, 8599863   size:8.46,Price: ,3.65,ok
1.119816922, Sport: ,Soccer, Time: ,Mon Aug 03 15:00:00 CEST 2015, Time: ,Mon Aug 03 15:00:00 CEST 2015, Event: ,Esbjerg (Res) v Silkeborg (Res), Favorite: ,Silkeborg (Res), 5355854   size:11.94,Price: ,1.08,The Draw, 58805   size:10.92,Price: ,1.29,x
1.119829353, Sport: ,Tennis, Time: ,Mon Aug 03 14:30:00 CEST 2015, Time: ,Mon Aug 03 14:30:00 CEST 2015, Event: ,Buzarnescu v Lister, Favorite: ,Mihaela Buzarnescu, 5776800   size:7.04,Price: ,1.42,Cornelia Lister, 7429387   size:2.16,Price: ,2.94,ok
1.119232136, Sport: ,Bowls, Time: ,Mon Aug 03 11:00:00 CEST 2015, Time: ,Mon Aug 03 11:00:00 CEST 2015, Event: ,Brown v Greenslade, Favorite: ,Jason Greenslade, 2266401   size:0.0,Price: ,0.0,x
1.119232135, Sport: ,Bowls, Time: ,Mon Aug 03 10:00:00 CEST 2015, Time: ,Mon Aug 03 10:00:00 CEST 2015, Event: ,Greenslade v Harlow, Favorite: ,Greg Harlow, 2266400   size:0.0,Price: ,0.0,x
1.119825272, Sport: ,Tennis, Time: ,Mon Aug 03 11:30:00 CEST 2015, Time: ,Mon Aug 03 11:30:00 CEST 2015, Event: ,Georges v Arvidsson, Favorite: ,Sofia Arvidsson, 2256463   size:3.84,Price: ,1.66,Myrtille Georges, 7283251   size:2.55,Price: ,2.3,x
1.119232134, Sport: ,Bowls, Time: ,Mon Aug 03 09:00:00 CEST 2015, Time: ,Mon Aug 03 09:00:00 CEST 2015, Event: ,Brown v Breen, Favorite: ,Jarrad Breen, 4429867   size:0.0,Price: ,0.0,x
1.119667426, Sport: ,Soccer, Time: ,Mon Aug 03 13:30:00 CEST 2015, Time: ,Mon Aug 03 13:30:00 CEST 2015, Event: ,Molde II v Brumunddal, Favorite: ,Brumunddal, 4719339   size:11.94,Price: ,1.08,The Draw, 58805   size:10.92,Price: ,1.29,x
1.119811316, Sport: ,Tennis, Time: ,Mon Aug 03 10:00:00 CEST 2015, Time: ,Mon Aug 03 10:00:00 CEST 2015, Event: ,Menezes v Basso, Favorite: ,Joao Menezes, 8859238   size:2.55,Price: ,1.63,Andrea Basso, 8574170   size:5.91,Price: ,2.4,ok
1.119667545, Sport: ,Soccer, Time: ,Mon Aug 03 12:15:00 CEST 2015, Time: ,Mon Aug 03 12:15:00 CEST 2015, Event: ,Dhaka Abahani LTD v Farashganj SC, Favorite: ,Dhaka Abahani LTD, 8618576   size:18.94,Price: ,1.3,The Draw, 58805   size:3.59,Price: ,4.7,Farashganj SC, 9406575   size:5.24,Price: ,7.6,x
