1.121362474, Sport: ,Tennis, Time: ,Thu Oct 22 07:30:00 CEST 2015, Time: ,Thu Oct 22 07:30:00 CEST 2015, Event: ,Ivashka v J Ward, Favorite: ,James Ward, 2370329   size:3.0,Price: ,1.69,Ilya Ivashka, 8304047   size:46.17,Price: ,2.32,ok
1.121388620, Sport: ,Soccer, Time: ,Thu Oct 22 13:30:00 CEST 2015, Time: ,Thu Oct 22 13:30:00 CEST 2015, Event: ,Hung Vuong An Giang U21 v Thua Thien Hue U21, Favorite: ,Thua Thien Hue U21, 10445039   size:5.0,Price: ,1.11,Hung Vuong An Giang U21, 8773425   size:5.0,Price: ,2.68,The Draw, 58805   size:5.0,Price: ,3.05,x
1.121362198, Sport: ,Tennis, Time: ,Thu Oct 22 07:00:00 CEST 2015, Time: ,Thu Oct 22 07:00:00 CEST 2015, Event: ,Skugor v Cipolla, Favorite: ,Franko Skugor, 2862839   size:30.77,Price: ,1.76,Flavio Cipolla, 2424788   size:3.0,Price: ,2.22,ok
1.121390267, Sport: ,Tennis, Time: ,Thu Oct 22 12:00:00 CEST 2015, Time: ,Thu Oct 22 12:00:00 CEST 2015, Event: ,Marray/Qureshi v Pavic/Venus, Favorite: ,Marray/Qureshi, 9940570   size:5.72,Price: ,1.63,Pavic/Venus, 9363716   size:2.29,Price: ,2.18,x
1.121362354, Sport: ,Basketball, Time: ,Thu Oct 22 19:04:00 CEST 2015, Time: ,Thu Oct 22 19:04:00 CEST 2015, Event: ,Boras v Jamtland, Favorite: ,Boras, 7037205   size:8.22,Price: ,1.03,Jamtland, 7037208   size:5.72,Price: ,1.13,ok
1.121369425, Sport: ,Tennis, Time: ,Thu Oct 22 16:00:00 CEST 2015, Time: ,Thu Oct 22 16:00:00 CEST 2015, Event: ,Berankis/Gabashvili v Kretschmer/Satschko, Favorite: ,Kretschmer/Satschko, 7810209   size:35.0,Price: ,1.9,Berankis/Gabashvili, 9381064   size:2.55,Price: ,2.04,x
1.121156176, Sport: ,Handball, Time: ,Thu Oct 22 19:00:00 CEST 2015, Time: ,Thu Oct 22 19:00:00 CEST 2015, Event: ,Lugi v Drott, Favorite: ,Lugi, 2930210   size:2.97,Price: ,1.02,Drott, 330162   size:28.7,Price: ,13.0,Draw, 330157   size:27.47,Price: ,18.0,ok
1.121385636, Sport: ,Tennis, Time: ,Thu Oct 22 12:00:00 CEST 2015, Time: ,Thu Oct 22 12:00:00 CEST 2015, Event: ,Voegele v Friedsam, Favorite: ,Anna-Lena Friedsam, 7593369   size:65.62,Price: ,1.51,Stefanie Voegele, 3622149   size:41.67,Price: ,2.86,x
1.121033856, Sport: ,Soccer, Time: ,Thu Oct 22 19:00:00 CEST 2015, Time: ,Thu Oct 22 19:00:00 CEST 2015, Event: ,Sporting Lisbon v Skenderbeu, Favorite: ,Sporting Lisbon, 2506293   size:1249.38,Price: ,1.12,Skenderbeu, 5658051   size:5.01,Price: ,44.0,The Draw, 58805   size:21.28,Price: ,11.5,ok
1.121373892, Sport: ,Soccer, Time: ,Thu Oct 22 16:30:00 CEST 2015, Time: ,Thu Oct 22 16:30:00 CEST 2015, Event: ,Al Wakrah v Al Gharafa, Favorite: ,Al Gharafa, 2909657   size:2.55,Price: ,2.52,Al Wakrah, 5170863   size:2.38,Price: ,2.58,The Draw, 58805   size:19.25,Price: ,3.55,x
1.121374223, Sport: ,Soccer, Time: ,Thu Oct 22 19:30:00 CEST 2015, Time: ,Thu Oct 22 19:30:00 CEST 2015, Event: ,CD Aurrera de Vitoria v CD Vitoria, Favorite: ,CD Aurrera de Vitoria, 6520554   size:10.57,Price: ,1.1,CD Vitoria, 6044983   size:10.57,Price: ,1.1,The Draw, 58805   size:3.52,Price: ,2.9,x
1.121376401, Sport: ,Tennis, Time: ,Thu Oct 22 15:30:00 CEST 2015, Time: ,Thu Oct 22 15:30:00 CEST 2015, Event: ,Ma Cilic v Istomin, Favorite: ,Marin Cilic, 2263681   size:277.02,Price: ,1.31,Denis Istomin, 2765780   size:25.0,Price: ,3.9,ok
1.121372840, Sport: ,Soccer, Time: ,Thu Oct 22 13:30:00 CEST 2015, Time: ,Thu Oct 22 13:30:00 CEST 2015, Event: ,PFC Botev Plovdiv U19 v Pirin Blagoevgrad U19, Favorite: ,PFC Botev Plovdiv U19, 10412680   size:10.57,Price: ,1.1,Pirin Blagoevgrad U19, 10247308   size:10.57,Price: ,1.1,The Draw, 58805   size:5.0,Price: ,3.05,ok
1.121394876, Sport: ,Ice Hockey, Time: ,Thu Oct 22 19:00:00 CEST 2015, Time: ,Thu Oct 22 19:00:00 CEST 2015, Event: ,Lulea v Rogle, Favorite: ,Lulea, 337769   size:52.56,Price: ,1.56,Rogle, 247122   size:68.0,Price: ,5.3,Tie, 60104   size:54.0,Price: ,5.2,x
1.121385193, Sport: ,Tennis, Time: ,Thu Oct 22 17:30:00 CEST 2015, Time: ,Thu Oct 22 17:30:00 CEST 2015, Event: ,M Gasparyan v Pavlyuchenkova, Favorite: ,Anastasia Pavlyuchenkov, 9438602   size:133.14,Price: ,1.8,Margarita Gasparyan, 6750186   size:68.01,Price: ,2.12,ok
1.121362343, Sport: ,Basketball, Time: ,Thu Oct 22 15:30:00 CEST 2015, Time: ,Thu Oct 22 15:30:00 CEST 2015, Event: ,Mladost Admiral v Subotica, Favorite: ,Mladost Admiral, 10370890   size:8.22,Price: ,1.03,Subotica, 9203833   size:8.22,Price: ,1.03,x
