1.122300532, Sport: ,Basketball, Time: ,Sat Dec 19 02:05:00 CET 2015, Time: ,Sat Dec 19 02:05:00 CET 2015, Event: ,Toronto @ Miami, Favorite: ,Miami, 13109   size:17.45,Price: ,1.57,Toronto, 13113   size:32.33,Price: ,2.56,x
1.122300771, Sport: ,Basketball, Time: ,Sat Dec 19 21:00:00 CET 2015, Time: ,Sat Dec 19 21:00:00 CET 2015, Event: ,Zadar v Krka, Favorite: ,Zadar, 680759   size:21.98,Price: ,1.43,Krka, 3315294   size:17.44,Price: ,2.86,x
1.122300770, Sport: ,Basketball, Time: ,Sat Dec 19 01:30:00 CET 2015, Time: ,Sat Dec 19 01:30:00 CET 2015, Event: ,Gecr Indalo v Weber Bahia Estudiantes, Favorite: ,Gecr Indalo, 6719074   size:10.09,Price: ,1.12,Weber Bahia Estudiantes, 6719105   size:11.99,Price: ,7.4,x
1.122301629, Sport: ,Ice Hockey, Time: ,Sat Dec 19 01:05:00 CET 2015, Time: ,Sat Dec 19 01:05:00 CET 2015, Event: ,Boston @ Pittsburgh, Favorite: ,Pittsburgh, 2115995   size:94.0,Price: ,2.58,Boston, 2112316   size:113.95,Price: ,2.64,Tie, 60104   size:316.0,Price: ,3.95,x
1.122300779, Sport: ,Basketball, Time: ,Sat Dec 19 19:00:00 CET 2015, Time: ,Sat Dec 19 19:00:00 CET 2015, Event: ,Partizan v Mega Vizura, Favorite: ,Partizan, 266286   size:8.02,Price: ,1.44,Mega Vizura, 7735104   size:15.94,Price: ,2.84,x
1.122287238, Sport: ,Basketball, Time: ,Sat Dec 19 19:30:00 CET 2015, Time: ,Sat Dec 19 19:30:00 CET 2015, Event: ,Fuenlabrada v Rio Natura Monbus, Favorite: ,Fuenlabrada, 1273383   size:17.65,Price: ,1.49,Rio Natura Monbus, 7833774   size:13.95,Price: ,2.62,ok
1.122230588, Sport: ,Soccer, Time: ,Sat Dec 19 20:30:00 CET 2015, Time: ,Sat Dec 19 20:30:00 CET 2015, Event: ,Betis v Sevilla, Favorite: ,Sevilla, 44508   size:1141.19,Price: ,2.02,Betis, 44507   size:281.0,Price: ,3.9,The Draw, 58805   size:405.68,Price: ,3.85,x
1.122222719, Sport: ,Soccer, Time: ,Sat Dec 19 14:00:00 CET 2015, Time: ,Sat Dec 19 14:00:00 CET 2015, Event: ,Cottbus v Werder Bremen II, Favorite: ,Cottbus, 204683   size:2.73,Price: ,2.02,Werder Bremen II, 9987568   size:95.58,Price: ,4.0,The Draw, 58805   size:7.27,Price: ,3.6,x
1.122287244, Sport: ,Basketball, Time: ,Sat Dec 19 20:30:00 CET 2015, Time: ,Sat Dec 19 20:30:00 CET 2015, Event: ,Tenerife v Gipuzkoa, Favorite: ,Tenerife, 676445   size:2.55,Price: ,1.12,Gipuzkoa, 7736138   size:2.55,Price: ,1.28,x
1.122300622, Sport: ,Basketball, Time: ,Sat Dec 19 02:05:00 CET 2015, Time: ,Sat Dec 19 02:05:00 CET 2015, Event: ,Detroit @ Chicago, Favorite: ,Chicago, 13117   size:548.92,Price: ,1.54,Detroit, 13111   size:51.74,Price: ,2.8,x
1.122300740, Sport: ,Basketball, Time: ,Sat Dec 19 20:00:00 CET 2015, Time: ,Sat Dec 19 20:00:00 CET 2015, Event: ,Nanterre v Orleans, Favorite: ,Nanterre, 2989492   size:2.55,Price: ,1.2,Orleans, 2285941   size:5.97,Price: ,1.41,ok
1.122287488, Sport: ,Basketball, Time: ,Sat Dec 19 11:00:00 CET 2015, Time: ,Sat Dec 19 11:00:00 CET 2015, Event: ,Astana v Vita Tbilisi, Favorite: ,Astana, 5877769   size:2.74,Price: ,1.03,Vita Tbilisi, 10369608   size:2.55,Price: ,1.26,ok
1.122224900, Sport: ,Soccer, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,FC Koln v Dortmund, Favorite: ,Dortmund, 44785   size:1016.32,Price: ,1.54,FC Koln, 44783   size:127.41,Price: ,7.0,The Draw, 58805   size:267.66,Price: ,4.7,x
1.122300748, Sport: ,Basketball, Time: ,Sat Dec 19 18:00:00 CET 2015, Time: ,Sat Dec 19 18:00:00 CET 2015, Event: ,Le Mans v Lyon, Favorite: ,Lyon, 1297016   size:2.74,Price: ,1.03,Le Mans, 678096   size:5.97,Price: ,1.92,x
1.122300744, Sport: ,Basketball, Time: ,Sat Dec 19 19:00:00 CET 2015, Time: ,Sat Dec 19 19:00:00 CET 2015, Event: ,Monaco v Chalon Saone, Favorite: ,Monaco, 8074967   size:605.99,Price: ,1.04,Chalon Saone, 1471819   size:605.99,Price: ,1.04,ok
1.122228378, Sport: ,Snooker, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,Peter Ebdon v Michell Mann, Favorite: ,Peter Ebdon, 2278791   size:2.55,Price: ,1.27,Michell Mann, 10616864   size:2.55,Price: ,3.8,ok
1.122233845, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Northampton v Portsmouth, Favorite: ,Portsmouth, 58344   size:13.42,Price: ,2.26,Northampton, 5034   size:33.58,Price: ,3.6,The Draw, 58805   size:156.56,Price: ,3.5,ok
1.122232994, Sport: ,Soccer, Time: ,Sat Dec 19 20:00:00 CET 2015, Time: ,Sat Dec 19 20:00:00 CET 2015, Event: ,Guingamp v Rennes, Favorite: ,Guingamp, 44801   size:15.01,Price: ,2.56,Rennes, 44799   size:56.99,Price: ,3.35,The Draw, 58805   size:1419.78,Price: ,3.1,x
1.122230451, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Bristol City v QPR, Favorite: ,QPR, 62684   size:204.9,Price: ,2.7,Bristol City, 69745   size:38.56,Price: ,2.88,The Draw, 58805   size:294.78,Price: ,3.45,x
1.122300632, Sport: ,Basketball, Time: ,Sat Dec 19 03:05:00 CET 2015, Time: ,Sat Dec 19 03:05:00 CET 2015, Event: ,Denver @ Utah, Favorite: ,Utah, 13119   size:5.0,Price: ,1.47,Denver, 13124   size:5.0,Price: ,2.92,ok
1.122300752, Sport: ,Basketball, Time: ,Sat Dec 19 20:00:00 CET 2015, Time: ,Sat Dec 19 20:00:00 CET 2015, Event: ,Cholet v Antibes, Favorite: ,Cholet, 678099   size:2.74,Price: ,1.03,Antibes, 5467755   size:2.74,Price: ,1.03,ok
