1.119253249, Sport: ,Soccer, Time: ,Sat Jul 04 11:00:00 CEST 2015, Time: ,Sat Jul 04 11:00:00 CEST 2015, Event: ,Tokyo-V v Fukuoka, Favorite: ,Tokyo-V, 263080   size:21.01,Price: ,2.4,The Draw, 58805   size:13.48,Price: ,3.25,Fukuoka, 1405180   size:2.81,Price: ,3.35,x
1.119359356, Sport: ,Soccer, Time: ,Sat Jul 04 11:00:00 CEST 2015, Time: ,Sat Jul 04 11:00:00 CEST 2015, Event: ,GKS Katowice v Miedz Legnica, Favorite: ,Miedz Legnica, 4935893   size:16.29,Price: ,2.44,The Draw, 58805   size:5.78,Price: ,3.2,x
1.119254215, Sport: ,Soccer, Time: ,Sat Jul 04 12:00:00 CEST 2015, Time: ,Sat Jul 04 12:00:00 CEST 2015, Event: ,Iwata v Kumamoto, Favorite: ,Iwata, 263079   size:145.49,Price: ,1.54,Tx
1.119361874, Sport: ,Tennis, Time: ,Sat Jul 04 15:30:00 CEST 2015, Time: ,Sat Jul 04 15:30:00 CEST 2015, Event: ,J Ward v V Pospisil, Favorite: ,Vasek Pospisil, 4903598   size:633.65,Price: ,1.48,James Ward, 2370329   size:249.42,Price: ,3.0,ok
1.119359075, Sport: ,Soccer, Time: ,Sat Jul 04 10:30:00 CEST 2015, Time: ,Sat Jul 04 10:30:00 CEST 2015, Event: ,NK Aluminij v Partizan Belgrade, Favorite: ,Partizan Belgrade, 46980   size:2.57,Price: ,1.17,The Draw, 58805   size:56.28,Price: ,6.0,NK Aluminij, 5664283   size:35.68,Price: ,10.0,ok
1.119376653, Sport: ,Tennis, Time: ,Sat Jul 04 10:00:00 CEST 2015, Time: ,Sat Jul 04 10:00:00 CEST 2015, Event: ,Mertens v Ramialison, Favorite: ,Elise Mertens, 9002334   size:54.67,Price: ,1.08,Irina Ramialison, 7289605   size:5.79,Price: ,1.23,x
1.119249064, Sport: ,Baseball, Time: ,Sat Jul 04 01:08:00 CEST 2015, Time: ,Sat Jul 04 01:08:00 CEST 2015, Event: ,TOR @ DET, Favorite: ,Detroit (A Sanchez), 6546455   size:252.7,Price: ,1.96,Toronto (D Hutchison), 6325405   size:266.71,Price: ,1.98,ok
1.119249142, Sport: ,Baseball, Time: ,Sat Jul 04 03:05:00 CEST 2015, Time: ,Sat Jul 04 03:05:00 CEST 2015, Event: ,SEA @ OAK, Favorite: ,Oakland (J Chavez), 8432625   size:262.46,Price: ,1.77,Seattle (J Happ), 9520039   size:4.03,Price: ,2.24,x
1.119254145, Sport: ,Soccer, Time: ,Sat Jul 04 12:00:00 CEST 2015, Time: ,Sat Jul 04 12:00:00 CEST 2015, Event: ,Jef Utd Chiba v FC Gifu, Favorite: ,Jef Utd Chiba, 5021203   size:2.01,Price: ,1.6,The Draw, 58805   size:4.19,Price: ,4.3,FC Gifu, 4270387   size:23.58,Price: ,6.4,ok
1.119253375, Sport: ,Soccer, Time: ,Sat Jul 04 11:00:00 CEST 2015, Time: ,Sat Jul 04 11:00:00 CEST 2015, Event: ,Nagasaki v Omiya, Favorite: ,Omiya, 1080509   size:11.42,Price: ,2.32,The Draw, 58805   size:128.27,Price: ,3.3,Nagasaki, 7081211   size:13.36,Price: ,3.45,ok
1.119252246, Sport: ,Soccer, Time: ,Sat Jul 04 18:00:00 CEST 2015, Time: ,Sat Jul 04 18:00:00 CEST 2015, Event: ,Toronto FC II v FC Montreal, Favorite: ,FC Montreal, 9371571   size:10.67,Price: ,1.08,The Draw, 58805   size:3.55,Price: ,2.04,x
1.119251872, Sport: ,Soccer, Time: ,Sat Jul 04 16:00:00 CEST 2015, Time: ,Sat Jul 04 16:00:00 CEST 2015, Event: ,Raith v Brechin, Favorite: ,Raith, 674747   size:2.57,Price: ,1.55,The Draw, 58805   size:2.57,Price: ,4.1,Brechin, 238429   size:2.57,Price: ,4.8,x
1.119249615, Sport: ,Soccer, Time: ,Sat Jul 04 16:00:00 CEST 2015, Time: ,Sat Jul 04 16:00:00 CEST 2015, Event: ,Djurgardens v Orebro, Favorite: ,Djurgardens, 232104   size:353.35,Price: ,1.65,The Draw, 58805   size:57.73,Price: ,4.1,Orebro, 42617   size:5.38,Price: ,6.0,ok
1.119251516, Sport: ,Soccer, Time: ,Sat Jul 04 16:00:00 CEST 2015, Time: ,Sat Jul 04 16:00:00 CEST 2015, Event: ,Edinburgh City v Dumbarton, Favorite: ,Dumbarton, 2152   size:5.78,Price: ,1.39,The Draw, 58805   size:87.95,Price: ,4.2,Edinburgh City, 615040   size:65.44,Price: ,5.3,ok
1.119359145, Sport: ,Soccer, Time: ,Sat Jul 04 11:00:00 CEST 2015, Time: ,Sat Jul 04 11:00:00 CEST 2015, Event: ,Dolcan Zabki v Wisla Pulawy, Favorite: ,Wisla Pulawy, 5789666   size:139.31,Price: ,1.06,The Draw, 58805   size:28.14,Price: ,2.0,x
1.119249890, Sport: ,Soccer, Time: ,Sat Jul 04 02:50:00 CEST 2015, Time: ,Sat Jul 04 02:50:00 CEST 2015, Event: ,Botafogo RJ v Sampaio Correa, Favorite: ,Botafogo RJ, 786906   size:238.79,Price: ,1.45,The Draw, 58805   size:117.59,Price: ,4.8,Sampaio Correa, 5330505   size:60.73,Price: ,9.0,ok
1.119249056, Sport: ,Baseball, Time: ,Sat Jul 04 01:05:00 CEST 2015, Time: ,Sat Jul 04 01:05:00 CEST 2015, Event: ,CLE @ PIT, Favorite: ,Pittsburgh (C Morton), 3966279   size:93.78,Price: ,1.88,Cleveland (T Bauer), 7184184   size:706.44,Price: ,2.08,x
1.119249134, Sport: ,Baseball, Time: ,Sat Jul 04 02:15:00 CEST 2015, Time: ,Sat Jul 04 02:15:00 CEST 2015, Event: ,SD @ STL, Favorite: ,St Louis (M Wacha), 7309496   size:485.06,Price: ,1.66,San Diego (A Cashner), 6436041   size:9.86,Price: ,2.46,x
