1.119038801, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 02:00:00 CEST 2015, Time: ,Sun Jun 07 02:00:00 CEST 2015, Event: ,Jordan v Lewis, Favorite: ,Shawn Jordan, 5822664   size:11.86,Price: ,1.98,Derrick Lewis, 8477136   size:360.2,Price: ,1.99,okok
1.118850056, Sport: ,Boxing, Time: ,Sun Jun 07 03:00:00 CEST 2015, Time: ,Sun Jun 07 03:00:00 CEST 2015, Event: ,Cotto v Geale, Favorite: ,Miguel Cotto, 3656147   size:468.91,Price: ,1.21,Daniel Geale, 2689264   size:19.97,Price: ,6.2,Draw, 31162   size:89.37,Price: ,40.0,okok
1.119040407, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 04:00:00 CEST 2015, Time: ,Sun Jun 07 04:00:00 CEST 2015, Event: ,Boetsch v Henderson, Favorite: ,Tim Boetsch, 4853099   size:9.31,Price: ,1.5,Dan Henderson, 3832562   size:3.91,Price: ,2.76,xx
1.119035333, Sport: ,Ice Hockey, Time: ,Sun Jun 07 01:20:00 CEST 2015, Time: ,Sun Jun 07 01:20:00 CEST 2015, Event: ,Chicago @ Tampa Bay, Favorite: ,Tampa Bay, 2109715   size:340.0,Price: ,2.38,Chicago, 2109831   size:5.0,Price: ,2.88,Tie, 60104   size:129.7,Price: ,3.95,okok
1.119104739, Sport: ,Tennis, Time: ,Sat Jun 06 18:00:00 CEST 2015, Time: ,Sat Jun 06 18:00:00 CEST 2015, Event: ,Nielsen v Salisbury, Favorite: ,Frederik Nielsen, 2444574   size:84.17,Price: ,1.02,Joe Salisbury, 8284798   size:104.25,Price: ,1.07,okok
1.119044396, Sport: ,Basketball, Time: ,Sun Jun 07 01:30:00 CEST 2015, Time: ,Sun Jun 07 01:30:00 CEST 2015, Event: ,Obras v Quilmes, Favorite: ,Obras, 6269780   size:131.25,Price: ,1.24,Quilmes, 7753472   size:9.31,Price: ,4.5,xx
1.119044397, Sport: ,Basketball, Time: ,Sun Jun 07 02:30:00 CEST 2015, Time: ,Sun Jun 07 02:30:00 CEST 2015, Event: ,Gecr Indalo v Penarol, Favorite: ,Gecr Indalo, 6719074   size:2.55,Price: ,1.37,Penarol, 6719113   size:13.4,Price: ,3.35,okok
1.119051319, Sport: ,Baseball, Time: ,Sun Jun 07 01:15:00 CEST 2015, Time: ,Sun Jun 07 01:15:00 CEST 2015, Event: ,LAA @ NYY, Favorite: ,LA Angels (G Richards), 5741327   size:48.24,Price: ,1.92,NY Yankees (A Warren), 6476458   size:189.59,Price: ,2.06,xx
1.118970198, Sport: ,Handball, Time: ,Sat Jun 06 18:30:00 CEST 2015, Time: ,Sat Jun 06 18:30:00 CEST 2015, Event: ,Gijon v Granollers, Favorite: ,Granollers, 1235183   size:20.18,Price: ,1.23,Gijon, 8339981   size:3.51,Price: ,6.0,Draw, 330157   size:13.03,Price: ,8.6,okok
1.119104621, Sport: ,Tennis, Time: ,Sat Jun 06 17:40:00 CEST 2015, Time: ,Sat Jun 06 17:40:00 CEST 2015, Event: ,Sharan v Kutrovsky, Favorite: ,Dimitar Kutrovsky, 6163094   size:84.17,Price: ,1.02,Divij Sharan, 8292579   size:137.17,Price: ,1.07,ok
1.119038791, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 01:00:00 CEST 2015, Time: ,Sun Jun 07 01:00:00 CEST 2015, Event: ,Abreu v Collier, Favorite: ,Ricardo Abreu, 8572569   size:2.93,Price: ,1.57,Jake Collier, 9086747   size:234.71,Price: ,2.54,x
1.119051199, Sport: ,Baseball, Time: ,Sat Jun 06 18:05:00 CEST 2015, Time: ,Sat Jun 06 18:05:00 CEST 2015, Event: ,CHC @ WSH, Favorite: ,Chicago Cubs (J Hammel), 8450037   size:129.17,Price: ,1.9,Washington (J Ross), 9565218   size:179.89,Price: ,2.0,okok
1.119038795, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 01:00:00 CEST 2015, Time: ,Sun Jun 07 01:00:00 CEST 2015, Event: ,Quinonez v Morales, Favorite: ,Leonardo Morales, 8991659   size:7.11,Price: ,1.59,Jose Quinonez, 8991658   size:2.68,Price: ,2.52,xx
1.119051311, Sport: ,Baseball, Time: ,Sun Jun 07 01:15:00 CEST 2015, Time: ,Sun Jun 07 01:15:00 CEST 2015, Event: ,DET @ CWS, Favorite: ,Detroit (D Price), 8753728   size:239.52,Price: ,1.63,Chicago White Sox (J Danks), 2942998   size:201.75,Price: ,2.52,okok
1.119051333, Sport: ,Baseball, Time: ,Sun Jun 07 04:10:00 CEST 2015, Time: ,Sun Jun 07 04:10:00 CEST 2015, Event: ,NYM @ ARI, Favorite: ,Arizona (C Anderson), 8522020   size:465.0,Price: ,1.79,NY Mets (B Colon), 8432627   size:278.0,Price: ,2.14,okok
1.119039742, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 04:00:00 CEST 2015, Time: ,Sun Jun 07 04:00:00 CEST 2015, Event: ,Soto v Birchak, Favorite: ,Joe Soto, 8800389   size:3.75,Price: ,1.56,Anthony Birchak, 8800390   size:7.76,Price: ,2.56,xx
1.119039600, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 04:00:00 CEST 2015, Time: ,Sun Jun 07 04:00:00 CEST 2015, Event: ,Tavares v Ortega, Favorite: ,Thiago Tavares, 4099604   size:2.67,Price: ,1.6,Brian Ortega, 8702179   size:2.68,Price: ,2.52,xx
1.119039106, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 02:00:00 CEST 2015, Time: ,Sun Jun 07 02:00:00 CEST 2015, Event: ,Proctor v Edwards, Favorite: ,Joe Proctor, 6883642   size:2.72,Price: ,1.51,Justin Edwards, 5928862   size:4.43,Price: ,2.8,okok
1.118924877, Sport: ,Basketball, Time: ,Sun Jun 07 02:00:00 CEST 2015, Time: ,Sun Jun 07 02:00:00 CEST 2015, Event: ,Chicago @ Tulsa, Favorite: ,Tulsa, 711056   size:5.0,Price: ,1.83,Chicago, 13117   size:2.71,Price: ,2.12,okok
1.118847341, Sport: ,Rugby Union, Time: ,Sat Jun 06 20:30:00 CEST 2015, Time: ,Sat Jun 06 20:30:00 CEST 2015, Event: ,England U20 v Wales U20, Favorite: ,England U20, 2296904   size:4.04,Price: ,1.13,Wales U20, 2818059   size:2.64,Price: ,8.6,Draw, 246289   size:5.07,Price: ,29.0,okok
1.119051215, Sport: ,Baseball, Time: ,Sat Jun 06 20:10:00 CEST 2015, Time: ,Sat Jun 06 20:10:00 CEST 2015, Event: ,MIL @ MIN, Favorite: ,Minnesota (J Graham), 9565219   size:135.74,Price: ,1.74,Milwaukee (M Garza), 8432623   size:599.07,Price: ,2.24,x
1.119051237, Sport: ,Baseball, Time: ,Sat Jun 06 21:05:00 CEST 2015, Time: ,Sat Jun 06 21:05:00 CEST 2015, Event: ,SF @ PHI, Favorite: ,San Francisco (M Bumgarner), 4171027   size:146.39,Price: ,1.57,Philadelphia (S Gonzalez), 9439849   size:524.0,Price: ,2.6,ok
1.119039746, Sport: ,Mixed Martial Arts, Time: ,Sun Jun 07 04:00:00 CEST 2015, Time: ,Sun Jun 07 04:00:00 CEST 2015, Event: ,Rivera v Caceres, Favorite: ,Francisco Rivera, 5589637   size:13.73,Price: ,1.85,Alex Caceres, 5737190   size:314.82,Price: ,2.14,okok
1.119051349, Sport: ,Baseball, Time: ,Sun Jun 07 04:10:00 CEST 2015, Time: ,Sun Jun 07 04:10:00 CEST 2015, Event: ,TB @ SEA, Favorite: ,Seattle (F Hernandez), 1216734   size:337.0,Price: ,1.63,Tampa Bay (A Colome), 7310998   size:47.99,Price: ,2.54,ok
1.119051303, Sport: ,Baseball, Time: ,Sun Jun 07 01:10:00 CEST 2015, Time: ,Sun Jun 07 01:10:00 CEST 2015, Event: ,PIT @ ATL, Favorite: ,Atlanta (J Teheran), 5530617   size:511.0,Price: ,1.94,Pittsburgh (J Locke), 5810057   size:110.11,Price: ,1.98,ok
