1.119554638, Sport: ,Tennis, Time: ,Fri Jul 17 17:30:00 CEST 2015, Time: ,Fri Jul 17 17:30:00 CEST 2015, Event: ,Caruso v Donati, Favorite: ,Matteo Donati, 8285864   size:3.52,Price: ,1.46,Salvatore Caruso, 8257868   size:2.61,Price: ,2.76,x
1.119437339, Sport: ,Soccer, Time: ,Fri Jul 17 18:00:00 CEST 2015, Time: ,Fri Jul 17 18:00:00 CEST 2015, Event: ,Wisla Krakow v Gornik Zabrze, Favorite: ,Wisla Krakow, 10782   size:176.65,Price: ,2.1,The Draw, 58805   size:16.52,Price: ,3.5,Gornik Zabrze, 503499   size:184.36,Price: ,4.0,x
1.119515154, Sport: ,Volleyball, Time: ,Fri Jul 17 17:10:00 CEST 2015, Time: ,Fri Jul 17 17:10:00 CEST 2015, Event: ,Brazil (W) v Belgium (W), Favorite: ,Brazil (W), 6487492   size:1632.73,Price: ,1.01,Belgium (W), 7370321   size:3506.49,Price: ,1.11,ok
1.119538279, Sport: ,Tennis, Time: ,Fri Jul 17 16:00:00 CEST 2015, Time: ,Fri Jul 17 16:00:00 CEST 2015, Event: ,1. Janowicz v Dolgopolov, Favorite: ,Alexandr Dolgopolov, 4720522   size:233.24,Price: ,1.51,Jerzy Janowicz, 3103303   size:11.14,Price: ,2.8,ok
1.119515156, Sport: ,Volleyball, Time: ,Fri Jul 17 18:05:00 CEST 2015, Time: ,Fri Jul 17 18:05:00 CEST 2015, Event: ,Germany (W) v Turkey (W), Favorite: ,Germany (W), 5857945   size:2.61,Price: ,1.24,Turkey (W), 5857948   size:3.81,Price: ,4.3,x
1.119522352, Sport: ,Soccer, Time: ,Fri Jul 17 18:00:00 CEST 2015, Time: ,Fri Jul 17 18:00:00 CEST 2015, Event: ,Nomme JK Kalju II v Kuressaare, Favorite: ,Kuressaare, 5407305   size:3.88,Price: ,1.83,Nomme JK Kalju II, 6581153   size:2.61,Price: ,3.7,The Draw, 58805   size:2.87,Price: ,3.85,x
1.119436010, Sport: ,Soccer, Time: ,Fri Jul 17 19:00:00 CEST 2015, Time: ,Fri Jul 17 19:00:00 CEST 2015, Event: ,Allerheiligen v KSV Superfund, Favorite: ,KSV Superfund, 4840627   size:6.28,Price: ,1.73,The Draw, 58805   size:3.36,Price: ,4.0,Allerheiligen, 5718876   size:15.74,Price: ,4.4,ok
1.119524202, Sport: ,Soccer, Time: ,Fri Jul 17 19:00:00 CEST 2015, Time: ,Fri Jul 17 19:00:00 CEST 2015, Event: ,Eendracht Aalst v Gent, Favorite: ,Gent, 350594   size:5.13,Price: ,1.86,The Draw, 58805   size:2.13,Price: ,4.1,Eendracht Aalst, 65807   size:6.34,Price: ,4.3,x
1.119436394, Sport: ,Soccer, Time: ,Fri Jul 17 19:30:00 CEST 2015, Time: ,Fri Jul 17 19:30:00 CEST 2015, Event: ,SV Oberwart v Austria Vienna, Favorite: ,Austria Vienna, 65352   size:30.8,Price: ,1.12,The Draw, 58805   size:33.13,Price: ,7.8,SV Oberwart, 3258136   size:2.05,Price: ,18.0,ok
1.119436150, Sport: ,Soccer, Time: ,Fri Jul 17 19:00:00 CEST 2015, Time: ,Fri Jul 17 19:00:00 CEST 2015, Event: ,BW Linz v FC Wacker Innsbruck, Favorite: ,FC Wacker Innsbruck, 2469752   size:2.93,Price: ,2.16,BW Linz, 345638   size:58.1,Price: ,3.2,The Draw, 58805   size:40.34,Price: ,3.85,x
1.119542643, Sport: ,Volleyball, Time: ,Fri Jul 17 20:00:00 CEST 2015, Time: ,Fri Jul 17 20:00:00 CEST 2015, Event: ,Estonia v Poland, Favorite: ,Estonia, 1191330   size:6.85,Price: ,1.5,Poland, 678742   size:5.03,Price: ,2.62,ok
